Gene stable ID,42afa501-db93-4611-ae86-14d6dd9e457c
ENSG00000006756,10265
ENSG00000006757,1179
ENSG00000006788,9
ENSG00000006831,6588
ENSG00000006837,40
ENSG00000007001,2
ENSG00000007038,7
ENSG00000007047,2425
ENSG00000007062,11674
ENSG00000007080,4580
ENSG00000007129,48
ENSG00000007168,10694
ENSG00000007171,38
ENSG00000007174,2
ENSG00000007202,13246
ENSG00000007216,264
ENSG00000007237,1152
ENSG00000007255,1218
ENSG00000007264,91
ENSG00000007306,31
ENSG00000007312,763
ENSG00000007314,17
ENSG00000007341,551
ENSG00000007350,18
ENSG00000007372,172
ENSG00000007376,1813
ENSG00000007384,1534
ENSG00000007392,1013
ENSG00000007402,1189
ENSG00000007516,230
ENSG00000007520,2486
ENSG00000007541,3369
ENSG00000007545,1359
ENSG00000007866,3181
ENSG00000007908,428
ENSG00000007923,2820
ENSG00000007933,333
ENSG00000007944,1515
ENSG00000007952,84
ENSG00000007968,2770
ENSG00000008018,20960
ENSG00000008056,99
ENSG00000008083,5266
ENSG00000008086,934
ENSG00000008118,37
ENSG00000008128,298
ENSG00000008130,3582
ENSG00000008196,3730
ENSG00000008197,20
ENSG00000008226,8
ENSG00000008256,1014
ENSG00000008277,497
ENSG00000008282,3614
ENSG00000008283,6199
ENSG00000008294,5871
ENSG00000008300,2127
ENSG00000008311,246
ENSG00000008323,666
ENSG00000008324,770
ENSG00000008382,471
ENSG00000008394,17448
ENSG00000008405,1301
ENSG00000008438,1
ENSG00000008441,15372
ENSG00000008513,4211
ENSG00000008516,282
ENSG00000008517,1329
ENSG00000008710,1241
ENSG00000008735,2335
ENSG00000008838,7930
ENSG00000008853,943
ENSG00000008869,4228
ENSG00000008952,6919
ENSG00000008988,28278
ENSG00000009307,55791
ENSG00000009335,5110
ENSG00000009413,1534
ENSG00000009694,3
ENSG00000009709,3328
ENSG00000009724,14
ENSG00000009765,26
ENSG00000009780,923
ENSG00000009790,281
ENSG00000009830,1266
ENSG00000009844,5130
ENSG00000009950,52
ENSG00000009954,10149
ENSG00000010017,8755
ENSG00000010030,216
ENSG00000010072,1188
ENSG00000010165,5113
ENSG00000010219,1032
ENSG00000010244,10713
ENSG00000010256,12332
ENSG00000010270,1823
ENSG00000010278,26199
ENSG00000010282,1
ENSG00000010292,23453
ENSG00000010295,149
ENSG00000010310,10
ENSG00000010318,221
ENSG00000010319,456
ENSG00000010322,3734
ENSG00000010327,1757
ENSG00000010361,195
ENSG00000010379,2
ENSG00000010404,3504
ENSG00000010438,3
ENSG00000010539,948
ENSG00000010610,2532
ENSG00000010626,1074
ENSG00000010671,416
ENSG00000010704,865
ENSG00000010803,3722
ENSG00000010810,1301
ENSG00000010818,1669
ENSG00000010932,150
ENSG00000011007,5596
ENSG00000011009,5890
ENSG00000011021,531
ENSG00000011028,2293
ENSG00000011052,35
ENSG00000011083,9
ENSG00000011105,9487
ENSG00000011114,2222
ENSG00000011132,890
ENSG00000011143,2026
ENSG00000011198,1243
ENSG00000011201,208
ENSG00000011243,2373
ENSG00000011258,1546
ENSG00000011260,3172
ENSG00000011275,2920
ENSG00000011295,3647
ENSG00000011304,29701
ENSG00000011332,374
ENSG00000011347,3210
ENSG00000011376,1958
ENSG00000011405,2196
ENSG00000011422,3748
ENSG00000011426,3146
ENSG00000011451,4085
ENSG00000011454,3434
ENSG00000011465,10832
ENSG00000011478,1069
ENSG00000011485,5032
ENSG00000011523,3004
ENSG00000011566,2285
ENSG00000011590,71
ENSG00000011600,933
ENSG00000011638,4366
ENSG00000011677,95
ENSG00000012048,3012
ENSG00000012061,3738
ENSG00000012124,179
ENSG00000012171,260
ENSG00000012174,1789
ENSG00000012211,308
ENSG00000012223,33802
ENSG00000012232,4581
ENSG00000012504,0
ENSG00000012660,11390
ENSG00000012779,600
ENSG00000012817,0
ENSG00000012822,1591
ENSG00000012963,6710
ENSG00000012983,2156
ENSG00000013016,903
ENSG00000013275,8439
ENSG00000013288,3332
ENSG00000013293,0
ENSG00000013297,37
ENSG00000013306,10272
ENSG00000013364,2580
ENSG00000013374,3527
ENSG00000013375,3963
ENSG00000013392,488
ENSG00000013441,1604
ENSG00000013503,1045
ENSG00000013523,1563
ENSG00000013561,3073
ENSG00000013563,1299
ENSG00000013573,3531
ENSG00000013583,4851
ENSG00000013588,24991
ENSG00000013619,390
ENSG00000013725,441
ENSG00000013810,5295
ENSG00000014123,2686
ENSG00000014138,2423
ENSG00000014164,1768
ENSG00000014216,10692
ENSG00000014257,268
ENSG00000014641,14875
ENSG00000014824,4297
ENSG00000014914,459
ENSG00000014919,3076
ENSG00000015133,3428
ENSG00000015153,390
ENSG00000015171,3461
ENSG00000015285,421
ENSG00000015413,140
ENSG00000015475,1842
ENSG00000015479,217
ENSG00000015520,25
ENSG00000015532,2436
ENSG00000015568,0
ENSG00000015592,0
ENSG00000015676,6259
ENSG00000016082,4
ENSG00000016391,1842
ENSG00000016402,220
ENSG00000016490,0
ENSG00000016602,6
ENSG00000016864,2632
ENSG00000017260,17757
ENSG00000017427,73
ENSG00000017483,437
ENSG00000017797,4336
ENSG00000018189,1063
ENSG00000018236,232
ENSG00000018280,206
ENSG00000018408,8054
ENSG00000018510,1506
ENSG00000018607,1
ENSG00000018610,1970
ENSG00000018625,3
ENSG00000018699,3198
ENSG00000018869,165
ENSG00000019102,128
ENSG00000019144,2059
ENSG00000019169,236
ENSG00000019186,34
ENSG00000019485,417
ENSG00000019505,3183
ENSG00000019549,623
ENSG00000019582,72949
ENSG00000019991,77
ENSG00000019995,1772
ENSG00000020129,2618
ENSG00000020181,1021
ENSG00000020219,1
ENSG00000020256,2416
ENSG00000020426,1569
ENSG00000020577,766
ENSG00000020633,1933
ENSG00000020922,1925
ENSG00000021300,2455
ENSG00000021355,2153
ENSG00000021461,0
ENSG00000021488,3
ENSG00000021574,2891
ENSG00000021645,44
ENSG00000021762,1052
ENSG00000021776,3968
ENSG00000021826,63
ENSG00000021852,0
ENSG00000022267,348
ENSG00000022277,6170
ENSG00000022355,0
ENSG00000022556,73
ENSG00000022567,1618
ENSG00000022840,6906
ENSG00000022976,435
ENSG00000023041,2380
ENSG00000023171,323
ENSG00000023191,2887
ENSG00000023228,5353
ENSG00000023287,3145
ENSG00000023318,3903
ENSG00000023330,4535
ENSG00000023445,940
ENSG00000023516,1319
ENSG00000023572,691
ENSG00000023608,743
ENSG00000023697,6090
ENSG00000023734,16041
ENSG00000023839,152
ENSG00000023892,1576
ENSG00000023902,4685
ENSG00000023909,1782
ENSG00000024048,3664
ENSG00000024422,1550
ENSG00000024526,2034
ENSG00000024862,1332
ENSG00000025039,3273
ENSG00000025156,1933
ENSG00000025293,4856
ENSG00000025423,187
ENSG00000025434,675
ENSG00000025708,1491
ENSG00000025770,3359
ENSG00000025772,5184
ENSG00000025796,8625
ENSG00000025800,6592
ENSG00000026025,36971
ENSG00000026036,24
ENSG00000026103,889
ENSG00000026297,1843
ENSG00000026508,48150
ENSG00000026559,1044
ENSG00000026652,247
ENSG00000026751,2263
ENSG00000026950,2427
ENSG00000027001,603
ENSG00000027075,1847
ENSG00000027644,11
ENSG00000027697,4458
ENSG00000027847,1741
ENSG00000027869,314
ENSG00000028116,2441
ENSG00000028137,1425
ENSG00000028203,2692
ENSG00000028277,595
ENSG00000028310,1288
ENSG00000028528,5028
ENSG00000028839,1275
ENSG00000029153,2340
ENSG00000029363,8718
ENSG00000029364,6550
ENSG00000029534,368
ENSG00000029559,100
ENSG00000029639,932
ENSG00000029725,6789
ENSG00000029993,14397
ENSG00000030066,5607
ENSG00000030110,1888
ENSG00000030304,4
ENSG00000030419,422
ENSG00000030582,25566
ENSG00000031003,1161
ENSG00000031081,1116
ENSG00000031691,489
ENSG00000031698,7161
ENSG00000031823,5264
ENSG00000032219,736
ENSG00000032389,3053
ENSG00000032444,3399
ENSG00000032742,340
ENSG00000033011,1506
ENSG00000033030,942
ENSG00000033050,3904
ENSG00000033100,3052
ENSG00000033122,16
ENSG00000033170,4878
ENSG00000033178,3614
ENSG00000033327,858
ENSG00000033627,5049
ENSG00000033800,1264
ENSG00000033867,666
ENSG00000034053,2246
ENSG00000034152,6901
ENSG00000034239,7
ENSG00000034510,121249
ENSG00000034533,1189
ENSG00000034677,4315
ENSG00000034693,1715
ENSG00000034713,4429
ENSG00000034971,0
ENSG00000035115,2226
ENSG00000035141,3968
ENSG00000035403,11879
ENSG00000035499,709
ENSG00000035664,725
ENSG00000035681,1263
ENSG00000035687,3627
ENSG00000035720,40
ENSG00000035862,14965
ENSG00000035928,6290
ENSG00000036054,2922
ENSG00000036257,4835
ENSG00000036448,12
ENSG00000036473,1
ENSG00000036530,17
ENSG00000036549,3458
ENSG00000036565,7
ENSG00000036672,480
ENSG00000036828,1
ENSG00000037042,503
ENSG00000037241,1485
ENSG00000037280,1589
ENSG00000037474,4394
ENSG00000037637,2460
ENSG00000037749,1244
ENSG00000037757,1144
ENSG00000037897,877
ENSG00000037965,70
ENSG00000038002,2772
ENSG00000038210,1233
ENSG00000038219,2921
ENSG00000038274,2945
ENSG00000038295,82
ENSG00000038358,5018
ENSG00000038382,4122
ENSG00000038427,10591
ENSG00000038532,2870
ENSG00000038945,1062
ENSG00000039068,46037
ENSG00000039123,2059
ENSG00000039139,117
ENSG00000039319,1018
ENSG00000039523,2970
ENSG00000039537,5
ENSG00000039560,2701
ENSG00000039600,16
ENSG00000039650,1590
ENSG00000039987,0
ENSG00000040199,1287
ENSG00000040275,1614
ENSG00000040341,3124
ENSG00000040487,1316
ENSG00000040531,1598
ENSG00000040608,1295
ENSG00000040633,2650
ENSG00000040731,0
ENSG00000040933,1441
ENSG00000041353,1243
ENSG00000041357,8427
ENSG00000041515,37
ENSG00000041802,4686
ENSG00000041880,595
ENSG00000041982,21276
ENSG00000041988,724
ENSG00000042062,323
ENSG00000042088,2332
ENSG00000042286,1307
ENSG00000042304,0
ENSG00000042317,434
ENSG00000042429,1724
ENSG00000042445,1804
ENSG00000042493,2582
ENSG00000042753,7822
ENSG00000042781,1
ENSG00000042813,0
ENSG00000042832,101
ENSG00000042980,363
ENSG00000043039,599
ENSG00000043093,3431
ENSG00000043143,1027
ENSG00000043355,6
ENSG00000043462,1113
ENSG00000043514,2313
ENSG00000043591,3
ENSG00000044012,0
ENSG00000044090,3285
ENSG00000044115,31239
ENSG00000044446,2036
ENSG00000044459,556
ENSG00000044524,47
ENSG00000044574,76542
ENSG00000046604,8174
ENSG00000046647,855
ENSG00000046651,2038
ENSG00000046653,2107
ENSG00000046774,13
ENSG00000046889,230
ENSG00000047056,1072
ENSG00000047188,2787
ENSG00000047230,4592
ENSG00000047249,2595
ENSG00000047315,7252
ENSG00000047346,1253
ENSG00000047365,693
ENSG00000047410,16470
ENSG00000047457,17714
ENSG00000047578,1850
ENSG00000047579,2123
ENSG00000047597,96
ENSG00000047617,104
ENSG00000047621,3238
ENSG00000047634,75
ENSG00000047644,2957
ENSG00000047648,75
ENSG00000047662,48
ENSG00000047849,11976
ENSG00000047932,2238
ENSG00000047936,16
ENSG00000048028,1381
ENSG00000048052,1206
ENSG00000048140,1932
ENSG00000048162,573
ENSG00000048342,775
ENSG00000048392,1068
ENSG00000048405,685
ENSG00000048462,249
ENSG00000048471,2491
ENSG00000048540,126
ENSG00000048544,4237
ENSG00000048545,1
ENSG00000048649,3686
ENSG00000048707,5421
ENSG00000048740,647
ENSG00000048828,7617
ENSG00000048991,4124
ENSG00000049089,189
ENSG00000049130,771
ENSG00000049167,337
ENSG00000049192,34
ENSG00000049239,6796
ENSG00000049245,4937
ENSG00000049246,1678
ENSG00000049247,10
ENSG00000049249,180
ENSG00000049283,3920
ENSG00000049323,14485
ENSG00000049449,10867
ENSG00000049540,2996
ENSG00000049541,8269
ENSG00000049618,7121
ENSG00000049656,7833
ENSG00000049759,2760
ENSG00000049768,225
ENSG00000049769,157
ENSG00000049860,5856
ENSG00000049883,325
ENSG00000050030,565
ENSG00000050130,1988
ENSG00000050165,1167
ENSG00000050327,661
ENSG00000050344,4677
ENSG00000050393,3579
ENSG00000050405,2716
ENSG00000050426,769
ENSG00000050438,599
ENSG00000050555,205
ENSG00000050628,55
ENSG00000050730,34
ENSG00000050748,2813
ENSG00000050767,109
ENSG00000050820,5562
ENSG00000051009,905
ENSG00000051108,7696
ENSG00000051128,3786
ENSG00000051180,1338
ENSG00000051341,1351
ENSG00000051382,3959
ENSG00000051523,1479
ENSG00000051596,804
ENSG00000051620,6340
ENSG00000051825,1203
ENSG00000052126,4011
ENSG00000052344,48546
ENSG00000052723,2740
ENSG00000052749,2201
ENSG00000052795,5248
ENSG00000052802,2276
ENSG00000052841,4161
ENSG00000052850,30
ENSG00000053108,314
ENSG00000053254,3753
ENSG00000053328,39
ENSG00000053371,5320
ENSG00000053372,2974
ENSG00000053438,8
ENSG00000053501,1308
ENSG00000053524,191
ENSG00000053702,161
ENSG00000053747,4243
ENSG00000053770,2654
ENSG00000053900,1355
ENSG00000053918,654
ENSG00000054116,5276
ENSG00000054118,14093
ENSG00000054148,1308
ENSG00000054179,1257
ENSG00000054219,275
ENSG00000054267,3877
ENSG00000054277,1847
ENSG00000054282,2116
ENSG00000054356,42
ENSG00000054392,2432
ENSG00000054523,7195
ENSG00000054598,3828
ENSG00000054611,1207
ENSG00000054654,15496
ENSG00000054690,1190
ENSG00000054793,9783
ENSG00000054796,0
ENSG00000054803,12
ENSG00000054938,186
ENSG00000054965,3610
ENSG00000054967,756
ENSG00000054983,3971
ENSG00000055044,4846
ENSG00000055070,10170
ENSG00000055118,1277
ENSG00000055130,5058
ENSG00000055147,1355
ENSG00000055163,2730
ENSG00000055208,10435
ENSG00000055211,4214
ENSG00000055332,6502
ENSG00000055483,2535
ENSG00000055609,4247
ENSG00000055732,339
ENSG00000055813,17
ENSG00000055917,10572
ENSG00000055950,2273
ENSG00000055955,17
ENSG00000055957,5
ENSG00000056050,1054
ENSG00000056097,6149
ENSG00000056277,439
ENSG00000056291,1
ENSG00000056487,22
ENSG00000056558,884
ENSG00000056586,3991
ENSG00000056736,1475
ENSG00000056972,2002
ENSG00000056998,3084
ENSG00000057019,7839
ENSG00000057149,5
ENSG00000057252,4467
ENSG00000057294,5669
ENSG00000057468,0
ENSG00000057593,7
ENSG00000057608,18619
ENSG00000057657,951
ENSG00000057663,2793
ENSG00000057704,396
ENSG00000057757,3085
ENSG00000057935,4669
ENSG00000058056,3002
ENSG00000058063,5427
ENSG00000058085,11074
ENSG00000058091,1999
ENSG00000058262,55785
ENSG00000058272,1802
ENSG00000058335,276
ENSG00000058404,440
ENSG00000058453,791
ENSG00000058600,2746
ENSG00000058668,5288
ENSG00000058673,8473
ENSG00000058729,739
ENSG00000058799,4495
ENSG00000058804,4649
ENSG00000058866,380
ENSG00000059122,2135
ENSG00000059145,728
ENSG00000059377,398
ENSG00000059378,1241
ENSG00000059573,12920
ENSG00000059588,2449
ENSG00000059691,1897
ENSG00000059728,1547
ENSG00000059758,1332
ENSG00000059769,248
ENSG00000059804,3572
ENSG00000059915,68
ENSG00000060069,1269
ENSG00000060138,14412
ENSG00000060140,485
ENSG00000060237,23230
ENSG00000060303,2
ENSG00000060339,4555
ENSG00000060491,2271
ENSG00000060558,269
ENSG00000060566,0
ENSG00000060642,1304
ENSG00000060656,3692
ENSG00000060688,6771
ENSG00000060709,4
ENSG00000060718,1936
ENSG00000060749,10466
ENSG00000060762,1570
ENSG00000060971,1369
ENSG00000060982,713
ENSG00000061273,2875
ENSG00000061337,1991
ENSG00000061455,124
ENSG00000061492,0
ENSG00000061656,802
ENSG00000061676,9328
ENSG00000061794,5655
ENSG00000061918,563
ENSG00000061936,1174
ENSG00000061938,2181
ENSG00000061987,1457
ENSG00000062038,39744
ENSG00000062096,49
ENSG00000062194,3280
ENSG00000062282,748
ENSG00000062370,402
ENSG00000062485,9183
ENSG00000062524,95
ENSG00000062582,353
ENSG00000062598,3753
ENSG00000062650,4181
ENSG00000062716,5909
ENSG00000062725,3553
ENSG00000062822,2502
ENSG00000063015,2
ENSG00000063046,8684
ENSG00000063127,129
ENSG00000063169,1020
ENSG00000063176,737
ENSG00000063177,21134
ENSG00000063180,70
ENSG00000063241,2128
ENSG00000063244,14881
ENSG00000063245,5497
ENSG00000063322,4900
ENSG00000063438,15
ENSG00000063515,0
ENSG00000063587,2308
ENSG00000063601,4143
ENSG00000063660,5191
ENSG00000063761,584
ENSG00000063854,2238
ENSG00000063978,4074
ENSG00000064012,1645
ENSG00000064042,7404
ENSG00000064102,4549
ENSG00000064115,12780
ENSG00000064195,26
ENSG00000064199,893
ENSG00000064201,25
ENSG00000064205,188
ENSG00000064218,24
ENSG00000064225,270
ENSG00000064270,1277
ENSG00000064300,6022
ENSG00000064309,1009
ENSG00000064313,2891
ENSG00000064393,3939
ENSG00000064419,4745
ENSG00000064489,61
ENSG00000064490,4319
ENSG00000064545,3509
ENSG00000064547,3120
ENSG00000064601,9406
ENSG00000064607,4062
ENSG00000064651,14389
ENSG00000064652,798
ENSG00000064655,1644
ENSG00000064666,15979
ENSG00000064687,751
ENSG00000064692,68
ENSG00000064703,2237
ENSG00000064726,2675
ENSG00000064763,4248
ENSG00000064787,16
ENSG00000064835,0
ENSG00000064886,3119
ENSG00000064932,4065
ENSG00000064933,948
ENSG00000064961,6634
ENSG00000064989,1044
ENSG00000064995,3217
ENSG00000064999,4105
ENSG00000065000,11573
ENSG00000065029,1923
ENSG00000065054,2868
ENSG00000065057,1377
ENSG00000065060,3684
ENSG00000065135,11396
ENSG00000065150,19164
ENSG00000065154,17311
ENSG00000065183,4366
ENSG00000065243,2858
ENSG00000065268,2722
ENSG00000065308,5205
ENSG00000065320,1876
ENSG00000065325,12
ENSG00000065328,2067
ENSG00000065357,647
ENSG00000065361,5048
ENSG00000065371,410
ENSG00000065413,682
ENSG00000065427,15324
ENSG00000065457,3547
ENSG00000065485,4461
ENSG00000065491,1509
ENSG00000065518,12799
ENSG00000065526,7216
ENSG00000065534,2942
ENSG00000065548,4614
ENSG00000065559,3220
ENSG00000065600,2985
ENSG00000065609,1
ENSG00000065613,3121
ENSG00000065615,1052
ENSG00000065618,664
ENSG00000065621,1957
ENSG00000065665,440
ENSG00000065675,568
ENSG00000065717,3081
ENSG00000065802,792
ENSG00000065809,7065
ENSG00000065833,1041
ENSG00000065882,6742
ENSG00000065883,3426
ENSG00000065911,12750
ENSG00000065923,1537
ENSG00000065970,4670
ENSG00000065978,30487
ENSG00000065989,262
ENSG00000066027,5429
ENSG00000066032,0
ENSG00000066044,11397
ENSG00000066056,1041
ENSG00000066084,3811
ENSG00000066117,4617
ENSG00000066135,5520
ENSG00000066136,4187
ENSG00000066185,104
ENSG00000066230,4
ENSG00000066248,998
ENSG00000066279,4715
ENSG00000066294,703
ENSG00000066322,3434
ENSG00000066336,759
ENSG00000066379,905
ENSG00000066382,15
ENSG00000066405,9
ENSG00000066422,2150
ENSG00000066427,1415
ENSG00000066455,4370
ENSG00000066468,392
ENSG00000066557,1703
ENSG00000066583,1738
ENSG00000066629,1489
ENSG00000066651,863
ENSG00000066654,5542
ENSG00000066697,1827
ENSG00000066735,815
ENSG00000066739,1891
ENSG00000066777,2859
ENSG00000066813,0
ENSG00000066827,907
ENSG00000066855,1814
ENSG00000066923,82
ENSG00000066926,2218
ENSG00000066933,1076
ENSG00000067048,0
ENSG00000067057,10509
ENSG00000067064,2214
ENSG00000067066,1800
ENSG00000067082,5670
ENSG00000067113,893
ENSG00000067141,6406
ENSG00000067167,6869
ENSG00000067177,1772
ENSG00000067182,11448
ENSG00000067191,125
ENSG00000067208,599
ENSG00000067221,386
ENSG00000067225,67039
ENSG00000067248,1482
ENSG00000067334,5042
ENSG00000067365,759
ENSG00000067369,4224
ENSG00000067445,65
ENSG00000067533,2139
ENSG00000067560,26667
ENSG00000067596,7074
ENSG00000067601,52
ENSG00000067606,1715
ENSG00000067646,0
ENSG00000067704,14042
ENSG00000067715,52
ENSG00000067798,62
ENSG00000067829,7508
ENSG00000067836,1700
ENSG00000067840,1866
ENSG00000067842,46
ENSG00000067900,3454
ENSG00000067955,8860
ENSG00000067992,3384
ENSG00000068001,4279
ENSG00000068024,1065
ENSG00000068028,714
ENSG00000068078,376
ENSG00000068079,547
ENSG00000068097,1674
ENSG00000068120,3390
ENSG00000068137,2109
ENSG00000068305,1684
ENSG00000068308,2781
ENSG00000068323,3509
ENSG00000068354,848
ENSG00000068366,2088
ENSG00000068383,1229
ENSG00000068394,1611
ENSG00000068400,2592
ENSG00000068438,2409
ENSG00000068489,3649
ENSG00000068615,1659
ENSG00000068650,19417
ENSG00000068654,7599
ENSG00000068697,20330
ENSG00000068724,2561
ENSG00000068745,4023
ENSG00000068781,4
ENSG00000068784,3664
ENSG00000068796,2003
ENSG00000068831,122
ENSG00000068878,36554
ENSG00000068885,607
ENSG00000068903,3383
ENSG00000068912,5528
ENSG00000068971,805
ENSG00000068976,16
ENSG00000068985,0
ENSG00000069011,178
ENSG00000069018,4
ENSG00000069020,823
ENSG00000069122,1738
ENSG00000069188,145
ENSG00000069206,0
ENSG00000069248,8443
ENSG00000069275,53157
ENSG00000069329,20286
ENSG00000069345,5415
ENSG00000069399,4406
ENSG00000069424,1104
ENSG00000069431,413
ENSG00000069482,50
ENSG00000069493,379
ENSG00000069509,2314
ENSG00000069535,154
ENSG00000069667,367
ENSG00000069696,10
ENSG00000069702,3312
ENSG00000069712,254
ENSG00000069764,3
ENSG00000069812,37
ENSG00000069849,9840
ENSG00000069869,916
ENSG00000069943,375
ENSG00000069956,3914
ENSG00000069966,998
ENSG00000069974,999
ENSG00000069998,3665
ENSG00000070010,4601
ENSG00000070018,4493
ENSG00000070019,133
ENSG00000070031,2
ENSG00000070047,1740
ENSG00000070061,2780
ENSG00000070081,4732
ENSG00000070087,25263
ENSG00000070159,2838
ENSG00000070182,338
ENSG00000070190,329
ENSG00000070193,17
ENSG00000070214,7132
ENSG00000070269,743
ENSG00000070366,2039
ENSG00000070367,5435
ENSG00000070371,397
ENSG00000070388,9
ENSG00000070404,616
ENSG00000070413,7218
ENSG00000070423,1836
ENSG00000070444,1322
ENSG00000070476,3069
ENSG00000070495,2085
ENSG00000070501,2824
ENSG00000070526,91
ENSG00000070540,1269
ENSG00000070601,36
ENSG00000070610,2649
ENSG00000070614,8047
ENSG00000070669,2460
ENSG00000070718,1713
ENSG00000070729,25
ENSG00000070731,3057
ENSG00000070748,0
ENSG00000070756,74806
ENSG00000070759,548
ENSG00000070761,3471
ENSG00000070770,6402
ENSG00000070778,817
ENSG00000070785,2663
ENSG00000070808,17
ENSG00000070814,4995
ENSG00000070831,13133
ENSG00000070882,687
ENSG00000070886,2
ENSG00000070915,10
ENSG00000070950,2123
ENSG00000070961,4942
ENSG00000070985,0
ENSG00000071051,3577
ENSG00000071054,14045
ENSG00000071073,3480
ENSG00000071082,15898
ENSG00000071127,22211
ENSG00000071189,1990
ENSG00000071203,0
ENSG00000071205,428
ENSG00000071242,1670
ENSG00000071243,344
ENSG00000071246,847
ENSG00000071282,2602
ENSG00000071462,4461
ENSG00000071537,8210
ENSG00000071539,1810
ENSG00000071553,19736
ENSG00000071564,10742
ENSG00000071575,14538
ENSG00000071626,8331
ENSG00000071655,4772
ENSG00000071677,0
ENSG00000071794,6961
ENSG00000071859,6075
ENSG00000071889,3027
ENSG00000071894,6382
ENSG00000071909,21
ENSG00000071967,2406
ENSG00000071991,6
ENSG00000071994,4408
ENSG00000072041,0
ENSG00000072042,5381
ENSG00000072062,6196
ENSG00000072071,2598
ENSG00000072080,0
ENSG00000072110,28866
ENSG00000072121,2488
ENSG00000072133,471
ENSG00000072134,1626
ENSG00000072135,3572
ENSG00000072163,695
ENSG00000072182,3
ENSG00000072195,763
ENSG00000072201,770
ENSG00000072210,3918
ENSG00000072274,13183
ENSG00000072310,10480
ENSG00000072315,0
ENSG00000072364,5943
ENSG00000072401,984
ENSG00000072415,2162
ENSG00000072422,1305
ENSG00000072501,19631
ENSG00000072506,7434
ENSG00000072518,3852
ENSG00000072571,2490
