Gene stable ID,9d2de465-a059-4a82-a861-911e45dc27a2
ENSG00000009844,1781
ENSG00000009950,591
ENSG00000009954,7678
ENSG00000010017,2541
ENSG00000010030,530
ENSG00000010072,951
ENSG00000010165,3715
ENSG00000010219,1130
ENSG00000010244,9275
ENSG00000010256,8584
ENSG00000010270,2127
ENSG00000010278,21397
ENSG00000010282,3
ENSG00000010292,4356
ENSG00000010295,1449
ENSG00000010310,1002
ENSG00000010318,459
ENSG00000010319,8390
ENSG00000010322,10167
ENSG00000010327,6951
ENSG00000010361,1366
ENSG00000010379,3
ENSG00000010404,7780
ENSG00000010438,3
ENSG00000010539,849
ENSG00000010610,4040
ENSG00000010626,788
ENSG00000010671,495
ENSG00000010704,1160
ENSG00000010803,3884
ENSG00000010810,2971
ENSG00000010818,1172
ENSG00000010932,519
ENSG00000011007,3125
ENSG00000011009,6323
ENSG00000011021,1568
ENSG00000011028,14332
ENSG00000011052,23
ENSG00000011083,23
ENSG00000011105,7330
ENSG00000011114,1874
ENSG00000011132,1417
ENSG00000011143,1574
ENSG00000011198,1078
ENSG00000011201,584
ENSG00000011243,5590
ENSG00000011258,1602
ENSG00000011260,1546
ENSG00000011275,3662
ENSG00000011295,3832
ENSG00000011304,18310
ENSG00000011332,32
ENSG00000011347,2139
ENSG00000011376,1112
ENSG00000011405,3495
ENSG00000011422,2557
ENSG00000011426,976
ENSG00000011451,6494
ENSG00000011454,4866
ENSG00000011465,62550
ENSG00000011478,1030
ENSG00000011485,3696
ENSG00000011523,2947
ENSG00000011566,2202
ENSG00000011590,45
ENSG00000011600,4300
ENSG00000011638,2404
ENSG00000011677,1
ENSG00000012048,609
ENSG00000012061,5060
ENSG00000012124,1301
ENSG00000012171,2488
ENSG00000012174,1094
ENSG00000012211,800
ENSG00000012223,18299
ENSG00000012232,2513
ENSG00000012504,0
ENSG00000012660,16619
ENSG00000012779,4460
ENSG00000012817,0
ENSG00000012822,8914
ENSG00000012963,2670
ENSG00000012983,3236
ENSG00000013016,1378
ENSG00000013275,5175
ENSG00000013288,6907
ENSG00000013293,3
ENSG00000013297,832
ENSG00000013306,10452
ENSG00000013364,18063
ENSG00000013374,6357
ENSG00000013375,1619
ENSG00000013392,341
ENSG00000013441,7466
ENSG00000013503,735
ENSG00000013523,1940
ENSG00000013561,3539
ENSG00000013563,1642
ENSG00000013573,1109
ENSG00000013583,2841
ENSG00000013588,8038
ENSG00000013619,418
ENSG00000013725,756
ENSG00000013810,2456
ENSG00000014123,1814
ENSG00000014138,1100
ENSG00000014164,2633
ENSG00000014216,13575
ENSG00000014257,50
ENSG00000014641,7522
ENSG00000014824,3462
ENSG00000014914,1742
ENSG00000014919,2638
ENSG00000015133,5187
ENSG00000015153,1053
ENSG00000015171,7707
ENSG00000015285,972
ENSG00000015413,429
ENSG00000015475,1661
ENSG00000015479,585
ENSG00000015520,11
ENSG00000015532,3486
ENSG00000015568,2
ENSG00000015592,11
ENSG00000015676,8298
ENSG00000016082,0
ENSG00000016391,2070
ENSG00000016402,375
ENSG00000016490,0
ENSG00000016602,40
ENSG00000016864,4600
ENSG00000017260,5050
ENSG00000017427,416
ENSG00000017483,944
ENSG00000017797,4838
ENSG00000018189,2344
ENSG00000018236,642
ENSG00000018280,543
ENSG00000018408,6693
ENSG00000018510,1634
ENSG00000018607,1
ENSG00000018610,1113
ENSG00000018625,667
ENSG00000018699,1243
ENSG00000018869,254
ENSG00000019102,155
ENSG00000019144,12092
ENSG00000019169,148
ENSG00000019186,24
ENSG00000019485,699
ENSG00000019505,1353
ENSG00000019549,2134
ENSG00000019582,161933
ENSG00000019991,481
ENSG00000019995,1216
ENSG00000020129,3943
ENSG00000020181,4512
ENSG00000020219,5
ENSG00000020256,1043
ENSG00000020426,1031
ENSG00000020577,1167
ENSG00000020633,994
ENSG00000020922,1769
ENSG00000021300,986
ENSG00000021355,4761
ENSG00000021461,12
ENSG00000021488,50
ENSG00000021574,1218
ENSG00000021645,102
ENSG00000021762,3052
ENSG00000021776,3494
ENSG00000021826,260
ENSG00000021852,4
ENSG00000022267,13306
ENSG00000022277,6544
ENSG00000022355,0
ENSG00000022556,2772
ENSG00000022567,960
ENSG00000022840,7835
ENSG00000022976,838
ENSG00000023041,2667
ENSG00000023171,122
ENSG00000023191,14465
ENSG00000023228,4339
ENSG00000023287,2961
ENSG00000023318,3507
ENSG00000023330,2622
ENSG00000023445,3226
ENSG00000023516,2776
ENSG00000023572,369
ENSG00000023608,454
ENSG00000023697,1475
ENSG00000023734,6002
ENSG00000023839,49
ENSG00000023892,1963
ENSG00000023902,4727
ENSG00000023909,1086
ENSG00000024048,3560
ENSG00000024422,14271
ENSG00000024526,241
ENSG00000024862,1113
ENSG00000025039,615
ENSG00000025156,601
ENSG00000025293,3859
ENSG00000025423,432
ENSG00000025434,3401
ENSG00000025708,8170
ENSG00000025770,2271
ENSG00000025772,2124
ENSG00000025796,4796
ENSG00000025800,4860
ENSG00000026025,84852
ENSG00000026036,403
ENSG00000026103,1567
ENSG00000026297,2144
ENSG00000026508,13359
ENSG00000026559,13
ENSG00000026652,837
ENSG00000026751,912
ENSG00000026950,2779
ENSG00000027001,1599
ENSG00000027075,1983
ENSG00000027644,30
ENSG00000027697,5827
ENSG00000027847,2544
ENSG00000027869,572
ENSG00000028116,1219
ENSG00000028137,3817
ENSG00000028203,5040
ENSG00000028277,490
ENSG00000028310,3434
ENSG00000028528,8281
ENSG00000028839,602
ENSG00000029153,370
ENSG00000029363,6281
ENSG00000029364,5648
ENSG00000029534,79
ENSG00000029559,61
ENSG00000029639,425
ENSG00000029725,11418
ENSG00000029993,1241
ENSG00000030066,2670
ENSG00000030110,1577
ENSG00000030304,10
ENSG00000030419,937
ENSG00000030582,28741
ENSG00000031003,2442
ENSG00000031081,3023
ENSG00000031691,301
ENSG00000031698,8543
ENSG00000031823,4794
ENSG00000032219,1901
ENSG00000032389,1483
ENSG00000032444,4359
ENSG00000032742,1573
ENSG00000033011,1520
ENSG00000033030,1249
ENSG00000033050,4557
ENSG00000033100,6759
ENSG00000033122,43
ENSG00000033170,2160
ENSG00000033178,2295
ENSG00000033327,3894
ENSG00000033627,4139
ENSG00000033800,2487
ENSG00000033867,4781
ENSG00000034053,201
ENSG00000034152,3171
ENSG00000034239,169
ENSG00000034510,86035
ENSG00000034533,612
ENSG00000034677,5700
ENSG00000034693,580
ENSG00000034713,4214
ENSG00000034971,94
ENSG00000035115,2223
ENSG00000035141,2155
ENSG00000035403,10451
ENSG00000035499,209
ENSG00000035664,1597
ENSG00000035681,1717
ENSG00000035687,6622
ENSG00000035720,47
ENSG00000035862,37372
ENSG00000035928,3586
ENSG00000036054,2171
ENSG00000036257,4215
ENSG00000036448,75
ENSG00000036473,0
ENSG00000036530,124
ENSG00000036549,2429
ENSG00000036565,5
ENSG00000036672,402
ENSG00000036828,1
ENSG00000037042,1729
ENSG00000037241,1513
ENSG00000037280,2443
ENSG00000037474,5940
ENSG00000037637,2188
ENSG00000037749,1191
ENSG00000037757,1621
ENSG00000037897,1162
ENSG00000037965,541
ENSG00000038002,1151
ENSG00000038210,1141
ENSG00000038219,3608
ENSG00000038274,5480
ENSG00000038295,294
ENSG00000038358,1745
ENSG00000038382,8117
ENSG00000038427,35627
ENSG00000038532,3219
ENSG00000038945,2113
ENSG00000039068,2504
ENSG00000039123,4969
ENSG00000039139,1227
ENSG00000039319,3870
ENSG00000039523,5360
ENSG00000039537,253
ENSG00000039560,4695
ENSG00000039600,11
ENSG00000039650,2947
ENSG00000039987,2
ENSG00000040199,624
ENSG00000040275,860
ENSG00000040341,2402
ENSG00000040487,1337
ENSG00000040531,1403
ENSG00000040608,131
ENSG00000040633,3644
ENSG00000040731,6
ENSG00000040933,1807
ENSG00000041353,1144
ENSG00000041357,5627
ENSG00000041515,100
ENSG00000041802,2883
ENSG00000041880,3451
ENSG00000041982,18663
ENSG00000041988,981
ENSG00000042062,320
ENSG00000042088,1360
ENSG00000042286,2097
ENSG00000042304,0
ENSG00000042317,660
ENSG00000042429,1984
ENSG00000042445,6801
ENSG00000042493,12471
ENSG00000042753,5600
ENSG00000042781,17
ENSG00000042813,2
ENSG00000042832,37
ENSG00000042980,467
ENSG00000043039,1582
ENSG00000043093,1491
ENSG00000043143,5117
ENSG00000043355,2
ENSG00000043462,2234
ENSG00000043514,1215
ENSG00000043591,103
ENSG00000044012,0
ENSG00000044090,3373
ENSG00000044115,31050
ENSG00000044446,2573
ENSG00000044459,401
ENSG00000044524,367
ENSG00000044574,28918
ENSG00000046604,9248
ENSG00000046647,1367
ENSG00000046651,2834
ENSG00000046653,736
ENSG00000046774,0
ENSG00000046889,1053
ENSG00000047056,1499
ENSG00000047188,3148
ENSG00000047230,2108
ENSG00000047249,3279
ENSG00000047315,4955
ENSG00000047346,9785
ENSG00000047365,1136
ENSG00000047410,10342
ENSG00000047457,726
ENSG00000047578,3794
ENSG00000047579,1345
ENSG00000047597,27
ENSG00000047617,113
ENSG00000047621,1158
ENSG00000047634,577
ENSG00000047644,7614
ENSG00000047648,487
ENSG00000047662,446
ENSG00000047849,20922
ENSG00000047932,2555
ENSG00000047936,2
ENSG00000048028,1750
ENSG00000048052,419
ENSG00000048140,4139
ENSG00000048162,1641
ENSG00000048342,1101
ENSG00000048392,1850
ENSG00000048405,1410
ENSG00000048462,190
ENSG00000048471,2298
ENSG00000048540,225
ENSG00000048544,2449
ENSG00000048545,9
ENSG00000048649,3393
ENSG00000048707,4142
ENSG00000048740,2661
ENSG00000048828,18752
ENSG00000048991,2039
ENSG00000049089,937
ENSG00000049130,4821
ENSG00000049167,573
ENSG00000049192,1006
ENSG00000049239,7668
ENSG00000049245,6140
ENSG00000049246,2481
ENSG00000049247,8
ENSG00000049249,163
ENSG00000049283,1408
ENSG00000049323,2533
ENSG00000049449,7295
ENSG00000049540,23293
ENSG00000049541,2563
ENSG00000049618,4500
ENSG00000049656,8876
ENSG00000049759,4214
ENSG00000049768,388
ENSG00000049769,589
ENSG00000049860,6747
ENSG00000049883,923
ENSG00000050030,30
ENSG00000050130,2511
ENSG00000050165,4121
ENSG00000050327,1384
ENSG00000050344,997
ENSG00000050393,1450
ENSG00000050405,10183
ENSG00000050426,3747
ENSG00000050438,1290
ENSG00000050555,799
ENSG00000050628,2594
ENSG00000050730,18
ENSG00000050748,4011
ENSG00000050767,117
ENSG00000050820,4414
ENSG00000051009,3585
ENSG00000051108,7589
ENSG00000051128,2838
ENSG00000051180,173
ENSG00000051341,216
ENSG00000051382,2121
ENSG00000051523,6117
ENSG00000051596,492
ENSG00000051620,4093
ENSG00000051825,499
ENSG00000052126,1548
ENSG00000052344,12151
ENSG00000052723,2580
ENSG00000052749,2930
ENSG00000052795,1487
ENSG00000052802,1861
ENSG00000052841,4368
ENSG00000052850,247
ENSG00000053108,281
ENSG00000053254,2982
ENSG00000053328,30
ENSG00000053371,3515
ENSG00000053372,2726
ENSG00000053438,2122
ENSG00000053501,1656
ENSG00000053524,27
ENSG00000053702,548
ENSG00000053747,3708
ENSG00000053770,2163
ENSG00000053900,2116
ENSG00000053918,879
ENSG00000054116,3697
ENSG00000054118,12507
ENSG00000054148,5866
ENSG00000054179,738
ENSG00000054219,614
ENSG00000054267,4984
ENSG00000054277,301
ENSG00000054282,2298
ENSG00000054356,57
ENSG00000054392,1232
ENSG00000054523,2714
ENSG00000054598,1398
ENSG00000054611,2257
ENSG00000054654,6339
ENSG00000054690,1144
ENSG00000054793,5575
ENSG00000054796,0
ENSG00000054803,215
ENSG00000054938,133
ENSG00000054965,7432
ENSG00000054967,605
ENSG00000054983,2085
ENSG00000055044,4669
ENSG00000055070,8836
ENSG00000055118,76
ENSG00000055130,5044
ENSG00000055147,2039
ENSG00000055163,3138
ENSG00000055208,3873
ENSG00000055211,2820
ENSG00000055332,4448
ENSG00000055483,3979
ENSG00000055609,6094
ENSG00000055732,174
ENSG00000055813,99
ENSG00000055917,7763
ENSG00000055950,4027
ENSG00000055955,101
ENSG00000055957,11
ENSG00000056050,1109
ENSG00000056097,4693
ENSG00000056277,268
ENSG00000056291,44
ENSG00000056487,59
ENSG00000056558,2339
ENSG00000056586,2533
ENSG00000056736,978
ENSG00000056972,1491
ENSG00000056998,2385
ENSG00000057019,2000
ENSG00000057149,0
ENSG00000057252,3537
ENSG00000057294,1099
ENSG00000057468,16
ENSG00000057593,401
ENSG00000057608,14436
ENSG00000057657,2159
ENSG00000057663,1664
ENSG00000057704,1024
ENSG00000057757,2976
ENSG00000057935,3518
ENSG00000058056,1199
ENSG00000058063,1454
ENSG00000058085,3735
ENSG00000058091,2416
ENSG00000058262,17768
ENSG00000058272,3759
ENSG00000058335,92
ENSG00000058404,375
ENSG00000058453,3996
ENSG00000058600,3706
ENSG00000058668,10745
ENSG00000058673,12560
ENSG00000058729,1884
ENSG00000058799,2280
ENSG00000058804,2179
ENSG00000058866,68
ENSG00000059122,4652
ENSG00000059145,1937
ENSG00000059377,814
ENSG00000059378,3122
ENSG00000059573,6108
ENSG00000059588,5561
ENSG00000059691,1081
ENSG00000059728,881
ENSG00000059758,2469
ENSG00000059769,668
ENSG00000059804,2285
ENSG00000059915,743
ENSG00000060069,2464
ENSG00000060138,11420
ENSG00000060140,193
ENSG00000060237,12468
ENSG00000060303,3
ENSG00000060339,5216
ENSG00000060491,4358
ENSG00000060558,537
ENSG00000060566,18
ENSG00000060642,1229
ENSG00000060656,3114
ENSG00000060688,2718
ENSG00000060709,15
ENSG00000060718,7441
ENSG00000060749,2061
ENSG00000060762,1364
ENSG00000060971,4325
ENSG00000060982,907
ENSG00000061273,11603
ENSG00000061337,1724
ENSG00000061455,423
ENSG00000061492,3
ENSG00000061656,243
ENSG00000061676,7703
ENSG00000061794,3558
ENSG00000061918,1040
ENSG00000061936,2965
ENSG00000061938,7434
ENSG00000061987,3127
ENSG00000062038,3161
ENSG00000062096,4
ENSG00000062194,7991
ENSG00000062282,2374
ENSG00000062370,393
ENSG00000062485,8087
ENSG00000062524,41
ENSG00000062582,582
ENSG00000062598,2436
ENSG00000062650,3662
ENSG00000062716,26338
ENSG00000062725,2965
ENSG00000062822,1788
ENSG00000063015,1
ENSG00000063046,25994
ENSG00000063127,175
ENSG00000063169,1676
ENSG00000063176,1525
ENSG00000063177,61202
ENSG00000063180,257
ENSG00000063241,3746
ENSG00000063244,10586
ENSG00000063245,8909
ENSG00000063322,5224
ENSG00000063438,77
ENSG00000063515,0
ENSG00000063587,1342
ENSG00000063601,2326
ENSG00000063660,5152
ENSG00000063761,654
ENSG00000063854,3638
ENSG00000063978,4213
ENSG00000064012,2162
ENSG00000064042,5853
ENSG00000064102,1343
ENSG00000064115,2449
ENSG00000064195,170
ENSG00000064199,659
ENSG00000064201,88
ENSG00000064205,2888
ENSG00000064218,39
ENSG00000064225,620
ENSG00000064270,153
ENSG00000064300,2484
ENSG00000064309,1583
ENSG00000064313,1991
ENSG00000064393,5267
ENSG00000064419,4213
ENSG00000064489,53
ENSG00000064490,3167
ENSG00000064545,2032
ENSG00000064547,1021
ENSG00000064601,9230
ENSG00000064607,3540
ENSG00000064651,3553
ENSG00000064652,1567
ENSG00000064655,686
ENSG00000064666,19823
ENSG00000064687,1642
ENSG00000064692,416
ENSG00000064703,1345
ENSG00000064726,3982
ENSG00000064763,575
ENSG00000064787,125
ENSG00000064835,0
ENSG00000064886,936
ENSG00000064932,11697
ENSG00000064933,1077
ENSG00000064961,8889
ENSG00000064989,3377
ENSG00000064995,2455
ENSG00000064999,3064
ENSG00000065000,10293
ENSG00000065029,3370
ENSG00000065054,13983
ENSG00000065057,1458
ENSG00000065060,1755
ENSG00000065135,5514
ENSG00000065150,7122
ENSG00000065154,6565
ENSG00000065183,2202
ENSG00000065243,3183
ENSG00000065268,2593
ENSG00000065308,3461
ENSG00000065320,1662
ENSG00000065325,25
ENSG00000065328,191
ENSG00000065357,2317
ENSG00000065361,17223
ENSG00000065371,36
ENSG00000065413,644
ENSG00000065427,5867
ENSG00000065457,1007
ENSG00000065485,1626
ENSG00000065491,1068
ENSG00000065518,5754
ENSG00000065526,5207
ENSG00000065534,7977
ENSG00000065548,3429
ENSG00000065559,2956
ENSG00000065600,847
ENSG00000065609,10
ENSG00000065613,4992
ENSG00000065615,891
ENSG00000065618,5331
ENSG00000065621,2480
ENSG00000065665,630
ENSG00000065675,175
ENSG00000065717,3560
ENSG00000065802,1610
ENSG00000065809,3614
ENSG00000065833,492
ENSG00000065882,4857
ENSG00000065883,4499
ENSG00000065911,3001
ENSG00000065923,1518
ENSG00000065970,2037
ENSG00000065978,19852
ENSG00000065989,1447
ENSG00000066027,6703
ENSG00000066032,4
ENSG00000066044,5578
ENSG00000066056,5698
ENSG00000066084,2980
ENSG00000066117,4606
ENSG00000066135,3971
ENSG00000066136,4186
ENSG00000066185,211
ENSG00000066230,121
ENSG00000066248,411
ENSG00000066279,877
ENSG00000066294,964
ENSG00000066322,4907
ENSG00000066336,2144
ENSG00000066379,1018
ENSG00000066382,170
ENSG00000066405,18
ENSG00000066422,1456
ENSG00000066427,1953
ENSG00000066455,4373
ENSG00000066468,1820
ENSG00000066557,993
ENSG00000066583,1301
ENSG00000066629,1108
ENSG00000066651,524
ENSG00000066654,4825
ENSG00000066697,1116
ENSG00000066735,876
ENSG00000066739,2334
ENSG00000066777,4531
ENSG00000066813,1
ENSG00000066827,568
ENSG00000066855,1035
ENSG00000066923,243
ENSG00000066926,1723
ENSG00000066933,2729
ENSG00000067048,0
ENSG00000067057,4652
ENSG00000067064,1787
ENSG00000067066,4869
ENSG00000067082,21517
ENSG00000067113,3924
ENSG00000067141,5214
ENSG00000067167,8584
ENSG00000067177,910
ENSG00000067182,8585
ENSG00000067191,559
ENSG00000067208,1065
ENSG00000067221,1109
ENSG00000067225,71500
ENSG00000067248,4364
ENSG00000067334,3935
ENSG00000067365,1019
ENSG00000067369,3561
ENSG00000067445,852
ENSG00000067533,1860
ENSG00000067560,36337
ENSG00000067596,4358
ENSG00000067601,166
ENSG00000067606,1677
ENSG00000067646,0
ENSG00000067704,9470
ENSG00000067715,5806
ENSG00000067798,433
ENSG00000067829,2780
ENSG00000067836,4997
ENSG00000067840,343
ENSG00000067842,1
ENSG00000067900,3759
ENSG00000067955,2433
ENSG00000067992,551
ENSG00000068001,8060
ENSG00000068024,1099
ENSG00000068028,2470
ENSG00000068078,839
ENSG00000068079,3500
ENSG00000068097,1076
ENSG00000068120,6120
ENSG00000068137,6694
ENSG00000068305,3174
ENSG00000068308,6312
ENSG00000068323,4871
ENSG00000068354,1428
ENSG00000068366,1902
ENSG00000068383,1641
ENSG00000068394,1743
ENSG00000068400,4661
ENSG00000068438,2978
ENSG00000068489,366
ENSG00000068615,355
ENSG00000068650,1471
ENSG00000068654,3166
ENSG00000068697,25133
ENSG00000068724,2327
ENSG00000068745,8121
ENSG00000068781,13
ENSG00000068784,1050
ENSG00000068796,1272
ENSG00000068831,629
ENSG00000068878,4654
ENSG00000068885,1044
ENSG00000068903,3616
ENSG00000068912,3778
ENSG00000068971,1397
ENSG00000068976,127
ENSG00000068985,0
ENSG00000069011,9185
ENSG00000069018,0
ENSG00000069020,5968
ENSG00000069122,3888
ENSG00000069188,328
ENSG00000069206,0
ENSG00000069248,4980
ENSG00000069275,26221
ENSG00000069329,5308
ENSG00000069345,3251
ENSG00000069399,3840
ENSG00000069424,2196
ENSG00000069431,1144
ENSG00000069482,60
ENSG00000069493,1297
ENSG00000069509,952
ENSG00000069535,1965
ENSG00000069667,1313
ENSG00000069696,220
ENSG00000069702,2820
ENSG00000069712,343
ENSG00000069764,203
ENSG00000069812,366
ENSG00000069849,3339
ENSG00000069869,1438
ENSG00000069943,871
ENSG00000069956,2137
ENSG00000069966,1845
ENSG00000069974,1296
ENSG00000069998,1372
ENSG00000070010,2471
ENSG00000070018,2778
ENSG00000070019,47
ENSG00000070031,91
ENSG00000070047,4437
ENSG00000070061,3070
ENSG00000070081,1952
ENSG00000070087,5908
ENSG00000070159,2428
ENSG00000070182,79
ENSG00000070190,371
ENSG00000070193,171
ENSG00000070214,7894
ENSG00000070269,1130
ENSG00000070366,1628
ENSG00000070367,2817
ENSG00000070371,285
ENSG00000070388,23
ENSG00000070404,3204
ENSG00000070413,6102
ENSG00000070423,2246
ENSG00000070444,2174
ENSG00000070476,2294
ENSG00000070495,1448
ENSG00000070501,1438
ENSG00000070526,85
ENSG00000070540,2472
ENSG00000070601,37
ENSG00000070610,4293
ENSG00000070614,11826
ENSG00000070669,1906
ENSG00000070718,1313
ENSG00000070729,10
ENSG00000070731,1736
ENSG00000070748,0
ENSG00000070756,69203
ENSG00000070759,773
ENSG00000070761,1351
ENSG00000070770,3078
ENSG00000070778,1296
ENSG00000070785,1617
ENSG00000070808,101
ENSG00000070814,4788
ENSG00000070831,15836
ENSG00000070882,1145
ENSG00000070886,433
ENSG00000070915,21
ENSG00000070950,1265
ENSG00000070961,1895
ENSG00000070985,1
ENSG00000071051,3228
ENSG00000071054,7535
ENSG00000071073,2622
ENSG00000071082,62449
ENSG00000071127,21673
ENSG00000071189,2619
ENSG00000071203,0
ENSG00000071205,1060
ENSG00000071242,3727
ENSG00000071243,609
ENSG00000071246,2982
ENSG00000071282,13835
ENSG00000071462,6403
ENSG00000071537,8376
ENSG00000071539,560
ENSG00000071553,14214
ENSG00000071564,7918
ENSG00000071575,2473
ENSG00000071626,8387
ENSG00000071655,5469
ENSG00000071677,8
ENSG00000071794,2967
ENSG00000071859,4953
ENSG00000071889,2754
ENSG00000071894,5692
ENSG00000071909,27
ENSG00000071967,17189
ENSG00000071991,11
ENSG00000071994,2067
ENSG00000072041,20
ENSG00000072042,2987
ENSG00000072062,7882
ENSG00000072071,5813
ENSG00000072080,0
ENSG00000072110,25134
ENSG00000072121,2477
ENSG00000072133,218
ENSG00000072134,3078
ENSG00000072135,8037
ENSG00000072163,2749
ENSG00000072182,14
ENSG00000072195,2223
ENSG00000072201,893
ENSG00000072210,5344
ENSG00000072274,3700
ENSG00000072310,7440
ENSG00000072315,1
ENSG00000072364,8188
ENSG00000072401,967
ENSG00000072415,2028
ENSG00000072422,1543
