Gene stable ID,62407fba-fb7c-46cb-ab66-f2a49470a0e9
ENSG00000015171,10143
ENSG00000015285,7786
ENSG00000015413,71
ENSG00000015475,6754
ENSG00000015479,222
ENSG00000015520,16
ENSG00000015532,4089
ENSG00000015568,0
ENSG00000015592,15
ENSG00000015676,9188
ENSG00000016082,4
ENSG00000016391,2515
ENSG00000016402,292
ENSG00000016490,0
ENSG00000016602,16
ENSG00000016864,5345
ENSG00000017260,12202
ENSG00000017427,248
ENSG00000017483,2602
ENSG00000017797,8422
ENSG00000018189,2639
ENSG00000018236,282
ENSG00000018280,636
ENSG00000018408,9106
ENSG00000018510,2639
ENSG00000018607,0
ENSG00000018610,2606
ENSG00000018625,24
ENSG00000018699,2595
ENSG00000018869,567
ENSG00000019102,365
ENSG00000019144,3862
ENSG00000019169,317
ENSG00000019186,85
ENSG00000019485,972
ENSG00000019505,103
ENSG00000019549,3011
ENSG00000019582,673611
ENSG00000019991,205
ENSG00000019995,751
ENSG00000020129,5281
ENSG00000020181,1062
ENSG00000020219,4
ENSG00000020256,1442
ENSG00000020426,1263
ENSG00000020577,964
ENSG00000020633,10942
ENSG00000020922,5211
ENSG00000021300,5264
ENSG00000021355,7995
ENSG00000021461,1
ENSG00000021488,56
ENSG00000021574,2674
ENSG00000021645,182
ENSG00000021762,2895
ENSG00000021776,5159
ENSG00000021826,908
ENSG00000021852,3
ENSG00000022267,1435
ENSG00000022277,12070
ENSG00000022355,0
ENSG00000022556,4178
ENSG00000022567,3020
ENSG00000022840,25652
ENSG00000022976,532
ENSG00000023041,4338
ENSG00000023171,656
ENSG00000023191,12048
ENSG00000023228,9138
ENSG00000023287,7993
ENSG00000023318,12231
ENSG00000023330,5884
ENSG00000023445,16087
ENSG00000023516,2946
ENSG00000023572,1579
ENSG00000023608,693
ENSG00000023697,3031
ENSG00000023734,8792
ENSG00000023839,86
ENSG00000023892,9317
ENSG00000023902,21730
ENSG00000023909,1222
ENSG00000024048,5649
ENSG00000024422,3034
ENSG00000024526,1930
ENSG00000024862,4956
ENSG00000025039,913
ENSG00000025156,2250
ENSG00000025293,4292
ENSG00000025423,162
ENSG00000025434,4227
ENSG00000025708,16840
ENSG00000025770,6130
ENSG00000025772,7536
ENSG00000025796,15951
ENSG00000025800,8425
ENSG00000026025,112948
ENSG00000026036,107
ENSG00000026103,1500
ENSG00000026297,11875
ENSG00000026508,33250
ENSG00000026559,1725
ENSG00000026652,942
ENSG00000026751,5583
ENSG00000026950,7464
ENSG00000027001,1823
ENSG00000027075,5045
ENSG00000027644,20
ENSG00000027697,10040
ENSG00000027847,2285
ENSG00000027869,3089
ENSG00000028116,2060
ENSG00000028137,12958
ENSG00000028203,4272
ENSG00000028277,8282
ENSG00000028310,3086
ENSG00000028528,9807
ENSG00000028839,2434
ENSG00000029153,2192
ENSG00000029363,15233
ENSG00000029364,5698
ENSG00000029534,357
ENSG00000029559,122
ENSG00000029639,1809
ENSG00000029725,6830
ENSG00000029993,10311
ENSG00000030066,5470
ENSG00000030110,3416
ENSG00000030304,20
ENSG00000030419,1801
ENSG00000030582,24981
ENSG00000031003,2280
ENSG00000031081,5726
ENSG00000031691,559
ENSG00000031698,9853
ENSG00000031823,8681
ENSG00000032219,1848
ENSG00000032389,3502
ENSG00000032444,4583
ENSG00000032742,1544
ENSG00000033011,1773
ENSG00000033030,3775
ENSG00000033050,7510
ENSG00000033100,6117
ENSG00000033122,390
ENSG00000033170,2070
ENSG00000033178,7032
ENSG00000033327,4376
ENSG00000033627,3409
ENSG00000033800,4024
ENSG00000033867,973
ENSG00000034053,820
ENSG00000034152,5470
ENSG00000034239,162
ENSG00000034510,256957
ENSG00000034533,1177
ENSG00000034677,5988
ENSG00000034693,2069
ENSG00000034713,10580
ENSG00000034971,7
ENSG00000035115,9502
ENSG00000035141,10025
ENSG00000035403,6196
ENSG00000035499,880
ENSG00000035664,1946
ENSG00000035681,5799
ENSG00000035687,8569
ENSG00000035720,2973
ENSG00000035862,20111
ENSG00000035928,5020
ENSG00000036054,3091
ENSG00000036257,4109
ENSG00000036448,786
ENSG00000036473,0
ENSG00000036530,64
ENSG00000036549,4547
ENSG00000036565,9
ENSG00000036672,401
ENSG00000036828,2
ENSG00000037042,1271
ENSG00000037241,2197
ENSG00000037280,934
ENSG00000037474,8236
ENSG00000037637,2687
ENSG00000037749,281
ENSG00000037757,1251
ENSG00000037897,2354
ENSG00000037965,531
ENSG00000038002,2127
ENSG00000038210,5014
ENSG00000038219,5019
ENSG00000038274,10012
ENSG00000038295,74
ENSG00000038358,1395
ENSG00000038382,2489
ENSG00000038427,9736
ENSG00000038532,3776
ENSG00000038945,1794
ENSG00000039068,10539
ENSG00000039123,3589
ENSG00000039139,53
ENSG00000039319,2524
ENSG00000039523,4101
ENSG00000039537,21
ENSG00000039560,1978
ENSG00000039600,15
ENSG00000039650,2271
ENSG00000039987,22
ENSG00000040199,1409
ENSG00000040275,1241
ENSG00000040341,4723
ENSG00000040487,1323
ENSG00000040531,1382
ENSG00000040608,218
ENSG00000040633,4279
ENSG00000040731,0
ENSG00000040933,2916
ENSG00000041353,188
ENSG00000041357,22253
ENSG00000041515,39
ENSG00000041802,6249
ENSG00000041880,2979
ENSG00000041982,4968
ENSG00000041988,1327
ENSG00000042062,358
ENSG00000042088,2476
ENSG00000042286,2448
ENSG00000042304,0
ENSG00000042317,535
ENSG00000042429,4086
ENSG00000042445,3645
ENSG00000042493,21832
ENSG00000042753,12911
ENSG00000042781,19
ENSG00000042813,9
ENSG00000042832,68
ENSG00000042980,2853
ENSG00000043039,442
ENSG00000043093,3309
ENSG00000043143,4851
ENSG00000043355,155
ENSG00000043462,8469
ENSG00000043514,3537
ENSG00000043591,2
ENSG00000044012,0
ENSG00000044090,2988
ENSG00000044115,14231
ENSG00000044446,3091
ENSG00000044459,954
ENSG00000044524,54
ENSG00000044574,59371
ENSG00000046604,12631
ENSG00000046647,1572
ENSG00000046651,7685
ENSG00000046653,3167
ENSG00000046774,0
ENSG00000046889,228
ENSG00000047056,1774
ENSG00000047188,3288
ENSG00000047230,2420
ENSG00000047249,6036
ENSG00000047315,9938
ENSG00000047346,3820
ENSG00000047365,2974
ENSG00000047410,14904
ENSG00000047457,2581
ENSG00000047578,3018
ENSG00000047579,2935
ENSG00000047597,42
ENSG00000047617,54
ENSG00000047621,3441
ENSG00000047634,723
ENSG00000047644,3708
ENSG00000047648,154
ENSG00000047662,101
ENSG00000047849,17812
ENSG00000047932,5541
ENSG00000047936,63
ENSG00000048028,2856
ENSG00000048052,846
ENSG00000048140,2641
ENSG00000048162,3797
ENSG00000048342,1103
ENSG00000048392,2862
ENSG00000048405,2036
ENSG00000048462,1095
ENSG00000048471,2720
ENSG00000048540,3149
ENSG00000048544,5374
ENSG00000048545,4
ENSG00000048649,6837
ENSG00000048707,5281
ENSG00000048740,7117
ENSG00000048828,19056
ENSG00000048991,6329
ENSG00000049089,4141
ENSG00000049130,566
ENSG00000049167,599
ENSG00000049192,193
ENSG00000049239,5353
ENSG00000049245,6115
ENSG00000049246,2129
ENSG00000049247,86
ENSG00000049249,958
ENSG00000049283,2233
ENSG00000049323,2200
ENSG00000049449,10665
ENSG00000049540,1675
ENSG00000049541,5077
ENSG00000049618,8118
ENSG00000049656,8627
ENSG00000049759,1510
ENSG00000049768,5254
ENSG00000049769,555
ENSG00000049860,7605
ENSG00000049883,1148
ENSG00000050030,78
ENSG00000050130,2255
ENSG00000050165,2091
ENSG00000050327,1149
ENSG00000050344,5239
ENSG00000050393,6060
ENSG00000050405,4792
ENSG00000050426,5425
ENSG00000050438,196
ENSG00000050555,399
ENSG00000050628,273
ENSG00000050730,123
ENSG00000050748,3429
ENSG00000050767,130
ENSG00000050820,4200
ENSG00000051009,4648
ENSG00000051108,13083
ENSG00000051128,2884
ENSG00000051180,1771
ENSG00000051341,1312
ENSG00000051382,4431
ENSG00000051523,10672
ENSG00000051596,770
ENSG00000051620,13577
ENSG00000051825,1339
ENSG00000052126,2350
ENSG00000052344,6246
ENSG00000052723,3510
ENSG00000052749,3659
ENSG00000052795,1311
ENSG00000052802,3995
ENSG00000052841,11146
ENSG00000052850,101
ENSG00000053108,30
ENSG00000053254,4622
ENSG00000053328,19
ENSG00000053371,2088
ENSG00000053372,6938
ENSG00000053438,39
ENSG00000053501,2701
ENSG00000053524,113
ENSG00000053702,793
ENSG00000053747,853
ENSG00000053770,4348
ENSG00000053900,4473
ENSG00000053918,868
ENSG00000054116,9870
ENSG00000054118,15356
ENSG00000054148,5377
ENSG00000054179,600
ENSG00000054219,5748
ENSG00000054267,6462
ENSG00000054277,515
ENSG00000054282,3023
ENSG00000054356,27
ENSG00000054392,574
ENSG00000054523,3900
ENSG00000054598,19311
ENSG00000054611,4218
ENSG00000054654,8629
ENSG00000054690,367
ENSG00000054793,4568
ENSG00000054796,0
ENSG00000054803,5
ENSG00000054938,2245
ENSG00000054965,6114
ENSG00000054967,1665
ENSG00000054983,1297
ENSG00000055044,16389
ENSG00000055070,12270
ENSG00000055118,1100
ENSG00000055130,12819
ENSG00000055147,1812
ENSG00000055163,6703
ENSG00000055208,11138
ENSG00000055211,4743
ENSG00000055332,20917
ENSG00000055483,8103
ENSG00000055609,6220
ENSG00000055732,109
ENSG00000055813,5
ENSG00000055917,17726
ENSG00000055950,4358
ENSG00000055955,121
ENSG00000055957,55
ENSG00000056050,3053
ENSG00000056097,7115
ENSG00000056277,755
ENSG00000056291,1
ENSG00000056487,20
ENSG00000056558,6368
ENSG00000056586,4195
ENSG00000056736,1808
ENSG00000056972,3343
ENSG00000056998,1649
ENSG00000057019,4751
ENSG00000057149,0
ENSG00000057252,5136
ENSG00000057294,256
ENSG00000057468,30
ENSG00000057593,28
ENSG00000057608,33001
ENSG00000057657,2452
ENSG00000057663,3661
ENSG00000057704,1408
ENSG00000057757,8622
ENSG00000057935,3690
ENSG00000058056,4756
ENSG00000058063,6051
ENSG00000058085,5134
ENSG00000058091,5079
ENSG00000058262,44943
ENSG00000058272,4310
ENSG00000058335,567
ENSG00000058404,285
ENSG00000058453,1683
ENSG00000058600,4104
ENSG00000058668,8593
ENSG00000058673,10797
ENSG00000058729,2557
ENSG00000058799,4117
ENSG00000058804,5943
ENSG00000058866,119
ENSG00000059122,3782
ENSG00000059145,1261
ENSG00000059377,1038
ENSG00000059378,15435
ENSG00000059573,9844
ENSG00000059588,13503
ENSG00000059691,1498
ENSG00000059728,1627
ENSG00000059758,2333
ENSG00000059769,904
ENSG00000059804,3870
ENSG00000059915,353
ENSG00000060069,2224
ENSG00000060138,17694
ENSG00000060140,431
ENSG00000060237,23749
ENSG00000060303,3
ENSG00000060339,11618
ENSG00000060491,7533
ENSG00000060558,1124
ENSG00000060566,22
ENSG00000060642,1827
ENSG00000060656,8929
ENSG00000060688,5664
ENSG00000060709,27
ENSG00000060718,4355
ENSG00000060749,4564
ENSG00000060762,4635
ENSG00000060971,4655
ENSG00000060982,1027
ENSG00000061273,5320
ENSG00000061337,873
ENSG00000061455,72
ENSG00000061492,1
ENSG00000061656,348
ENSG00000061676,12001
ENSG00000061794,5972
ENSG00000061918,742
ENSG00000061936,5266
ENSG00000061938,9555
ENSG00000061987,3203
ENSG00000062038,10479
ENSG00000062096,0
ENSG00000062194,14095
ENSG00000062282,4220
ENSG00000062370,717
ENSG00000062485,9459
ENSG00000062524,180
ENSG00000062582,248
ENSG00000062598,5502
ENSG00000062650,5635
ENSG00000062716,16450
ENSG00000062725,4359
ENSG00000062822,3099
ENSG00000063015,3
ENSG00000063046,16597
ENSG00000063127,585
ENSG00000063169,1932
ENSG00000063176,901
ENSG00000063177,90176
ENSG00000063180,1023
ENSG00000063241,5790
ENSG00000063244,17634
ENSG00000063245,11616
ENSG00000063322,7467
ENSG00000063438,92
ENSG00000063515,0
ENSG00000063587,3131
ENSG00000063601,4497
ENSG00000063660,8073
ENSG00000063761,1081
ENSG00000063854,5090
ENSG00000063978,6024
ENSG00000064012,3935
ENSG00000064042,8437
ENSG00000064102,3445
ENSG00000064115,6887
ENSG00000064195,421
ENSG00000064199,1046
ENSG00000064201,630
ENSG00000064205,196
ENSG00000064218,76
ENSG00000064225,2150
ENSG00000064270,109
ENSG00000064300,2166
ENSG00000064309,660
ENSG00000064313,3306
ENSG00000064393,3338
ENSG00000064419,8025
ENSG00000064489,56
ENSG00000064490,5523
ENSG00000064545,3384
ENSG00000064547,3328
ENSG00000064601,11171
ENSG00000064607,4365
ENSG00000064651,4537
ENSG00000064652,980
ENSG00000064655,2816
ENSG00000064666,19152
ENSG00000064687,2951
ENSG00000064692,255
ENSG00000064703,1997
ENSG00000064726,7036
ENSG00000064763,1333
ENSG00000064787,86
ENSG00000064835,1
ENSG00000064886,1958
ENSG00000064932,3624
ENSG00000064933,1990
ENSG00000064961,13536
ENSG00000064989,917
ENSG00000064995,5669
ENSG00000064999,2783
ENSG00000065000,8418
ENSG00000065029,4287
ENSG00000065054,7874
ENSG00000065057,3122
ENSG00000065060,2412
ENSG00000065135,7384
ENSG00000065150,15506
ENSG00000065154,7062
ENSG00000065183,5615
ENSG00000065243,2886
ENSG00000065268,3620
ENSG00000065308,2920
ENSG00000065320,221
ENSG00000065325,4
ENSG00000065328,2314
ENSG00000065357,13351
ENSG00000065361,14279
ENSG00000065371,2979
ENSG00000065413,3731
ENSG00000065427,29023
ENSG00000065457,2177
ENSG00000065485,2247
ENSG00000065491,2155
ENSG00000065518,17185
ENSG00000065526,6329
ENSG00000065534,14581
ENSG00000065548,8846
ENSG00000065559,2618
ENSG00000065600,2276
ENSG00000065609,5
ENSG00000065613,4956
ENSG00000065615,1843
ENSG00000065618,3809
ENSG00000065621,1899
ENSG00000065665,1981
ENSG00000065675,1843
ENSG00000065717,1039
ENSG00000065802,1411
ENSG00000065809,11814
ENSG00000065833,2754
ENSG00000065882,16661
ENSG00000065883,6588
ENSG00000065911,6998
ENSG00000065923,2141
ENSG00000065970,4350
ENSG00000065978,56027
ENSG00000065989,1296
ENSG00000066027,6773
ENSG00000066032,3
ENSG00000066044,13487
ENSG00000066056,1630
ENSG00000066084,3627
ENSG00000066117,6575
ENSG00000066135,6880
ENSG00000066136,8722
ENSG00000066185,104
ENSG00000066230,8
ENSG00000066248,571
ENSG00000066279,3322
ENSG00000066294,3145
ENSG00000066322,9010
ENSG00000066336,4306
ENSG00000066379,3030
ENSG00000066382,100
ENSG00000066405,20
ENSG00000066422,2270
ENSG00000066427,2589
ENSG00000066455,5476
ENSG00000066468,1505
ENSG00000066557,1706
ENSG00000066583,1486
ENSG00000066629,237
ENSG00000066651,1876
ENSG00000066654,7217
ENSG00000066697,3599
ENSG00000066735,171
ENSG00000066739,2596
ENSG00000066777,6969
ENSG00000066813,1
ENSG00000066827,9498
ENSG00000066855,4292
ENSG00000066923,986
ENSG00000066926,1650
ENSG00000066933,3908
ENSG00000067048,2
ENSG00000067057,10074
ENSG00000067064,8418
ENSG00000067066,17204
ENSG00000067082,7409
ENSG00000067113,2350
ENSG00000067141,3184
ENSG00000067167,27078
ENSG00000067177,1478
ENSG00000067182,11891
ENSG00000067191,1332
ENSG00000067208,666
ENSG00000067221,1943
ENSG00000067225,146246
ENSG00000067248,2431
ENSG00000067334,7178
ENSG00000067365,1062
ENSG00000067369,2343
ENSG00000067445,383
ENSG00000067533,3474
ENSG00000067560,48899
ENSG00000067596,4805
ENSG00000067601,195
ENSG00000067606,1536
ENSG00000067646,0
ENSG00000067704,13201
ENSG00000067715,68
ENSG00000067798,225
ENSG00000067829,8734
ENSG00000067836,3202
ENSG00000067840,227
ENSG00000067842,48
ENSG00000067900,4189
ENSG00000067955,6228
ENSG00000067992,936
ENSG00000068001,5148
ENSG00000068024,1217
ENSG00000068028,4157
ENSG00000068078,1095
ENSG00000068079,8126
ENSG00000068097,1947
ENSG00000068120,5967
ENSG00000068137,1555
ENSG00000068305,4769
ENSG00000068308,8909
ENSG00000068323,5634
ENSG00000068354,1844
ENSG00000068366,3490
ENSG00000068383,1081
ENSG00000068394,2236
ENSG00000068400,5399
ENSG00000068438,4866
ENSG00000068489,3028
ENSG00000068615,77
ENSG00000068650,1189
ENSG00000068654,3623
ENSG00000068697,31839
ENSG00000068724,6641
ENSG00000068745,9538
ENSG00000068781,1
ENSG00000068784,2283
ENSG00000068796,943
ENSG00000068831,5949
ENSG00000068878,19076
ENSG00000068885,2412
ENSG00000068903,4466
ENSG00000068912,5500
ENSG00000068971,1448
ENSG00000068976,179
ENSG00000068985,0
ENSG00000069011,3720
ENSG00000069018,0
ENSG00000069020,2737
ENSG00000069122,1433
ENSG00000069188,1002
ENSG00000069206,0
ENSG00000069248,5462
ENSG00000069275,41674
ENSG00000069329,13204
ENSG00000069345,9506
ENSG00000069399,6508
ENSG00000069424,6062
ENSG00000069431,245
ENSG00000069482,858
ENSG00000069493,9884
ENSG00000069509,1937
ENSG00000069535,2044
ENSG00000069667,1575
ENSG00000069696,65
ENSG00000069702,2346
ENSG00000069712,250
ENSG00000069764,24
ENSG00000069812,170
ENSG00000069849,12855
ENSG00000069869,1280
ENSG00000069943,1709
ENSG00000069956,4397
ENSG00000069966,2877
ENSG00000069974,4556
ENSG00000069998,6363
ENSG00000070010,8846
ENSG00000070018,8383
ENSG00000070019,385
ENSG00000070031,265
ENSG00000070047,5112
ENSG00000070061,4255
ENSG00000070081,10018
ENSG00000070087,16913
ENSG00000070159,1799
ENSG00000070182,39
ENSG00000070190,3066
ENSG00000070193,42
ENSG00000070214,11965
ENSG00000070269,2659
ENSG00000070366,755
ENSG00000070367,3645
ENSG00000070371,861
ENSG00000070388,2
ENSG00000070404,1245
ENSG00000070413,13919
ENSG00000070423,2244
ENSG00000070444,1397
ENSG00000070476,3590
ENSG00000070495,3510
ENSG00000070501,3291
ENSG00000070526,62
ENSG00000070540,2088
ENSG00000070601,19
ENSG00000070610,6188
ENSG00000070614,5399
ENSG00000070669,7127
ENSG00000070718,2273
ENSG00000070729,4
ENSG00000070731,917
ENSG00000070748,0
ENSG00000070756,201772
ENSG00000070759,1153
ENSG00000070761,4705
ENSG00000070770,8998
ENSG00000070778,809
ENSG00000070785,3531
ENSG00000070808,17
ENSG00000070814,8139
ENSG00000070831,19626
ENSG00000070882,3787
ENSG00000070886,15
ENSG00000070915,309
ENSG00000070950,3184
ENSG00000070961,3989
ENSG00000070985,4
ENSG00000071051,5844
ENSG00000071054,11407
ENSG00000071073,3779
ENSG00000071082,73888
ENSG00000071127,26400
ENSG00000071189,2503
ENSG00000071203,0
ENSG00000071205,849
ENSG00000071242,1385
ENSG00000071243,1295
ENSG00000071246,1145
ENSG00000071282,5630
ENSG00000071462,14884
ENSG00000071537,6338
ENSG00000071539,2215
ENSG00000071553,19488
ENSG00000071564,10225
ENSG00000071575,6008
ENSG00000071626,13346
ENSG00000071655,6553
ENSG00000071677,0
ENSG00000071794,5980
ENSG00000071859,7208
ENSG00000071889,5116
ENSG00000071894,5755
ENSG00000071909,205
ENSG00000071967,8767
ENSG00000071991,6078
ENSG00000071994,6476
ENSG00000072041,12
ENSG00000072042,7490
ENSG00000072062,12462
ENSG00000072071,6390
ENSG00000072080,0
ENSG00000072110,21165
ENSG00000072121,2958
ENSG00000072133,373
ENSG00000072134,1301
ENSG00000072135,10577
ENSG00000072163,2287
ENSG00000072182,21
ENSG00000072195,3437
ENSG00000072201,1857
ENSG00000072210,2739
ENSG00000072274,7790
ENSG00000072310,12133
