Gene stable ID,7b05de56-fe4a-4188-a1c7-673d404177c2
ENSG00000008988,31686
ENSG00000009307,40380
ENSG00000009335,6514
ENSG00000009413,1355
ENSG00000009694,114
ENSG00000009709,6
ENSG00000009724,182
ENSG00000009765,0
ENSG00000009780,1391
ENSG00000009790,147
ENSG00000009830,1330
ENSG00000009844,1915
ENSG00000009950,27
ENSG00000009954,10094
ENSG00000010017,3544
ENSG00000010030,130
ENSG00000010072,718
ENSG00000010165,2303
ENSG00000010219,985
ENSG00000010244,9461
ENSG00000010256,6840
ENSG00000010270,1429
ENSG00000010278,24840
ENSG00000010282,1
ENSG00000010292,4529
ENSG00000010295,938
ENSG00000010310,196
ENSG00000010318,511
ENSG00000010319,753
ENSG00000010322,6552
ENSG00000010327,1812
ENSG00000010361,1679
ENSG00000010379,5
ENSG00000010404,35800
ENSG00000010438,0
ENSG00000010539,479
ENSG00000010610,1471
ENSG00000010626,973
ENSG00000010671,286
ENSG00000010704,918
ENSG00000010803,2736
ENSG00000010810,1428
ENSG00000010818,2725
ENSG00000010932,81
ENSG00000011007,3619
ENSG00000011009,2533
ENSG00000011021,1408
ENSG00000011028,14370
ENSG00000011052,36
ENSG00000011083,6
ENSG00000011105,5825
ENSG00000011114,4090
ENSG00000011132,559
ENSG00000011143,864
ENSG00000011198,724
ENSG00000011201,1361
ENSG00000011243,3053
ENSG00000011258,1616
ENSG00000011260,2665
ENSG00000011275,4614
ENSG00000011295,2179
ENSG00000011304,15275
ENSG00000011332,89
ENSG00000011347,1939
ENSG00000011376,1679
ENSG00000011405,7517
ENSG00000011422,1833
ENSG00000011426,1109
ENSG00000011451,4401
ENSG00000011454,4749
ENSG00000011465,89661
ENSG00000011478,796
ENSG00000011485,2998
ENSG00000011523,2951
ENSG00000011566,2610
ENSG00000011590,11
ENSG00000011600,1391
ENSG00000011638,1118
ENSG00000011677,2
ENSG00000012048,1222
ENSG00000012061,3584
ENSG00000012124,560
ENSG00000012171,1539
ENSG00000012174,2267
ENSG00000012211,1048
ENSG00000012223,689
ENSG00000012232,3072
ENSG00000012504,0
ENSG00000012660,17410
ENSG00000012779,1261
ENSG00000012817,0
ENSG00000012822,5298
ENSG00000012963,4482
ENSG00000012983,3595
ENSG00000013016,1781
ENSG00000013275,4277
ENSG00000013288,5992
ENSG00000013293,1
ENSG00000013297,217
ENSG00000013306,6203
ENSG00000013364,10517
ENSG00000013374,5134
ENSG00000013375,1491
ENSG00000013392,350
ENSG00000013441,4890
ENSG00000013503,809
ENSG00000013523,3649
ENSG00000013561,4748
ENSG00000013563,1971
ENSG00000013573,594
ENSG00000013583,5702
ENSG00000013588,12579
ENSG00000013619,226
ENSG00000013725,85
ENSG00000013810,1027
ENSG00000014123,1938
ENSG00000014138,707
ENSG00000014164,1410
ENSG00000014216,7637
ENSG00000014257,54
ENSG00000014641,5989
ENSG00000014824,6352
ENSG00000014914,1840
ENSG00000014919,2585
ENSG00000015133,6046
ENSG00000015153,900
ENSG00000015171,8922
ENSG00000015285,254
ENSG00000015413,32
ENSG00000015475,615
ENSG00000015479,395
ENSG00000015520,382
ENSG00000015532,2692
ENSG00000015568,1
ENSG00000015592,0
ENSG00000015676,8306
ENSG00000016082,7
ENSG00000016391,4583
ENSG00000016402,213
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,4481
ENSG00000017260,8484
ENSG00000017427,132
ENSG00000017483,876
ENSG00000017797,6240
ENSG00000018189,2012
ENSG00000018236,4682
ENSG00000018280,356
ENSG00000018408,7118
ENSG00000018510,7372
ENSG00000018607,0
ENSG00000018610,2573
ENSG00000018625,64
ENSG00000018699,1369
ENSG00000018869,89
ENSG00000019102,6
ENSG00000019144,4833
ENSG00000019169,37
ENSG00000019186,6569
ENSG00000019485,1372
ENSG00000019505,23476
ENSG00000019549,1567
ENSG00000019582,43833
ENSG00000019991,455
ENSG00000019995,1784
ENSG00000020129,2757
ENSG00000020181,3200
ENSG00000020219,1
ENSG00000020256,1562
ENSG00000020426,1157
ENSG00000020577,1051
ENSG00000020633,240
ENSG00000020922,1348
ENSG00000021300,635
ENSG00000021355,4143
ENSG00000021461,4
ENSG00000021488,15
ENSG00000021574,2353
ENSG00000021645,2183
ENSG00000021762,2334
ENSG00000021776,4356
ENSG00000021826,259
ENSG00000021852,0
ENSG00000022267,1682
ENSG00000022277,6762
ENSG00000022355,226
ENSG00000022556,13
ENSG00000022567,384
ENSG00000022840,8197
ENSG00000022976,617
ENSG00000023041,2251
ENSG00000023171,59
ENSG00000023191,9091
ENSG00000023228,5814
ENSG00000023287,4102
ENSG00000023318,3111
ENSG00000023330,1793
ENSG00000023445,373
ENSG00000023516,7307
ENSG00000023572,352
ENSG00000023608,375
ENSG00000023697,1539
ENSG00000023734,6782
ENSG00000023839,33
ENSG00000023892,1116
ENSG00000023902,1564
ENSG00000023909,1837
ENSG00000024048,4141
ENSG00000024422,9478
ENSG00000024526,345
ENSG00000024862,658
ENSG00000025039,328
ENSG00000025156,779
ENSG00000025293,7385
ENSG00000025423,663
ENSG00000025434,1182
ENSG00000025708,2551
ENSG00000025770,2223
ENSG00000025772,4077
ENSG00000025796,5425
ENSG00000025800,7119
ENSG00000026025,67366
ENSG00000026036,92
ENSG00000026103,671
ENSG00000026297,1963
ENSG00000026508,56714
ENSG00000026559,11
ENSG00000026652,1029
ENSG00000026751,128
ENSG00000026950,1409
ENSG00000027001,1289
ENSG00000027075,699
ENSG00000027644,29
ENSG00000027697,2669
ENSG00000027847,1271
ENSG00000027869,20
ENSG00000028116,992
ENSG00000028137,949
ENSG00000028203,5107
ENSG00000028277,221
ENSG00000028310,2440
ENSG00000028528,8166
ENSG00000028839,468
ENSG00000029153,408
ENSG00000029363,7068
ENSG00000029364,8741
ENSG00000029534,58
ENSG00000029559,73
ENSG00000029639,295
ENSG00000029725,6317
ENSG00000029993,961
ENSG00000030066,3869
ENSG00000030110,1236
ENSG00000030304,2
ENSG00000030419,786
ENSG00000030582,16835
ENSG00000031003,2640
ENSG00000031081,2482
ENSG00000031691,447
ENSG00000031698,9136
ENSG00000031823,3233
ENSG00000032219,1915
ENSG00000032389,1115
ENSG00000032444,3897
ENSG00000032742,1078
ENSG00000033011,1323
ENSG00000033030,1661
ENSG00000033050,4178
ENSG00000033100,3872
ENSG00000033122,39
ENSG00000033170,3737
ENSG00000033178,5288
ENSG00000033327,2400
ENSG00000033627,4280
ENSG00000033800,3614
ENSG00000033867,1858
ENSG00000034053,647
ENSG00000034152,913
ENSG00000034239,22
ENSG00000034510,25171
ENSG00000034533,710
ENSG00000034677,2658
ENSG00000034693,673
ENSG00000034713,5500
ENSG00000034971,1
ENSG00000035115,2495
ENSG00000035141,1661
ENSG00000035403,12396
ENSG00000035499,160
ENSG00000035664,496
ENSG00000035681,1999
ENSG00000035687,6034
ENSG00000035720,31
ENSG00000035862,57508
ENSG00000035928,5719
ENSG00000036054,2616
ENSG00000036257,5964
ENSG00000036448,49
ENSG00000036473,0
ENSG00000036530,156
ENSG00000036549,4073
ENSG00000036565,1
ENSG00000036672,23
ENSG00000036828,0
ENSG00000037042,1427
ENSG00000037241,1051
ENSG00000037280,634
ENSG00000037474,5715
ENSG00000037637,2512
ENSG00000037749,1849
ENSG00000037757,1366
ENSG00000037897,620
ENSG00000037965,274
ENSG00000038002,4115
ENSG00000038210,1166
ENSG00000038219,6123
ENSG00000038274,3660
ENSG00000038295,300
ENSG00000038358,2689
ENSG00000038382,8905
ENSG00000038427,78113
ENSG00000038532,2258
ENSG00000038945,2282
ENSG00000039068,36845
ENSG00000039123,4637
ENSG00000039139,2734
ENSG00000039319,4089
ENSG00000039523,4806
ENSG00000039537,1
ENSG00000039560,7125
ENSG00000039600,15
ENSG00000039650,1226
ENSG00000039987,0
ENSG00000040199,1595
ENSG00000040275,663
ENSG00000040341,3415
ENSG00000040487,1073
ENSG00000040531,978
ENSG00000040608,192
ENSG00000040633,2014
ENSG00000040731,1
ENSG00000040933,2240
ENSG00000041353,6157
ENSG00000041357,4670
ENSG00000041515,14
ENSG00000041802,2576
ENSG00000041880,2376
ENSG00000041982,41432
ENSG00000041988,702
ENSG00000042062,186
ENSG00000042088,1317
ENSG00000042286,1501
ENSG00000042304,0
ENSG00000042317,728
ENSG00000042429,1234
ENSG00000042445,7886
ENSG00000042493,15203
ENSG00000042753,2307
ENSG00000042781,16
ENSG00000042813,0
ENSG00000042832,40
ENSG00000042980,3137
ENSG00000043039,392
ENSG00000043093,2425
ENSG00000043143,8549
ENSG00000043355,2
ENSG00000043462,643
ENSG00000043514,874
ENSG00000043591,72
ENSG00000044012,0
ENSG00000044090,3345
ENSG00000044115,24868
ENSG00000044446,1944
ENSG00000044459,1188
ENSG00000044524,882
ENSG00000044574,25784
ENSG00000046604,9891
ENSG00000046647,1377
ENSG00000046651,3046
ENSG00000046653,625
ENSG00000046774,22
ENSG00000046889,537
ENSG00000047056,1591
ENSG00000047188,2957
ENSG00000047230,2062
ENSG00000047249,3201
ENSG00000047315,7211
ENSG00000047346,6090
ENSG00000047365,918
ENSG00000047410,10863
ENSG00000047457,68
ENSG00000047578,2504
ENSG00000047579,1001
ENSG00000047597,134
ENSG00000047617,258
ENSG00000047621,1121
ENSG00000047634,728
ENSG00000047644,3867
ENSG00000047648,160
ENSG00000047662,39
ENSG00000047849,24330
ENSG00000047932,3187
ENSG00000047936,6
ENSG00000048028,1142
ENSG00000048052,267
ENSG00000048140,2028
ENSG00000048162,494
ENSG00000048342,1945
ENSG00000048392,4309
ENSG00000048405,1394
ENSG00000048462,11
ENSG00000048471,3591
ENSG00000048540,3675
ENSG00000048544,2456
ENSG00000048545,12
ENSG00000048649,8583
ENSG00000048707,8224
ENSG00000048740,1350
ENSG00000048828,14103
ENSG00000048991,3529
ENSG00000049089,167
ENSG00000049130,8817
ENSG00000049167,517
ENSG00000049192,515
ENSG00000049239,9429
ENSG00000049245,6452
ENSG00000049246,4305
ENSG00000049247,2
ENSG00000049249,12
ENSG00000049283,1415
ENSG00000049323,10160
ENSG00000049449,5254
ENSG00000049540,12201
ENSG00000049541,1696
ENSG00000049618,6469
ENSG00000049656,7132
ENSG00000049759,9312
ENSG00000049768,173
ENSG00000049769,1123
ENSG00000049860,6265
ENSG00000049883,913
ENSG00000050030,252
ENSG00000050130,2997
ENSG00000050165,6897
ENSG00000050327,1125
ENSG00000050344,1179
ENSG00000050393,3061
ENSG00000050405,9437
ENSG00000050426,3787
ENSG00000050438,6784
ENSG00000050555,355
ENSG00000050628,5614
ENSG00000050730,8
ENSG00000050748,4047
ENSG00000050767,29
ENSG00000050820,2657
ENSG00000051009,2292
ENSG00000051108,5028
ENSG00000051128,2057
ENSG00000051180,307
ENSG00000051341,184
ENSG00000051382,3790
ENSG00000051523,2099
ENSG00000051596,528
ENSG00000051620,2732
ENSG00000051825,923
ENSG00000052126,2560
ENSG00000052344,4832
ENSG00000052723,2358
ENSG00000052749,2185
ENSG00000052795,2971
ENSG00000052802,2585
ENSG00000052841,11636
ENSG00000052850,80
ENSG00000053108,636
ENSG00000053254,6082
ENSG00000053328,21
ENSG00000053371,4271
ENSG00000053372,2079
ENSG00000053438,19
ENSG00000053501,727
ENSG00000053524,37
ENSG00000053702,266
ENSG00000053747,5448
ENSG00000053770,2777
ENSG00000053900,1537
ENSG00000053918,269
ENSG00000054116,2928
ENSG00000054118,12198
ENSG00000054148,3162
ENSG00000054179,883
ENSG00000054219,85
ENSG00000054267,4093
ENSG00000054277,532
ENSG00000054282,1472
ENSG00000054356,932
ENSG00000054392,2521
ENSG00000054523,4854
ENSG00000054598,1765
ENSG00000054611,2042
ENSG00000054654,14767
ENSG00000054690,1163
ENSG00000054793,14616
ENSG00000054796,0
ENSG00000054803,60
ENSG00000054938,14
ENSG00000054965,11700
ENSG00000054967,517
ENSG00000054983,4084
ENSG00000055044,2953
ENSG00000055070,10619
ENSG00000055118,19
ENSG00000055130,4511
ENSG00000055147,2032
ENSG00000055163,7213
ENSG00000055208,4950
ENSG00000055211,2617
ENSG00000055332,5800
ENSG00000055483,4302
ENSG00000055609,10491
ENSG00000055732,868
ENSG00000055813,453
ENSG00000055917,12019
ENSG00000055950,2775
ENSG00000055955,10
ENSG00000055957,0
ENSG00000056050,1542
ENSG00000056097,8795
ENSG00000056277,637
ENSG00000056291,8
ENSG00000056487,496
ENSG00000056558,442
ENSG00000056586,5265
ENSG00000056736,3385
ENSG00000056972,813
ENSG00000056998,322
ENSG00000057019,2379
ENSG00000057149,1
ENSG00000057252,2254
ENSG00000057294,1718
ENSG00000057468,11
ENSG00000057593,30
ENSG00000057608,13586
ENSG00000057657,970
ENSG00000057663,1246
ENSG00000057704,473
ENSG00000057757,2831
ENSG00000057935,3269
ENSG00000058056,2149
ENSG00000058063,1697
ENSG00000058085,2308
ENSG00000058091,2624
ENSG00000058262,21798
ENSG00000058272,4852
ENSG00000058335,42
ENSG00000058404,878
ENSG00000058453,1566
ENSG00000058600,3006
ENSG00000058668,15700
ENSG00000058673,9994
ENSG00000058729,1507
ENSG00000058799,2902
ENSG00000058804,3191
ENSG00000058866,48
ENSG00000059122,1963
ENSG00000059145,654
ENSG00000059377,789
ENSG00000059378,1675
ENSG00000059573,6491
ENSG00000059588,2902
ENSG00000059691,906
ENSG00000059728,4262
ENSG00000059758,2230
ENSG00000059769,611
ENSG00000059804,1113
ENSG00000059915,209
ENSG00000060069,1440
ENSG00000060138,1858
ENSG00000060140,121
ENSG00000060237,16178
ENSG00000060303,0
ENSG00000060339,4911
ENSG00000060491,2480
ENSG00000060558,806
ENSG00000060566,0
ENSG00000060642,2005
ENSG00000060656,10450
ENSG00000060688,2925
ENSG00000060709,41
ENSG00000060718,45315
ENSG00000060749,5333
ENSG00000060762,829
ENSG00000060971,2317
ENSG00000060982,2351
ENSG00000061273,4802
ENSG00000061337,738
ENSG00000061455,586
ENSG00000061492,0
ENSG00000061656,173
ENSG00000061676,14957
ENSG00000061794,2457
ENSG00000061918,976
ENSG00000061936,2217
ENSG00000061938,3894
ENSG00000061987,3853
ENSG00000062038,538
ENSG00000062096,2
ENSG00000062194,6998
ENSG00000062282,269
ENSG00000062370,631
ENSG00000062485,8780
ENSG00000062524,2
ENSG00000062582,193
ENSG00000062598,5923
ENSG00000062650,6015
ENSG00000062716,8952
ENSG00000062725,4314
ENSG00000062822,1078
ENSG00000063015,2
ENSG00000063046,33680
ENSG00000063127,6
ENSG00000063169,966
ENSG00000063176,790
ENSG00000063177,32349
ENSG00000063180,2209
ENSG00000063241,1463
ENSG00000063244,7519
ENSG00000063245,5015
ENSG00000063322,5090
ENSG00000063438,338
ENSG00000063515,0
ENSG00000063587,2519
ENSG00000063601,4118
ENSG00000063660,7621
ENSG00000063761,543
ENSG00000063854,1751
ENSG00000063978,5379
ENSG00000064012,939
ENSG00000064042,5660
ENSG00000064102,1221
ENSG00000064115,2874
ENSG00000064195,679
ENSG00000064199,442
ENSG00000064201,40
ENSG00000064205,5715
ENSG00000064218,24
ENSG00000064225,274
ENSG00000064270,3076
ENSG00000064300,110
ENSG00000064309,4545
ENSG00000064313,2636
ENSG00000064393,14857
ENSG00000064419,3872
ENSG00000064489,73
ENSG00000064490,1733
ENSG00000064545,1055
ENSG00000064547,902
ENSG00000064601,7874
ENSG00000064607,3351
ENSG00000064651,15349
ENSG00000064652,1992
ENSG00000064655,611
ENSG00000064666,8928
ENSG00000064687,1887
ENSG00000064692,306
ENSG00000064703,1497
ENSG00000064726,5433
ENSG00000064763,2261
ENSG00000064787,1245
ENSG00000064835,4
ENSG00000064886,1006
ENSG00000064932,3889
ENSG00000064933,996
ENSG00000064961,3888
ENSG00000064989,1754
ENSG00000064995,1459
ENSG00000064999,3271
ENSG00000065000,8234
ENSG00000065029,2146
ENSG00000065054,2654
ENSG00000065057,451
ENSG00000065060,2534
ENSG00000065135,6696
ENSG00000065150,10911
ENSG00000065154,8298
ENSG00000065183,2558
ENSG00000065243,3522
ENSG00000065268,1136
ENSG00000065308,4439
ENSG00000065320,182
ENSG00000065325,7
ENSG00000065328,353
ENSG00000065357,1315
ENSG00000065361,20610
ENSG00000065371,2
ENSG00000065413,1044
ENSG00000065427,7086
ENSG00000065457,2033
ENSG00000065485,1080
ENSG00000065491,847
ENSG00000065518,4219
ENSG00000065526,8932
ENSG00000065534,11029
ENSG00000065548,3334
ENSG00000065559,1204
ENSG00000065600,582
ENSG00000065609,27
ENSG00000065613,6203
ENSG00000065615,862
ENSG00000065618,608
ENSG00000065621,3113
ENSG00000065665,533
ENSG00000065675,17
ENSG00000065717,1441
ENSG00000065802,2365
ENSG00000065809,5480
ENSG00000065833,245
ENSG00000065882,5485
ENSG00000065883,4084
ENSG00000065911,1797
ENSG00000065923,2226
ENSG00000065970,3893
ENSG00000065978,12418
ENSG00000065989,771
ENSG00000066027,4269
ENSG00000066032,748
ENSG00000066044,4906
ENSG00000066056,1261
ENSG00000066084,4233
ENSG00000066117,4039
ENSG00000066135,4805
ENSG00000066136,2153
ENSG00000066185,208
ENSG00000066230,30
ENSG00000066248,181
ENSG00000066279,792
ENSG00000066294,707
ENSG00000066322,4973
ENSG00000066336,577
ENSG00000066379,920
ENSG00000066382,361
ENSG00000066405,18
ENSG00000066422,1988
ENSG00000066427,1474
ENSG00000066455,4369
ENSG00000066468,2557
ENSG00000066557,1043
ENSG00000066583,2195
ENSG00000066629,2058
ENSG00000066651,382
ENSG00000066654,4551
ENSG00000066697,903
ENSG00000066735,226
ENSG00000066739,4425
ENSG00000066777,10216
ENSG00000066813,4
ENSG00000066827,898
ENSG00000066855,1125
ENSG00000066923,277
ENSG00000066926,1883
ENSG00000066933,4756
ENSG00000067048,0
ENSG00000067057,3011
ENSG00000067064,2572
ENSG00000067066,3615
ENSG00000067082,8296
ENSG00000067113,1355
ENSG00000067141,7340
ENSG00000067167,15520
ENSG00000067177,3781
ENSG00000067182,6365
ENSG00000067191,428
ENSG00000067208,1564
ENSG00000067221,674
ENSG00000067225,58244
ENSG00000067248,3806
ENSG00000067334,3666
ENSG00000067365,495
ENSG00000067369,5510
ENSG00000067445,759
ENSG00000067533,2064
ENSG00000067560,32638
ENSG00000067596,5316
ENSG00000067601,117
ENSG00000067606,1107
ENSG00000067646,0
ENSG00000067704,7134
ENSG00000067715,2406
ENSG00000067798,3330
ENSG00000067829,4147
ENSG00000067836,1865
ENSG00000067840,105
ENSG00000067842,2
ENSG00000067900,5250
ENSG00000067955,4195
ENSG00000067992,1098
ENSG00000068001,2108
ENSG00000068024,1217
ENSG00000068028,1044
ENSG00000068078,2203
ENSG00000068079,2061
ENSG00000068097,1560
ENSG00000068120,4161
ENSG00000068137,2230
ENSG00000068305,4847
ENSG00000068308,7262
ENSG00000068323,5858
ENSG00000068354,2067
ENSG00000068366,1793
ENSG00000068383,1278
ENSG00000068394,2415
ENSG00000068400,5891
ENSG00000068438,3790
ENSG00000068489,390
ENSG00000068615,1120
ENSG00000068650,2176
ENSG00000068654,4928
ENSG00000068697,33593
ENSG00000068724,1678
ENSG00000068745,4356
ENSG00000068781,9
ENSG00000068784,1541
ENSG00000068796,2235
ENSG00000068831,90
ENSG00000068878,4573
ENSG00000068885,1195
ENSG00000068903,3272
ENSG00000068912,5401
ENSG00000068971,667
ENSG00000068976,35
ENSG00000068985,0
ENSG00000069011,26
ENSG00000069018,0
ENSG00000069020,6234
ENSG00000069122,2355
ENSG00000069188,181
ENSG00000069206,0
ENSG00000069248,4104
ENSG00000069275,30490
ENSG00000069329,11753
ENSG00000069345,5292
ENSG00000069399,2247
ENSG00000069424,743
ENSG00000069431,766
ENSG00000069482,8
ENSG00000069493,951
ENSG00000069509,1091
ENSG00000069535,7675
ENSG00000069667,2103
ENSG00000069696,31
ENSG00000069702,916
ENSG00000069712,677
ENSG00000069764,10
ENSG00000069812,1494
ENSG00000069849,4430
ENSG00000069869,2296
ENSG00000069943,736
ENSG00000069956,2671
ENSG00000069966,2888
ENSG00000069974,2340
ENSG00000069998,1540
ENSG00000070010,2960
ENSG00000070018,3816
ENSG00000070019,12
ENSG00000070031,23
ENSG00000070047,4382
ENSG00000070061,3670
ENSG00000070081,10969
ENSG00000070087,6310
ENSG00000070159,1339
ENSG00000070182,97
ENSG00000070190,68
ENSG00000070193,17550
ENSG00000070214,14610
ENSG00000070269,1374
ENSG00000070366,1910
ENSG00000070367,4274
ENSG00000070371,244
ENSG00000070388,6
ENSG00000070404,1401
ENSG00000070413,10605
ENSG00000070423,893
ENSG00000070444,1404
ENSG00000070476,1671
ENSG00000070495,825
ENSG00000070501,1658
ENSG00000070526,7
ENSG00000070540,2118
ENSG00000070601,13
ENSG00000070610,3298
ENSG00000070614,9009
ENSG00000070669,1906
ENSG00000070718,2587
ENSG00000070729,0
ENSG00000070731,2623
ENSG00000070748,0
ENSG00000070756,57066
ENSG00000070759,1675
ENSG00000070761,1408
ENSG00000070770,4593
ENSG00000070778,1632
ENSG00000070785,1779
ENSG00000070808,26
ENSG00000070814,2530
ENSG00000070831,17626
ENSG00000070882,1985
ENSG00000070886,4
ENSG00000070915,0
ENSG00000070950,1502
ENSG00000070961,5857
ENSG00000070985,1
ENSG00000071051,2313
ENSG00000071054,10661
ENSG00000071073,10207
ENSG00000071082,42687
ENSG00000071127,17625
ENSG00000071189,2617
ENSG00000071203,0
ENSG00000071205,441
ENSG00000071242,3289
ENSG00000071243,692
ENSG00000071246,2680
ENSG00000071282,8873
ENSG00000071462,3591
ENSG00000071537,13586
ENSG00000071539,564
ENSG00000071553,33231
ENSG00000071564,4391
ENSG00000071575,1381
ENSG00000071626,4304
ENSG00000071655,2583
ENSG00000071677,5
ENSG00000071794,2976
ENSG00000071859,5246
ENSG00000071889,2379
ENSG00000071894,1974
ENSG00000071909,94
ENSG00000071967,88470
ENSG00000071991,4
ENSG00000071994,1619
ENSG00000072041,2
ENSG00000072042,4993
ENSG00000072062,6504
ENSG00000072071,6217
ENSG00000072080,0
ENSG00000072110,14293
ENSG00000072121,3369
ENSG00000072133,4494
ENSG00000072134,1171
ENSG00000072135,4267
ENSG00000072163,797
ENSG00000072182,5
ENSG00000072195,1392
ENSG00000072201,1401
ENSG00000072210,4103
ENSG00000072274,5931
ENSG00000072310,9592
ENSG00000072315,3
ENSG00000072364,10568
ENSG00000072401,1130
ENSG00000072415,2242
ENSG00000072422,2134
ENSG00000072501,13446
ENSG00000072506,6273
ENSG00000072518,2961
ENSG00000072571,323
