Gene stable ID,3a36d513-6e54-4f58-acb4-e7bda5135b99
ENSG00000016391,2788
ENSG00000016402,521
ENSG00000016490,0
ENSG00000016602,20
ENSG00000016864,4663
ENSG00000017260,5291
ENSG00000017427,289
ENSG00000017483,203
ENSG00000017797,4533
ENSG00000018189,1585
ENSG00000018236,327
ENSG00000018280,245
ENSG00000018408,3602
ENSG00000018510,2627
ENSG00000018607,1
ENSG00000018610,1690
ENSG00000018625,493
ENSG00000018699,1227
ENSG00000018869,340
ENSG00000019102,144
ENSG00000019144,5135
ENSG00000019169,24
ENSG00000019186,12
ENSG00000019485,778
ENSG00000019505,5089
ENSG00000019549,634
ENSG00000019582,120073
ENSG00000019991,344
ENSG00000019995,947
ENSG00000020129,4397
ENSG00000020181,2406
ENSG00000020219,2
ENSG00000020256,1465
ENSG00000020426,1049
ENSG00000020577,479
ENSG00000020633,965
ENSG00000020922,925
ENSG00000021300,353
ENSG00000021355,4285
ENSG00000021461,3
ENSG00000021488,8
ENSG00000021574,1460
ENSG00000021645,56
ENSG00000021762,3456
ENSG00000021776,2613
ENSG00000021826,183
ENSG00000021852,3
ENSG00000022267,4861
ENSG00000022277,6206
ENSG00000022355,0
ENSG00000022556,1617
ENSG00000022567,889
ENSG00000022840,10296
ENSG00000022976,738
ENSG00000023041,2746
ENSG00000023171,98
ENSG00000023191,10721
ENSG00000023228,3109
ENSG00000023287,2491
ENSG00000023318,3300
ENSG00000023330,2091
ENSG00000023445,534
ENSG00000023516,2482
ENSG00000023572,330
ENSG00000023608,371
ENSG00000023697,1139
ENSG00000023734,5910
ENSG00000023839,24
ENSG00000023892,1472
ENSG00000023902,4816
ENSG00000023909,760
ENSG00000024048,2882
ENSG00000024422,6532
ENSG00000024526,336
ENSG00000024862,1580
ENSG00000025039,858
ENSG00000025156,766
ENSG00000025293,4296
ENSG00000025423,197
ENSG00000025434,1273
ENSG00000025708,6066
ENSG00000025770,3734
ENSG00000025772,2611
ENSG00000025796,5491
ENSG00000025800,4445
ENSG00000026025,58772
ENSG00000026036,177
ENSG00000026103,493
ENSG00000026297,2232
ENSG00000026508,8796
ENSG00000026559,16
ENSG00000026652,319
ENSG00000026751,516
ENSG00000026950,1733
ENSG00000027001,1004
ENSG00000027075,2137
ENSG00000027644,38
ENSG00000027697,3156
ENSG00000027847,2153
ENSG00000027869,314
ENSG00000028116,468
ENSG00000028137,2812
ENSG00000028203,3814
ENSG00000028277,338
ENSG00000028310,2735
ENSG00000028528,6874
ENSG00000028839,725
ENSG00000029153,122
ENSG00000029363,6507
ENSG00000029364,7397
ENSG00000029534,39
ENSG00000029559,12
ENSG00000029639,670
ENSG00000029725,5599
ENSG00000029993,2144
ENSG00000030066,1908
ENSG00000030110,1219
ENSG00000030304,6
ENSG00000030419,1105
ENSG00000030582,23803
ENSG00000031003,1954
ENSG00000031081,1255
ENSG00000031691,342
ENSG00000031698,8600
ENSG00000031823,4278
ENSG00000032219,1224
ENSG00000032389,1366
ENSG00000032444,3898
ENSG00000032742,1110
ENSG00000033011,1375
ENSG00000033030,1627
ENSG00000033050,3351
ENSG00000033100,3642
ENSG00000033122,43
ENSG00000033170,3983
ENSG00000033178,1676
ENSG00000033327,1372
ENSG00000033627,3779
ENSG00000033800,1811
ENSG00000033867,1123
ENSG00000034053,77
ENSG00000034152,1927
ENSG00000034239,76
ENSG00000034510,66864
ENSG00000034533,763
ENSG00000034677,3075
ENSG00000034693,730
ENSG00000034713,4096
ENSG00000034971,27
ENSG00000035115,1862
ENSG00000035141,2332
ENSG00000035403,4592
ENSG00000035499,211
ENSG00000035664,1172
ENSG00000035681,1338
ENSG00000035687,4230
ENSG00000035720,36
ENSG00000035862,18781
ENSG00000035928,3580
ENSG00000036054,1674
ENSG00000036257,4172
ENSG00000036448,87
ENSG00000036473,3
ENSG00000036530,77
ENSG00000036549,2840
ENSG00000036565,12
ENSG00000036672,130
ENSG00000036828,1
ENSG00000037042,1246
ENSG00000037241,981
ENSG00000037280,1081
ENSG00000037474,3468
ENSG00000037637,1923
ENSG00000037749,541
ENSG00000037757,1893
ENSG00000037897,1017
ENSG00000037965,153
ENSG00000038002,1803
ENSG00000038210,793
ENSG00000038219,2716
ENSG00000038274,3958
ENSG00000038295,201
ENSG00000038358,1576
ENSG00000038382,4930
ENSG00000038427,13292
ENSG00000038532,1639
ENSG00000038945,1296
ENSG00000039068,2125
ENSG00000039123,2799
ENSG00000039139,1069
ENSG00000039319,2043
ENSG00000039523,3001
ENSG00000039537,358
ENSG00000039560,1448
ENSG00000039600,4
ENSG00000039650,2449
ENSG00000039987,5
ENSG00000040199,486
ENSG00000040275,646
ENSG00000040341,2323
ENSG00000040487,1320
ENSG00000040531,869
ENSG00000040608,704
ENSG00000040633,3321
ENSG00000040731,3
ENSG00000040933,1259
ENSG00000041353,1241
ENSG00000041357,5630
ENSG00000041515,94
ENSG00000041802,2510
ENSG00000041880,2502
ENSG00000041982,9749
ENSG00000041988,1325
ENSG00000042062,81
ENSG00000042088,1311
ENSG00000042286,1893
ENSG00000042304,0
ENSG00000042317,848
ENSG00000042429,1457
ENSG00000042445,6118
ENSG00000042493,5740
ENSG00000042753,3901
ENSG00000042781,29
ENSG00000042813,1
ENSG00000042832,15
ENSG00000042980,476
ENSG00000043039,1757
ENSG00000043093,1390
ENSG00000043143,4371
ENSG00000043355,0
ENSG00000043462,937
ENSG00000043514,1309
ENSG00000043591,71
ENSG00000044012,0
ENSG00000044090,4412
ENSG00000044115,25349
ENSG00000044446,2010
ENSG00000044459,651
ENSG00000044524,351
ENSG00000044574,22137
ENSG00000046604,4889
ENSG00000046647,1867
ENSG00000046651,2129
ENSG00000046653,447
ENSG00000046774,0
ENSG00000046889,545
ENSG00000047056,1361
ENSG00000047188,1830
ENSG00000047230,2008
ENSG00000047249,3134
ENSG00000047315,4184
ENSG00000047346,5387
ENSG00000047365,693
ENSG00000047410,8682
ENSG00000047457,305
ENSG00000047578,2586
ENSG00000047579,1368
ENSG00000047597,75
ENSG00000047617,241
ENSG00000047621,1004
ENSG00000047634,164
ENSG00000047644,2445
ENSG00000047648,238
ENSG00000047662,36
ENSG00000047849,13906
ENSG00000047932,2241
ENSG00000047936,0
ENSG00000048028,1204
ENSG00000048052,905
ENSG00000048140,2186
ENSG00000048162,1278
ENSG00000048342,1000
ENSG00000048392,1429
ENSG00000048405,1152
ENSG00000048462,40
ENSG00000048471,1357
ENSG00000048540,608
ENSG00000048544,2057
ENSG00000048545,2
ENSG00000048649,1917
ENSG00000048707,3259
ENSG00000048740,1195
ENSG00000048828,9715
ENSG00000048991,1324
ENSG00000049089,1827
ENSG00000049130,1283
ENSG00000049167,344
ENSG00000049192,84
ENSG00000049239,6789
ENSG00000049245,5294
ENSG00000049246,2387
ENSG00000049247,6
ENSG00000049249,49
ENSG00000049283,933
ENSG00000049323,2263
ENSG00000049449,6705
ENSG00000049540,12344
ENSG00000049541,1918
ENSG00000049618,4817
ENSG00000049656,6205
ENSG00000049759,4818
ENSG00000049768,165
ENSG00000049769,406
ENSG00000049860,5655
ENSG00000049883,703
ENSG00000050030,74
ENSG00000050130,2592
ENSG00000050165,3113
ENSG00000050327,1076
ENSG00000050344,668
ENSG00000050393,1511
ENSG00000050405,4573
ENSG00000050426,3758
ENSG00000050438,4359
ENSG00000050555,228
ENSG00000050628,2706
ENSG00000050730,19
ENSG00000050748,2866
ENSG00000050767,90
ENSG00000050820,2894
ENSG00000051009,4094
ENSG00000051108,4642
ENSG00000051128,2526
ENSG00000051180,329
ENSG00000051341,217
ENSG00000051382,2130
ENSG00000051523,3785
ENSG00000051596,600
ENSG00000051620,5083
ENSG00000051825,450
ENSG00000052126,1877
ENSG00000052344,13686
ENSG00000052723,1579
ENSG00000052749,2764
ENSG00000052795,1520
ENSG00000052802,2562
ENSG00000052841,5507
ENSG00000052850,164
ENSG00000053108,243
ENSG00000053254,1917
ENSG00000053328,15
ENSG00000053371,3803
ENSG00000053372,3347
ENSG00000053438,1554
ENSG00000053501,1823
ENSG00000053524,22
ENSG00000053702,528
ENSG00000053747,2300
ENSG00000053770,1669
ENSG00000053900,1254
ENSG00000053918,898
ENSG00000054116,3838
ENSG00000054118,11837
ENSG00000054148,5419
ENSG00000054179,690
ENSG00000054219,404
ENSG00000054267,4527
ENSG00000054277,177
ENSG00000054282,1739
ENSG00000054356,9
ENSG00000054392,1654
ENSG00000054523,2116
ENSG00000054598,595
ENSG00000054611,2682
ENSG00000054654,5072
ENSG00000054690,608
ENSG00000054793,6497
ENSG00000054796,0
ENSG00000054803,90
ENSG00000054938,10
ENSG00000054965,5963
ENSG00000054967,492
ENSG00000054983,1922
ENSG00000055044,3452
ENSG00000055070,9315
ENSG00000055118,81
ENSG00000055130,4242
ENSG00000055147,1589
ENSG00000055163,3615
ENSG00000055208,4141
ENSG00000055211,3906
ENSG00000055332,2771
ENSG00000055483,3745
ENSG00000055609,4536
ENSG00000055732,350
ENSG00000055813,20
ENSG00000055917,8475
ENSG00000055950,4209
ENSG00000055955,21
ENSG00000055957,1
ENSG00000056050,1101
ENSG00000056097,3535
ENSG00000056277,209
ENSG00000056291,6
ENSG00000056487,107
ENSG00000056558,917
ENSG00000056586,2159
ENSG00000056736,1157
ENSG00000056972,1731
ENSG00000056998,1764
ENSG00000057019,2263
ENSG00000057149,0
ENSG00000057252,1601
ENSG00000057294,1128
ENSG00000057468,7
ENSG00000057593,165
ENSG00000057608,13002
ENSG00000057657,597
ENSG00000057663,1896
ENSG00000057704,370
ENSG00000057757,3292
ENSG00000057935,4136
ENSG00000058056,1371
ENSG00000058063,644
ENSG00000058085,1267
ENSG00000058091,843
ENSG00000058262,16423
ENSG00000058272,2426
ENSG00000058335,46
ENSG00000058404,567
ENSG00000058453,2866
ENSG00000058600,2627
ENSG00000058668,5252
ENSG00000058673,8612
ENSG00000058729,1162
ENSG00000058799,3698
ENSG00000058804,2182
ENSG00000058866,28
ENSG00000059122,2533
ENSG00000059145,1088
ENSG00000059377,1037
ENSG00000059378,2807
ENSG00000059573,4753
ENSG00000059588,4395
ENSG00000059691,1118
ENSG00000059728,931
ENSG00000059758,2242
ENSG00000059769,559
ENSG00000059804,1698
ENSG00000059915,270
ENSG00000060069,1965
ENSG00000060138,7262
ENSG00000060140,141
ENSG00000060237,8421
ENSG00000060303,3
ENSG00000060339,3195
ENSG00000060491,3951
ENSG00000060558,344
ENSG00000060566,1
ENSG00000060642,1122
ENSG00000060656,1049
ENSG00000060688,3225
ENSG00000060709,15
ENSG00000060718,666
ENSG00000060749,2387
ENSG00000060762,1146
ENSG00000060971,3301
ENSG00000060982,189
ENSG00000061273,8544
ENSG00000061337,671
ENSG00000061455,114
ENSG00000061492,1
ENSG00000061656,130
ENSG00000061676,6742
ENSG00000061794,3606
ENSG00000061918,522
ENSG00000061936,3358
ENSG00000061938,5177
ENSG00000061987,2049
ENSG00000062038,2469
ENSG00000062096,0
ENSG00000062194,7245
ENSG00000062282,3302
ENSG00000062370,385
ENSG00000062485,7390
ENSG00000062524,21
ENSG00000062582,401
ENSG00000062598,2296
ENSG00000062650,4060
ENSG00000062716,11077
ENSG00000062725,2428
ENSG00000062822,1561
ENSG00000063015,10
ENSG00000063046,27547
ENSG00000063127,39
ENSG00000063169,1568
ENSG00000063176,1182
ENSG00000063177,75397
ENSG00000063180,884
ENSG00000063241,2535
ENSG00000063244,10478
ENSG00000063245,8417
ENSG00000063322,4621
ENSG00000063438,105
ENSG00000063515,0
ENSG00000063587,961
ENSG00000063601,1799
ENSG00000063660,16627
ENSG00000063761,457
ENSG00000063854,2558
ENSG00000063978,4511
ENSG00000064012,1037
ENSG00000064042,2415
ENSG00000064102,1105
ENSG00000064115,1827
ENSG00000064195,38
ENSG00000064199,330
ENSG00000064201,71
ENSG00000064205,442
ENSG00000064218,40
ENSG00000064225,323
ENSG00000064270,784
ENSG00000064300,2343
ENSG00000064309,1464
ENSG00000064313,1444
ENSG00000064393,3662
ENSG00000064419,3069
ENSG00000064489,56
ENSG00000064490,4262
ENSG00000064545,2110
ENSG00000064547,1450
ENSG00000064601,6817
ENSG00000064607,2272
ENSG00000064651,2446
ENSG00000064652,779
ENSG00000064655,3896
ENSG00000064666,8838
ENSG00000064687,748
ENSG00000064692,215
ENSG00000064703,1236
ENSG00000064726,3928
ENSG00000064763,802
ENSG00000064787,892
ENSG00000064835,1
ENSG00000064886,222
ENSG00000064932,5950
ENSG00000064933,709
ENSG00000064961,9730
ENSG00000064989,1397
ENSG00000064995,2193
ENSG00000064999,2078
ENSG00000065000,9180
ENSG00000065029,2737
ENSG00000065054,8769
ENSG00000065057,1547
ENSG00000065060,948
ENSG00000065135,5683
ENSG00000065150,6727
ENSG00000065154,8549
ENSG00000065183,2010
ENSG00000065243,2373
ENSG00000065268,2343
ENSG00000065308,2023
ENSG00000065320,471
ENSG00000065325,24
ENSG00000065328,251
ENSG00000065357,1278
ENSG00000065361,27645
ENSG00000065371,31
ENSG00000065413,482
ENSG00000065427,5155
ENSG00000065457,453
ENSG00000065485,1216
ENSG00000065491,1113
ENSG00000065518,5179
ENSG00000065526,4811
ENSG00000065534,3047
ENSG00000065548,2831
ENSG00000065559,2644
ENSG00000065600,638
ENSG00000065609,125
ENSG00000065613,3640
ENSG00000065615,946
ENSG00000065618,2347
ENSG00000065621,2017
ENSG00000065665,459
ENSG00000065675,107
ENSG00000065717,4512
ENSG00000065802,1565
ENSG00000065809,2764
ENSG00000065833,366
ENSG00000065882,2950
ENSG00000065883,2892
ENSG00000065911,3464
ENSG00000065923,1665
ENSG00000065970,2293
ENSG00000065978,14943
ENSG00000065989,1293
ENSG00000066027,4953
ENSG00000066032,4
ENSG00000066044,5836
ENSG00000066056,2425
ENSG00000066084,1838
ENSG00000066117,4499
ENSG00000066135,3788
ENSG00000066136,3738
ENSG00000066185,161
ENSG00000066230,35
ENSG00000066248,105
ENSG00000066279,943
ENSG00000066294,436
ENSG00000066322,4760
ENSG00000066336,1209
ENSG00000066379,1281
ENSG00000066382,134
ENSG00000066405,1
ENSG00000066422,1294
ENSG00000066427,1710
ENSG00000066455,3249
ENSG00000066468,1290
ENSG00000066557,760
ENSG00000066583,3775
ENSG00000066629,463
ENSG00000066651,633
ENSG00000066654,3355
ENSG00000066697,1133
ENSG00000066735,351
ENSG00000066739,1939
ENSG00000066777,3856
ENSG00000066813,2
ENSG00000066827,649
ENSG00000066855,778
ENSG00000066923,172
ENSG00000066926,2023
ENSG00000066933,1772
ENSG00000067048,1
ENSG00000067057,2025
ENSG00000067064,1790
ENSG00000067066,2816
ENSG00000067082,9409
ENSG00000067113,2791
ENSG00000067141,4617
ENSG00000067167,8758
ENSG00000067177,535
ENSG00000067182,10043
ENSG00000067191,1017
ENSG00000067208,936
ENSG00000067221,846
ENSG00000067225,38975
ENSG00000067248,2060
ENSG00000067334,3909
ENSG00000067365,733
ENSG00000067369,2436
ENSG00000067445,284
ENSG00000067533,2443
ENSG00000067560,35821
ENSG00000067596,4189
ENSG00000067601,87
ENSG00000067606,1705
ENSG00000067646,0
ENSG00000067704,7626
ENSG00000067715,5847
ENSG00000067798,43832
ENSG00000067829,3647
ENSG00000067836,3495
ENSG00000067840,542
ENSG00000067842,3
ENSG00000067900,2530
ENSG00000067955,2123
ENSG00000067992,245
ENSG00000068001,5117
ENSG00000068024,1285
ENSG00000068028,2532
ENSG00000068078,4171
ENSG00000068079,2722
ENSG00000068097,922
ENSG00000068120,6653
ENSG00000068137,5192
ENSG00000068305,1470
ENSG00000068308,6285
ENSG00000068323,3900
ENSG00000068354,1434
ENSG00000068366,959
ENSG00000068383,1107
ENSG00000068394,1984
ENSG00000068400,3992
ENSG00000068438,2190
ENSG00000068489,331
ENSG00000068615,318
ENSG00000068650,1268
ENSG00000068654,3409
ENSG00000068697,28752
ENSG00000068724,1220
ENSG00000068745,6755
ENSG00000068781,10
ENSG00000068784,778
ENSG00000068796,716
ENSG00000068831,341
ENSG00000068878,3438
ENSG00000068885,765
ENSG00000068903,3423
ENSG00000068912,4349
ENSG00000068971,1187
ENSG00000068976,146
ENSG00000068985,2
ENSG00000069011,3068
ENSG00000069018,3
ENSG00000069020,2403
ENSG00000069122,1303
ENSG00000069188,100
ENSG00000069206,0
ENSG00000069248,3716
ENSG00000069275,22841
ENSG00000069329,4908
ENSG00000069345,2772
ENSG00000069399,9334
ENSG00000069424,1341
ENSG00000069431,402
ENSG00000069482,18
ENSG00000069493,923
ENSG00000069509,1075
ENSG00000069535,4336
ENSG00000069667,654
ENSG00000069696,82
ENSG00000069702,3505
ENSG00000069712,246
ENSG00000069764,10
ENSG00000069812,66
ENSG00000069849,3618
ENSG00000069869,752
ENSG00000069943,729
ENSG00000069956,1625
ENSG00000069966,2227
ENSG00000069974,1349
ENSG00000069998,2304
ENSG00000070010,2532
ENSG00000070018,2617
ENSG00000070019,49
ENSG00000070031,10
ENSG00000070047,4486
ENSG00000070061,2470
ENSG00000070081,6573
ENSG00000070087,4751
ENSG00000070159,1296
ENSG00000070182,89
ENSG00000070190,519
ENSG00000070193,76
ENSG00000070214,6929
ENSG00000070269,1391
ENSG00000070366,830
ENSG00000070367,2266
ENSG00000070371,107
ENSG00000070388,7
ENSG00000070404,4621
ENSG00000070413,11029
ENSG00000070423,2246
ENSG00000070444,1447
ENSG00000070476,2211
ENSG00000070495,1857
ENSG00000070501,2984
ENSG00000070526,52
ENSG00000070540,2628
ENSG00000070601,82
ENSG00000070610,4196
ENSG00000070614,5992
ENSG00000070669,1713
ENSG00000070718,1645
ENSG00000070729,1
ENSG00000070731,2603
ENSG00000070748,0
ENSG00000070756,58695
ENSG00000070759,660
ENSG00000070761,1153
ENSG00000070770,2512
ENSG00000070778,515
ENSG00000070785,1549
ENSG00000070808,11
ENSG00000070814,2680
ENSG00000070831,16731
ENSG00000070882,651
ENSG00000070886,23
ENSG00000070915,6
ENSG00000070950,1214
ENSG00000070961,2206
ENSG00000070985,19
ENSG00000071051,3047
ENSG00000071054,3979
ENSG00000071073,2247
ENSG00000071082,64238
ENSG00000071127,17671
ENSG00000071189,2280
ENSG00000071203,0
ENSG00000071205,670
ENSG00000071242,1531
ENSG00000071243,610
ENSG00000071246,1448
ENSG00000071282,3557
ENSG00000071462,5582
ENSG00000071537,5269
ENSG00000071539,723
ENSG00000071553,20043
ENSG00000071564,7267
ENSG00000071575,3348
ENSG00000071626,7970
ENSG00000071655,5831
ENSG00000071677,1
ENSG00000071794,2105
ENSG00000071859,5349
ENSG00000071889,2440
ENSG00000071894,6916
ENSG00000071909,13
ENSG00000071967,17504
ENSG00000071991,10
ENSG00000071994,2633
ENSG00000072041,57
ENSG00000072042,3460
ENSG00000072062,6668
ENSG00000072071,6320
ENSG00000072080,0
ENSG00000072110,12711
ENSG00000072121,1958
ENSG00000072133,611
ENSG00000072134,1588
ENSG00000072135,6885
ENSG00000072163,2309
ENSG00000072182,5
ENSG00000072195,1117
ENSG00000072201,721
ENSG00000072210,3373
ENSG00000072274,2228
ENSG00000072310,12659
ENSG00000072315,0
ENSG00000072364,4902
ENSG00000072401,976
ENSG00000072415,1793
ENSG00000072422,1226
ENSG00000072501,3641
ENSG00000072506,4438
ENSG00000072518,5492
ENSG00000072571,332
ENSG00000072609,1317
