Gene stable ID,8997905f-23b7-4c4d-b4dd-aaa1ec7e8ad8
ENSG00000048140,3096
ENSG00000048162,1046
ENSG00000048342,751
ENSG00000048392,2368
ENSG00000048405,1269
ENSG00000048462,8
ENSG00000048471,2811
ENSG00000048540,47
ENSG00000048544,2275
ENSG00000048545,6
ENSG00000048649,3824
ENSG00000048707,6515
ENSG00000048740,1205
ENSG00000048828,18095
ENSG00000048991,2111
ENSG00000049089,2046
ENSG00000049130,1907
ENSG00000049167,388
ENSG00000049192,131
ENSG00000049239,8617
ENSG00000049245,5622
ENSG00000049246,1221
ENSG00000049247,3
ENSG00000049249,118
ENSG00000049283,1892
ENSG00000049323,929
ENSG00000049449,4016
ENSG00000049540,1831
ENSG00000049541,1544
ENSG00000049618,5445
ENSG00000049656,8337
ENSG00000049759,5045
ENSG00000049768,232
ENSG00000049769,282
ENSG00000049860,6832
ENSG00000049883,806
ENSG00000050030,115
ENSG00000050130,2382
ENSG00000050165,1735
ENSG00000050327,1108
ENSG00000050344,1636
ENSG00000050393,1465
ENSG00000050405,5439
ENSG00000050426,2586
ENSG00000050438,353
ENSG00000050555,137
ENSG00000050628,4277
ENSG00000050730,9
ENSG00000050748,4323
ENSG00000050767,35
ENSG00000050820,3180
ENSG00000051009,1250
ENSG00000051108,6234
ENSG00000051128,2302
ENSG00000051180,288
ENSG00000051341,157
ENSG00000051382,2829
ENSG00000051523,5146
ENSG00000051596,598
ENSG00000051620,4116
ENSG00000051825,820
ENSG00000052126,1186
ENSG00000052344,25174
ENSG00000052723,1564
ENSG00000052749,4598
ENSG00000052795,1128
ENSG00000052802,2515
ENSG00000052841,4171
ENSG00000052850,8
ENSG00000053108,269
ENSG00000053254,2233
ENSG00000053328,16
ENSG00000053371,5672
ENSG00000053372,2526
ENSG00000053438,93
ENSG00000053501,1243
ENSG00000053524,8
ENSG00000053702,158
ENSG00000053747,11701
ENSG00000053770,2857
ENSG00000053900,1226
ENSG00000053918,447
ENSG00000054116,3912
ENSG00000054118,13521
ENSG00000054148,5490
ENSG00000054179,867
ENSG00000054219,444
ENSG00000054267,3998
ENSG00000054277,675
ENSG00000054282,2400
ENSG00000054356,95
ENSG00000054392,3441
ENSG00000054523,3837
ENSG00000054598,91
ENSG00000054611,2411
ENSG00000054654,5109
ENSG00000054690,1026
ENSG00000054793,7065
ENSG00000054796,0
ENSG00000054803,50
ENSG00000054938,26
ENSG00000054965,7456
ENSG00000054967,387
ENSG00000054983,3279
ENSG00000055044,3143
ENSG00000055070,8939
ENSG00000055118,34
ENSG00000055130,3951
ENSG00000055147,2003
ENSG00000055163,5417
ENSG00000055208,3761
ENSG00000055211,2694
ENSG00000055332,3630
ENSG00000055483,4042
ENSG00000055609,5258
ENSG00000055732,100
ENSG00000055813,40
ENSG00000055917,9137
ENSG00000055950,3652
ENSG00000055955,13
ENSG00000055957,1
ENSG00000056050,727
ENSG00000056097,4485
ENSG00000056277,231
ENSG00000056291,426
ENSG00000056487,2
ENSG00000056558,612
ENSG00000056586,2694
ENSG00000056736,577
ENSG00000056972,1972
ENSG00000056998,1181
ENSG00000057019,1641
ENSG00000057149,0
ENSG00000057252,2117
ENSG00000057294,2471
ENSG00000057468,1
ENSG00000057593,933
ENSG00000057608,18152
ENSG00000057657,751
ENSG00000057663,1928
ENSG00000057704,396
ENSG00000057757,2974
ENSG00000057935,4897
ENSG00000058056,1191
ENSG00000058063,618
ENSG00000058085,8944
ENSG00000058091,1312
ENSG00000058262,26883
ENSG00000058272,2607
ENSG00000058335,33
ENSG00000058404,1772
ENSG00000058453,2063
ENSG00000058600,5936
ENSG00000058668,5857
ENSG00000058673,10749
ENSG00000058729,1375
ENSG00000058799,4359
ENSG00000058804,3359
ENSG00000058866,33
ENSG00000059122,2682
ENSG00000059145,1339
ENSG00000059377,1442
ENSG00000059378,1947
ENSG00000059573,8868
ENSG00000059588,4022
ENSG00000059691,1207
ENSG00000059728,1014
ENSG00000059758,2427
ENSG00000059769,526
ENSG00000059804,629
ENSG00000059915,238
ENSG00000060069,1957
ENSG00000060138,1295
ENSG00000060140,280
ENSG00000060237,18070
ENSG00000060303,2
ENSG00000060339,3484
ENSG00000060491,3414
ENSG00000060558,1221
ENSG00000060566,4
ENSG00000060642,1855
ENSG00000060656,1276
ENSG00000060688,3250
ENSG00000060709,5
ENSG00000060718,19977
ENSG00000060749,3040
ENSG00000060762,1372
ENSG00000060971,6106
ENSG00000060982,1024
ENSG00000061273,5675
ENSG00000061337,647
ENSG00000061455,259
ENSG00000061492,0
ENSG00000061656,226
ENSG00000061676,11042
ENSG00000061794,4684
ENSG00000061918,530
ENSG00000061936,2177
ENSG00000061938,5119
ENSG00000061987,2454
ENSG00000062038,156
ENSG00000062096,1
ENSG00000062194,5504
ENSG00000062282,2168
ENSG00000062370,286
ENSG00000062485,11236
ENSG00000062524,14
ENSG00000062582,549
ENSG00000062598,2652
ENSG00000062650,4167
ENSG00000062716,7857
ENSG00000062725,3015
ENSG00000062822,1500
ENSG00000063015,67
ENSG00000063046,23072
ENSG00000063127,24
ENSG00000063169,1254
ENSG00000063176,925
ENSG00000063177,47954
ENSG00000063180,257
ENSG00000063241,3951
ENSG00000063244,10149
ENSG00000063245,9525
ENSG00000063322,4749
ENSG00000063438,86
ENSG00000063515,0
ENSG00000063587,1636
ENSG00000063601,2717
ENSG00000063660,3980
ENSG00000063761,746
ENSG00000063854,2909
ENSG00000063978,4827
ENSG00000064012,2068
ENSG00000064042,5718
ENSG00000064102,1420
ENSG00000064115,5610
ENSG00000064195,146
ENSG00000064199,613
ENSG00000064201,62
ENSG00000064205,4017
ENSG00000064218,10
ENSG00000064225,333
ENSG00000064270,622
ENSG00000064300,82
ENSG00000064309,506
ENSG00000064313,1920
ENSG00000064393,8427
ENSG00000064419,4261
ENSG00000064489,16
ENSG00000064490,2969
ENSG00000064545,2401
ENSG00000064547,1437
ENSG00000064601,7567
ENSG00000064607,3230
ENSG00000064651,4075
ENSG00000064652,897
ENSG00000064655,721
ENSG00000064666,7211
ENSG00000064687,1686
ENSG00000064692,49
ENSG00000064703,1443
ENSG00000064726,4150
ENSG00000064763,1234
ENSG00000064787,1059
ENSG00000064835,2
ENSG00000064886,3203
ENSG00000064932,5901
ENSG00000064933,832
ENSG00000064961,9817
ENSG00000064989,915
ENSG00000064995,1099
ENSG00000064999,2633
ENSG00000065000,12756
ENSG00000065029,1771
ENSG00000065054,6182
ENSG00000065057,1623
ENSG00000065060,2156
ENSG00000065135,6671
ENSG00000065150,9671
ENSG00000065154,9572
ENSG00000065183,3291
ENSG00000065243,2678
ENSG00000065268,2680
ENSG00000065308,2554
ENSG00000065320,955
ENSG00000065325,4
ENSG00000065328,129
ENSG00000065357,1160
ENSG00000065361,24026
ENSG00000065371,0
ENSG00000065413,755
ENSG00000065427,4692
ENSG00000065457,1040
ENSG00000065485,1382
ENSG00000065491,968
ENSG00000065518,4813
ENSG00000065526,5917
ENSG00000065534,1611
ENSG00000065548,3478
ENSG00000065559,3018
ENSG00000065600,559
ENSG00000065609,0
ENSG00000065613,5940
ENSG00000065615,801
ENSG00000065618,38
ENSG00000065621,2100
ENSG00000065665,408
ENSG00000065675,40
ENSG00000065717,1556
ENSG00000065802,1717
ENSG00000065809,3503
ENSG00000065833,322
ENSG00000065882,3776
ENSG00000065883,3113
ENSG00000065911,3160
ENSG00000065923,2424
ENSG00000065970,1930
ENSG00000065978,11188
ENSG00000065989,4468
ENSG00000066027,6636
ENSG00000066032,45
ENSG00000066044,6265
ENSG00000066056,1484
ENSG00000066084,3423
ENSG00000066117,3448
ENSG00000066135,5476
ENSG00000066136,2694
ENSG00000066185,266
ENSG00000066230,20
ENSG00000066248,982
ENSG00000066279,766
ENSG00000066294,1207
ENSG00000066322,5705
ENSG00000066336,2302
ENSG00000066379,797
ENSG00000066382,64
ENSG00000066405,6
ENSG00000066422,1488
ENSG00000066427,1538
ENSG00000066455,3902
ENSG00000066468,5661
ENSG00000066557,785
ENSG00000066583,174
ENSG00000066629,506
ENSG00000066651,359
ENSG00000066654,5934
ENSG00000066697,755
ENSG00000066735,265
ENSG00000066739,2579
ENSG00000066777,5333
ENSG00000066813,0
ENSG00000066827,739
ENSG00000066855,1249
ENSG00000066923,124
ENSG00000066926,3538
ENSG00000066933,1578
ENSG00000067048,5
ENSG00000067057,3102
ENSG00000067064,2652
ENSG00000067066,2622
ENSG00000067082,6728
ENSG00000067113,619
ENSG00000067141,6335
ENSG00000067167,11310
ENSG00000067177,2156
ENSG00000067182,7138
ENSG00000067191,219
ENSG00000067208,1007
ENSG00000067221,747
ENSG00000067225,67584
ENSG00000067248,2913
ENSG00000067334,3005
ENSG00000067365,562
ENSG00000067369,4402
ENSG00000067445,393
ENSG00000067533,1611
ENSG00000067560,38735
ENSG00000067596,4633
ENSG00000067601,93
ENSG00000067606,1344
ENSG00000067646,0
ENSG00000067704,16077
ENSG00000067715,35
ENSG00000067798,181
ENSG00000067829,3602
ENSG00000067836,4735
ENSG00000067840,73
ENSG00000067842,0
ENSG00000067900,4132
ENSG00000067955,1971
ENSG00000067992,1006
ENSG00000068001,3577
ENSG00000068024,1659
ENSG00000068028,2396
ENSG00000068078,677
ENSG00000068079,2383
ENSG00000068097,1337
ENSG00000068120,7210
ENSG00000068137,3767
ENSG00000068305,2751
ENSG00000068308,4641
ENSG00000068323,3850
ENSG00000068354,1626
ENSG00000068366,1038
ENSG00000068383,1344
ENSG00000068394,1674
ENSG00000068400,2870
ENSG00000068438,2393
ENSG00000068489,261
ENSG00000068615,1898
ENSG00000068650,898
ENSG00000068654,5834
ENSG00000068697,27241
ENSG00000068724,1313
ENSG00000068745,5469
ENSG00000068781,0
ENSG00000068784,1497
ENSG00000068796,1465
ENSG00000068831,119
ENSG00000068878,8643
ENSG00000068885,551
ENSG00000068903,3055
ENSG00000068912,4046
ENSG00000068971,916
ENSG00000068976,12
ENSG00000068985,1
ENSG00000069011,77
ENSG00000069018,0
ENSG00000069020,4292
ENSG00000069122,955
ENSG00000069188,64
ENSG00000069206,0
ENSG00000069248,7432
ENSG00000069275,30441
ENSG00000069329,5800
ENSG00000069345,2825
ENSG00000069399,2601
ENSG00000069424,1185
ENSG00000069431,346
ENSG00000069482,26
ENSG00000069493,346
ENSG00000069509,1120
ENSG00000069535,652
ENSG00000069667,1151
ENSG00000069696,98
ENSG00000069702,438
ENSG00000069712,135
ENSG00000069764,11
ENSG00000069812,302
ENSG00000069849,3530
ENSG00000069869,1255
ENSG00000069943,919
ENSG00000069956,2179
ENSG00000069966,868
ENSG00000069974,1145
ENSG00000069998,2480
ENSG00000070010,2798
ENSG00000070018,2069
ENSG00000070019,58
ENSG00000070031,72
ENSG00000070047,2599
ENSG00000070061,3314
ENSG00000070081,8599
ENSG00000070087,2209
ENSG00000070159,2786
ENSG00000070182,46
ENSG00000070190,669
ENSG00000070193,691
ENSG00000070214,12604
ENSG00000070269,885
ENSG00000070366,2119
ENSG00000070367,3225
ENSG00000070371,86
ENSG00000070388,6
ENSG00000070404,2887
ENSG00000070413,13161
ENSG00000070423,2135
ENSG00000070444,2368
ENSG00000070476,1950
ENSG00000070495,642
ENSG00000070501,1683
ENSG00000070526,21
ENSG00000070540,2298
ENSG00000070601,23
ENSG00000070610,3059
ENSG00000070614,14754
ENSG00000070669,1412
ENSG00000070718,833
ENSG00000070729,0
ENSG00000070731,2363
ENSG00000070748,0
ENSG00000070756,66975
ENSG00000070759,303
ENSG00000070761,768
ENSG00000070770,1924
ENSG00000070778,1386
ENSG00000070785,1614
ENSG00000070808,20
ENSG00000070814,2577
ENSG00000070831,16195
ENSG00000070882,1151
ENSG00000070886,1021
ENSG00000070915,16
ENSG00000070950,851
ENSG00000070961,3335
ENSG00000070985,1
ENSG00000071051,1818
ENSG00000071054,5079
ENSG00000071073,3869
ENSG00000071082,44539
ENSG00000071127,23728
ENSG00000071189,2897
ENSG00000071203,0
ENSG00000071205,366
ENSG00000071242,2957
ENSG00000071243,415
ENSG00000071246,2788
ENSG00000071282,2174
ENSG00000071462,6195
ENSG00000071537,9431
ENSG00000071539,585
ENSG00000071553,18618
ENSG00000071564,4692
ENSG00000071575,3789
ENSG00000071626,6122
ENSG00000071655,4792
ENSG00000071677,3
ENSG00000071794,3054
ENSG00000071859,3954
ENSG00000071889,2248
ENSG00000071894,4807
ENSG00000071909,13
ENSG00000071967,29974
ENSG00000071991,0
ENSG00000071994,2629
ENSG00000072041,0
ENSG00000072042,4264
ENSG00000072062,7490
ENSG00000072071,6503
ENSG00000072080,0
ENSG00000072110,18099
ENSG00000072121,3392
ENSG00000072133,619
ENSG00000072134,2365
ENSG00000072135,8772
ENSG00000072163,576
ENSG00000072182,1
ENSG00000072195,473
ENSG00000072201,1093
ENSG00000072210,4703
ENSG00000072274,12653
ENSG00000072310,57746
ENSG00000072315,2
ENSG00000072364,9060
ENSG00000072401,950
ENSG00000072415,2667
ENSG00000072422,1395
ENSG00000072501,8780
ENSG00000072506,6700
ENSG00000072518,5412
ENSG00000072571,372
ENSG00000072609,1566
