Gene stable ID,bf53da30-6b9a-41cc-ada0-3a2c7c0547be
ENSG00000013364,6368
ENSG00000013374,4362
ENSG00000013375,4028
ENSG00000013392,793
ENSG00000013441,13485
ENSG00000013503,937
ENSG00000013523,2209
ENSG00000013561,5106
ENSG00000013563,1138
ENSG00000013573,1789
ENSG00000013583,4301
ENSG00000013588,1610
ENSG00000013619,245
ENSG00000013725,837
ENSG00000013810,4907
ENSG00000014123,5035
ENSG00000014138,1660
ENSG00000014164,1723
ENSG00000014216,17102
ENSG00000014257,95
ENSG00000014641,9668
ENSG00000014824,6094
ENSG00000014914,537
ENSG00000014919,3056
ENSG00000015133,4611
ENSG00000015153,1420
ENSG00000015171,9970
ENSG00000015285,1232
ENSG00000015413,20
ENSG00000015475,1362
ENSG00000015479,1159
ENSG00000015520,188
ENSG00000015532,3571
ENSG00000015568,2
ENSG00000015592,0
ENSG00000015676,5604
ENSG00000016082,2
ENSG00000016391,3411
ENSG00000016402,1213
ENSG00000016490,0
ENSG00000016602,10
ENSG00000016864,4647
ENSG00000017260,5623
ENSG00000017427,178
ENSG00000017483,335
ENSG00000017797,5112
ENSG00000018189,1791
ENSG00000018236,140
ENSG00000018280,746
ENSG00000018408,3876
ENSG00000018510,3026
ENSG00000018607,0
ENSG00000018610,1636
ENSG00000018625,195
ENSG00000018699,1266
ENSG00000018869,320
ENSG00000019102,672
ENSG00000019144,3418
ENSG00000019169,31
ENSG00000019186,67
ENSG00000019485,731
ENSG00000019505,5260
ENSG00000019549,821
ENSG00000019582,238516
ENSG00000019991,292
ENSG00000019995,1386
ENSG00000020129,2021
ENSG00000020181,1292
ENSG00000020219,2
ENSG00000020256,1167
ENSG00000020426,1350
ENSG00000020577,1293
ENSG00000020633,1636
ENSG00000020922,2839
ENSG00000021300,1429
ENSG00000021355,5118
ENSG00000021461,0
ENSG00000021488,65
ENSG00000021574,1884
ENSG00000021645,1407
ENSG00000021762,2696
ENSG00000021776,5489
ENSG00000021826,124
ENSG00000021852,0
ENSG00000022267,3467
ENSG00000022277,5460
ENSG00000022355,2
ENSG00000022556,7993
ENSG00000022567,662
ENSG00000022840,15322
ENSG00000022976,761
ENSG00000023041,3154
ENSG00000023171,233
ENSG00000023191,7053
ENSG00000023228,6725
ENSG00000023287,6602
ENSG00000023318,4490
ENSG00000023330,2813
ENSG00000023445,1130
ENSG00000023516,4098
ENSG00000023572,1434
ENSG00000023608,694
ENSG00000023697,1919
ENSG00000023734,8909
ENSG00000023839,95
ENSG00000023892,2635
ENSG00000023902,4709
ENSG00000023909,2055
ENSG00000024048,5358
ENSG00000024422,5744
ENSG00000024526,789
ENSG00000024862,944
ENSG00000025039,1547
ENSG00000025156,1557
ENSG00000025293,4850
ENSG00000025423,179
ENSG00000025434,1140
ENSG00000025708,5305
ENSG00000025770,1662
ENSG00000025772,2852
ENSG00000025796,14604
ENSG00000025800,6216
ENSG00000026025,50527
ENSG00000026036,317
ENSG00000026103,1152
ENSG00000026297,10937
ENSG00000026508,11497
ENSG00000026559,223
ENSG00000026652,327
ENSG00000026751,1171
ENSG00000026950,1688
ENSG00000027001,1712
ENSG00000027075,2007
ENSG00000027644,15
ENSG00000027697,5218
ENSG00000027847,1561
ENSG00000027869,398
ENSG00000028116,1705
ENSG00000028137,4297
ENSG00000028203,3413
ENSG00000028277,585
ENSG00000028310,2956
ENSG00000028528,9191
ENSG00000028839,769
ENSG00000029153,254
ENSG00000029363,12847
ENSG00000029364,10632
ENSG00000029534,66
ENSG00000029559,307
ENSG00000029639,728
ENSG00000029725,8166
ENSG00000029993,10392
ENSG00000030066,3083
ENSG00000030110,1395
ENSG00000030304,4
ENSG00000030419,725
ENSG00000030582,32317
ENSG00000031003,2378
ENSG00000031081,2268
ENSG00000031691,692
ENSG00000031698,10705
ENSG00000031823,4267
ENSG00000032219,2506
ENSG00000032389,2457
ENSG00000032444,2667
ENSG00000032742,1525
ENSG00000033011,1231
ENSG00000033030,3852
ENSG00000033050,3392
ENSG00000033100,4452
ENSG00000033122,67
ENSG00000033170,3028
ENSG00000033178,5017
ENSG00000033327,1498
ENSG00000033627,3449
ENSG00000033800,2639
ENSG00000033867,3223
ENSG00000034053,514
ENSG00000034152,2565
ENSG00000034239,26
ENSG00000034510,103175
ENSG00000034533,535
ENSG00000034677,30347
ENSG00000034693,979
ENSG00000034713,5656
ENSG00000034971,12
ENSG00000035115,4674
ENSG00000035141,3567
ENSG00000035403,8706
ENSG00000035499,431
ENSG00000035664,710
ENSG00000035681,3686
ENSG00000035687,11107
ENSG00000035720,60
ENSG00000035862,17795
ENSG00000035928,3123
ENSG00000036054,2536
ENSG00000036257,3606
ENSG00000036448,44
ENSG00000036473,0
ENSG00000036530,212
ENSG00000036549,3159
ENSG00000036565,5
ENSG00000036672,139
ENSG00000036828,0
ENSG00000037042,1643
ENSG00000037241,1570
ENSG00000037280,822
ENSG00000037474,5203
ENSG00000037637,2384
ENSG00000037749,666
ENSG00000037757,2334
ENSG00000037897,1471
ENSG00000037965,339
ENSG00000038002,2729
ENSG00000038210,1983
ENSG00000038219,6418
ENSG00000038274,3887
ENSG00000038295,171
ENSG00000038358,2726
ENSG00000038382,3973
ENSG00000038427,11521
ENSG00000038532,1976
ENSG00000038945,5968
ENSG00000039068,72107
ENSG00000039123,4336
ENSG00000039139,334
ENSG00000039319,4340
ENSG00000039523,7151
ENSG00000039537,96
ENSG00000039560,5241
ENSG00000039600,6
ENSG00000039650,1795
ENSG00000039987,2
ENSG00000040199,1319
ENSG00000040275,925
ENSG00000040341,2887
ENSG00000040487,1668
ENSG00000040531,863
ENSG00000040608,112
ENSG00000040633,1716
ENSG00000040731,0
ENSG00000040933,2173
ENSG00000041353,3430
ENSG00000041357,15914
ENSG00000041515,50
ENSG00000041802,4004
ENSG00000041880,1871
ENSG00000041982,3694
ENSG00000041988,1926
ENSG00000042062,397
ENSG00000042088,1756
ENSG00000042286,1947
ENSG00000042304,0
ENSG00000042317,637
ENSG00000042429,2308
ENSG00000042445,5929
ENSG00000042493,11869
ENSG00000042753,4693
ENSG00000042781,61
ENSG00000042813,0
ENSG00000042832,302
ENSG00000042980,852
ENSG00000043039,2788
ENSG00000043093,2557
ENSG00000043143,2685
ENSG00000043355,281
ENSG00000043462,3802
ENSG00000043514,1132
ENSG00000043591,19
ENSG00000044012,0
ENSG00000044090,5342
ENSG00000044115,20894
ENSG00000044446,2494
ENSG00000044459,358
ENSG00000044524,122
ENSG00000044574,76695
ENSG00000046604,3504
ENSG00000046647,1177
ENSG00000046651,3899
ENSG00000046653,607
ENSG00000046774,0
ENSG00000046889,713
ENSG00000047056,1673
ENSG00000047188,4347
ENSG00000047230,5404
ENSG00000047249,5576
ENSG00000047315,6954
ENSG00000047346,4270
ENSG00000047365,832
ENSG00000047410,15038
ENSG00000047457,88
ENSG00000047578,1541
ENSG00000047579,1388
ENSG00000047597,23
ENSG00000047617,123
ENSG00000047621,1137
ENSG00000047634,3043
ENSG00000047644,7150
ENSG00000047648,249
ENSG00000047662,23
ENSG00000047849,12617
ENSG00000047932,3042
ENSG00000047936,0
ENSG00000048028,2097
ENSG00000048052,286
ENSG00000048140,2607
ENSG00000048162,1721
ENSG00000048342,813
ENSG00000048392,21157
ENSG00000048405,1953
ENSG00000048462,49
ENSG00000048471,1748
ENSG00000048540,97
ENSG00000048544,3013
ENSG00000048545,4
ENSG00000048649,4230
ENSG00000048707,5128
ENSG00000048740,2108
ENSG00000048828,11108
ENSG00000048991,2958
ENSG00000049089,2276
ENSG00000049130,6277
ENSG00000049167,505
ENSG00000049192,255
ENSG00000049239,6518
ENSG00000049245,6752
ENSG00000049246,1939
ENSG00000049247,18
ENSG00000049249,273
ENSG00000049283,2891
ENSG00000049323,4610
ENSG00000049449,8193
ENSG00000049540,1580
ENSG00000049541,2672
ENSG00000049618,6275
ENSG00000049656,6179
ENSG00000049759,7106
ENSG00000049768,761
ENSG00000049769,297
ENSG00000049860,7592
ENSG00000049883,882
ENSG00000050030,212
ENSG00000050130,3990
ENSG00000050165,1690
ENSG00000050327,911
ENSG00000050344,1829
ENSG00000050393,3263
ENSG00000050405,5446
ENSG00000050426,2753
ENSG00000050438,1457
ENSG00000050555,209
ENSG00000050628,1764
ENSG00000050730,45
ENSG00000050748,3842
ENSG00000050767,43
ENSG00000050820,3057
ENSG00000051009,2491
ENSG00000051108,7929
ENSG00000051128,1782
ENSG00000051180,677
ENSG00000051341,753
ENSG00000051382,3155
ENSG00000051523,9414
ENSG00000051596,481
ENSG00000051620,12954
ENSG00000051825,1532
ENSG00000052126,1587
ENSG00000052344,15076
ENSG00000052723,3007
ENSG00000052749,3832
ENSG00000052795,1485
ENSG00000052802,4597
ENSG00000052841,8173
ENSG00000052850,88
ENSG00000053108,317
ENSG00000053254,2524
ENSG00000053328,16
ENSG00000053371,3134
ENSG00000053372,4570
ENSG00000053438,100
ENSG00000053501,1590
ENSG00000053524,24
ENSG00000053702,363
ENSG00000053747,3114
ENSG00000053770,3307
ENSG00000053900,2792
ENSG00000053918,2572
ENSG00000054116,4212
ENSG00000054118,12641
ENSG00000054148,3631
ENSG00000054179,902
ENSG00000054219,742
ENSG00000054267,7373
ENSG00000054277,334
ENSG00000054282,3569
ENSG00000054356,2
ENSG00000054392,2271
ENSG00000054523,5073
ENSG00000054598,549
ENSG00000054611,1072
ENSG00000054654,5984
ENSG00000054690,3340
ENSG00000054793,5239
ENSG00000054796,0
ENSG00000054803,46
ENSG00000054938,12
ENSG00000054965,4083
ENSG00000054967,564
ENSG00000054983,2893
ENSG00000055044,9824
ENSG00000055070,8059
ENSG00000055118,31
ENSG00000055130,5881
ENSG00000055147,1583
ENSG00000055163,1878
ENSG00000055208,6780
ENSG00000055211,5775
ENSG00000055332,9037
ENSG00000055483,7921
ENSG00000055609,8729
ENSG00000055732,969
ENSG00000055813,22
ENSG00000055917,15931
ENSG00000055950,4776
ENSG00000055955,66
ENSG00000055957,3
ENSG00000056050,1486
ENSG00000056097,7486
ENSG00000056277,397
ENSG00000056291,6
ENSG00000056487,8
ENSG00000056558,1201
ENSG00000056586,4216
ENSG00000056736,2038
ENSG00000056972,2404
ENSG00000056998,881
ENSG00000057019,1422
ENSG00000057149,0
ENSG00000057252,2024
ENSG00000057294,993
ENSG00000057468,72
ENSG00000057593,4163
ENSG00000057608,17303
ENSG00000057657,1842
ENSG00000057663,2135
ENSG00000057704,876
ENSG00000057757,4246
ENSG00000057935,5173
ENSG00000058056,1736
ENSG00000058063,2726
ENSG00000058085,559
ENSG00000058091,1520
ENSG00000058262,28384
ENSG00000058272,5335
ENSG00000058335,1364
ENSG00000058404,212
ENSG00000058453,1971
ENSG00000058600,4289
ENSG00000058668,11877
ENSG00000058673,12367
ENSG00000058729,2140
ENSG00000058799,2980
ENSG00000058804,2294
ENSG00000058866,53
ENSG00000059122,1428
ENSG00000059145,1238
ENSG00000059377,1308
ENSG00000059378,4239
ENSG00000059573,7986
ENSG00000059588,2125
ENSG00000059691,1564
ENSG00000059728,3622
ENSG00000059758,2756
ENSG00000059769,830
ENSG00000059804,4776
ENSG00000059915,619
ENSG00000060069,1373
ENSG00000060138,5819
ENSG00000060140,62
ENSG00000060237,17792
ENSG00000060303,2
ENSG00000060339,12897
ENSG00000060491,3713
ENSG00000060558,2088
ENSG00000060566,6
ENSG00000060642,1354
ENSG00000060656,5741
ENSG00000060688,2456
ENSG00000060709,3
ENSG00000060718,3522
ENSG00000060749,2532
ENSG00000060762,2041
ENSG00000060971,4804
ENSG00000060982,1008
ENSG00000061273,5969
ENSG00000061337,702
ENSG00000061455,589
ENSG00000061492,0
ENSG00000061656,400
ENSG00000061676,12170
ENSG00000061794,3550
ENSG00000061918,782
ENSG00000061936,4752
ENSG00000061938,4814
ENSG00000061987,3817
ENSG00000062038,4160
ENSG00000062096,1
ENSG00000062194,10177
ENSG00000062282,1991
ENSG00000062370,428
ENSG00000062485,10801
ENSG00000062524,12
ENSG00000062582,47
ENSG00000062598,4247
ENSG00000062650,6378
ENSG00000062716,18897
ENSG00000062725,4011
ENSG00000062822,959
ENSG00000063015,11
ENSG00000063046,18621
ENSG00000063127,74
ENSG00000063169,2080
ENSG00000063176,531
ENSG00000063177,45913
ENSG00000063180,185
ENSG00000063241,3262
ENSG00000063244,17229
ENSG00000063245,4338
ENSG00000063322,5530
ENSG00000063438,125
ENSG00000063515,1
ENSG00000063587,1438
ENSG00000063601,2742
ENSG00000063660,1965
ENSG00000063761,1064
ENSG00000063854,4466
ENSG00000063978,5537
ENSG00000064012,3238
ENSG00000064042,3168
ENSG00000064102,2500
ENSG00000064115,2264
ENSG00000064195,590
ENSG00000064199,760
ENSG00000064201,90
ENSG00000064205,916
ENSG00000064218,65
ENSG00000064225,500
ENSG00000064270,3017
ENSG00000064300,399
ENSG00000064309,1062
ENSG00000064313,2494
ENSG00000064393,2549
ENSG00000064419,4537
ENSG00000064489,27
ENSG00000064490,2380
ENSG00000064545,1435
ENSG00000064547,1580
ENSG00000064601,11099
ENSG00000064607,4058
ENSG00000064651,3272
ENSG00000064652,955
ENSG00000064655,480
ENSG00000064666,11887
ENSG00000064687,2966
ENSG00000064692,107
ENSG00000064703,2312
ENSG00000064726,4568
ENSG00000064763,1400
ENSG00000064787,6094
ENSG00000064835,10
ENSG00000064886,184
ENSG00000064932,5453
ENSG00000064933,1388
ENSG00000064961,5853
ENSG00000064989,2276
ENSG00000064995,2226
ENSG00000064999,2111
ENSG00000065000,12125
ENSG00000065029,3750
ENSG00000065054,7051
ENSG00000065057,1024
ENSG00000065060,2070
ENSG00000065135,9330
ENSG00000065150,6942
ENSG00000065154,8432
ENSG00000065183,3256
ENSG00000065243,4607
ENSG00000065268,1368
ENSG00000065308,2614
ENSG00000065320,115
ENSG00000065325,13
ENSG00000065328,570
ENSG00000065357,1268
ENSG00000065361,32283
ENSG00000065371,22
ENSG00000065413,702
ENSG00000065427,11761
ENSG00000065457,1761
ENSG00000065485,2020
ENSG00000065491,1538
ENSG00000065518,38835
ENSG00000065526,6913
ENSG00000065534,4505
ENSG00000065548,6780
ENSG00000065559,1787
ENSG00000065600,1584
ENSG00000065609,1
ENSG00000065613,6088
ENSG00000065615,1297
ENSG00000065618,1759
ENSG00000065621,1688
ENSG00000065665,2069
ENSG00000065675,174
ENSG00000065717,3788
ENSG00000065802,679
ENSG00000065809,17428
ENSG00000065833,2041
ENSG00000065882,3404
ENSG00000065883,5728
ENSG00000065911,7631
ENSG00000065923,5133
ENSG00000065970,2860
ENSG00000065978,24233
ENSG00000065989,1548
ENSG00000066027,11482
ENSG00000066032,6
ENSG00000066044,7162
ENSG00000066056,1868
ENSG00000066084,3753
ENSG00000066117,3588
ENSG00000066135,3779
ENSG00000066136,3575
ENSG00000066185,452
ENSG00000066230,72
ENSG00000066248,276
ENSG00000066279,2712
ENSG00000066294,1770
ENSG00000066322,7613
ENSG00000066336,2597
ENSG00000066379,1005
ENSG00000066382,995
ENSG00000066405,4
ENSG00000066422,3139
ENSG00000066427,2914
ENSG00000066455,6531
ENSG00000066468,6492
ENSG00000066557,804
ENSG00000066583,2736
ENSG00000066629,1210
ENSG00000066651,966
ENSG00000066654,9793
ENSG00000066697,683
ENSG00000066735,254
ENSG00000066739,3891
ENSG00000066777,8328
ENSG00000066813,4
ENSG00000066827,1144
ENSG00000066855,3436
ENSG00000066923,323
ENSG00000066926,2949
ENSG00000066933,3304
ENSG00000067048,1
ENSG00000067057,1838
ENSG00000067064,4306
ENSG00000067066,5098
ENSG00000067082,13381
ENSG00000067113,1645
ENSG00000067141,2917
ENSG00000067167,19249
ENSG00000067177,1418
ENSG00000067182,7197
ENSG00000067191,623
ENSG00000067208,1318
ENSG00000067221,715
ENSG00000067225,69193
ENSG00000067248,3944
ENSG00000067334,5847
ENSG00000067365,966
ENSG00000067369,2917
ENSG00000067445,417
ENSG00000067533,2139
ENSG00000067560,31339
ENSG00000067596,3640
ENSG00000067601,104
ENSG00000067606,2161
ENSG00000067646,0
ENSG00000067704,15218
ENSG00000067715,30
ENSG00000067798,165
ENSG00000067829,4018
ENSG00000067836,3045
ENSG00000067840,161
ENSG00000067842,1
ENSG00000067900,4363
ENSG00000067955,6324
ENSG00000067992,868
ENSG00000068001,4185
ENSG00000068024,346
ENSG00000068028,3014
ENSG00000068078,1190
ENSG00000068079,3775
ENSG00000068097,2195
ENSG00000068120,6779
ENSG00000068137,3162
ENSG00000068305,3945
ENSG00000068308,3802
ENSG00000068323,3621
ENSG00000068354,1023
ENSG00000068366,2155
ENSG00000068383,2346
ENSG00000068394,1550
ENSG00000068400,4126
ENSG00000068438,2418
ENSG00000068489,1009
ENSG00000068615,2528
ENSG00000068650,2614
ENSG00000068654,3336
ENSG00000068697,30261
ENSG00000068724,1605
ENSG00000068745,8858
ENSG00000068781,2
ENSG00000068784,1640
ENSG00000068796,1039
ENSG00000068831,254
ENSG00000068878,10850
ENSG00000068885,875
ENSG00000068903,4804
ENSG00000068912,5302
ENSG00000068971,1399
ENSG00000068976,98
ENSG00000068985,0
ENSG00000069011,1644
ENSG00000069018,4
ENSG00000069020,8043
ENSG00000069122,2358
ENSG00000069188,1200
ENSG00000069206,0
ENSG00000069248,1701
ENSG00000069275,42897
ENSG00000069329,11878
ENSG00000069345,8586
ENSG00000069399,4905
ENSG00000069424,1521
ENSG00000069431,851
ENSG00000069482,30
ENSG00000069493,2514
ENSG00000069509,4395
ENSG00000069535,832
ENSG00000069667,1035
ENSG00000069696,16
ENSG00000069702,1638
ENSG00000069712,492
ENSG00000069764,16
ENSG00000069812,547
ENSG00000069849,7920
ENSG00000069869,1086
ENSG00000069943,770
ENSG00000069956,2544
ENSG00000069966,1907
ENSG00000069974,873
ENSG00000069998,1571
ENSG00000070010,7006
ENSG00000070018,2560
ENSG00000070019,114
ENSG00000070031,9
ENSG00000070047,4376
ENSG00000070061,2924
ENSG00000070081,42822
ENSG00000070087,4518
ENSG00000070159,2391
ENSG00000070182,36
ENSG00000070190,599
ENSG00000070193,136
ENSG00000070214,5133
ENSG00000070269,1815
ENSG00000070366,703
ENSG00000070367,4034
ENSG00000070371,105
ENSG00000070388,9
ENSG00000070404,1425
ENSG00000070413,6275
ENSG00000070423,2294
ENSG00000070444,1621
ENSG00000070476,2529
ENSG00000070495,1888
ENSG00000070501,878
ENSG00000070526,52
ENSG00000070540,2310
ENSG00000070601,24
ENSG00000070610,3349
ENSG00000070614,11334
ENSG00000070669,2047
ENSG00000070718,949
ENSG00000070729,3
ENSG00000070731,1580
ENSG00000070748,0
ENSG00000070756,406835
ENSG00000070759,2092
ENSG00000070761,1851
ENSG00000070770,4489
ENSG00000070778,1181
ENSG00000070785,1962
ENSG00000070808,29
ENSG00000070814,4249
ENSG00000070831,20106
ENSG00000070882,903
ENSG00000070886,9
ENSG00000070915,14
ENSG00000070950,1274
ENSG00000070961,3416
ENSG00000070985,19
ENSG00000071051,2550
ENSG00000071054,5993
ENSG00000071073,5517
ENSG00000071082,44462
ENSG00000071127,17652
ENSG00000071189,3081
ENSG00000071203,0
ENSG00000071205,1458
ENSG00000071242,1862
ENSG00000071243,591
ENSG00000071246,1557
ENSG00000071282,2518
ENSG00000071462,7454
ENSG00000071537,12353
ENSG00000071539,936
ENSG00000071553,36468
ENSG00000071564,5092
ENSG00000071575,6425
ENSG00000071626,8825
ENSG00000071655,3532
ENSG00000071677,3
ENSG00000071794,2086
ENSG00000071859,6391
ENSG00000071889,1894
ENSG00000071894,6186
ENSG00000071909,9
ENSG00000071967,5750
ENSG00000071991,0
ENSG00000071994,4119
ENSG00000072041,4
ENSG00000072042,6332
ENSG00000072062,13631
ENSG00000072071,6321
ENSG00000072080,1
ENSG00000072110,9954
ENSG00000072121,2440
ENSG00000072133,530
ENSG00000072134,1635
ENSG00000072135,7664
ENSG00000072163,955
ENSG00000072182,10
ENSG00000072195,228
ENSG00000072201,882
ENSG00000072210,7539
ENSG00000072274,7813
ENSG00000072310,24434
ENSG00000072315,2
ENSG00000072364,9982
ENSG00000072401,1238
ENSG00000072415,2336
