Gene stable ID,f1fd4b74-1bd9-4ca1-a437-930df81489c0
ENSG00000010818,853
ENSG00000010932,152
ENSG00000011007,1734
ENSG00000011009,3451
ENSG00000011021,257
ENSG00000011028,4838
ENSG00000011052,23
ENSG00000011083,7
ENSG00000011105,3770
ENSG00000011114,1912
ENSG00000011132,312
ENSG00000011143,773
ENSG00000011198,1023
ENSG00000011201,1087
ENSG00000011243,1135
ENSG00000011258,758
ENSG00000011260,1094
ENSG00000011275,1446
ENSG00000011295,1618
ENSG00000011304,14828
ENSG00000011332,11
ENSG00000011347,4121
ENSG00000011376,695
ENSG00000011405,1842
ENSG00000011422,1560
ENSG00000011426,2927
ENSG00000011451,2377
ENSG00000011454,2536
ENSG00000011465,26849
ENSG00000011478,694
ENSG00000011485,1248
ENSG00000011523,743
ENSG00000011566,1725
ENSG00000011590,0
ENSG00000011600,1514
ENSG00000011638,3362
ENSG00000011677,16
ENSG00000012048,670
ENSG00000012061,2453
ENSG00000012124,41
ENSG00000012171,553
ENSG00000012174,1561
ENSG00000012211,506
ENSG00000012223,143527
ENSG00000012232,774
ENSG00000012504,5
ENSG00000012660,11625
ENSG00000012779,156
ENSG00000012817,0
ENSG00000012822,1248
ENSG00000012963,4975
ENSG00000012983,3992
ENSG00000013016,501
ENSG00000013275,5108
ENSG00000013288,2173
ENSG00000013293,0
ENSG00000013297,77
ENSG00000013306,5634
ENSG00000013364,7036
ENSG00000013374,3030
ENSG00000013375,2416
ENSG00000013392,448
ENSG00000013441,2634
ENSG00000013503,927
ENSG00000013523,441
ENSG00000013561,2502
ENSG00000013563,281
ENSG00000013573,606
ENSG00000013583,4249
ENSG00000013588,34754
ENSG00000013619,145
ENSG00000013725,42
ENSG00000013810,1768
ENSG00000014123,2258
ENSG00000014138,861
ENSG00000014164,1729
ENSG00000014216,5135
ENSG00000014257,278
ENSG00000014641,5332
ENSG00000014824,2254
ENSG00000014914,685
ENSG00000014919,1473
ENSG00000015133,4625
ENSG00000015153,1030
ENSG00000015171,2943
ENSG00000015285,152
ENSG00000015413,101
ENSG00000015475,950
ENSG00000015479,111
ENSG00000015520,42
ENSG00000015532,794
ENSG00000015568,2
ENSG00000015592,0
ENSG00000015676,4441
ENSG00000016082,6
ENSG00000016391,849
ENSG00000016402,346
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,3095
ENSG00000017260,5942
ENSG00000017427,40
ENSG00000017483,228
ENSG00000017797,1549
ENSG00000018189,797
ENSG00000018236,1114
ENSG00000018280,140
ENSG00000018408,3648
ENSG00000018510,2948
ENSG00000018607,0
ENSG00000018610,795
ENSG00000018625,5
ENSG00000018699,742
ENSG00000018869,226
ENSG00000019102,580
ENSG00000019144,1591
ENSG00000019169,12
ENSG00000019186,0
ENSG00000019485,205
ENSG00000019505,362
ENSG00000019549,2102
ENSG00000019582,69747
ENSG00000019991,99
ENSG00000019995,706
ENSG00000020129,1746
ENSG00000020181,905
ENSG00000020219,0
ENSG00000020256,579
ENSG00000020426,2821
ENSG00000020577,463
ENSG00000020633,153
ENSG00000020922,1161
ENSG00000021300,386
ENSG00000021355,2544
ENSG00000021461,0
ENSG00000021488,15
ENSG00000021574,1074
ENSG00000021645,51
ENSG00000021762,1240
ENSG00000021776,3567
ENSG00000021826,221
ENSG00000021852,9
ENSG00000022267,1423
ENSG00000022277,4937
ENSG00000022355,0
ENSG00000022556,708
ENSG00000022567,454
ENSG00000022840,14730
ENSG00000022976,228
ENSG00000023041,2972
ENSG00000023171,25
ENSG00000023191,3744
ENSG00000023228,4247
ENSG00000023287,2392
ENSG00000023318,5039
ENSG00000023330,1169
ENSG00000023445,387
ENSG00000023516,1350
ENSG00000023572,1493
ENSG00000023608,1176
ENSG00000023697,1608
ENSG00000023734,6840
ENSG00000023839,15
ENSG00000023892,1097
ENSG00000023902,2567
ENSG00000023909,729
ENSG00000024048,3666
ENSG00000024422,4553
ENSG00000024526,380
ENSG00000024862,1241
ENSG00000025039,211
ENSG00000025156,793
ENSG00000025293,3366
ENSG00000025423,312
ENSG00000025434,487
ENSG00000025708,672
ENSG00000025770,599
ENSG00000025772,3105
ENSG00000025796,6818
ENSG00000025800,2320
ENSG00000026025,66137
ENSG00000026036,36
ENSG00000026103,454
ENSG00000026297,2480
ENSG00000026508,3998
ENSG00000026559,18
ENSG00000026652,277
ENSG00000026751,79
ENSG00000026950,468
ENSG00000027001,7428
ENSG00000027075,1353
ENSG00000027644,4
ENSG00000027697,4608
ENSG00000027847,1252
ENSG00000027869,77
ENSG00000028116,812
ENSG00000028137,472
ENSG00000028203,4749
ENSG00000028277,319
ENSG00000028310,1085
ENSG00000028528,4130
ENSG00000028839,899
ENSG00000029153,407
ENSG00000029363,7573
ENSG00000029364,5889
ENSG00000029534,26
ENSG00000029559,1656
ENSG00000029639,470
ENSG00000029725,5964
ENSG00000029993,7998
ENSG00000030066,2258
ENSG00000030110,686
ENSG00000030304,0
ENSG00000030419,2313
ENSG00000030582,5842
ENSG00000031003,1479
ENSG00000031081,1242
ENSG00000031691,690
ENSG00000031698,2012
ENSG00000031823,2389
ENSG00000032219,528
ENSG00000032389,972
ENSG00000032444,729
ENSG00000032742,1527
ENSG00000033011,1096
ENSG00000033030,1491
ENSG00000033050,2199
ENSG00000033100,2503
ENSG00000033122,11
ENSG00000033170,4332
ENSG00000033178,1541
ENSG00000033327,417
ENSG00000033627,1119
ENSG00000033800,1609
ENSG00000033867,788
ENSG00000034053,216
ENSG00000034152,1782
ENSG00000034239,50
ENSG00000034510,96935
ENSG00000034533,495
ENSG00000034677,1512
ENSG00000034693,627
ENSG00000034713,3429
ENSG00000034971,0
ENSG00000035115,1365
ENSG00000035141,2085
ENSG00000035403,9006
ENSG00000035499,333
ENSG00000035664,296
ENSG00000035681,687
ENSG00000035687,5223
ENSG00000035720,16
ENSG00000035862,17734
ENSG00000035928,1175
ENSG00000036054,1798
ENSG00000036257,3946
ENSG00000036448,133
ENSG00000036473,0
ENSG00000036530,51
ENSG00000036549,1259
ENSG00000036565,0
ENSG00000036672,223
ENSG00000036828,0
ENSG00000037042,559
ENSG00000037241,1246
ENSG00000037280,941
ENSG00000037474,3669
ENSG00000037637,1068
ENSG00000037749,271
ENSG00000037757,648
ENSG00000037897,1363
ENSG00000037965,500
ENSG00000038002,1254
ENSG00000038210,859
ENSG00000038219,1377
ENSG00000038274,3139
ENSG00000038295,257
ENSG00000038358,186
ENSG00000038382,2445
ENSG00000038427,24713
ENSG00000038532,2095
ENSG00000038945,1152
ENSG00000039068,20950
ENSG00000039123,2831
ENSG00000039139,566
ENSG00000039319,2746
ENSG00000039523,1593
ENSG00000039537,37
ENSG00000039560,3381
ENSG00000039600,19
ENSG00000039650,1282
ENSG00000039987,0
ENSG00000040199,322
ENSG00000040275,640
ENSG00000040341,1953
ENSG00000040487,503
ENSG00000040531,538
ENSG00000040608,225
ENSG00000040633,1770
ENSG00000040731,0
ENSG00000040933,572
ENSG00000041353,2038
ENSG00000041357,7307
ENSG00000041515,26
ENSG00000041802,1597
ENSG00000041880,1195
ENSG00000041982,2753
ENSG00000041988,340
ENSG00000042062,139
ENSG00000042088,1359
ENSG00000042286,1057
ENSG00000042304,0
ENSG00000042317,381
ENSG00000042429,1149
ENSG00000042445,2232
ENSG00000042493,5953
ENSG00000042753,5723
ENSG00000042781,7
ENSG00000042813,4
ENSG00000042832,31
ENSG00000042980,144
ENSG00000043039,243
ENSG00000043093,1572
ENSG00000043143,555
ENSG00000043355,306
ENSG00000043462,890
ENSG00000043514,584
ENSG00000043591,268
ENSG00000044012,0
ENSG00000044090,1474
ENSG00000044115,24835
ENSG00000044446,953
ENSG00000044459,457
ENSG00000044524,230
ENSG00000044574,24644
ENSG00000046604,4169
ENSG00000046647,843
ENSG00000046651,2777
ENSG00000046653,1114
ENSG00000046774,0
ENSG00000046889,200
ENSG00000047056,360
ENSG00000047188,1403
ENSG00000047230,4213
ENSG00000047249,2221
ENSG00000047315,2313
ENSG00000047346,5867
ENSG00000047365,72
ENSG00000047410,4506
ENSG00000047457,601
ENSG00000047578,2550
ENSG00000047579,953
ENSG00000047597,37
ENSG00000047617,52
ENSG00000047621,664
ENSG00000047634,364
ENSG00000047644,6633
ENSG00000047648,508
ENSG00000047662,15
ENSG00000047849,7669
ENSG00000047932,2381
ENSG00000047936,0
ENSG00000048028,1219
ENSG00000048052,204
ENSG00000048140,627
ENSG00000048162,744
ENSG00000048342,734
ENSG00000048392,1383
ENSG00000048405,1168
ENSG00000048462,8
ENSG00000048471,1187
ENSG00000048540,49
ENSG00000048544,3789
ENSG00000048545,9
ENSG00000048649,2245
ENSG00000048707,1804
ENSG00000048740,308
ENSG00000048828,11017
ENSG00000048991,1740
ENSG00000049089,1329
ENSG00000049130,6014
ENSG00000049167,373
ENSG00000049192,164
ENSG00000049239,1712
ENSG00000049245,2323
ENSG00000049246,264
ENSG00000049247,8
ENSG00000049249,54
ENSG00000049283,1135
ENSG00000049323,2064
ENSG00000049449,4548
ENSG00000049540,1061
ENSG00000049541,2159
ENSG00000049618,3212
ENSG00000049656,3093
ENSG00000049759,2038
ENSG00000049768,189
ENSG00000049769,452
ENSG00000049860,3952
ENSG00000049883,658
ENSG00000050030,157
ENSG00000050130,1867
ENSG00000050165,3366
ENSG00000050327,293
ENSG00000050344,1417
ENSG00000050393,2582
ENSG00000050405,5488
ENSG00000050426,1751
ENSG00000050438,1660
ENSG00000050555,16
ENSG00000050628,140
ENSG00000050730,19
ENSG00000050748,3960
ENSG00000050767,106
ENSG00000050820,2210
ENSG00000051009,1152
ENSG00000051108,4589
ENSG00000051128,812
ENSG00000051180,474
ENSG00000051341,229
ENSG00000051382,1655
ENSG00000051523,3240
ENSG00000051596,1151
ENSG00000051620,10387
ENSG00000051825,565
ENSG00000052126,1443
ENSG00000052344,15455
ENSG00000052723,1573
ENSG00000052749,855
ENSG00000052795,1118
ENSG00000052802,1378
ENSG00000052841,2811
ENSG00000052850,3
ENSG00000053108,699
ENSG00000053254,1414
ENSG00000053328,1
ENSG00000053371,1762
ENSG00000053372,1582
ENSG00000053438,5
ENSG00000053501,903
ENSG00000053524,19
ENSG00000053702,134
ENSG00000053747,190
ENSG00000053770,5472
ENSG00000053900,621
ENSG00000053918,391
ENSG00000054116,1976
ENSG00000054118,4918
ENSG00000054148,3107
ENSG00000054179,752
ENSG00000054219,262
ENSG00000054267,3377
ENSG00000054277,102
ENSG00000054282,878
ENSG00000054356,22
ENSG00000054392,864
ENSG00000054523,1239
ENSG00000054598,272
ENSG00000054611,700
ENSG00000054654,4438
ENSG00000054690,124
ENSG00000054793,3133
ENSG00000054796,0
ENSG00000054803,90
ENSG00000054938,19
ENSG00000054965,4574
ENSG00000054967,432
ENSG00000054983,2131
ENSG00000055044,6741
ENSG00000055070,3682
ENSG00000055118,3
ENSG00000055130,2637
ENSG00000055147,1023
ENSG00000055163,1359
ENSG00000055208,5242
ENSG00000055211,2058
ENSG00000055332,3953
ENSG00000055483,1006
ENSG00000055609,3932
ENSG00000055732,2
ENSG00000055813,0
ENSG00000055917,7168
ENSG00000055950,2289
ENSG00000055955,22
ENSG00000055957,0
ENSG00000056050,962
ENSG00000056097,3728
ENSG00000056277,146
ENSG00000056291,8
ENSG00000056487,1
ENSG00000056558,340
ENSG00000056586,1202
ENSG00000056736,353
ENSG00000056972,1445
ENSG00000056998,510
ENSG00000057019,1687
ENSG00000057149,0
ENSG00000057252,1537
ENSG00000057294,841
ENSG00000057468,8
ENSG00000057593,581
ENSG00000057608,9307
ENSG00000057657,690
ENSG00000057663,1655
ENSG00000057704,112
ENSG00000057757,2959
ENSG00000057935,4934
ENSG00000058056,502
ENSG00000058063,790
ENSG00000058085,855
ENSG00000058091,2521
ENSG00000058262,8791
ENSG00000058272,3330
ENSG00000058335,36
ENSG00000058404,157
ENSG00000058453,453
ENSG00000058600,3241
ENSG00000058668,3976
ENSG00000058673,6997
ENSG00000058729,2163
ENSG00000058799,1898
ENSG00000058804,1034
ENSG00000058866,16
ENSG00000059122,1089
ENSG00000059145,291
ENSG00000059377,261
ENSG00000059378,1434
ENSG00000059573,4897
ENSG00000059588,1480
ENSG00000059691,482
ENSG00000059728,915
ENSG00000059758,1606
ENSG00000059769,620
ENSG00000059804,1054
ENSG00000059915,115
ENSG00000060069,605
ENSG00000060138,2156
ENSG00000060140,162
ENSG00000060237,8795
ENSG00000060303,0
ENSG00000060339,7182
ENSG00000060491,1789
ENSG00000060558,272
ENSG00000060566,0
ENSG00000060642,844
ENSG00000060656,769
ENSG00000060688,1213
ENSG00000060709,98
ENSG00000060718,19507
ENSG00000060749,1500
ENSG00000060762,1730
ENSG00000060971,1802
ENSG00000060982,1456
ENSG00000061273,2910
ENSG00000061337,1273
ENSG00000061455,205
ENSG00000061492,0
ENSG00000061656,542
ENSG00000061676,7752
ENSG00000061794,4830
ENSG00000061918,1741
ENSG00000061936,3111
ENSG00000061938,1966
ENSG00000061987,1820
ENSG00000062038,485
ENSG00000062096,2
ENSG00000062194,4770
ENSG00000062282,316
ENSG00000062370,177
ENSG00000062485,6155
ENSG00000062524,0
ENSG00000062582,113
ENSG00000062598,3252
ENSG00000062650,2118
ENSG00000062716,8365
ENSG00000062725,1809
ENSG00000062822,306
ENSG00000063015,0
ENSG00000063046,12108
ENSG00000063127,26
ENSG00000063169,1107
ENSG00000063176,246
ENSG00000063177,35569
ENSG00000063180,155
ENSG00000063241,1712
ENSG00000063244,5145
ENSG00000063245,3867
ENSG00000063322,3430
ENSG00000063438,68
ENSG00000063515,0
ENSG00000063587,1439
ENSG00000063601,1128
ENSG00000063660,2517
ENSG00000063761,314
ENSG00000063854,2957
ENSG00000063978,1491
ENSG00000064012,2924
ENSG00000064042,3879
ENSG00000064102,1528
ENSG00000064115,3195
ENSG00000064195,76
ENSG00000064199,2038
ENSG00000064201,6
ENSG00000064205,1326
ENSG00000064218,82
ENSG00000064225,276
ENSG00000064270,388
ENSG00000064300,29
ENSG00000064309,1284
ENSG00000064313,758
ENSG00000064393,2430
ENSG00000064419,2681
ENSG00000064489,4
ENSG00000064490,2287
ENSG00000064545,500
ENSG00000064547,396
ENSG00000064601,5304
ENSG00000064607,688
ENSG00000064651,5559
ENSG00000064652,475
ENSG00000064655,4532
ENSG00000064666,4977
ENSG00000064687,301
ENSG00000064692,32
ENSG00000064703,892
ENSG00000064726,1862
ENSG00000064763,2552
ENSG00000064787,1032
ENSG00000064835,0
ENSG00000064886,434
ENSG00000064932,2718
ENSG00000064933,541
ENSG00000064961,5178
ENSG00000064989,780
ENSG00000064995,2558
ENSG00000064999,1273
ENSG00000065000,3235
ENSG00000065029,1303
ENSG00000065054,12382
ENSG00000065057,1399
ENSG00000065060,872
ENSG00000065135,3883
ENSG00000065150,2775
ENSG00000065154,31461
ENSG00000065183,2036
ENSG00000065243,1193
ENSG00000065268,1204
ENSG00000065308,2229
ENSG00000065320,183
ENSG00000065325,1
ENSG00000065328,296
ENSG00000065357,1749
ENSG00000065361,40929
ENSG00000065371,0
ENSG00000065413,215
ENSG00000065427,6236
ENSG00000065457,1283
ENSG00000065485,1249
ENSG00000065491,1233
ENSG00000065518,9574
ENSG00000065526,2472
ENSG00000065534,5357
ENSG00000065548,4027
ENSG00000065559,1883
ENSG00000065600,591
ENSG00000065609,0
ENSG00000065613,1538
ENSG00000065615,464
ENSG00000065618,66
ENSG00000065621,273
ENSG00000065665,106
ENSG00000065675,16
ENSG00000065717,547
ENSG00000065802,471
ENSG00000065809,5230
ENSG00000065833,152
ENSG00000065882,2046
ENSG00000065883,3472
ENSG00000065911,3235
ENSG00000065923,1160
ENSG00000065970,1342
ENSG00000065978,9532
ENSG00000065989,1394
ENSG00000066027,6436
ENSG00000066032,8
ENSG00000066044,5363
ENSG00000066056,1492
ENSG00000066084,2544
ENSG00000066117,4242
ENSG00000066135,1171
ENSG00000066136,2219
ENSG00000066185,356
ENSG00000066230,4
ENSG00000066248,340
ENSG00000066279,949
ENSG00000066294,177
ENSG00000066322,2113
ENSG00000066336,515
ENSG00000066379,1090
ENSG00000066382,166
ENSG00000066405,9
ENSG00000066422,994
ENSG00000066427,1527
ENSG00000066455,6404
ENSG00000066468,3945
ENSG00000066557,588
ENSG00000066583,3039
ENSG00000066629,511
ENSG00000066651,428
ENSG00000066654,7826
ENSG00000066697,644
ENSG00000066735,117
ENSG00000066739,1741
ENSG00000066777,2376
ENSG00000066813,0
ENSG00000066827,326
ENSG00000066855,1162
ENSG00000066923,21
ENSG00000066926,832
ENSG00000066933,1160
ENSG00000067048,0
ENSG00000067057,693
ENSG00000067064,1647
ENSG00000067066,2738
ENSG00000067082,4430
ENSG00000067113,1032
ENSG00000067141,1433
ENSG00000067167,8535
ENSG00000067177,624
ENSG00000067182,4189
ENSG00000067191,98
ENSG00000067208,468
ENSG00000067221,331
ENSG00000067225,50895
ENSG00000067248,2434
ENSG00000067334,3308
ENSG00000067365,610
ENSG00000067369,835
ENSG00000067445,367
ENSG00000067533,1501
ENSG00000067560,22663
ENSG00000067596,1617
ENSG00000067601,36
ENSG00000067606,208
ENSG00000067646,0
ENSG00000067704,6380
ENSG00000067715,1419
ENSG00000067798,207
ENSG00000067829,2133
ENSG00000067836,1958
ENSG00000067840,20
ENSG00000067842,1
ENSG00000067900,1228
ENSG00000067955,3248
ENSG00000067992,1328
ENSG00000068001,2617
ENSG00000068024,454
ENSG00000068028,1296
ENSG00000068078,370
ENSG00000068079,923
ENSG00000068097,1007
ENSG00000068120,2776
ENSG00000068137,1306
ENSG00000068305,1553
ENSG00000068308,2766
ENSG00000068323,2419
ENSG00000068354,610
ENSG00000068366,1214
ENSG00000068383,444
ENSG00000068394,796
ENSG00000068400,1857
ENSG00000068438,2789
ENSG00000068489,489
ENSG00000068615,522
ENSG00000068650,440
ENSG00000068654,1565
ENSG00000068697,17671
ENSG00000068724,729
ENSG00000068745,3902
ENSG00000068781,12
ENSG00000068784,977
ENSG00000068796,772
ENSG00000068831,69
ENSG00000068878,4896
ENSG00000068885,587
ENSG00000068903,1396
ENSG00000068912,3332
ENSG00000068971,508
ENSG00000068976,26
ENSG00000068985,1
ENSG00000069011,2055
ENSG00000069018,0
ENSG00000069020,1758
ENSG00000069122,1781
ENSG00000069188,25
ENSG00000069206,0
ENSG00000069248,3598
ENSG00000069275,29545
ENSG00000069329,31393
ENSG00000069345,11908
ENSG00000069399,3334
ENSG00000069424,357
ENSG00000069431,1072
ENSG00000069482,12
ENSG00000069493,336
ENSG00000069509,3050
ENSG00000069535,730
ENSG00000069667,265
ENSG00000069696,84
ENSG00000069702,1002
ENSG00000069712,93
ENSG00000069764,69
ENSG00000069812,133
ENSG00000069849,3427
ENSG00000069869,759
ENSG00000069943,298
ENSG00000069956,4114
ENSG00000069966,577
ENSG00000069974,2787
ENSG00000069998,433
ENSG00000070010,3307
ENSG00000070018,1710
ENSG00000070019,67
ENSG00000070031,117
ENSG00000070047,893
ENSG00000070061,717
ENSG00000070081,18741
ENSG00000070087,1212
ENSG00000070159,1142
ENSG00000070182,30
ENSG00000070190,474
ENSG00000070193,76
ENSG00000070214,9690
ENSG00000070269,1688
ENSG00000070366,237
ENSG00000070367,5160
ENSG00000070371,94
ENSG00000070388,0
ENSG00000070404,570
ENSG00000070413,4321
ENSG00000070423,1566
ENSG00000070444,784
ENSG00000070476,682
ENSG00000070495,641
ENSG00000070501,2273
ENSG00000070526,751
ENSG00000070540,563
ENSG00000070601,3
ENSG00000070610,1306
ENSG00000070614,3477
ENSG00000070669,921
ENSG00000070718,998
ENSG00000070729,0
ENSG00000070731,3661
ENSG00000070748,0
ENSG00000070756,29677
ENSG00000070759,452
ENSG00000070761,1366
ENSG00000070770,2173
ENSG00000070778,581
ENSG00000070785,1079
ENSG00000070808,43
ENSG00000070814,2304
ENSG00000070831,11299
ENSG00000070882,328
ENSG00000070886,2
ENSG00000070915,5
ENSG00000070950,1294
ENSG00000070961,2154
ENSG00000070985,0
ENSG00000071051,2178
ENSG00000071054,8573
ENSG00000071073,1533
ENSG00000071082,34260
ENSG00000071127,9771
ENSG00000071189,1162
ENSG00000071203,0
ENSG00000071205,246
ENSG00000071242,1313
ENSG00000071243,377
ENSG00000071246,658
ENSG00000071282,2519
ENSG00000071462,6702
ENSG00000071537,7369
ENSG00000071539,935
ENSG00000071553,9161
ENSG00000071564,3732
ENSG00000071575,2896
ENSG00000071626,3731
ENSG00000071655,2391
ENSG00000071677,2
ENSG00000071794,976
ENSG00000071859,2764
ENSG00000071889,1311
ENSG00000071894,1582
ENSG00000071909,79
ENSG00000071967,14095
ENSG00000071991,0
ENSG00000071994,2844
ENSG00000072041,0
ENSG00000072042,3915
ENSG00000072062,6911
ENSG00000072071,1188
ENSG00000072080,0
ENSG00000072110,9369
ENSG00000072121,641
ENSG00000072133,115
ENSG00000072134,931
ENSG00000072135,5871
ENSG00000072163,657
ENSG00000072182,0
ENSG00000072195,525
ENSG00000072201,411
ENSG00000072210,1780
ENSG00000072274,2335
ENSG00000072310,19342
ENSG00000072315,0
ENSG00000072364,4390
ENSG00000072401,1219
ENSG00000072415,1496
ENSG00000072422,731
ENSG00000072501,4315
ENSG00000072506,5261
ENSG00000072518,2146
ENSG00000072571,399
ENSG00000072609,1000
ENSG00000072657,0
ENSG00000072682,2655
ENSG00000072694,166
ENSG00000072736,560
ENSG00000072756,999
ENSG00000072778,3718
ENSG00000072786,523
ENSG00000072803,1355
ENSG00000072818,149
ENSG00000072832,567
ENSG00000072840,293
