Gene stable ID,56babe63-bf30-4737-bc73-1000976821e8
ENSG00000007376,2318
ENSG00000007384,6829
ENSG00000007392,4041
ENSG00000007402,505
ENSG00000007516,6361
ENSG00000007520,3576
ENSG00000007541,8243
ENSG00000007545,3663
ENSG00000007866,2769
ENSG00000007908,53
ENSG00000007923,2369
ENSG00000007933,285
ENSG00000007944,3596
ENSG00000007952,49
ENSG00000007968,334
ENSG00000008018,10969
ENSG00000008056,213
ENSG00000008083,2041
ENSG00000008086,1716
ENSG00000008118,9
ENSG00000008128,456
ENSG00000008130,4121
ENSG00000008196,4487
ENSG00000008197,0
ENSG00000008226,48
ENSG00000008256,3967
ENSG00000008277,231
ENSG00000008282,8339
ENSG00000008283,14627
ENSG00000008294,6412
ENSG00000008300,179
ENSG00000008311,238
ENSG00000008323,1118
ENSG00000008324,881
ENSG00000008382,1019
ENSG00000008394,6627
ENSG00000008405,2937
ENSG00000008438,3
ENSG00000008441,4059
ENSG00000008513,7213
ENSG00000008516,842
ENSG00000008517,2052
ENSG00000008710,6948
ENSG00000008735,1264
ENSG00000008838,7564
ENSG00000008853,1460
ENSG00000008869,3101
ENSG00000008952,8216
ENSG00000008988,55890
ENSG00000009307,48028
ENSG00000009335,6847
ENSG00000009413,1778
ENSG00000009694,66
ENSG00000009709,0
ENSG00000009724,97
ENSG00000009765,20
ENSG00000009780,1036
ENSG00000009790,202
ENSG00000009830,1679
ENSG00000009844,4690
ENSG00000009950,219
ENSG00000009954,9537
ENSG00000010017,5456
ENSG00000010030,96
ENSG00000010072,691
ENSG00000010165,2796
ENSG00000010219,1129
ENSG00000010244,9580
ENSG00000010256,11291
ENSG00000010270,1378
ENSG00000010278,44353
ENSG00000010282,3
ENSG00000010292,3941
ENSG00000010295,1028
ENSG00000010310,207
ENSG00000010318,288
ENSG00000010319,7459
ENSG00000010322,7893
ENSG00000010327,6740
ENSG00000010361,1705
ENSG00000010379,2
ENSG00000010404,8125
ENSG00000010438,2
ENSG00000010539,724
ENSG00000010610,4160
ENSG00000010626,878
ENSG00000010671,625
ENSG00000010704,1140
ENSG00000010803,2524
ENSG00000010810,1979
ENSG00000010818,2919
ENSG00000010932,317
ENSG00000011007,3610
ENSG00000011009,5521
ENSG00000011021,1580
ENSG00000011028,18271
ENSG00000011052,59
ENSG00000011083,3
ENSG00000011105,7279
ENSG00000011114,2925
ENSG00000011132,595
ENSG00000011143,1166
ENSG00000011198,1367
ENSG00000011201,896
ENSG00000011243,3227
ENSG00000011258,1341
ENSG00000011260,2211
ENSG00000011275,4540
ENSG00000011295,4101
ENSG00000011304,15172
ENSG00000011332,45
ENSG00000011347,3687
ENSG00000011376,1528
ENSG00000011405,4179
ENSG00000011422,3352
ENSG00000011426,1035
ENSG00000011451,3305
ENSG00000011454,5755
ENSG00000011465,83113
ENSG00000011478,861
ENSG00000011485,3766
ENSG00000011523,3022
ENSG00000011566,2588
ENSG00000011590,27
ENSG00000011600,3459
ENSG00000011638,3948
ENSG00000011677,1
ENSG00000012048,715
ENSG00000012061,3738
ENSG00000012124,543
ENSG00000012171,6964
ENSG00000012174,2040
ENSG00000012211,743
ENSG00000012223,342
ENSG00000012232,2610
ENSG00000012504,0
ENSG00000012660,18074
ENSG00000012779,1751
ENSG00000012817,1
ENSG00000012822,5872
ENSG00000012963,3748
ENSG00000012983,3782
ENSG00000013016,796
ENSG00000013275,5543
ENSG00000013288,6445
ENSG00000013293,0
ENSG00000013297,206
ENSG00000013306,9308
ENSG00000013364,20275
ENSG00000013374,5069
ENSG00000013375,4605
ENSG00000013392,1093
ENSG00000013441,5104
ENSG00000013503,1183
ENSG00000013523,1627
ENSG00000013561,5049
ENSG00000013563,1237
ENSG00000013573,809
ENSG00000013583,9783
ENSG00000013588,37032
ENSG00000013619,585
ENSG00000013725,270
ENSG00000013810,1332
ENSG00000014123,3890
ENSG00000014138,1263
ENSG00000014164,2922
ENSG00000014216,19063
ENSG00000014257,42
ENSG00000014641,7391
ENSG00000014824,4803
ENSG00000014914,1146
ENSG00000014919,3436
ENSG00000015133,6109
ENSG00000015153,680
ENSG00000015171,9133
ENSG00000015285,513
ENSG00000015413,76
ENSG00000015475,1005
ENSG00000015479,360
ENSG00000015520,102
ENSG00000015532,2039
ENSG00000015568,0
ENSG00000015592,0
ENSG00000015676,8793
ENSG00000016082,0
ENSG00000016391,3274
ENSG00000016402,278
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,4665
ENSG00000017260,7068
ENSG00000017427,425
ENSG00000017483,435
ENSG00000017797,7003
ENSG00000018189,1578
ENSG00000018236,713
ENSG00000018280,455
ENSG00000018408,5159
ENSG00000018510,3122
ENSG00000018607,0
ENSG00000018610,1557
ENSG00000018625,345
ENSG00000018699,1839
ENSG00000018869,200
ENSG00000019102,720
ENSG00000019144,7030
ENSG00000019169,146
ENSG00000019186,3
ENSG00000019485,804
ENSG00000019505,7939
ENSG00000019549,1318
ENSG00000019582,114373
ENSG00000019991,520
ENSG00000019995,2054
ENSG00000020129,2995
ENSG00000020181,3876
ENSG00000020219,0
ENSG00000020256,1222
ENSG00000020426,1127
ENSG00000020577,2047
ENSG00000020633,497
ENSG00000020922,1631
ENSG00000021300,640
ENSG00000021355,4206
ENSG00000021461,1
ENSG00000021488,20
ENSG00000021574,1303
ENSG00000021645,162
ENSG00000021762,4099
ENSG00000021776,5811
ENSG00000021826,176
ENSG00000021852,0
ENSG00000022267,5756
ENSG00000022277,7450
ENSG00000022355,0
ENSG00000022556,4782
ENSG00000022567,1339
ENSG00000022840,11760
ENSG00000022976,553
ENSG00000023041,2139
ENSG00000023171,145
ENSG00000023191,12043
ENSG00000023228,7318
ENSG00000023287,5795
ENSG00000023318,4676
ENSG00000023330,2499
ENSG00000023445,768
ENSG00000023516,5017
ENSG00000023572,308
ENSG00000023608,354
ENSG00000023697,1154
ENSG00000023734,8669
ENSG00000023839,51
ENSG00000023892,849
ENSG00000023902,2094
ENSG00000023909,1233
ENSG00000024048,4595
ENSG00000024422,10764
ENSG00000024526,143
ENSG00000024862,1671
ENSG00000025039,1042
ENSG00000025156,1012
ENSG00000025293,5352
ENSG00000025423,761
ENSG00000025434,1120
ENSG00000025708,2895
ENSG00000025770,1795
ENSG00000025772,3003
ENSG00000025796,7993
ENSG00000025800,9242
ENSG00000026025,80151
ENSG00000026036,153
ENSG00000026103,663
ENSG00000026297,4272
ENSG00000026508,47456
ENSG00000026559,10
ENSG00000026652,1217
ENSG00000026751,633
ENSG00000026950,1793
ENSG00000027001,2879
ENSG00000027075,2334
ENSG00000027644,38
ENSG00000027697,4981
ENSG00000027847,2258
ENSG00000027869,76
ENSG00000028116,1365
ENSG00000028137,1842
ENSG00000028203,4055
ENSG00000028277,627
ENSG00000028310,2404
ENSG00000028528,11697
ENSG00000028839,529
ENSG00000029153,414
ENSG00000029363,9122
ENSG00000029364,10254
ENSG00000029534,42
ENSG00000029559,142
ENSG00000029639,477
ENSG00000029725,11025
ENSG00000029993,2055
ENSG00000030066,4489
ENSG00000030110,1683
ENSG00000030304,4
ENSG00000030419,389
ENSG00000030582,30954
ENSG00000031003,1809
ENSG00000031081,2906
ENSG00000031691,214
ENSG00000031698,14384
ENSG00000031823,4294
ENSG00000032219,1573
ENSG00000032389,1573
ENSG00000032444,2518
ENSG00000032742,1133
ENSG00000033011,2849
ENSG00000033030,1421
ENSG00000033050,4129
ENSG00000033100,6562
ENSG00000033122,18
ENSG00000033170,3623
ENSG00000033178,3124
ENSG00000033327,4805
ENSG00000033627,6555
ENSG00000033800,2505
ENSG00000033867,1267
ENSG00000034053,178
ENSG00000034152,3585
ENSG00000034239,31
ENSG00000034510,43155
ENSG00000034533,623
ENSG00000034677,3841
ENSG00000034693,1159
ENSG00000034713,4457
ENSG00000034971,160
ENSG00000035115,3003
ENSG00000035141,1900
ENSG00000035403,22327
ENSG00000035499,79
ENSG00000035664,1280
ENSG00000035681,2616
ENSG00000035687,6083
ENSG00000035720,59
ENSG00000035862,50783
ENSG00000035928,5293
ENSG00000036054,2640
ENSG00000036257,6927
ENSG00000036448,78
ENSG00000036473,0
ENSG00000036530,53
ENSG00000036549,2674
ENSG00000036565,0
ENSG00000036672,314
ENSG00000036828,0
ENSG00000037042,1231
ENSG00000037241,1193
ENSG00000037280,1004
ENSG00000037474,5745
ENSG00000037637,2527
ENSG00000037749,2250
ENSG00000037757,1059
ENSG00000037897,1323
ENSG00000037965,258
ENSG00000038002,1974
ENSG00000038210,552
ENSG00000038219,6395
ENSG00000038274,4531
ENSG00000038295,413
ENSG00000038358,2545
ENSG00000038382,8360
ENSG00000038427,67568
ENSG00000038532,3970
ENSG00000038945,5932
ENSG00000039068,39980
ENSG00000039123,4594
ENSG00000039139,1082
ENSG00000039319,3030
ENSG00000039523,5072
ENSG00000039537,248
ENSG00000039560,4554
ENSG00000039600,13
ENSG00000039650,2070
ENSG00000039987,2
ENSG00000040199,930
ENSG00000040275,544
ENSG00000040341,3696
ENSG00000040487,1121
ENSG00000040531,1903
ENSG00000040608,79
ENSG00000040633,3544
ENSG00000040731,0
ENSG00000040933,1879
ENSG00000041353,3303
ENSG00000041357,5870
ENSG00000041515,40
ENSG00000041802,3875
ENSG00000041880,1138
ENSG00000041982,13715
ENSG00000041988,994
ENSG00000042062,1843
ENSG00000042088,1241
ENSG00000042286,1690
ENSG00000042304,0
ENSG00000042317,526
ENSG00000042429,2307
ENSG00000042445,8655
ENSG00000042493,16314
ENSG00000042753,5846
ENSG00000042781,4
ENSG00000042813,1
ENSG00000042832,57
ENSG00000042980,456
ENSG00000043039,2018
ENSG00000043093,1625
ENSG00000043143,3409
ENSG00000043355,0
ENSG00000043462,1146
ENSG00000043514,1172
ENSG00000043591,20
ENSG00000044012,0
ENSG00000044090,5136
ENSG00000044115,25465
ENSG00000044446,1845
ENSG00000044459,215
ENSG00000044524,1156
ENSG00000044574,108137
ENSG00000046604,10935
ENSG00000046647,969
ENSG00000046651,1912
ENSG00000046653,430
ENSG00000046774,0
ENSG00000046889,679
ENSG00000047056,1774
ENSG00000047188,2415
ENSG00000047230,2573
ENSG00000047249,9020
ENSG00000047315,9265
ENSG00000047346,5057
ENSG00000047365,683
ENSG00000047410,9348
ENSG00000047457,132
ENSG00000047578,4222
ENSG00000047579,1287
ENSG00000047597,63
ENSG00000047617,142
ENSG00000047621,1077
ENSG00000047634,378
ENSG00000047644,6175
ENSG00000047648,301
ENSG00000047662,177
ENSG00000047849,26486
ENSG00000047932,3288
ENSG00000047936,17
ENSG00000048028,1347
ENSG00000048052,300
ENSG00000048140,3157
ENSG00000048162,1137
ENSG00000048342,1010
ENSG00000048392,5329
ENSG00000048405,1360
ENSG00000048462,51
ENSG00000048471,3980
ENSG00000048540,213
ENSG00000048544,3486
ENSG00000048545,12
ENSG00000048649,4301
ENSG00000048707,9676
ENSG00000048740,1999
ENSG00000048828,17439
ENSG00000048991,1812
ENSG00000049089,1673
ENSG00000049130,3716
ENSG00000049167,462
ENSG00000049192,354
ENSG00000049239,10472
ENSG00000049245,7963
ENSG00000049246,3201
ENSG00000049247,5
ENSG00000049249,102
ENSG00000049283,1793
ENSG00000049323,10427
ENSG00000049449,3921
ENSG00000049540,14285
ENSG00000049541,1641
ENSG00000049618,5696
ENSG00000049656,9356
ENSG00000049759,6484
ENSG00000049768,225
ENSG00000049769,293
ENSG00000049860,7678
ENSG00000049883,999
ENSG00000050030,145
ENSG00000050130,3199
ENSG00000050165,6591
ENSG00000050327,1255
ENSG00000050344,1079
ENSG00000050393,2634
ENSG00000050405,9341
ENSG00000050426,3405
ENSG00000050438,1088
ENSG00000050555,162
ENSG00000050628,11342
ENSG00000050730,18
ENSG00000050748,3924
ENSG00000050767,82
ENSG00000050820,3248
ENSG00000051009,2176
ENSG00000051108,11952
ENSG00000051128,1608
ENSG00000051180,413
ENSG00000051341,165
ENSG00000051382,3951
ENSG00000051523,3447
ENSG00000051596,525
ENSG00000051620,5708
ENSG00000051825,628
ENSG00000052126,1794
ENSG00000052344,22611
ENSG00000052723,1800
ENSG00000052749,4345
ENSG00000052795,1913
ENSG00000052802,3569
ENSG00000052841,6148
ENSG00000052850,43
ENSG00000053108,134
ENSG00000053254,5142
ENSG00000053328,9
ENSG00000053371,4509
ENSG00000053372,2850
ENSG00000053438,132
ENSG00000053501,1046
ENSG00000053524,16
ENSG00000053702,261
ENSG00000053747,3083
ENSG00000053770,2437
ENSG00000053900,1468
ENSG00000053918,559
ENSG00000054116,4356
ENSG00000054118,15471
ENSG00000054148,3733
ENSG00000054179,511
ENSG00000054219,267
ENSG00000054267,2909
ENSG00000054277,1644
ENSG00000054282,1496
ENSG00000054356,55
ENSG00000054392,1386
ENSG00000054523,5617
ENSG00000054598,297
ENSG00000054611,1775
ENSG00000054654,7215
ENSG00000054690,866
ENSG00000054793,9797
ENSG00000054796,0
ENSG00000054803,51
ENSG00000054938,20
ENSG00000054965,7219
ENSG00000054967,421
ENSG00000054983,3263
ENSG00000055044,4273
ENSG00000055070,9484
ENSG00000055118,41
ENSG00000055130,4556
ENSG00000055147,1770
ENSG00000055163,3553
ENSG00000055208,8058
ENSG00000055211,3871
ENSG00000055332,3686
ENSG00000055483,5673
ENSG00000055609,7651
ENSG00000055732,399
ENSG00000055813,262
ENSG00000055917,10010
ENSG00000055950,3260
ENSG00000055955,10
ENSG00000055957,1
ENSG00000056050,945
ENSG00000056097,6955
ENSG00000056277,241
ENSG00000056291,3
ENSG00000056487,39
ENSG00000056558,583
ENSG00000056586,3873
ENSG00000056736,2751
ENSG00000056972,1768
ENSG00000056998,982
ENSG00000057019,1505
ENSG00000057149,0
ENSG00000057252,2848
ENSG00000057294,1291
ENSG00000057468,6
ENSG00000057593,263
ENSG00000057608,20607
ENSG00000057657,980
ENSG00000057663,2400
ENSG00000057704,330
ENSG00000057757,4195
ENSG00000057935,3476
ENSG00000058056,1997
ENSG00000058063,3231
ENSG00000058085,292
ENSG00000058091,1769
ENSG00000058262,32193
ENSG00000058272,3838
ENSG00000058335,75
ENSG00000058404,713
ENSG00000058453,1358
ENSG00000058600,6296
ENSG00000058668,9310
ENSG00000058673,8257
ENSG00000058729,2118
ENSG00000058799,4896
ENSG00000058804,3780
ENSG00000058866,57
ENSG00000059122,2964
ENSG00000059145,1640
ENSG00000059377,1007
ENSG00000059378,1833
ENSG00000059573,8592
ENSG00000059588,1855
ENSG00000059691,1246
ENSG00000059728,3270
ENSG00000059758,1991
ENSG00000059769,956
ENSG00000059804,2187
ENSG00000059915,227
ENSG00000060069,2155
ENSG00000060138,6727
ENSG00000060140,186
ENSG00000060237,27171
ENSG00000060303,1
ENSG00000060339,4454
ENSG00000060491,2343
ENSG00000060558,745
ENSG00000060566,4
ENSG00000060642,1590
ENSG00000060656,9290
ENSG00000060688,3903
ENSG00000060709,9
ENSG00000060718,43671
ENSG00000060749,2321
ENSG00000060762,1639
ENSG00000060971,4224
ENSG00000060982,2841
ENSG00000061273,5717
ENSG00000061337,1262
ENSG00000061455,358
ENSG00000061492,1
ENSG00000061656,279
ENSG00000061676,12674
ENSG00000061794,3850
ENSG00000061918,997
ENSG00000061936,2345
ENSG00000061938,4256
ENSG00000061987,3563
ENSG00000062038,1252
ENSG00000062096,1
ENSG00000062194,7566
ENSG00000062282,955
ENSG00000062370,342
ENSG00000062485,10291
ENSG00000062524,13
ENSG00000062582,295
ENSG00000062598,3636
ENSG00000062650,6109
ENSG00000062716,10111
ENSG00000062725,3600
ENSG00000062822,898
ENSG00000063015,12
ENSG00000063046,31920
ENSG00000063127,55
ENSG00000063169,1133
ENSG00000063176,857
ENSG00000063177,37628
ENSG00000063180,248
ENSG00000063241,2384
ENSG00000063244,9395
ENSG00000063245,6284
ENSG00000063322,6312
ENSG00000063438,263
ENSG00000063515,0
ENSG00000063587,1586
ENSG00000063601,3034
ENSG00000063660,7808
ENSG00000063761,514
ENSG00000063854,3608
ENSG00000063978,8089
ENSG00000064012,1280
ENSG00000064042,5617
ENSG00000064102,1428
ENSG00000064115,3943
ENSG00000064195,656
ENSG00000064199,886
ENSG00000064201,53
ENSG00000064205,12844
ENSG00000064218,56
ENSG00000064225,313
ENSG00000064270,494
ENSG00000064300,840
ENSG00000064309,1876
ENSG00000064313,4095
ENSG00000064393,8395
ENSG00000064419,5330
ENSG00000064489,42
ENSG00000064490,2161
ENSG00000064545,1278
ENSG00000064547,785
ENSG00000064601,7660
ENSG00000064607,3481
ENSG00000064651,2478
ENSG00000064652,785
ENSG00000064655,681
ENSG00000064666,12801
ENSG00000064687,893
ENSG00000064692,195
ENSG00000064703,1799
ENSG00000064726,4716
ENSG00000064763,1416
ENSG00000064787,968
ENSG00000064835,2
ENSG00000064886,262
ENSG00000064932,5314
ENSG00000064933,708
ENSG00000064961,4576
ENSG00000064989,2075
ENSG00000064995,2056
ENSG00000064999,3946
ENSG00000065000,12824
ENSG00000065029,2009
ENSG00000065054,14668
ENSG00000065057,1703
ENSG00000065060,3461
ENSG00000065135,8767
ENSG00000065150,11511
ENSG00000065154,8959
ENSG00000065183,2982
ENSG00000065243,2941
ENSG00000065268,981
ENSG00000065308,5856
ENSG00000065320,3050
ENSG00000065325,14
ENSG00000065328,202
ENSG00000065357,2047
ENSG00000065361,22046
ENSG00000065371,0
ENSG00000065413,602
ENSG00000065427,6155
ENSG00000065457,1388
ENSG00000065485,1613
ENSG00000065491,1254
ENSG00000065518,6088
ENSG00000065526,9292
ENSG00000065534,7869
ENSG00000065548,4718
ENSG00000065559,2673
ENSG00000065600,370
ENSG00000065609,5
ENSG00000065613,6650
ENSG00000065615,953
ENSG00000065618,59
ENSG00000065621,1707
ENSG00000065665,472
ENSG00000065675,45
ENSG00000065717,1588
ENSG00000065802,2141
ENSG00000065809,8407
ENSG00000065833,426
ENSG00000065882,3305
ENSG00000065883,4195
ENSG00000065911,6293
ENSG00000065923,1754
ENSG00000065970,3502
ENSG00000065978,15923
ENSG00000065989,1650
ENSG00000066027,3823
ENSG00000066032,2
ENSG00000066044,4974
ENSG00000066056,2233
ENSG00000066084,4753
ENSG00000066117,4076
ENSG00000066135,5450
ENSG00000066136,3182
ENSG00000066185,347
ENSG00000066230,30
ENSG00000066248,320
ENSG00000066279,426
ENSG00000066294,1698
ENSG00000066322,7158
ENSG00000066336,1410
ENSG00000066379,920
ENSG00000066382,102
ENSG00000066405,9
ENSG00000066422,2022
ENSG00000066427,1624
ENSG00000066455,5523
ENSG00000066468,1905
ENSG00000066557,729
ENSG00000066583,1785
ENSG00000066629,1296
ENSG00000066651,744
ENSG00000066654,8045
ENSG00000066697,721
ENSG00000066735,459
ENSG00000066739,3844
ENSG00000066777,17252
ENSG00000066813,4
ENSG00000066827,1029
ENSG00000066855,4862
ENSG00000066923,174
ENSG00000066926,2559
ENSG00000066933,4086
ENSG00000067048,1
ENSG00000067057,3412
ENSG00000067064,2618
ENSG00000067066,3856
ENSG00000067082,7951
ENSG00000067113,1752
ENSG00000067141,5447
ENSG00000067167,20706
ENSG00000067177,1432
ENSG00000067182,8789
ENSG00000067191,570
ENSG00000067208,1111
ENSG00000067221,835
ENSG00000067225,63335
ENSG00000067248,4163
ENSG00000067334,4885
ENSG00000067365,1079
ENSG00000067369,4910
ENSG00000067445,630
ENSG00000067533,1110
ENSG00000067560,44887
ENSG00000067596,6864
ENSG00000067601,107
ENSG00000067606,1661
ENSG00000067646,0
ENSG00000067704,8640
ENSG00000067715,145
ENSG00000067798,426
ENSG00000067829,3120
ENSG00000067836,3426
ENSG00000067840,126
ENSG00000067842,2
ENSG00000067900,5895
ENSG00000067955,1784
ENSG00000067992,1070
ENSG00000068001,2923
ENSG00000068024,1036
ENSG00000068028,1900
ENSG00000068078,3088
ENSG00000068079,1739
ENSG00000068097,1757
ENSG00000068120,8589
ENSG00000068137,2920
ENSG00000068305,3436
ENSG00000068308,5731
ENSG00000068323,5158
ENSG00000068354,1530
ENSG00000068366,2361
ENSG00000068383,1810
ENSG00000068394,1785
ENSG00000068400,3792
ENSG00000068438,3874
ENSG00000068489,200
ENSG00000068615,992
ENSG00000068650,1984
ENSG00000068654,5526
ENSG00000068697,34235
ENSG00000068724,3353
ENSG00000068745,4564
ENSG00000068781,8
ENSG00000068784,1716
ENSG00000068796,1886
ENSG00000068831,175
ENSG00000068878,8224
ENSG00000068885,591
ENSG00000068903,3155
ENSG00000068912,5812
ENSG00000068971,797
ENSG00000068976,64
ENSG00000068985,0
ENSG00000069011,1800
ENSG00000069018,0
ENSG00000069020,4012
ENSG00000069122,3216
ENSG00000069188,48
ENSG00000069206,0
ENSG00000069248,4684
ENSG00000069275,27887
ENSG00000069329,7733
ENSG00000069345,3426
ENSG00000069399,2691
ENSG00000069424,1198
ENSG00000069431,1536
ENSG00000069482,67
ENSG00000069493,497
ENSG00000069509,1227
ENSG00000069535,6400
ENSG00000069667,917
ENSG00000069696,74
ENSG00000069702,1481
ENSG00000069712,308
ENSG00000069764,130
ENSG00000069812,546
ENSG00000069849,5234
ENSG00000069869,1878
ENSG00000069943,738
ENSG00000069956,2070
ENSG00000069966,1419
ENSG00000069974,1269
ENSG00000069998,1248
ENSG00000070010,2110
ENSG00000070018,2717
ENSG00000070019,115
ENSG00000070031,52
ENSG00000070047,4275
ENSG00000070061,3041
ENSG00000070081,9350
ENSG00000070087,6831
ENSG00000070159,4490
ENSG00000070182,91
ENSG00000070190,1042
ENSG00000070193,167
ENSG00000070214,19071
ENSG00000070269,933
ENSG00000070366,2886
ENSG00000070367,3463
ENSG00000070371,274
ENSG00000070388,9
ENSG00000070404,1467
ENSG00000070413,6386
ENSG00000070423,1323
ENSG00000070444,2484
ENSG00000070476,2211
ENSG00000070495,1008
ENSG00000070501,2144
ENSG00000070526,15
ENSG00000070540,2733
ENSG00000070601,7
ENSG00000070610,2873
ENSG00000070614,19495
ENSG00000070669,1531
ENSG00000070718,2535
ENSG00000070729,0
ENSG00000070731,2155
ENSG00000070748,0
ENSG00000070756,80710
ENSG00000070759,1377
ENSG00000070761,1220
ENSG00000070770,3338
ENSG00000070778,2344
ENSG00000070785,1434
ENSG00000070808,106
ENSG00000070814,2471
ENSG00000070831,21408
ENSG00000070882,673
ENSG00000070886,101
ENSG00000070915,1
ENSG00000070950,1121
ENSG00000070961,3046
ENSG00000070985,9
ENSG00000071051,3013
ENSG00000071054,8915
ENSG00000071073,3732
ENSG00000071082,44966
ENSG00000071127,25116
ENSG00000071189,2341
ENSG00000071203,0
ENSG00000071205,1233
ENSG00000071242,5625
ENSG00000071243,393
ENSG00000071246,2547
ENSG00000071282,4894
ENSG00000071462,4785
ENSG00000071537,14086
ENSG00000071539,467
ENSG00000071553,25134
ENSG00000071564,3778
ENSG00000071575,3337
ENSG00000071626,5125
ENSG00000071655,2684
ENSG00000071677,1
ENSG00000071794,1162
ENSG00000071859,3650
ENSG00000071889,1921
ENSG00000071894,7849
ENSG00000071909,42
ENSG00000071967,17474
ENSG00000071991,4
ENSG00000071994,2824
ENSG00000072041,13
ENSG00000072042,4198
ENSG00000072062,7074
ENSG00000072071,3633
ENSG00000072080,1
ENSG00000072110,31927
ENSG00000072121,3086
ENSG00000072133,318
ENSG00000072134,2809
ENSG00000072135,4478
ENSG00000072163,1553
ENSG00000072182,12
ENSG00000072195,499
ENSG00000072201,1049
ENSG00000072210,14860
ENSG00000072274,8664
ENSG00000072310,60094
ENSG00000072315,0
ENSG00000072364,8937
ENSG00000072401,510
ENSG00000072415,2685
ENSG00000072422,1861
ENSG00000072501,9044
ENSG00000072506,4016
