Gene stable ID,d86f17a9-0ee2-4bd1-993d-f23ba7fe3a26
ENSG00000007129,32
ENSG00000007168,11138
ENSG00000007171,62
ENSG00000007174,3
ENSG00000007202,13117
ENSG00000007216,133
ENSG00000007237,1263
ENSG00000007255,371
ENSG00000007264,93
ENSG00000007306,0
ENSG00000007312,385
ENSG00000007314,13
ENSG00000007341,848
ENSG00000007350,4
ENSG00000007372,206
ENSG00000007376,2240
ENSG00000007384,4069
ENSG00000007392,1238
ENSG00000007402,46
ENSG00000007516,60
ENSG00000007520,1416
ENSG00000007541,1791
ENSG00000007545,2520
ENSG00000007866,2139
ENSG00000007908,237
ENSG00000007923,3341
ENSG00000007933,12512
ENSG00000007944,606
ENSG00000007952,88
ENSG00000007968,1151
ENSG00000008018,11859
ENSG00000008056,262
ENSG00000008083,1292
ENSG00000008086,4062
ENSG00000008118,30
ENSG00000008128,158
ENSG00000008130,2434
ENSG00000008196,12
ENSG00000008197,0
ENSG00000008226,39
ENSG00000008256,4457
ENSG00000008277,487
ENSG00000008282,21707
ENSG00000008283,8565
ENSG00000008294,13796
ENSG00000008300,362
ENSG00000008311,166
ENSG00000008323,1366
ENSG00000008324,1089
ENSG00000008382,287
ENSG00000008394,9692
ENSG00000008405,2912
ENSG00000008438,3
ENSG00000008441,23008
ENSG00000008513,8570
ENSG00000008516,78
ENSG00000008517,13161
ENSG00000008710,7601
ENSG00000008735,540
ENSG00000008838,6214
ENSG00000008853,420
ENSG00000008869,4569
ENSG00000008952,8369
ENSG00000008988,58298
ENSG00000009307,77652
ENSG00000009335,17148
ENSG00000009413,3677
ENSG00000009694,11
ENSG00000009709,2
ENSG00000009724,17
ENSG00000009765,7
ENSG00000009780,1132
ENSG00000009790,267
ENSG00000009830,1745
ENSG00000009844,3987
ENSG00000009950,8
ENSG00000009954,19772
ENSG00000010017,2215
ENSG00000010030,176
ENSG00000010072,2042
ENSG00000010165,4543
ENSG00000010219,1456
ENSG00000010244,11881
ENSG00000010256,9444
ENSG00000010270,1773
ENSG00000010278,16516
ENSG00000010282,0
ENSG00000010292,16343
ENSG00000010295,253
ENSG00000010310,4
ENSG00000010318,182
ENSG00000010319,263
ENSG00000010322,3663
ENSG00000010327,2471
ENSG00000010361,649
ENSG00000010379,2
ENSG00000010404,4329
ENSG00000010438,95
ENSG00000010539,1081
ENSG00000010610,4532
ENSG00000010626,307
ENSG00000010671,703
ENSG00000010704,449
ENSG00000010803,3570
ENSG00000010810,962
ENSG00000010818,3469
ENSG00000010932,248
ENSG00000011007,5680
ENSG00000011009,3783
ENSG00000011021,500
ENSG00000011028,3092
ENSG00000011052,24
ENSG00000011083,13
ENSG00000011105,1028
ENSG00000011114,2804
ENSG00000011132,434
ENSG00000011143,904
ENSG00000011198,1637
ENSG00000011201,554
ENSG00000011243,2061
ENSG00000011258,4089
ENSG00000011260,5149
ENSG00000011275,4038
ENSG00000011295,3847
ENSG00000011304,22390
ENSG00000011332,18
ENSG00000011347,30028
ENSG00000011376,2637
ENSG00000011405,7194
ENSG00000011422,6213
ENSG00000011426,12768
ENSG00000011451,7484
ENSG00000011454,11751
ENSG00000011465,9086
ENSG00000011478,774
ENSG00000011485,4915
ENSG00000011523,2145
ENSG00000011566,3179
ENSG00000011590,29
ENSG00000011600,1930
ENSG00000011638,7609
ENSG00000011677,19
ENSG00000012048,1969
ENSG00000012061,4972
ENSG00000012124,168
ENSG00000012171,201
ENSG00000012174,4326
ENSG00000012211,902
ENSG00000012223,39429
ENSG00000012232,3886
ENSG00000012504,0
ENSG00000012660,6823
ENSG00000012779,1262
ENSG00000012817,2
ENSG00000012822,2183
ENSG00000012963,2550
ENSG00000012983,5317
ENSG00000013016,1217
ENSG00000013275,7657
ENSG00000013288,2311
ENSG00000013293,0
ENSG00000013297,402
ENSG00000013306,9436
ENSG00000013364,4066
ENSG00000013374,4416
ENSG00000013375,3588
ENSG00000013392,452
ENSG00000013441,3470
ENSG00000013503,1842
ENSG00000013523,1853
ENSG00000013561,6313
ENSG00000013563,521
ENSG00000013573,1842
ENSG00000013583,1976
ENSG00000013588,8437
ENSG00000013619,207
ENSG00000013725,296
ENSG00000013810,4432
ENSG00000014123,4800
ENSG00000014138,1609
ENSG00000014164,1885
ENSG00000014216,9759
ENSG00000014257,29
ENSG00000014641,26982
ENSG00000014824,6958
ENSG00000014914,507
ENSG00000014919,2557
ENSG00000015133,3893
ENSG00000015153,1840
ENSG00000015171,17425
ENSG00000015285,477
ENSG00000015413,3
ENSG00000015475,1405
ENSG00000015479,467
ENSG00000015520,70
ENSG00000015532,975
ENSG00000015568,1
ENSG00000015592,8
ENSG00000015676,3942
ENSG00000016082,2
ENSG00000016391,2578
ENSG00000016402,114
ENSG00000016490,1
ENSG00000016602,10
ENSG00000016864,2183
ENSG00000017260,17637
ENSG00000017427,17
ENSG00000017483,2098
ENSG00000017797,6747
ENSG00000018189,1477
ENSG00000018236,22
ENSG00000018280,628
ENSG00000018408,30432
ENSG00000018510,3290
ENSG00000018607,4
ENSG00000018610,1035
ENSG00000018625,10
ENSG00000018699,3598
ENSG00000018869,169
ENSG00000019102,33
ENSG00000019144,2465
ENSG00000019169,55
ENSG00000019186,18
ENSG00000019485,427
ENSG00000019505,606
ENSG00000019549,1087
ENSG00000019582,66396
ENSG00000019991,118
ENSG00000019995,3994
ENSG00000020129,1492
ENSG00000020181,2540
ENSG00000020219,0
ENSG00000020256,2031
ENSG00000020426,951
ENSG00000020577,2437
ENSG00000020633,2785
ENSG00000020922,4562
ENSG00000021300,4512
ENSG00000021355,1480
ENSG00000021461,4
ENSG00000021488,24
ENSG00000021574,4438
ENSG00000021645,17
ENSG00000021762,1038
ENSG00000021776,4563
ENSG00000021826,3226
ENSG00000021852,0
ENSG00000022267,870
ENSG00000022277,7932
ENSG00000022355,3
ENSG00000022556,105
ENSG00000022567,1319
ENSG00000022840,11627
ENSG00000022976,345
ENSG00000023041,4166
ENSG00000023171,208
ENSG00000023191,3958
ENSG00000023228,21165
ENSG00000023287,12316
ENSG00000023318,4950
ENSG00000023330,3384
ENSG00000023445,5099
ENSG00000023516,6527
ENSG00000023572,1007
ENSG00000023608,972
ENSG00000023697,1542
ENSG00000023734,11088
ENSG00000023839,512
ENSG00000023892,665
ENSG00000023902,1931
ENSG00000023909,4060
ENSG00000024048,5210
ENSG00000024422,1566
ENSG00000024526,3996
ENSG00000024862,1029
ENSG00000025039,3380
ENSG00000025156,970
ENSG00000025293,7413
ENSG00000025423,125
ENSG00000025434,1077
ENSG00000025708,3538
ENSG00000025770,1644
ENSG00000025772,8853
ENSG00000025796,19474
ENSG00000025800,9416
ENSG00000026025,66597
ENSG00000026036,40
ENSG00000026103,1386
ENSG00000026297,2337
ENSG00000026508,21225
ENSG00000026559,466
ENSG00000026652,937
ENSG00000026751,284
ENSG00000026950,1648
ENSG00000027001,954
ENSG00000027075,1446
ENSG00000027644,4
ENSG00000027697,4543
ENSG00000027847,911
ENSG00000027869,457
ENSG00000028116,4372
ENSG00000028137,1507
ENSG00000028203,3274
ENSG00000028277,265
ENSG00000028310,1694
ENSG00000028528,3464
ENSG00000028839,885
ENSG00000029153,4893
ENSG00000029363,12793
ENSG00000029364,7681
ENSG00000029534,21
ENSG00000029559,332
ENSG00000029639,662
ENSG00000029725,4897
ENSG00000029993,5522
ENSG00000030066,12887
ENSG00000030110,1822
ENSG00000030304,3
ENSG00000030419,1112
ENSG00000030582,20238
ENSG00000031003,1920
ENSG00000031081,3741
ENSG00000031691,620
ENSG00000031698,7260
ENSG00000031823,5254
ENSG00000032219,1501
ENSG00000032389,1490
ENSG00000032444,6027
ENSG00000032742,492
ENSG00000033011,1809
ENSG00000033030,1907
ENSG00000033050,4760
ENSG00000033100,2137
ENSG00000033122,37
ENSG00000033170,1907
ENSG00000033178,4539
ENSG00000033327,5135
ENSG00000033627,2984
ENSG00000033800,2641
ENSG00000033867,2905
ENSG00000034053,749
ENSG00000034152,4753
ENSG00000034239,20
ENSG00000034510,84405
ENSG00000034533,623
ENSG00000034677,10779
ENSG00000034693,886
ENSG00000034713,3974
ENSG00000034971,3
ENSG00000035115,3804
ENSG00000035141,7761
ENSG00000035403,21991
ENSG00000035499,2072
ENSG00000035664,1195
ENSG00000035681,4586
ENSG00000035687,10733
ENSG00000035720,13
ENSG00000035862,19464
ENSG00000035928,6707
ENSG00000036054,6337
ENSG00000036257,9216
ENSG00000036448,8
ENSG00000036473,1
ENSG00000036530,8
ENSG00000036549,4854
ENSG00000036565,2
ENSG00000036672,416
ENSG00000036828,2
ENSG00000037042,335
ENSG00000037241,2261
ENSG00000037280,287
ENSG00000037474,8194
ENSG00000037637,2148
ENSG00000037749,1542
ENSG00000037757,1666
ENSG00000037897,1534
ENSG00000037965,106
ENSG00000038002,332
ENSG00000038210,1867
ENSG00000038219,6296
ENSG00000038274,4766
ENSG00000038295,61
ENSG00000038358,3125
ENSG00000038382,11494
ENSG00000038427,15171
ENSG00000038532,2180
ENSG00000038945,3216
ENSG00000039068,42447
ENSG00000039123,5665
ENSG00000039139,274
ENSG00000039319,2564
ENSG00000039523,2778
ENSG00000039537,23
ENSG00000039560,6922
ENSG00000039600,3
ENSG00000039650,837
ENSG00000039987,1
ENSG00000040199,1255
ENSG00000040275,3025
ENSG00000040341,4822
ENSG00000040487,591
ENSG00000040531,727
ENSG00000040608,154
ENSG00000040633,980
ENSG00000040731,8
ENSG00000040933,2708
ENSG00000041353,1017
ENSG00000041357,7830
ENSG00000041515,29
ENSG00000041802,5898
ENSG00000041880,579
ENSG00000041982,172193
ENSG00000041988,388
ENSG00000042062,53
ENSG00000042088,2663
ENSG00000042286,831
ENSG00000042304,0
ENSG00000042317,424
ENSG00000042429,2987
ENSG00000042445,4175
ENSG00000042493,16974
ENSG00000042753,6489
ENSG00000042781,9
ENSG00000042813,4
ENSG00000042832,4
ENSG00000042980,275
ENSG00000043039,5082
ENSG00000043093,4976
ENSG00000043143,1888
ENSG00000043355,236
ENSG00000043462,1900
ENSG00000043514,1909
ENSG00000043591,5
ENSG00000044012,0
ENSG00000044090,1724
ENSG00000044115,30733
ENSG00000044446,2298
ENSG00000044459,213
ENSG00000044524,138
ENSG00000044574,58431
ENSG00000046604,38721
ENSG00000046647,612
ENSG00000046651,9476
ENSG00000046653,5569
ENSG00000046774,1
ENSG00000046889,143
ENSG00000047056,2106
ENSG00000047188,3515
ENSG00000047230,2569
ENSG00000047249,3485
ENSG00000047315,10415
ENSG00000047346,2115
ENSG00000047365,2969
ENSG00000047410,24048
ENSG00000047457,10098
ENSG00000047578,1892
ENSG00000047579,440
ENSG00000047597,1270
ENSG00000047617,26
ENSG00000047621,2096
ENSG00000047634,148
ENSG00000047644,8716
ENSG00000047648,120
ENSG00000047662,10
ENSG00000047849,23772
ENSG00000047932,3235
ENSG00000047936,31
ENSG00000048028,1586
ENSG00000048052,257
ENSG00000048140,3152
ENSG00000048162,3034
ENSG00000048342,882
ENSG00000048392,5328
ENSG00000048405,4508
ENSG00000048462,1
ENSG00000048471,2356
ENSG00000048540,266
ENSG00000048544,3823
ENSG00000048545,2
ENSG00000048649,4796
ENSG00000048707,5861
ENSG00000048740,2520
ENSG00000048828,29195
ENSG00000048991,7650
ENSG00000049089,1136
ENSG00000049130,2614
ENSG00000049167,674
ENSG00000049192,199
ENSG00000049239,1634
ENSG00000049245,6880
ENSG00000049246,1720
ENSG00000049247,6
ENSG00000049249,348
ENSG00000049283,2861
ENSG00000049323,10976
ENSG00000049449,8872
ENSG00000049540,133
ENSG00000049541,3366
ENSG00000049618,8273
ENSG00000049656,7901
ENSG00000049759,6770
ENSG00000049768,423
ENSG00000049769,310
ENSG00000049860,6055
ENSG00000049883,875
ENSG00000050030,617
ENSG00000050130,1459
ENSG00000050165,957
ENSG00000050327,1443
ENSG00000050344,3362
ENSG00000050393,1973
ENSG00000050405,2704
ENSG00000050426,2951
ENSG00000050438,101
ENSG00000050555,344
ENSG00000050628,1049
ENSG00000050730,221
ENSG00000050748,4194
ENSG00000050767,20
ENSG00000050820,1534
ENSG00000051009,1252
ENSG00000051108,3362
ENSG00000051128,1310
ENSG00000051180,1327
ENSG00000051341,3383
ENSG00000051382,8111
ENSG00000051523,2422
ENSG00000051596,453
ENSG00000051620,7132
ENSG00000051825,3936
ENSG00000052126,2577
ENSG00000052344,7141
ENSG00000052723,4918
ENSG00000052749,4335
ENSG00000052795,1253
ENSG00000052802,980
ENSG00000052841,7728
ENSG00000052850,36
ENSG00000053108,3
ENSG00000053254,4471
ENSG00000053328,2
ENSG00000053371,3884
ENSG00000053372,4829
ENSG00000053438,27
ENSG00000053501,906
ENSG00000053524,82
ENSG00000053702,66
ENSG00000053747,2290
ENSG00000053770,3120
ENSG00000053900,2169
ENSG00000053918,266
ENSG00000054116,3787
ENSG00000054118,12986
ENSG00000054148,1571
ENSG00000054179,148
ENSG00000054219,3594
ENSG00000054267,8430
ENSG00000054277,990
ENSG00000054282,1617
ENSG00000054356,23
ENSG00000054392,548
ENSG00000054523,8475
ENSG00000054598,14813
ENSG00000054611,1536
ENSG00000054654,6819
ENSG00000054690,759
ENSG00000054793,15350
ENSG00000054796,1
ENSG00000054803,8
ENSG00000054938,4675
ENSG00000054965,5106
ENSG00000054967,310
ENSG00000054983,1541
ENSG00000055044,18572
ENSG00000055070,7951
ENSG00000055118,33
ENSG00000055130,5633
ENSG00000055147,1265
ENSG00000055163,290
ENSG00000055208,8266
ENSG00000055211,2330
ENSG00000055332,11655
ENSG00000055483,5500
ENSG00000055609,7907
ENSG00000055732,183
ENSG00000055813,17
ENSG00000055917,33125
ENSG00000055950,2380
ENSG00000055955,18
ENSG00000055957,2
ENSG00000056050,730
ENSG00000056097,16640
ENSG00000056277,467
ENSG00000056291,2
ENSG00000056487,1
ENSG00000056558,805
ENSG00000056586,9259
ENSG00000056736,1071
ENSG00000056972,2056
ENSG00000056998,2187
ENSG00000057019,1989
ENSG00000057149,6
ENSG00000057252,5792
ENSG00000057294,3439
ENSG00000057468,4
ENSG00000057593,3
ENSG00000057608,44538
ENSG00000057657,2270
ENSG00000057663,5719
ENSG00000057704,658
ENSG00000057757,3390
ENSG00000057935,2477
ENSG00000058056,4440
ENSG00000058063,8168
ENSG00000058085,20268
ENSG00000058091,1605
ENSG00000058262,35448
ENSG00000058272,5512
ENSG00000058335,19
ENSG00000058404,10
ENSG00000058453,272
ENSG00000058600,2755
ENSG00000058668,12852
ENSG00000058673,14902
ENSG00000058729,1109
ENSG00000058799,2226
ENSG00000058804,11668
ENSG00000058866,104
ENSG00000059122,929
ENSG00000059145,610
ENSG00000059377,526
ENSG00000059378,6066
ENSG00000059573,18435
ENSG00000059588,7118
ENSG00000059691,1555
ENSG00000059728,2902
ENSG00000059758,1653
ENSG00000059769,1139
ENSG00000059804,2769
ENSG00000059915,52
ENSG00000060069,1638
ENSG00000060138,13794
ENSG00000060140,248
ENSG00000060237,13189
ENSG00000060303,1
ENSG00000060339,9193
ENSG00000060491,2471
ENSG00000060558,737
ENSG00000060566,7
ENSG00000060642,817
ENSG00000060656,3128
ENSG00000060688,3524
ENSG00000060709,0
ENSG00000060718,6854
ENSG00000060749,9068
ENSG00000060762,1586
ENSG00000060971,1338
ENSG00000060982,2151
ENSG00000061273,2515
ENSG00000061337,594
ENSG00000061455,103
ENSG00000061492,1
ENSG00000061656,74
ENSG00000061676,45026
ENSG00000061794,4658
ENSG00000061918,970
ENSG00000061936,3447
ENSG00000061938,2680
ENSG00000061987,3111
ENSG00000062038,57964
ENSG00000062096,15
ENSG00000062194,7112
ENSG00000062282,6610
ENSG00000062370,799
ENSG00000062485,21146
ENSG00000062524,3
ENSG00000062582,499
ENSG00000062598,4306
ENSG00000062650,8970
ENSG00000062716,11877
ENSG00000062725,4682
ENSG00000062822,2377
ENSG00000063015,6
ENSG00000063046,26240
ENSG00000063127,299
ENSG00000063169,1250
ENSG00000063176,811
ENSG00000063177,43605
ENSG00000063180,163
ENSG00000063241,2981
ENSG00000063244,7992
ENSG00000063245,4550
ENSG00000063322,3328
ENSG00000063438,137
ENSG00000063515,0
ENSG00000063587,1525
ENSG00000063601,2542
ENSG00000063660,4616
ENSG00000063761,309
ENSG00000063854,1490
ENSG00000063978,5008
ENSG00000064012,4036
ENSG00000064042,5336
ENSG00000064102,4214
ENSG00000064115,3234
ENSG00000064195,104
ENSG00000064199,614
ENSG00000064201,8
ENSG00000064205,442
ENSG00000064218,33
ENSG00000064225,1003
ENSG00000064270,187
ENSG00000064300,83
ENSG00000064309,3980
ENSG00000064313,7902
ENSG00000064393,7088
ENSG00000064419,19837
ENSG00000064489,65
ENSG00000064490,1667
ENSG00000064545,2043
ENSG00000064547,1834
ENSG00000064601,10261
ENSG00000064607,3076
ENSG00000064651,19745
ENSG00000064652,1320
ENSG00000064655,3993
ENSG00000064666,9246
ENSG00000064687,907
ENSG00000064692,63
ENSG00000064703,2547
ENSG00000064726,6360
ENSG00000064763,857
ENSG00000064787,127
ENSG00000064835,1
ENSG00000064886,762
ENSG00000064932,6781
ENSG00000064933,3612
ENSG00000064961,4187
ENSG00000064989,1010
ENSG00000064995,3083
ENSG00000064999,4449
ENSG00000065000,7507
ENSG00000065029,1051
ENSG00000065054,4773
ENSG00000065057,1347
ENSG00000065060,3597
ENSG00000065135,12229
ENSG00000065150,35015
ENSG00000065154,34304
ENSG00000065183,8608
ENSG00000065243,6683
ENSG00000065268,948
ENSG00000065308,5170
ENSG00000065320,1725
ENSG00000065325,7
ENSG00000065328,2855
ENSG00000065357,1346
ENSG00000065361,13450
ENSG00000065371,1617
ENSG00000065413,651
ENSG00000065427,14055
ENSG00000065457,1107
ENSG00000065485,2615
ENSG00000065491,2517
ENSG00000065518,9296
ENSG00000065526,10788
ENSG00000065534,5540
ENSG00000065548,15590
ENSG00000065559,2221
ENSG00000065600,2141
ENSG00000065609,13
ENSG00000065613,11212
ENSG00000065615,2311
ENSG00000065618,44
ENSG00000065621,540
ENSG00000065665,924
ENSG00000065675,37
ENSG00000065717,70
ENSG00000065802,1881
ENSG00000065809,5411
ENSG00000065833,3770
ENSG00000065882,6453
ENSG00000065883,4045
ENSG00000065911,14031
ENSG00000065923,5272
ENSG00000065970,2179
ENSG00000065978,63438
ENSG00000065989,2142
ENSG00000066027,5596
ENSG00000066032,2
ENSG00000066044,13103
ENSG00000066056,611
ENSG00000066084,6151
ENSG00000066117,6282
ENSG00000066135,6078
ENSG00000066136,4837
ENSG00000066185,122
ENSG00000066230,2
ENSG00000066248,531
ENSG00000066279,14006
ENSG00000066294,1622
ENSG00000066322,11099
ENSG00000066336,1363
ENSG00000066379,947
ENSG00000066382,85
ENSG00000066405,15
ENSG00000066422,4259
ENSG00000066427,1977
ENSG00000066455,4224
ENSG00000066468,13609
ENSG00000066557,2187
ENSG00000066583,1956
ENSG00000066629,448
ENSG00000066651,1099
ENSG00000066654,6235
ENSG00000066697,2774
ENSG00000066735,54
ENSG00000066739,1935
ENSG00000066777,21440
ENSG00000066813,1
ENSG00000066827,3529
ENSG00000066855,4175
ENSG00000066923,88
ENSG00000066926,1252
ENSG00000066933,4613
ENSG00000067048,0
ENSG00000067057,10764
ENSG00000067064,4331
ENSG00000067066,5804
ENSG00000067082,16124
ENSG00000067113,812
ENSG00000067141,6050
ENSG00000067167,18171
ENSG00000067177,2578
ENSG00000067182,6052
ENSG00000067191,144
ENSG00000067208,1380
ENSG00000067221,359
ENSG00000067225,54762
ENSG00000067248,3171
ENSG00000067334,8907
ENSG00000067365,670
ENSG00000067369,4444
ENSG00000067445,147
ENSG00000067533,3418
ENSG00000067560,32155
ENSG00000067596,5339
ENSG00000067601,58
ENSG00000067606,1085
ENSG00000067646,0
ENSG00000067704,26666
ENSG00000067715,197
ENSG00000067798,98
ENSG00000067829,2164
ENSG00000067836,916
ENSG00000067840,5
ENSG00000067842,2
ENSG00000067900,8489
ENSG00000067955,7302
ENSG00000067992,3575
ENSG00000068001,1420
ENSG00000068024,1416
ENSG00000068028,1660
ENSG00000068078,368
ENSG00000068079,658
ENSG00000068097,1799
ENSG00000068120,4188
ENSG00000068137,706
ENSG00000068305,6455
ENSG00000068308,3659
ENSG00000068323,3734
ENSG00000068354,1246
ENSG00000068366,3871
ENSG00000068383,1637
ENSG00000068394,975
ENSG00000068400,1442
ENSG00000068438,3275
ENSG00000068489,9779
ENSG00000068615,115
ENSG00000068650,4544
ENSG00000068654,10339
ENSG00000068697,37525
ENSG00000068724,2457
ENSG00000068745,3670
ENSG00000068781,4
ENSG00000068784,1328
ENSG00000068796,6900
ENSG00000068831,40
ENSG00000068878,39290
ENSG00000068885,1005
ENSG00000068903,2826
ENSG00000068912,3860
ENSG00000068971,990
ENSG00000068976,31
ENSG00000068985,0
ENSG00000069011,891
ENSG00000069018,0
ENSG00000069020,1583
ENSG00000069122,1738
ENSG00000069188,1304
ENSG00000069206,0
ENSG00000069248,11071
ENSG00000069275,67980
ENSG00000069329,15216
ENSG00000069345,6403
ENSG00000069399,5950
ENSG00000069424,762
ENSG00000069431,616
ENSG00000069482,1834
ENSG00000069493,226
ENSG00000069509,1289
ENSG00000069535,11802
ENSG00000069667,2179
ENSG00000069696,10
ENSG00000069702,2508
ENSG00000069712,437
ENSG00000069764,19
ENSG00000069812,20
ENSG00000069849,9129
ENSG00000069869,401
ENSG00000069943,613
ENSG00000069956,20033
ENSG00000069966,1688
ENSG00000069974,1576
ENSG00000069998,2354
ENSG00000070010,3024
ENSG00000070018,9923
ENSG00000070019,105
ENSG00000070031,4
ENSG00000070047,1585
ENSG00000070061,7509
ENSG00000070081,3147
ENSG00000070087,22109
ENSG00000070159,3528
ENSG00000070182,74
ENSG00000070190,6630
ENSG00000070193,13
ENSG00000070214,21779
ENSG00000070269,2413
ENSG00000070366,1595
ENSG00000070367,5368
ENSG00000070371,146
ENSG00000070388,0
ENSG00000070404,185
ENSG00000070413,4517
ENSG00000070423,1702
ENSG00000070444,1693
ENSG00000070476,4315
ENSG00000070495,1309
ENSG00000070501,2571
ENSG00000070526,7
ENSG00000070540,3811
ENSG00000070601,55
ENSG00000070610,6184
ENSG00000070614,12356
ENSG00000070669,4217
ENSG00000070718,1806
ENSG00000070729,42
ENSG00000070731,1188
ENSG00000070748,0
ENSG00000070756,432969
ENSG00000070759,582
ENSG00000070761,2314
ENSG00000070770,8283
ENSG00000070778,899
ENSG00000070785,2568
ENSG00000070808,32
ENSG00000070814,8094
ENSG00000070831,18856
ENSG00000070882,2633
ENSG00000070886,3
ENSG00000070915,6
ENSG00000070950,4518
ENSG00000070961,3777
ENSG00000070985,37
ENSG00000071051,5412
ENSG00000071054,10544
ENSG00000071073,1851
ENSG00000071082,35841
ENSG00000071127,24058
ENSG00000071189,2770
ENSG00000071203,0
ENSG00000071205,1008
ENSG00000071242,1056
ENSG00000071243,2586
ENSG00000071246,905
ENSG00000071282,5889
ENSG00000071462,7430
ENSG00000071537,10632
ENSG00000071539,4659
ENSG00000071553,6492
ENSG00000071564,6294
ENSG00000071575,5639
ENSG00000071626,6687
ENSG00000071655,2099
ENSG00000071677,0
ENSG00000071794,10227
ENSG00000071859,1158
ENSG00000071889,616
ENSG00000071894,4770
ENSG00000071909,33
ENSG00000071967,3509
ENSG00000071991,3366
ENSG00000071994,4547
ENSG00000072041,5885
ENSG00000072042,3238
ENSG00000072062,8556
ENSG00000072071,8135
ENSG00000072080,0
ENSG00000072110,28052
ENSG00000072121,4209
ENSG00000072133,47
ENSG00000072134,1217
ENSG00000072135,5485
ENSG00000072163,212
ENSG00000072182,30
ENSG00000072195,1689
ENSG00000072201,857
ENSG00000072210,2495
ENSG00000072274,21083
ENSG00000072310,5637
ENSG00000072315,0
ENSG00000072364,14402
ENSG00000072401,1464
ENSG00000072415,3410
ENSG00000072422,1146
ENSG00000072501,13056
ENSG00000072506,4787
