Gene stable ID,6b3c3b8b-3158-4475-ad04-9001ffb1e775
ENSG00000010244,12280
ENSG00000010256,10377
ENSG00000010270,1882
ENSG00000010278,30453
ENSG00000010282,7
ENSG00000010292,6194
ENSG00000010295,607
ENSG00000010310,413
ENSG00000010318,690
ENSG00000010319,2280
ENSG00000010322,8845
ENSG00000010327,5536
ENSG00000010361,2063
ENSG00000010379,4
ENSG00000010404,8786
ENSG00000010438,3
ENSG00000010539,997
ENSG00000010610,4264
ENSG00000010626,942
ENSG00000010671,761
ENSG00000010704,824
ENSG00000010803,3474
ENSG00000010810,1787
ENSG00000010818,1542
ENSG00000010932,583
ENSG00000011007,6251
ENSG00000011009,4639
ENSG00000011021,1449
ENSG00000011028,7059
ENSG00000011052,51
ENSG00000011083,1
ENSG00000011105,4965
ENSG00000011114,3475
ENSG00000011132,954
ENSG00000011143,2331
ENSG00000011198,1697
ENSG00000011201,2864
ENSG00000011243,2657
ENSG00000011258,3564
ENSG00000011260,3413
ENSG00000011275,3813
ENSG00000011295,3362
ENSG00000011304,22769
ENSG00000011332,22
ENSG00000011347,8124
ENSG00000011376,2486
ENSG00000011405,5805
ENSG00000011422,2200
ENSG00000011426,1565
ENSG00000011451,4972
ENSG00000011454,7897
ENSG00000011465,28284
ENSG00000011478,928
ENSG00000011485,4182
ENSG00000011523,3016
ENSG00000011566,4409
ENSG00000011590,17
ENSG00000011600,2978
ENSG00000011638,2433
ENSG00000011677,1
ENSG00000012048,2320
ENSG00000012061,3762
ENSG00000012124,845
ENSG00000012171,6596
ENSG00000012174,3489
ENSG00000012211,733
ENSG00000012223,2818
ENSG00000012232,3600
ENSG00000012504,0
ENSG00000012660,65226
ENSG00000012779,2218
ENSG00000012817,0
ENSG00000012822,7089
ENSG00000012963,5404
ENSG00000012983,3962
ENSG00000013016,1259
ENSG00000013275,5658
ENSG00000013288,8403
ENSG00000013293,0
ENSG00000013297,183
ENSG00000013306,9590
ENSG00000013364,17673
ENSG00000013374,6340
ENSG00000013375,3182
ENSG00000013392,611
ENSG00000013441,4850
ENSG00000013503,965
ENSG00000013523,2499
ENSG00000013561,5765
ENSG00000013563,1809
ENSG00000013573,1535
ENSG00000013583,4576
ENSG00000013588,22588
ENSG00000013619,364
ENSG00000013725,402
ENSG00000013810,2946
ENSG00000014123,5325
ENSG00000014138,2000
ENSG00000014164,1849
ENSG00000014216,16164
ENSG00000014257,255
ENSG00000014641,9299
ENSG00000014824,7669
ENSG00000014914,1464
ENSG00000014919,5117
ENSG00000015133,7722
ENSG00000015153,1305
ENSG00000015171,11257
ENSG00000015285,696
ENSG00000015413,109
ENSG00000015475,1407
ENSG00000015479,812
ENSG00000015520,58
ENSG00000015532,4475
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,8872
ENSG00000016082,2
ENSG00000016391,1284
ENSG00000016402,3036
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,4294
ENSG00000017260,9780
ENSG00000017427,115
ENSG00000017483,344
ENSG00000017797,8690
ENSG00000018189,2519
ENSG00000018236,1377
ENSG00000018280,423
ENSG00000018408,2884
ENSG00000018510,6609
ENSG00000018607,0
ENSG00000018610,2166
ENSG00000018625,681
ENSG00000018699,2290
ENSG00000018869,269
ENSG00000019102,19
ENSG00000019144,4344
ENSG00000019169,202
ENSG00000019186,14
ENSG00000019485,744
ENSG00000019505,24657
ENSG00000019549,934
ENSG00000019582,103209
ENSG00000019991,394
ENSG00000019995,2464
ENSG00000020129,3035
ENSG00000020181,2905
ENSG00000020219,0
ENSG00000020256,1453
ENSG00000020426,1930
ENSG00000020577,644
ENSG00000020633,1019
ENSG00000020922,1609
ENSG00000021300,106
ENSG00000021355,7319
ENSG00000021461,1
ENSG00000021488,23
ENSG00000021574,3094
ENSG00000021645,612
ENSG00000021762,2811
ENSG00000021776,6680
ENSG00000021826,152
ENSG00000021852,2
ENSG00000022267,3901
ENSG00000022277,8295
ENSG00000022355,1
ENSG00000022556,2556
ENSG00000022567,541
ENSG00000022840,14674
ENSG00000022976,1068
ENSG00000023041,3054
ENSG00000023171,157
ENSG00000023191,11007
ENSG00000023228,10759
ENSG00000023287,6799
ENSG00000023318,3922
ENSG00000023330,3995
ENSG00000023445,1601
ENSG00000023516,6000
ENSG00000023572,662
ENSG00000023608,432
ENSG00000023697,1640
ENSG00000023734,9423
ENSG00000023839,40
ENSG00000023892,1056
ENSG00000023902,2059
ENSG00000023909,2580
ENSG00000024048,6920
ENSG00000024422,6095
ENSG00000024526,641
ENSG00000024862,2654
ENSG00000025039,611
ENSG00000025156,1466
ENSG00000025293,6916
ENSG00000025423,423
ENSG00000025434,1650
ENSG00000025708,11381
ENSG00000025770,2551
ENSG00000025772,2963
ENSG00000025796,11244
ENSG00000025800,9612
ENSG00000026025,46750
ENSG00000026036,150
ENSG00000026103,604
ENSG00000026297,2227
ENSG00000026508,51756
ENSG00000026559,9
ENSG00000026652,393
ENSG00000026751,738
ENSG00000026950,3137
ENSG00000027001,2111
ENSG00000027075,2109
ENSG00000027644,12
ENSG00000027697,5659
ENSG00000027847,1577
ENSG00000027869,106
ENSG00000028116,7088
ENSG00000028137,2164
ENSG00000028203,5041
ENSG00000028277,406
ENSG00000028310,1998
ENSG00000028528,14115
ENSG00000028839,642
ENSG00000029153,269
ENSG00000029363,14593
ENSG00000029364,15492
ENSG00000029534,67
ENSG00000029559,197
ENSG00000029639,774
ENSG00000029725,35801
ENSG00000029993,3397
ENSG00000030066,3866
ENSG00000030110,1303
ENSG00000030304,12
ENSG00000030419,987
ENSG00000030582,39873
ENSG00000031003,3552
ENSG00000031081,2539
ENSG00000031691,498
ENSG00000031698,11687
ENSG00000031823,4323
ENSG00000032219,2608
ENSG00000032389,1783
ENSG00000032444,4199
ENSG00000032742,2296
ENSG00000033011,2718
ENSG00000033030,1967
ENSG00000033050,4886
ENSG00000033100,4652
ENSG00000033122,53
ENSG00000033170,8260
ENSG00000033178,4383
ENSG00000033327,2005
ENSG00000033627,10044
ENSG00000033800,3463
ENSG00000033867,17425
ENSG00000034053,174
ENSG00000034152,2984
ENSG00000034239,8
ENSG00000034510,31652
ENSG00000034533,708
ENSG00000034677,9688
ENSG00000034693,1260
ENSG00000034713,4467
ENSG00000034971,7
ENSG00000035115,3392
ENSG00000035141,1967
ENSG00000035403,13492
ENSG00000035499,283
ENSG00000035664,1969
ENSG00000035681,2027
ENSG00000035687,6943
ENSG00000035720,50
ENSG00000035862,27291
ENSG00000035928,6684
ENSG00000036054,3729
ENSG00000036257,6558
ENSG00000036448,148
ENSG00000036473,0
ENSG00000036530,40
ENSG00000036549,4207
ENSG00000036565,2
ENSG00000036672,105
ENSG00000036828,0
ENSG00000037042,1999
ENSG00000037241,1374
ENSG00000037280,1182
ENSG00000037474,5340
ENSG00000037637,2550
ENSG00000037749,2432
ENSG00000037757,1600
ENSG00000037897,1248
ENSG00000037965,226
ENSG00000038002,2772
ENSG00000038210,1539
ENSG00000038219,7051
ENSG00000038274,6189
ENSG00000038295,218
ENSG00000038358,2562
ENSG00000038382,8516
ENSG00000038427,30868
ENSG00000038532,3731
ENSG00000038945,3953
ENSG00000039068,30165
ENSG00000039123,6352
ENSG00000039139,1389
ENSG00000039319,4441
ENSG00000039523,4768
ENSG00000039537,507
ENSG00000039560,6935
ENSG00000039600,21
ENSG00000039650,1825
ENSG00000039987,1
ENSG00000040199,1289
ENSG00000040275,678
ENSG00000040341,4186
ENSG00000040487,909
ENSG00000040531,1795
ENSG00000040608,200
ENSG00000040633,2730
ENSG00000040731,0
ENSG00000040933,2072
ENSG00000041353,3580
ENSG00000041357,7005
ENSG00000041515,54
ENSG00000041802,3165
ENSG00000041880,3123
ENSG00000041982,4178
ENSG00000041988,850
ENSG00000042062,466
ENSG00000042088,1439
ENSG00000042286,1369
ENSG00000042304,0
ENSG00000042317,586
ENSG00000042429,1446
ENSG00000042445,8344
ENSG00000042493,7119
ENSG00000042753,5882
ENSG00000042781,51
ENSG00000042813,0
ENSG00000042832,90
ENSG00000042980,592
ENSG00000043039,1051
ENSG00000043093,2896
ENSG00000043143,7964
ENSG00000043355,0
ENSG00000043462,1801
ENSG00000043514,1470
ENSG00000043591,18
ENSG00000044012,0
ENSG00000044090,5533
ENSG00000044115,43537
ENSG00000044446,2531
ENSG00000044459,646
ENSG00000044524,268
ENSG00000044574,48726
ENSG00000046604,21419
ENSG00000046647,1774
ENSG00000046651,3285
ENSG00000046653,666
ENSG00000046774,3
ENSG00000046889,728
ENSG00000047056,2059
ENSG00000047188,4574
ENSG00000047230,3466
ENSG00000047249,4886
ENSG00000047315,10295
ENSG00000047346,10468
ENSG00000047365,1497
ENSG00000047410,20143
ENSG00000047457,941
ENSG00000047578,2969
ENSG00000047579,1285
ENSG00000047597,8
ENSG00000047617,36
ENSG00000047621,1406
ENSG00000047634,133
ENSG00000047644,4799
ENSG00000047648,295
ENSG00000047662,349
ENSG00000047849,23695
ENSG00000047932,3327
ENSG00000047936,3
ENSG00000048028,1334
ENSG00000048052,814
ENSG00000048140,2324
ENSG00000048162,838
ENSG00000048342,679
ENSG00000048392,4303
ENSG00000048405,1868
ENSG00000048462,21
ENSG00000048471,4015
ENSG00000048540,919
ENSG00000048544,4398
ENSG00000048545,3
ENSG00000048649,4229
ENSG00000048707,8741
ENSG00000048740,1721
ENSG00000048828,30714
ENSG00000048991,2679
ENSG00000049089,229
ENSG00000049130,6586
ENSG00000049167,501
ENSG00000049192,222
ENSG00000049239,9969
ENSG00000049245,10282
ENSG00000049246,6189
ENSG00000049247,1
ENSG00000049249,80
ENSG00000049283,2668
ENSG00000049323,4910
ENSG00000049449,8772
ENSG00000049540,3076
ENSG00000049541,1795
ENSG00000049618,7922
ENSG00000049656,8589
ENSG00000049759,8243
ENSG00000049768,263
ENSG00000049769,378
ENSG00000049860,8727
ENSG00000049883,1445
ENSG00000050030,455
ENSG00000050130,4765
ENSG00000050165,7794
ENSG00000050327,882
ENSG00000050344,1049
ENSG00000050393,2836
ENSG00000050405,8398
ENSG00000050426,3465
ENSG00000050438,749
ENSG00000050555,88
ENSG00000050628,2571
ENSG00000050730,17
ENSG00000050748,5296
ENSG00000050767,39
ENSG00000050820,3869
ENSG00000051009,2436
ENSG00000051108,6252
ENSG00000051128,1996
ENSG00000051180,394
ENSG00000051341,489
ENSG00000051382,4414
ENSG00000051523,1972
ENSG00000051596,321
ENSG00000051620,3946
ENSG00000051825,1672
ENSG00000052126,2080
ENSG00000052344,13005
ENSG00000052723,2413
ENSG00000052749,3636
ENSG00000052795,1687
ENSG00000052802,2490
ENSG00000052841,9777
ENSG00000052850,19
ENSG00000053108,262
ENSG00000053254,2369
ENSG00000053328,27
ENSG00000053371,3809
ENSG00000053372,2644
ENSG00000053438,191
ENSG00000053501,1044
ENSG00000053524,22
ENSG00000053702,342
ENSG00000053747,2819
ENSG00000053770,3810
ENSG00000053900,2018
ENSG00000053918,485
ENSG00000054116,5006
ENSG00000054118,22499
ENSG00000054148,3280
ENSG00000054179,522
ENSG00000054219,239
ENSG00000054267,7562
ENSG00000054277,1062
ENSG00000054282,2987
ENSG00000054356,9
ENSG00000054392,2981
ENSG00000054523,6433
ENSG00000054598,176
ENSG00000054611,2636
ENSG00000054654,13960
ENSG00000054690,1491
ENSG00000054793,8835
ENSG00000054796,0
ENSG00000054803,171
ENSG00000054938,22
ENSG00000054965,5554
ENSG00000054967,383
ENSG00000054983,4130
ENSG00000055044,4665
ENSG00000055070,9181
ENSG00000055118,44
ENSG00000055130,6529
ENSG00000055147,2650
ENSG00000055163,3501
ENSG00000055208,9957
ENSG00000055211,5246
ENSG00000055332,13537
ENSG00000055483,5020
ENSG00000055609,15287
ENSG00000055732,101
ENSG00000055813,169
ENSG00000055917,18920
ENSG00000055950,3493
ENSG00000055955,28
ENSG00000055957,5
ENSG00000056050,894
ENSG00000056097,8807
ENSG00000056277,333
ENSG00000056291,10
ENSG00000056487,365
ENSG00000056558,657
ENSG00000056586,5341
ENSG00000056736,678
ENSG00000056972,2228
ENSG00000056998,624
ENSG00000057019,1680
ENSG00000057149,0
ENSG00000057252,3687
ENSG00000057294,3731
ENSG00000057468,9
ENSG00000057593,2959
ENSG00000057608,22044
ENSG00000057657,1144
ENSG00000057663,2882
ENSG00000057704,486
ENSG00000057757,3559
ENSG00000057935,6491
ENSG00000058056,2593
ENSG00000058063,1231
ENSG00000058085,6792
ENSG00000058091,2272
ENSG00000058262,28331
ENSG00000058272,4740
ENSG00000058335,98
ENSG00000058404,34
ENSG00000058453,1089
ENSG00000058600,4876
ENSG00000058668,7786
ENSG00000058673,16499
ENSG00000058729,1899
ENSG00000058799,3450
ENSG00000058804,3872
ENSG00000058866,85
ENSG00000059122,2490
ENSG00000059145,1338
ENSG00000059377,889
ENSG00000059378,4822
ENSG00000059573,8761
ENSG00000059588,4163
ENSG00000059691,2046
ENSG00000059728,3382
ENSG00000059758,5506
ENSG00000059769,837
ENSG00000059804,1616
ENSG00000059915,235
ENSG00000060069,1520
ENSG00000060138,5897
ENSG00000060140,187
ENSG00000060237,28393
ENSG00000060303,0
ENSG00000060339,7470
ENSG00000060491,2527
ENSG00000060558,551
ENSG00000060566,9
ENSG00000060642,2964
ENSG00000060656,1001
ENSG00000060688,3196
ENSG00000060709,18
ENSG00000060718,13845
ENSG00000060749,5185
ENSG00000060762,1176
ENSG00000060971,3331
ENSG00000060982,1391
ENSG00000061273,6289
ENSG00000061337,1168
ENSG00000061455,166
ENSG00000061492,0
ENSG00000061656,107
ENSG00000061676,19150
ENSG00000061794,5498
ENSG00000061918,1041
ENSG00000061936,3431
ENSG00000061938,5034
ENSG00000061987,4634
ENSG00000062038,235
ENSG00000062096,1
ENSG00000062194,8388
ENSG00000062282,1292
ENSG00000062370,626
ENSG00000062485,13222
ENSG00000062524,16
ENSG00000062582,298
ENSG00000062598,5379
ENSG00000062650,7858
ENSG00000062716,15434
ENSG00000062725,7008
ENSG00000062822,1264
ENSG00000063015,34
ENSG00000063046,33314
ENSG00000063127,19
ENSG00000063169,1485
ENSG00000063176,1086
ENSG00000063177,29801
ENSG00000063180,494
ENSG00000063241,2191
ENSG00000063244,10408
ENSG00000063245,6559
ENSG00000063322,6746
ENSG00000063438,188
ENSG00000063515,0
ENSG00000063587,771
ENSG00000063601,2487
ENSG00000063660,3749
ENSG00000063761,664
ENSG00000063854,3445
ENSG00000063978,5610
ENSG00000064012,3339
ENSG00000064042,2826
ENSG00000064102,1709
ENSG00000064115,7759
ENSG00000064195,43
ENSG00000064199,1118
ENSG00000064201,57
ENSG00000064205,1082
ENSG00000064218,29
ENSG00000064225,405
ENSG00000064270,327
ENSG00000064300,316
ENSG00000064309,4089
ENSG00000064313,3219
ENSG00000064393,1393
ENSG00000064419,6089
ENSG00000064489,37
ENSG00000064490,3113
ENSG00000064545,1317
ENSG00000064547,1183
ENSG00000064601,9032
ENSG00000064607,4757
ENSG00000064651,3881
ENSG00000064652,1373
ENSG00000064655,300
ENSG00000064666,11129
ENSG00000064687,1628
ENSG00000064692,133
ENSG00000064703,1786
ENSG00000064726,7412
ENSG00000064763,1546
ENSG00000064787,1360
ENSG00000064835,3
ENSG00000064886,2930
ENSG00000064932,7616
ENSG00000064933,1128
ENSG00000064961,5101
ENSG00000064989,2756
ENSG00000064995,1652
ENSG00000064999,3550
ENSG00000065000,12633
ENSG00000065029,3612
ENSG00000065054,5449
ENSG00000065057,1212
ENSG00000065060,5543
ENSG00000065135,7947
ENSG00000065150,12487
ENSG00000065154,4795
ENSG00000065183,4128
ENSG00000065243,6122
ENSG00000065268,2198
ENSG00000065308,3751
ENSG00000065320,439
ENSG00000065325,19
ENSG00000065328,344
ENSG00000065357,1682
ENSG00000065361,45228
ENSG00000065371,0
ENSG00000065413,914
ENSG00000065427,5354
ENSG00000065457,2051
ENSG00000065485,1080
ENSG00000065491,1717
ENSG00000065518,7640
ENSG00000065526,11761
ENSG00000065534,6302
ENSG00000065548,4736
ENSG00000065559,4193
ENSG00000065600,668
ENSG00000065609,6
ENSG00000065613,7651
ENSG00000065615,1566
ENSG00000065618,167
ENSG00000065621,2087
ENSG00000065665,690
ENSG00000065675,53
ENSG00000065717,2806
ENSG00000065802,1320
ENSG00000065809,3743
ENSG00000065833,1674
ENSG00000065882,4829
ENSG00000065883,5154
ENSG00000065911,3969
ENSG00000065923,2746
ENSG00000065970,3407
ENSG00000065978,11386
ENSG00000065989,3721
ENSG00000066027,8209
ENSG00000066032,3
ENSG00000066044,7161
ENSG00000066056,1932
ENSG00000066084,9487
ENSG00000066117,5107
ENSG00000066135,5668
ENSG00000066136,3393
ENSG00000066185,493
ENSG00000066230,17
ENSG00000066248,75
ENSG00000066279,1677
ENSG00000066294,1733
ENSG00000066322,4900
ENSG00000066336,1861
ENSG00000066379,926
ENSG00000066382,134
ENSG00000066405,13
ENSG00000066422,3456
ENSG00000066427,2308
ENSG00000066455,5341
ENSG00000066468,2098
ENSG00000066557,1197
ENSG00000066583,1715
ENSG00000066629,733
ENSG00000066651,792
ENSG00000066654,8626
ENSG00000066697,981
ENSG00000066735,309
ENSG00000066739,5232
ENSG00000066777,11686
ENSG00000066813,1
ENSG00000066827,1284
ENSG00000066855,2040
ENSG00000066923,157
ENSG00000066926,3528
ENSG00000066933,2704
ENSG00000067048,0
ENSG00000067057,1053
ENSG00000067064,2823
ENSG00000067066,8567
ENSG00000067082,8604
ENSG00000067113,2168
ENSG00000067141,10107
ENSG00000067167,14924
ENSG00000067177,2648
ENSG00000067182,11447
ENSG00000067191,502
ENSG00000067208,1536
ENSG00000067221,618
ENSG00000067225,73626
ENSG00000067248,5506
ENSG00000067334,5277
ENSG00000067365,846
ENSG00000067369,7407
ENSG00000067445,466
ENSG00000067533,2093
ENSG00000067560,46760
ENSG00000067596,10016
ENSG00000067601,124
ENSG00000067606,1157
ENSG00000067646,0
ENSG00000067704,17989
ENSG00000067715,533
ENSG00000067798,643
ENSG00000067829,2374
ENSG00000067836,4466
ENSG00000067840,77
ENSG00000067842,1
ENSG00000067900,7929
ENSG00000067955,2695
ENSG00000067992,1410
ENSG00000068001,3745
ENSG00000068024,665
ENSG00000068028,1969
ENSG00000068078,2021
ENSG00000068079,7009
ENSG00000068097,2815
ENSG00000068120,10356
ENSG00000068137,6266
ENSG00000068305,3509
ENSG00000068308,5641
ENSG00000068323,5990
ENSG00000068354,1459
ENSG00000068366,2330
ENSG00000068383,1596
ENSG00000068394,2097
ENSG00000068400,5413
ENSG00000068438,1893
ENSG00000068489,791
ENSG00000068615,4634
ENSG00000068650,1545
ENSG00000068654,7236
ENSG00000068697,43933
ENSG00000068724,2343
ENSG00000068745,5988
ENSG00000068781,14
ENSG00000068784,2199
ENSG00000068796,2814
ENSG00000068831,142
ENSG00000068878,8194
ENSG00000068885,867
ENSG00000068903,3256
ENSG00000068912,7235
ENSG00000068971,1080
ENSG00000068976,121
ENSG00000068985,0
ENSG00000069011,4054
ENSG00000069018,0
ENSG00000069020,7917
ENSG00000069122,3930
ENSG00000069188,101
ENSG00000069206,0
ENSG00000069248,7776
ENSG00000069275,42227
ENSG00000069329,7818
ENSG00000069345,4430
ENSG00000069399,6515
ENSG00000069424,1447
ENSG00000069431,1273
ENSG00000069482,20
ENSG00000069493,895
ENSG00000069509,1279
ENSG00000069535,5334
ENSG00000069667,1450
ENSG00000069696,53
ENSG00000069702,31665
ENSG00000069712,955
ENSG00000069764,16
ENSG00000069812,33
ENSG00000069849,2700
ENSG00000069869,2058
ENSG00000069943,1107
ENSG00000069956,3720
ENSG00000069966,1299
ENSG00000069974,1261
ENSG00000069998,1870
ENSG00000070010,3301
ENSG00000070018,3504
ENSG00000070019,21
ENSG00000070031,52
ENSG00000070047,3745
ENSG00000070061,4826
ENSG00000070081,11621
ENSG00000070087,5867
ENSG00000070159,2450
ENSG00000070182,71
ENSG00000070190,2129
ENSG00000070193,55
ENSG00000070214,19454
ENSG00000070269,2014
ENSG00000070366,1875
ENSG00000070367,5928
ENSG00000070371,252
ENSG00000070388,2
ENSG00000070404,3045
ENSG00000070413,10687
ENSG00000070423,1654
ENSG00000070444,1832
ENSG00000070476,2546
ENSG00000070495,1296
ENSG00000070501,1720
ENSG00000070526,26
ENSG00000070540,3649
ENSG00000070601,48
ENSG00000070610,3747
ENSG00000070614,13104
ENSG00000070669,802
ENSG00000070718,2290
ENSG00000070729,1
ENSG00000070731,2223
ENSG00000070748,0
ENSG00000070756,65232
ENSG00000070759,843
ENSG00000070761,1046
ENSG00000070770,2622
ENSG00000070778,1045
ENSG00000070785,1966
ENSG00000070808,16
ENSG00000070814,2893
ENSG00000070831,19571
ENSG00000070882,776
ENSG00000070886,21
ENSG00000070915,26
ENSG00000070950,1976
ENSG00000070961,4382
ENSG00000070985,1
ENSG00000071051,2210
ENSG00000071054,4845
ENSG00000071073,7839
ENSG00000071082,30645
ENSG00000071127,22701
ENSG00000071189,4222
ENSG00000071203,0
ENSG00000071205,551
ENSG00000071242,1985
ENSG00000071243,625
ENSG00000071246,1621
ENSG00000071282,3735
ENSG00000071462,4533
ENSG00000071537,16223
ENSG00000071539,552
ENSG00000071553,23887
ENSG00000071564,4762
ENSG00000071575,1904
ENSG00000071626,6324
ENSG00000071655,3542
ENSG00000071677,5
ENSG00000071794,5358
ENSG00000071859,3018
ENSG00000071889,2025
ENSG00000071894,3811
ENSG00000071909,112
ENSG00000071967,32273
ENSG00000071991,9
ENSG00000071994,3139
ENSG00000072041,0
ENSG00000072042,5916
ENSG00000072062,9603
ENSG00000072071,4600
ENSG00000072080,0
ENSG00000072110,13870
ENSG00000072121,4951
ENSG00000072133,1667
ENSG00000072134,4785
ENSG00000072135,6036
ENSG00000072163,1210
ENSG00000072182,29
ENSG00000072195,2447
ENSG00000072201,3843
ENSG00000072210,24473
ENSG00000072274,7230
ENSG00000072310,85933
ENSG00000072315,0
ENSG00000072364,19793
ENSG00000072401,1105
ENSG00000072415,3045
ENSG00000072422,1758
