Gene stable ID,c1762c7e-cebc-4380-a207-eec4dc44aa63
ENSG00000013503,418
ENSG00000013523,1625
ENSG00000013561,794
ENSG00000013563,678
ENSG00000013573,976
ENSG00000013583,4704
ENSG00000013588,19097
ENSG00000013619,27
ENSG00000013725,49
ENSG00000013810,2682
ENSG00000014123,1340
ENSG00000014138,676
ENSG00000014164,1265
ENSG00000014216,4644
ENSG00000014257,72
ENSG00000014641,6112
ENSG00000014824,3860
ENSG00000014914,918
ENSG00000014919,3691
ENSG00000015133,595
ENSG00000015153,467
ENSG00000015171,4896
ENSG00000015285,209
ENSG00000015413,380
ENSG00000015475,2658
ENSG00000015479,52
ENSG00000015520,8
ENSG00000015532,2770
ENSG00000015568,1
ENSG00000015592,0
ENSG00000015676,2840
ENSG00000016082,7
ENSG00000016391,2874
ENSG00000016402,35
ENSG00000016490,7
ENSG00000016602,1
ENSG00000016864,2408
ENSG00000017260,2949
ENSG00000017427,0
ENSG00000017483,20
ENSG00000017797,2598
ENSG00000018189,862
ENSG00000018236,31
ENSG00000018280,545
ENSG00000018408,1665
ENSG00000018510,1817
ENSG00000018607,0
ENSG00000018610,728
ENSG00000018625,23
ENSG00000018699,1380
ENSG00000018869,15
ENSG00000019102,10
ENSG00000019144,1291
ENSG00000019169,8
ENSG00000019186,0
ENSG00000019485,524
ENSG00000019505,2562
ENSG00000019549,71
ENSG00000019582,23912
ENSG00000019991,13
ENSG00000019995,459
ENSG00000020129,2059
ENSG00000020181,190
ENSG00000020219,0
ENSG00000020256,1306
ENSG00000020426,1039
ENSG00000020577,58
ENSG00000020633,108
ENSG00000020922,736
ENSG00000021300,316
ENSG00000021355,3477
ENSG00000021461,1
ENSG00000021488,24
ENSG00000021574,1006
ENSG00000021645,203
ENSG00000021762,781
ENSG00000021776,2307
ENSG00000021826,5
ENSG00000021852,0
ENSG00000022267,71
ENSG00000022277,5326
ENSG00000022355,25
ENSG00000022556,1465
ENSG00000022567,567
ENSG00000022840,9397
ENSG00000022976,423
ENSG00000023041,1185
ENSG00000023171,50
ENSG00000023191,10450
ENSG00000023228,6205
ENSG00000023287,2033
ENSG00000023318,1993
ENSG00000023330,2050
ENSG00000023445,60
ENSG00000023516,1452
ENSG00000023572,818
ENSG00000023608,246
ENSG00000023697,1156
ENSG00000023734,6795
ENSG00000023839,62
ENSG00000023892,2349
ENSG00000023902,692
ENSG00000023909,500
ENSG00000024048,2070
ENSG00000024422,1119
ENSG00000024526,475
ENSG00000024862,1249
ENSG00000025039,115
ENSG00000025156,447
ENSG00000025293,1924
ENSG00000025423,58
ENSG00000025434,1391
ENSG00000025708,4745
ENSG00000025770,3359
ENSG00000025772,3335
ENSG00000025796,3498
ENSG00000025800,2868
ENSG00000026025,7942
ENSG00000026036,65
ENSG00000026103,19
ENSG00000026297,1297
ENSG00000026508,12726
ENSG00000026559,15
ENSG00000026652,128
ENSG00000026751,62
ENSG00000026950,1187
ENSG00000027001,1288
ENSG00000027075,303
ENSG00000027644,0
ENSG00000027697,1079
ENSG00000027847,1442
ENSG00000027869,38
ENSG00000028116,537
ENSG00000028137,679
ENSG00000028203,3185
ENSG00000028277,41
ENSG00000028310,1016
ENSG00000028528,3938
ENSG00000028839,288
ENSG00000029153,58
ENSG00000029363,3687
ENSG00000029364,4818
ENSG00000029534,1800
ENSG00000029559,25
ENSG00000029639,396
ENSG00000029725,8668
ENSG00000029993,2209
ENSG00000030066,2405
ENSG00000030110,1045
ENSG00000030304,1
ENSG00000030419,142
ENSG00000030582,12411
ENSG00000031003,873
ENSG00000031081,152
ENSG00000031691,394
ENSG00000031698,7417
ENSG00000031823,3422
ENSG00000032219,713
ENSG00000032389,1395
ENSG00000032444,2708
ENSG00000032742,802
ENSG00000033011,1329
ENSG00000033030,1457
ENSG00000033050,2230
ENSG00000033100,2152
ENSG00000033122,8
ENSG00000033170,3884
ENSG00000033178,2339
ENSG00000033327,2052
ENSG00000033627,2442
ENSG00000033800,1235
ENSG00000033867,262
ENSG00000034053,278
ENSG00000034152,1851
ENSG00000034239,0
ENSG00000034510,16454
ENSG00000034533,477
ENSG00000034677,3103
ENSG00000034693,382
ENSG00000034713,3645
ENSG00000034971,2
ENSG00000035115,2498
ENSG00000035141,1866
ENSG00000035403,5689
ENSG00000035499,253
ENSG00000035664,1121
ENSG00000035681,1841
ENSG00000035687,3706
ENSG00000035720,0
ENSG00000035862,2600
ENSG00000035928,2760
ENSG00000036054,1367
ENSG00000036257,3685
ENSG00000036448,11
ENSG00000036473,1
ENSG00000036530,11
ENSG00000036549,1058
ENSG00000036565,4
ENSG00000036672,117
ENSG00000036828,0
ENSG00000037042,1188
ENSG00000037241,868
ENSG00000037280,312
ENSG00000037474,3728
ENSG00000037637,1094
ENSG00000037749,137
ENSG00000037757,545
ENSG00000037897,1532
ENSG00000037965,77
ENSG00000038002,1668
ENSG00000038210,777
ENSG00000038219,1468
ENSG00000038274,940
ENSG00000038295,5
ENSG00000038358,2559
ENSG00000038382,493
ENSG00000038427,372
ENSG00000038532,1110
ENSG00000038945,889
ENSG00000039068,37280
ENSG00000039123,2684
ENSG00000039139,220
ENSG00000039319,2279
ENSG00000039523,1659
ENSG00000039537,0
ENSG00000039560,301
ENSG00000039600,0
ENSG00000039650,1961
ENSG00000039987,3
ENSG00000040199,574
ENSG00000040275,208
ENSG00000040341,1485
ENSG00000040487,669
ENSG00000040531,1506
ENSG00000040608,451
ENSG00000040633,4006
ENSG00000040731,0
ENSG00000040933,742
ENSG00000041353,3782
ENSG00000041357,5768
ENSG00000041515,5
ENSG00000041802,3593
ENSG00000041880,1000
ENSG00000041982,366
ENSG00000041988,733
ENSG00000042062,172
ENSG00000042088,1086
ENSG00000042286,1852
ENSG00000042304,0
ENSG00000042317,329
ENSG00000042429,1077
ENSG00000042445,3784
ENSG00000042493,13762
ENSG00000042753,2940
ENSG00000042781,24
ENSG00000042813,2
ENSG00000042832,19
ENSG00000042980,57
ENSG00000043039,1470
ENSG00000043093,1157
ENSG00000043143,3402
ENSG00000043355,219
ENSG00000043462,256
ENSG00000043514,606
ENSG00000043591,0
ENSG00000044012,0
ENSG00000044090,3381
ENSG00000044115,22126
ENSG00000044446,651
ENSG00000044459,601
ENSG00000044524,14
ENSG00000044574,48045
ENSG00000046604,4529
ENSG00000046647,640
ENSG00000046651,1237
ENSG00000046653,41
ENSG00000046774,0
ENSG00000046889,37
ENSG00000047056,987
ENSG00000047188,929
ENSG00000047230,1729
ENSG00000047249,2916
ENSG00000047315,3572
ENSG00000047346,1281
ENSG00000047365,635
ENSG00000047410,8840
ENSG00000047457,6
ENSG00000047578,1267
ENSG00000047579,1013
ENSG00000047597,133
ENSG00000047617,446
ENSG00000047621,759
ENSG00000047634,68
ENSG00000047644,588
ENSG00000047648,90
ENSG00000047662,81
ENSG00000047849,7803
ENSG00000047932,1123
ENSG00000047936,0
ENSG00000048028,798
ENSG00000048052,87
ENSG00000048140,1914
ENSG00000048162,1158
ENSG00000048342,735
ENSG00000048392,1310
ENSG00000048405,465
ENSG00000048462,1
ENSG00000048471,394
ENSG00000048540,11
ENSG00000048544,3047
ENSG00000048545,0
ENSG00000048649,4375
ENSG00000048707,1862
ENSG00000048740,244
ENSG00000048828,6516
ENSG00000048991,1334
ENSG00000049089,1310
ENSG00000049130,336
ENSG00000049167,174
ENSG00000049192,12
ENSG00000049239,1599
ENSG00000049245,2132
ENSG00000049246,329
ENSG00000049247,0
ENSG00000049249,13
ENSG00000049283,3697
ENSG00000049323,775
ENSG00000049449,6132
ENSG00000049540,60
ENSG00000049541,1157
ENSG00000049618,1939
ENSG00000049656,5755
ENSG00000049759,6572
ENSG00000049768,23
ENSG00000049769,92
ENSG00000049860,6301
ENSG00000049883,453
ENSG00000050030,58
ENSG00000050130,1880
ENSG00000050165,362
ENSG00000050327,576
ENSG00000050344,185
ENSG00000050393,2167
ENSG00000050405,4994
ENSG00000050426,1706
ENSG00000050438,2693
ENSG00000050555,26
ENSG00000050628,863
ENSG00000050730,2
ENSG00000050748,1326
ENSG00000050767,38
ENSG00000050820,4749
ENSG00000051009,2345
ENSG00000051108,6991
ENSG00000051128,1474
ENSG00000051180,556
ENSG00000051341,272
ENSG00000051382,1912
ENSG00000051523,4187
ENSG00000051596,535
ENSG00000051620,2827
ENSG00000051825,499
ENSG00000052126,617
ENSG00000052344,5958
ENSG00000052723,1489
ENSG00000052749,7898
ENSG00000052795,553
ENSG00000052802,5942
ENSG00000052841,4501
ENSG00000052850,2
ENSG00000053108,423
ENSG00000053254,525
ENSG00000053328,0
ENSG00000053371,2421
ENSG00000053372,1946
ENSG00000053438,22
ENSG00000053501,998
ENSG00000053524,1
ENSG00000053702,70
ENSG00000053747,155
ENSG00000053770,939
ENSG00000053900,1032
ENSG00000053918,503
ENSG00000054116,2241
ENSG00000054118,7778
ENSG00000054148,5579
ENSG00000054179,932
ENSG00000054219,62
ENSG00000054267,2519
ENSG00000054277,65
ENSG00000054282,1057
ENSG00000054356,7
ENSG00000054392,1785
ENSG00000054523,1387
ENSG00000054598,175
ENSG00000054611,1165
ENSG00000054654,4081
ENSG00000054690,659
ENSG00000054793,2624
ENSG00000054796,0
ENSG00000054803,20
ENSG00000054938,4
ENSG00000054965,3778
ENSG00000054967,297
ENSG00000054983,1612
ENSG00000055044,4737
ENSG00000055070,4408
ENSG00000055118,172
ENSG00000055130,2148
ENSG00000055147,451
ENSG00000055163,310
ENSG00000055208,3588
ENSG00000055211,1516
ENSG00000055332,2873
ENSG00000055483,4067
ENSG00000055609,1800
ENSG00000055732,61
ENSG00000055813,22
ENSG00000055917,6470
ENSG00000055950,1944
ENSG00000055955,8
ENSG00000055957,0
ENSG00000056050,1261
ENSG00000056097,3415
ENSG00000056277,77
ENSG00000056291,0
ENSG00000056487,18
ENSG00000056558,254
ENSG00000056586,1586
ENSG00000056736,1335
ENSG00000056972,893
ENSG00000056998,132
ENSG00000057019,1149
ENSG00000057149,0
ENSG00000057252,911
ENSG00000057294,335
ENSG00000057468,1
ENSG00000057593,254
ENSG00000057608,12802
ENSG00000057657,94
ENSG00000057663,1618
ENSG00000057704,42
ENSG00000057757,1653
ENSG00000057935,4519
ENSG00000058056,1115
ENSG00000058063,133
ENSG00000058085,569
ENSG00000058091,491
ENSG00000058262,20349
ENSG00000058272,1342
ENSG00000058335,7
ENSG00000058404,73
ENSG00000058453,901
ENSG00000058600,4019
ENSG00000058668,441
ENSG00000058673,8889
ENSG00000058729,1234
ENSG00000058799,2750
ENSG00000058804,1163
ENSG00000058866,9
ENSG00000059122,1542
ENSG00000059145,230
ENSG00000059377,266
ENSG00000059378,1981
ENSG00000059573,7997
ENSG00000059588,4920
ENSG00000059691,1000
ENSG00000059728,340
ENSG00000059758,699
ENSG00000059769,806
ENSG00000059804,349
ENSG00000059915,72
ENSG00000060069,1542
ENSG00000060138,621
ENSG00000060140,15
ENSG00000060237,3669
ENSG00000060303,0
ENSG00000060339,5711
ENSG00000060491,3654
ENSG00000060558,345
ENSG00000060566,2
ENSG00000060642,901
ENSG00000060656,384
ENSG00000060688,1945
ENSG00000060709,3
ENSG00000060718,211
ENSG00000060749,1607
ENSG00000060762,834
ENSG00000060971,1718
ENSG00000060982,242
ENSG00000061273,3141
ENSG00000061337,139
ENSG00000061455,8
ENSG00000061492,0
ENSG00000061656,219
ENSG00000061676,6878
ENSG00000061794,4801
ENSG00000061918,72
ENSG00000061936,2279
ENSG00000061938,4606
ENSG00000061987,2309
ENSG00000062038,929
ENSG00000062096,0
ENSG00000062194,4457
ENSG00000062282,338
ENSG00000062370,245
ENSG00000062485,4972
ENSG00000062524,24
ENSG00000062582,235
ENSG00000062598,2539
ENSG00000062650,3132
ENSG00000062716,8942
ENSG00000062725,2477
ENSG00000062822,1083
ENSG00000063015,4
ENSG00000063046,11824
ENSG00000063127,41
ENSG00000063169,726
ENSG00000063176,918
ENSG00000063177,23887
ENSG00000063180,112
ENSG00000063241,2816
ENSG00000063244,9043
ENSG00000063245,6475
ENSG00000063322,3758
ENSG00000063438,34
ENSG00000063515,0
ENSG00000063587,446
ENSG00000063601,737
ENSG00000063660,1669
ENSG00000063761,743
ENSG00000063854,1836
ENSG00000063978,3887
ENSG00000064012,536
ENSG00000064042,69
ENSG00000064102,1371
ENSG00000064115,3693
ENSG00000064195,243
ENSG00000064199,212
ENSG00000064201,0
ENSG00000064205,4171
ENSG00000064218,118
ENSG00000064225,93
ENSG00000064270,1011
ENSG00000064300,35
ENSG00000064309,679
ENSG00000064313,1018
ENSG00000064393,1018
ENSG00000064419,1794
ENSG00000064489,6
ENSG00000064490,2736
ENSG00000064545,1729
ENSG00000064547,1370
ENSG00000064601,7248
ENSG00000064607,1885
ENSG00000064651,1857
ENSG00000064652,687
ENSG00000064655,969
ENSG00000064666,8835
ENSG00000064687,661
ENSG00000064692,4
ENSG00000064703,1205
ENSG00000064726,2195
ENSG00000064763,961
ENSG00000064787,9596
ENSG00000064835,0
ENSG00000064886,4
ENSG00000064932,2071
ENSG00000064933,876
ENSG00000064961,7016
ENSG00000064989,244
ENSG00000064995,2017
ENSG00000064999,1934
ENSG00000065000,9864
ENSG00000065029,2574
ENSG00000065054,4981
ENSG00000065057,910
ENSG00000065060,1950
ENSG00000065135,5845
ENSG00000065150,7739
ENSG00000065154,2846
ENSG00000065183,2274
ENSG00000065243,1099
ENSG00000065268,2139
ENSG00000065308,1455
ENSG00000065320,1981
ENSG00000065325,1
ENSG00000065328,429
ENSG00000065357,492
ENSG00000065361,18497
ENSG00000065371,0
ENSG00000065413,83
ENSG00000065427,7016
ENSG00000065457,1157
ENSG00000065485,1509
ENSG00000065491,1111
ENSG00000065518,4185
ENSG00000065526,2008
ENSG00000065534,300
ENSG00000065548,3848
ENSG00000065559,1382
ENSG00000065600,610
ENSG00000065609,32
ENSG00000065613,2140
ENSG00000065615,773
ENSG00000065618,133
ENSG00000065621,1824
ENSG00000065665,446
ENSG00000065675,257
ENSG00000065717,3869
ENSG00000065802,1087
ENSG00000065809,8532
ENSG00000065833,69
ENSG00000065882,285
ENSG00000065883,1167
ENSG00000065911,5624
ENSG00000065923,495
ENSG00000065970,1324
ENSG00000065978,6256
ENSG00000065989,104
ENSG00000066027,4554
ENSG00000066032,256
ENSG00000066044,3646
ENSG00000066056,341
ENSG00000066084,1218
ENSG00000066117,2533
ENSG00000066135,1716
ENSG00000066136,1419
ENSG00000066185,5
ENSG00000066230,13
ENSG00000066248,534
ENSG00000066279,934
ENSG00000066294,224
ENSG00000066322,2838
ENSG00000066336,616
ENSG00000066379,1293
ENSG00000066382,16
ENSG00000066405,5
ENSG00000066422,952
ENSG00000066427,1041
ENSG00000066455,4773
ENSG00000066468,1944
ENSG00000066557,334
ENSG00000066583,7002
ENSG00000066629,35
ENSG00000066651,227
ENSG00000066654,1610
ENSG00000066697,888
ENSG00000066735,383
ENSG00000066739,795
ENSG00000066777,4154
ENSG00000066813,0
ENSG00000066827,267
ENSG00000066855,2395
ENSG00000066923,43
ENSG00000066926,1779
ENSG00000066933,223
ENSG00000067048,0
ENSG00000067057,1134
ENSG00000067064,4972
ENSG00000067066,2380
ENSG00000067082,2331
ENSG00000067113,657
ENSG00000067141,396
ENSG00000067167,8245
ENSG00000067177,1206
ENSG00000067182,6033
ENSG00000067191,317
ENSG00000067208,452
ENSG00000067221,320
ENSG00000067225,29546
ENSG00000067248,2011
ENSG00000067334,1747
ENSG00000067365,354
ENSG00000067369,2013
ENSG00000067445,36
ENSG00000067533,2049
ENSG00000067560,18363
ENSG00000067596,3330
ENSG00000067601,43
ENSG00000067606,969
ENSG00000067646,0
ENSG00000067704,13560
ENSG00000067715,358
ENSG00000067798,340
ENSG00000067829,2367
ENSG00000067836,2325
ENSG00000067840,92
ENSG00000067842,0
ENSG00000067900,316
ENSG00000067955,1756
ENSG00000067992,345
ENSG00000068001,2174
ENSG00000068024,504
ENSG00000068028,1436
ENSG00000068078,132
ENSG00000068079,2723
ENSG00000068097,1141
ENSG00000068120,6063
ENSG00000068137,1782
ENSG00000068305,318
ENSG00000068308,2089
ENSG00000068323,1454
ENSG00000068354,474
ENSG00000068366,176
ENSG00000068383,482
ENSG00000068394,1192
ENSG00000068400,2078
ENSG00000068438,1365
ENSG00000068489,331
ENSG00000068615,1767
ENSG00000068650,616
ENSG00000068654,2690
ENSG00000068697,19240
ENSG00000068724,940
ENSG00000068745,3729
ENSG00000068781,0
ENSG00000068784,593
ENSG00000068796,599
ENSG00000068831,27
ENSG00000068878,3396
ENSG00000068885,559
ENSG00000068903,1672
ENSG00000068912,4049
ENSG00000068971,522
ENSG00000068976,10
ENSG00000068985,0
ENSG00000069011,212
ENSG00000069018,0
ENSG00000069020,243
ENSG00000069122,316
ENSG00000069188,8
ENSG00000069206,0
ENSG00000069248,3922
ENSG00000069275,15431
ENSG00000069329,5517
ENSG00000069345,3219
ENSG00000069399,4157
ENSG00000069424,484
ENSG00000069431,150
ENSG00000069482,20
ENSG00000069493,405
ENSG00000069509,1066
ENSG00000069535,73
ENSG00000069667,72
ENSG00000069696,39
ENSG00000069702,1046
ENSG00000069712,186
ENSG00000069764,104
ENSG00000069812,79
ENSG00000069849,27959
ENSG00000069869,593
ENSG00000069943,417
ENSG00000069956,318
ENSG00000069966,112
ENSG00000069974,712
ENSG00000069998,4471
ENSG00000070010,3767
ENSG00000070018,1226
ENSG00000070019,99
ENSG00000070031,15
ENSG00000070047,3448
ENSG00000070061,2067
ENSG00000070081,24040
ENSG00000070087,67
ENSG00000070159,3300
ENSG00000070182,1
ENSG00000070190,25
ENSG00000070193,1
ENSG00000070214,8147
ENSG00000070269,853
ENSG00000070366,934
ENSG00000070367,2019
ENSG00000070371,66
ENSG00000070388,34
ENSG00000070404,1532
ENSG00000070413,9290
ENSG00000070423,1290
ENSG00000070444,1365
ENSG00000070476,1182
ENSG00000070495,1664
ENSG00000070501,2677
ENSG00000070526,9
ENSG00000070540,668
ENSG00000070601,7
ENSG00000070610,2480
ENSG00000070614,5176
ENSG00000070669,2276
ENSG00000070718,1644
ENSG00000070729,0
ENSG00000070731,5047
ENSG00000070748,0
ENSG00000070756,28920
ENSG00000070759,450
ENSG00000070761,825
ENSG00000070770,2269
ENSG00000070778,59
ENSG00000070785,1024
ENSG00000070808,1
ENSG00000070814,2903
ENSG00000070831,7088
ENSG00000070882,285
ENSG00000070886,1
ENSG00000070915,2
ENSG00000070950,649
ENSG00000070961,1893
ENSG00000070985,3
ENSG00000071051,973
ENSG00000071054,455
ENSG00000071073,5486
ENSG00000071082,22011
ENSG00000071127,18483
ENSG00000071189,1313
ENSG00000071203,0
ENSG00000071205,295
ENSG00000071242,897
ENSG00000071243,235
ENSG00000071246,214
ENSG00000071282,2772
ENSG00000071462,2779
ENSG00000071537,9225
ENSG00000071539,459
ENSG00000071553,10105
ENSG00000071564,3278
ENSG00000071575,339
ENSG00000071626,4917
ENSG00000071655,3105
ENSG00000071677,5
ENSG00000071794,2228
ENSG00000071859,3111
ENSG00000071889,1535
ENSG00000071894,3445
ENSG00000071909,0
ENSG00000071967,22232
ENSG00000071991,1
ENSG00000071994,1512
ENSG00000072041,0
ENSG00000072042,3711
ENSG00000072062,3225
ENSG00000072071,2908
ENSG00000072080,0
ENSG00000072110,10258
ENSG00000072121,1479
ENSG00000072133,239
ENSG00000072134,1821
ENSG00000072135,5039
ENSG00000072163,141
ENSG00000072182,3
ENSG00000072195,757
ENSG00000072201,644
ENSG00000072210,4551
ENSG00000072274,2935
ENSG00000072310,33815
ENSG00000072315,0
ENSG00000072364,2816
ENSG00000072401,687
ENSG00000072415,1958
ENSG00000072422,992
ENSG00000072501,2248
ENSG00000072506,2894
ENSG00000072518,2916
ENSG00000072571,250
ENSG00000072609,935
ENSG00000072657,0
ENSG00000072682,1716
ENSG00000072694,83
ENSG00000072736,630
ENSG00000072756,1151
ENSG00000072778,15447
ENSG00000072786,470
ENSG00000072803,571
ENSG00000072818,284
ENSG00000072832,60
ENSG00000072840,29
ENSG00000072849,2854
ENSG00000072858,1070
ENSG00000072864,1321
ENSG00000072952,134
