Gene stable ID,19662bc7-e171-4a8e-b88a-4bd95c553b0c
ENSG00000019485,596
ENSG00000019505,1697
ENSG00000019549,1098
ENSG00000019582,32883
ENSG00000019991,184
ENSG00000019995,3261
ENSG00000020129,4484
ENSG00000020181,1729
ENSG00000020219,1
ENSG00000020256,2502
ENSG00000020426,1509
ENSG00000020577,795
ENSG00000020633,422
ENSG00000020922,1569
ENSG00000021300,2841
ENSG00000021355,4201
ENSG00000021461,5
ENSG00000021488,30
ENSG00000021574,3483
ENSG00000021645,485
ENSG00000021762,2360
ENSG00000021776,7887
ENSG00000021826,235
ENSG00000021852,58
ENSG00000022267,1533
ENSG00000022277,8717
ENSG00000022355,0
ENSG00000022556,11
ENSG00000022567,3026
ENSG00000022840,25991
ENSG00000022976,520
ENSG00000023041,5312
ENSG00000023171,307
ENSG00000023191,4645
ENSG00000023228,13164
ENSG00000023287,16310
ENSG00000023318,3270
ENSG00000023330,3412
ENSG00000023445,1572
ENSG00000023516,5791
ENSG00000023572,339
ENSG00000023608,778
ENSG00000023697,2394
ENSG00000023734,18707
ENSG00000023839,72
ENSG00000023892,1595
ENSG00000023902,2388
ENSG00000023909,2607
ENSG00000024048,10189
ENSG00000024422,2152
ENSG00000024526,4649
ENSG00000024862,1854
ENSG00000025039,2222
ENSG00000025156,2577
ENSG00000025293,9200
ENSG00000025423,671
ENSG00000025434,856
ENSG00000025708,6784
ENSG00000025770,2017
ENSG00000025772,3904
ENSG00000025796,24395
ENSG00000025800,29634
ENSG00000026025,23984
ENSG00000026036,164
ENSG00000026103,1018
ENSG00000026297,5466
ENSG00000026508,51447
ENSG00000026559,17
ENSG00000026652,345
ENSG00000026751,389
ENSG00000026950,3900
ENSG00000027001,3217
ENSG00000027075,1892
ENSG00000027644,27
ENSG00000027697,6447
ENSG00000027847,1799
ENSG00000027869,141
ENSG00000028116,14038
ENSG00000028137,1418
ENSG00000028203,10305
ENSG00000028277,417
ENSG00000028310,2305
ENSG00000028528,12966
ENSG00000028839,1406
ENSG00000029153,699
ENSG00000029363,18222
ENSG00000029364,10802
ENSG00000029534,57
ENSG00000029559,553
ENSG00000029639,1223
ENSG00000029725,31617
ENSG00000029993,11409
ENSG00000030066,4688
ENSG00000030110,1306
ENSG00000030304,66
ENSG00000030419,3711
ENSG00000030582,44731
ENSG00000031003,3065
ENSG00000031081,2253
ENSG00000031691,1097
ENSG00000031698,13416
ENSG00000031823,5852
ENSG00000032219,3575
ENSG00000032389,2214
ENSG00000032444,3641
ENSG00000032742,2039
ENSG00000033011,2087
ENSG00000033030,3483
ENSG00000033050,5549
ENSG00000033100,6440
ENSG00000033122,35
ENSG00000033170,2102
ENSG00000033178,10243
ENSG00000033327,6003
ENSG00000033627,8791
ENSG00000033800,5410
ENSG00000033867,46767
ENSG00000034053,62
ENSG00000034152,3310
ENSG00000034239,4
ENSG00000034510,57876
ENSG00000034533,730
ENSG00000034677,47941
ENSG00000034693,2035
ENSG00000034713,7458
ENSG00000034971,3
ENSG00000035115,2681
ENSG00000035141,4408
ENSG00000035403,10631
ENSG00000035499,988
ENSG00000035664,543
ENSG00000035681,3389
ENSG00000035687,9281
ENSG00000035720,65
ENSG00000035862,22038
ENSG00000035928,11080
ENSG00000036054,4754
ENSG00000036257,9339
ENSG00000036448,19
ENSG00000036473,0
ENSG00000036530,23
ENSG00000036549,11216
ENSG00000036565,26
ENSG00000036672,42
ENSG00000036828,0
ENSG00000037042,1213
ENSG00000037241,1392
ENSG00000037280,657
ENSG00000037474,7254
ENSG00000037637,2659
ENSG00000037749,3037
ENSG00000037757,837
ENSG00000037897,1735
ENSG00000037965,526
ENSG00000038002,2636
ENSG00000038210,2301
ENSG00000038219,9464
ENSG00000038274,4881
ENSG00000038295,128
ENSG00000038358,5616
ENSG00000038382,15473
ENSG00000038427,19050
ENSG00000038532,3826
ENSG00000038945,6846
ENSG00000039068,102526
ENSG00000039123,5624
ENSG00000039139,3102
ENSG00000039319,6211
ENSG00000039523,3799
ENSG00000039537,129
ENSG00000039560,4865
ENSG00000039600,18
ENSG00000039650,1992
ENSG00000039987,6
ENSG00000040199,4492
ENSG00000040275,2335
ENSG00000040341,9624
ENSG00000040487,1288
ENSG00000040531,2369
ENSG00000040608,317
ENSG00000040633,2736
ENSG00000040731,0
ENSG00000040933,2431
ENSG00000041353,13554
ENSG00000041357,14252
ENSG00000041515,25
ENSG00000041802,5923
ENSG00000041880,466
ENSG00000041982,11086
ENSG00000041988,734
ENSG00000042062,517
ENSG00000042088,2772
ENSG00000042286,1823
ENSG00000042304,0
ENSG00000042317,794
ENSG00000042429,1301
ENSG00000042445,6148
ENSG00000042493,7082
ENSG00000042753,6388
ENSG00000042781,55
ENSG00000042813,5
ENSG00000042832,16
ENSG00000042980,466
ENSG00000043039,7205
ENSG00000043093,6111
ENSG00000043143,4442
ENSG00000043355,283
ENSG00000043462,2254
ENSG00000043514,2356
ENSG00000043591,12
ENSG00000044012,1
ENSG00000044090,9644
ENSG00000044115,31473
ENSG00000044446,2628
ENSG00000044459,768
ENSG00000044524,23793
ENSG00000044574,171674
ENSG00000046604,42628
ENSG00000046647,911
ENSG00000046651,2513
ENSG00000046653,512
ENSG00000046774,370
ENSG00000046889,228
ENSG00000047056,1873
ENSG00000047188,7022
ENSG00000047230,3607
ENSG00000047249,9203
ENSG00000047315,13375
ENSG00000047346,7319
ENSG00000047365,1557
ENSG00000047410,13155
ENSG00000047457,48084
ENSG00000047578,4553
ENSG00000047579,1678
ENSG00000047597,343
ENSG00000047617,199
ENSG00000047621,2790
ENSG00000047634,276
ENSG00000047644,2480
ENSG00000047648,150
ENSG00000047662,2081
ENSG00000047849,16619
ENSG00000047932,4056
ENSG00000047936,1
ENSG00000048028,1987
ENSG00000048052,299
ENSG00000048140,4917
ENSG00000048162,1229
ENSG00000048342,1884
ENSG00000048392,8235
ENSG00000048405,3597
ENSG00000048462,14
ENSG00000048471,2568
ENSG00000048540,588
ENSG00000048544,5333
ENSG00000048545,2
ENSG00000048649,6342
ENSG00000048707,13058
ENSG00000048740,1134
ENSG00000048828,29208
ENSG00000048991,5649
ENSG00000049089,1720
ENSG00000049130,6736
ENSG00000049167,772
ENSG00000049192,559
ENSG00000049239,6749
ENSG00000049245,8659
ENSG00000049246,1343
ENSG00000049247,1
ENSG00000049249,91
ENSG00000049283,3470
ENSG00000049323,3815
ENSG00000049449,9089
ENSG00000049540,1458
ENSG00000049541,2774
ENSG00000049618,15423
ENSG00000049656,11468
ENSG00000049759,11882
ENSG00000049768,220
ENSG00000049769,132
ENSG00000049860,12066
ENSG00000049883,1077
ENSG00000050030,1850
ENSG00000050130,7164
ENSG00000050165,2932
ENSG00000050327,2402
ENSG00000050344,742
ENSG00000050393,7680
ENSG00000050405,21500
ENSG00000050426,2365
ENSG00000050438,4208
ENSG00000050555,87
ENSG00000050628,10664
ENSG00000050730,23
ENSG00000050748,6464
ENSG00000050767,22
ENSG00000050820,3565
ENSG00000051009,1959
ENSG00000051108,8627
ENSG00000051128,640
ENSG00000051180,1606
ENSG00000051341,2037
ENSG00000051382,7160
ENSG00000051523,4840
ENSG00000051596,1191
ENSG00000051620,9073
ENSG00000051825,3322
ENSG00000052126,4207
ENSG00000052344,14805
ENSG00000052723,7856
ENSG00000052749,6380
ENSG00000052795,2089
ENSG00000052802,4721
ENSG00000052841,13099
ENSG00000052850,1356
ENSG00000053108,144
ENSG00000053254,2710
ENSG00000053328,15
ENSG00000053371,3208
ENSG00000053372,3824
ENSG00000053438,48
ENSG00000053501,1367
ENSG00000053524,21
ENSG00000053702,253
ENSG00000053747,1883
ENSG00000053770,6742
ENSG00000053900,2291
ENSG00000053918,3355
ENSG00000054116,8413
ENSG00000054118,28084
ENSG00000054148,2928
ENSG00000054179,635
ENSG00000054219,370
ENSG00000054267,10785
ENSG00000054277,401
ENSG00000054282,1985
ENSG00000054356,152
ENSG00000054392,4201
ENSG00000054523,7285
ENSG00000054598,138
ENSG00000054611,1576
ENSG00000054654,11331
ENSG00000054690,2784
ENSG00000054793,19856
ENSG00000054796,0
ENSG00000054803,89
ENSG00000054938,70
ENSG00000054965,15918
ENSG00000054967,762
ENSG00000054983,5908
ENSG00000055044,6755
ENSG00000055070,10689
ENSG00000055118,551
ENSG00000055130,8064
ENSG00000055147,2333
ENSG00000055163,826
ENSG00000055208,19823
ENSG00000055211,10453
ENSG00000055332,28224
ENSG00000055483,6823
ENSG00000055609,19509
ENSG00000055732,666
ENSG00000055813,831
ENSG00000055917,17591
ENSG00000055950,3177
ENSG00000055955,36
ENSG00000055957,10
ENSG00000056050,1545
ENSG00000056097,12176
ENSG00000056277,962
ENSG00000056291,76
ENSG00000056487,865
ENSG00000056558,468
ENSG00000056586,11828
ENSG00000056736,3367
ENSG00000056972,4395
ENSG00000056998,1103
ENSG00000057019,3505
ENSG00000057149,0
ENSG00000057252,9088
ENSG00000057294,2753
ENSG00000057468,26
ENSG00000057593,271
ENSG00000057608,28379
ENSG00000057657,995
ENSG00000057663,6020
ENSG00000057704,2605
ENSG00000057757,2868
ENSG00000057935,5274
ENSG00000058056,4809
ENSG00000058063,5534
ENSG00000058085,1593
ENSG00000058091,9632
ENSG00000058262,69247
ENSG00000058272,10137
ENSG00000058335,316
ENSG00000058404,33
ENSG00000058453,1374
ENSG00000058600,3473
ENSG00000058668,17996
ENSG00000058673,27430
ENSG00000058729,2227
ENSG00000058799,13765
ENSG00000058804,20407
ENSG00000058866,47
ENSG00000059122,1845
ENSG00000059145,853
ENSG00000059377,538
ENSG00000059378,10406
ENSG00000059573,14341
ENSG00000059588,4116
ENSG00000059691,1753
ENSG00000059728,1368
ENSG00000059758,7516
ENSG00000059769,1929
ENSG00000059804,1244
ENSG00000059915,135
ENSG00000060069,2302
ENSG00000060138,7662
ENSG00000060140,1184
ENSG00000060237,48812
ENSG00000060303,0
ENSG00000060339,10481
ENSG00000060491,3439
ENSG00000060558,3024
ENSG00000060566,4
ENSG00000060642,1061
ENSG00000060656,4745
ENSG00000060688,10040
ENSG00000060709,6
ENSG00000060718,5749
ENSG00000060749,6546
ENSG00000060762,2532
ENSG00000060971,4767
ENSG00000060982,1488
ENSG00000061273,6665
ENSG00000061337,782
ENSG00000061455,202
ENSG00000061492,1
ENSG00000061656,187
ENSG00000061676,21539
ENSG00000061794,9502
ENSG00000061918,1658
ENSG00000061936,5027
ENSG00000061938,9095
ENSG00000061987,10420
ENSG00000062038,383
ENSG00000062096,21
ENSG00000062194,10643
ENSG00000062282,1794
ENSG00000062370,805
ENSG00000062485,18682
ENSG00000062524,10
ENSG00000062582,228
ENSG00000062598,5957
ENSG00000062650,13247
ENSG00000062716,20915
ENSG00000062725,10955
ENSG00000062822,2208
ENSG00000063015,4
ENSG00000063046,28790
ENSG00000063127,79
ENSG00000063169,1421
ENSG00000063176,982
ENSG00000063177,27406
ENSG00000063180,25
ENSG00000063241,3506
ENSG00000063244,13505
ENSG00000063245,6282
ENSG00000063322,10062
ENSG00000063438,87
ENSG00000063515,0
ENSG00000063587,3699
ENSG00000063601,4117
ENSG00000063660,3266
ENSG00000063761,656
ENSG00000063854,2780
ENSG00000063978,11137
ENSG00000064012,4190
ENSG00000064042,10647
ENSG00000064102,2724
ENSG00000064115,12000
ENSG00000064195,60
ENSG00000064199,1558
ENSG00000064201,22
ENSG00000064205,460
ENSG00000064218,26
ENSG00000064225,453
ENSG00000064270,1977
ENSG00000064300,93
ENSG00000064309,1241
ENSG00000064313,8230
ENSG00000064393,18343
ENSG00000064419,9246
ENSG00000064489,51
ENSG00000064490,1802
ENSG00000064545,1074
ENSG00000064547,1381
ENSG00000064601,18386
ENSG00000064607,5983
ENSG00000064651,7614
ENSG00000064652,1424
ENSG00000064655,1032
ENSG00000064666,8097
ENSG00000064687,1510
ENSG00000064692,32
ENSG00000064703,3817
ENSG00000064726,15714
ENSG00000064763,1262
ENSG00000064787,898
ENSG00000064835,3
ENSG00000064886,8971
ENSG00000064932,9259
ENSG00000064933,1839
ENSG00000064961,6047
ENSG00000064989,1932
ENSG00000064995,2653
ENSG00000064999,4551
ENSG00000065000,24676
ENSG00000065029,2293
ENSG00000065054,4429
ENSG00000065057,873
ENSG00000065060,4641
ENSG00000065135,18006
ENSG00000065150,12436
ENSG00000065154,13020
ENSG00000065183,6582
ENSG00000065243,9836
ENSG00000065268,1769
ENSG00000065308,6182
ENSG00000065320,5648
ENSG00000065325,70
ENSG00000065328,1717
ENSG00000065357,542
ENSG00000065361,57915
ENSG00000065371,0
ENSG00000065413,857
ENSG00000065427,10203
ENSG00000065457,3566
ENSG00000065485,5370
ENSG00000065491,1191
ENSG00000065518,6999
ENSG00000065526,14722
ENSG00000065534,5280
ENSG00000065548,7146
ENSG00000065559,3863
ENSG00000065600,4475
ENSG00000065609,3
ENSG00000065613,12359
ENSG00000065615,3248
ENSG00000065618,12
ENSG00000065621,2516
ENSG00000065665,1582
ENSG00000065675,60
ENSG00000065717,1833
ENSG00000065802,1142
ENSG00000065809,7091
ENSG00000065833,15475
ENSG00000065882,4604
ENSG00000065883,7497
ENSG00000065911,18171
ENSG00000065923,1587
ENSG00000065970,4926
ENSG00000065978,24467
ENSG00000065989,12153
ENSG00000066027,27937
ENSG00000066032,1
ENSG00000066044,10023
ENSG00000066056,871
ENSG00000066084,11091
ENSG00000066117,7823
ENSG00000066135,12133
ENSG00000066136,5577
ENSG00000066185,262
ENSG00000066230,18
ENSG00000066248,557
ENSG00000066279,2337
ENSG00000066294,2010
ENSG00000066322,9910
ENSG00000066336,1150
ENSG00000066379,702
ENSG00000066382,410
ENSG00000066405,16
ENSG00000066422,4775
ENSG00000066427,3044
ENSG00000066455,11508
ENSG00000066468,6484
ENSG00000066557,1257
ENSG00000066583,11438
ENSG00000066629,3111
ENSG00000066651,1372
ENSG00000066654,9599
ENSG00000066697,919
ENSG00000066735,111
ENSG00000066739,7253
ENSG00000066777,28232
ENSG00000066813,0
ENSG00000066827,1937
ENSG00000066855,9228
ENSG00000066923,221
ENSG00000066926,5178
ENSG00000066933,5513
ENSG00000067048,0
ENSG00000067057,2690
ENSG00000067064,4071
ENSG00000067066,11458
ENSG00000067082,11751
ENSG00000067113,1044
ENSG00000067141,12782
ENSG00000067167,59301
ENSG00000067177,2862
ENSG00000067182,9264
ENSG00000067191,382
ENSG00000067208,2093
ENSG00000067221,806
ENSG00000067225,100344
ENSG00000067248,4499
ENSG00000067334,4299
ENSG00000067365,838
ENSG00000067369,9690
ENSG00000067445,1320
ENSG00000067533,5805
ENSG00000067560,33257
ENSG00000067596,10762
ENSG00000067601,116
ENSG00000067606,1724
ENSG00000067646,0
ENSG00000067704,28078
ENSG00000067715,8951
ENSG00000067798,473
ENSG00000067829,3198
ENSG00000067836,3134
ENSG00000067840,447
ENSG00000067842,0
ENSG00000067900,12744
ENSG00000067955,8570
ENSG00000067992,1318
ENSG00000068001,2565
ENSG00000068024,1591
ENSG00000068028,1538
ENSG00000068078,1256
ENSG00000068079,5870
ENSG00000068097,4117
ENSG00000068120,8632
ENSG00000068137,3554
ENSG00000068305,7133
ENSG00000068308,4766
ENSG00000068323,4186
ENSG00000068354,1001
ENSG00000068366,2520
ENSG00000068383,2561
ENSG00000068394,1910
ENSG00000068400,4916
ENSG00000068438,3117
ENSG00000068489,2264
ENSG00000068615,1720
ENSG00000068650,1248
ENSG00000068654,8726
ENSG00000068697,35866
ENSG00000068724,2016
ENSG00000068745,4045
ENSG00000068781,2
ENSG00000068784,3391
ENSG00000068796,4395
ENSG00000068831,73
ENSG00000068878,11877
ENSG00000068885,2069
ENSG00000068903,3191
ENSG00000068912,16102
ENSG00000068971,1773
ENSG00000068976,44
ENSG00000068985,0
ENSG00000069011,8656
ENSG00000069018,2
ENSG00000069020,7170
ENSG00000069122,2706
ENSG00000069188,8559
ENSG00000069206,0
ENSG00000069248,11426
ENSG00000069275,126723
ENSG00000069329,21455
ENSG00000069345,8886
ENSG00000069399,6858
ENSG00000069424,1178
ENSG00000069431,683
ENSG00000069482,47
ENSG00000069493,1159
ENSG00000069509,1449
ENSG00000069535,105
ENSG00000069667,1983
ENSG00000069696,15
ENSG00000069702,5231
ENSG00000069712,459
ENSG00000069764,23
ENSG00000069812,34
ENSG00000069849,3112
ENSG00000069869,3709
ENSG00000069943,1403
ENSG00000069956,8853
ENSG00000069966,1664
ENSG00000069974,2027
ENSG00000069998,3466
ENSG00000070010,6435
ENSG00000070018,6272
ENSG00000070019,158
ENSG00000070031,13
ENSG00000070047,3142
ENSG00000070061,3478
ENSG00000070081,30033
ENSG00000070087,11340
ENSG00000070159,1769
ENSG00000070182,30
ENSG00000070190,1130
ENSG00000070193,181
ENSG00000070214,6851
ENSG00000070269,3521
ENSG00000070366,4757
ENSG00000070367,9617
ENSG00000070371,199
ENSG00000070388,4
ENSG00000070404,381
ENSG00000070413,15332
ENSG00000070423,1628
ENSG00000070444,2530
ENSG00000070476,2999
ENSG00000070495,2370
ENSG00000070501,3269
ENSG00000070526,10
ENSG00000070540,3361
ENSG00000070601,144
ENSG00000070610,6476
ENSG00000070614,10546
ENSG00000070669,1302
ENSG00000070718,3531
ENSG00000070729,1
ENSG00000070731,1704
ENSG00000070748,0
ENSG00000070756,173302
ENSG00000070759,3627
ENSG00000070761,2346
ENSG00000070770,7715
ENSG00000070778,766
ENSG00000070785,3819
ENSG00000070808,19
ENSG00000070814,3558
ENSG00000070831,29950
ENSG00000070882,694
ENSG00000070886,4
ENSG00000070915,5
ENSG00000070950,2958
ENSG00000070961,5111
ENSG00000070985,9
ENSG00000071051,2138
ENSG00000071054,9308
ENSG00000071073,28056
ENSG00000071082,26623
ENSG00000071127,32431
ENSG00000071189,5554
ENSG00000071203,0
ENSG00000071205,435
ENSG00000071242,1739
ENSG00000071243,857
ENSG00000071246,1658
ENSG00000071282,2051
ENSG00000071462,5975
ENSG00000071537,17774
ENSG00000071539,1817
ENSG00000071553,34026
ENSG00000071564,6761
ENSG00000071575,39344
ENSG00000071626,8266
ENSG00000071655,3978
ENSG00000071677,6
ENSG00000071794,9009
ENSG00000071859,6144
ENSG00000071889,1616
ENSG00000071894,12952
ENSG00000071909,731
ENSG00000071967,49205
ENSG00000071991,433
ENSG00000071994,4399
ENSG00000072041,0
ENSG00000072042,7089
ENSG00000072062,10867
ENSG00000072071,5899
ENSG00000072080,0
ENSG00000072110,14690
ENSG00000072121,5479
ENSG00000072133,1461
ENSG00000072134,2146
ENSG00000072135,6753
ENSG00000072163,211
ENSG00000072182,4
ENSG00000072195,646
ENSG00000072201,2499
ENSG00000072210,3643
ENSG00000072274,22676
ENSG00000072310,16209
ENSG00000072315,0
ENSG00000072364,21001
