Gene stable ID,c118b9c9-9a9e-43dc-bdf6-cce1d9f8ff74
ENSG00000017797,5634
ENSG00000018189,2689
ENSG00000018236,2331
ENSG00000018280,402
ENSG00000018408,6353
ENSG00000018510,1203
ENSG00000018607,0
ENSG00000018610,1117
ENSG00000018625,137
ENSG00000018699,1668
ENSG00000018869,327
ENSG00000019102,499
ENSG00000019144,5962
ENSG00000019169,530
ENSG00000019186,30
ENSG00000019485,690
ENSG00000019505,115
ENSG00000019549,1230
ENSG00000019582,168606
ENSG00000019991,528
ENSG00000019995,1373
ENSG00000020129,3916
ENSG00000020181,2357
ENSG00000020219,1
ENSG00000020256,1372
ENSG00000020426,1026
ENSG00000020577,761
ENSG00000020633,615
ENSG00000020922,2351
ENSG00000021300,157
ENSG00000021355,4725
ENSG00000021461,3
ENSG00000021488,27
ENSG00000021574,1498
ENSG00000021645,653
ENSG00000021762,4055
ENSG00000021776,2846
ENSG00000021826,151
ENSG00000021852,1
ENSG00000022267,1065
ENSG00000022277,6833
ENSG00000022355,0
ENSG00000022556,5498
ENSG00000022567,793
ENSG00000022840,11947
ENSG00000022976,803
ENSG00000023041,3374
ENSG00000023171,100
ENSG00000023191,11974
ENSG00000023228,4568
ENSG00000023287,4040
ENSG00000023318,3455
ENSG00000023330,2746
ENSG00000023445,1622
ENSG00000023516,4115
ENSG00000023572,570
ENSG00000023608,443
ENSG00000023697,1536
ENSG00000023734,6007
ENSG00000023839,61
ENSG00000023892,1342
ENSG00000023902,1632
ENSG00000023909,1296
ENSG00000024048,4499
ENSG00000024422,4149
ENSG00000024526,245
ENSG00000024862,2233
ENSG00000025039,528
ENSG00000025156,930
ENSG00000025293,4320
ENSG00000025423,445
ENSG00000025434,2019
ENSG00000025708,3798
ENSG00000025770,1963
ENSG00000025772,2194
ENSG00000025796,9141
ENSG00000025800,5217
ENSG00000026025,45585
ENSG00000026036,319
ENSG00000026103,894
ENSG00000026297,4419
ENSG00000026508,36283
ENSG00000026559,12
ENSG00000026652,596
ENSG00000026751,558
ENSG00000026950,3084
ENSG00000027001,1844
ENSG00000027075,1342
ENSG00000027644,69
ENSG00000027697,3885
ENSG00000027847,2030
ENSG00000027869,71
ENSG00000028116,971
ENSG00000028137,1190
ENSG00000028203,4808
ENSG00000028277,322
ENSG00000028310,2760
ENSG00000028528,8754
ENSG00000028839,718
ENSG00000029153,514
ENSG00000029363,8780
ENSG00000029364,8345
ENSG00000029534,20
ENSG00000029559,25
ENSG00000029639,719
ENSG00000029725,20691
ENSG00000029993,985
ENSG00000030066,3141
ENSG00000030110,968
ENSG00000030304,4
ENSG00000030419,1875
ENSG00000030582,23710
ENSG00000031003,2664
ENSG00000031081,1334
ENSG00000031691,471
ENSG00000031698,9318
ENSG00000031823,4191
ENSG00000032219,2136
ENSG00000032389,1410
ENSG00000032444,3506
ENSG00000032742,2005
ENSG00000033011,1702
ENSG00000033030,1982
ENSG00000033050,3485
ENSG00000033100,5195
ENSG00000033122,37
ENSG00000033170,6771
ENSG00000033178,2879
ENSG00000033327,3110
ENSG00000033627,4172
ENSG00000033800,1994
ENSG00000033867,4314
ENSG00000034053,191
ENSG00000034152,2042
ENSG00000034239,13
ENSG00000034510,40276
ENSG00000034533,936
ENSG00000034677,3990
ENSG00000034693,1210
ENSG00000034713,4088
ENSG00000034971,0
ENSG00000035115,5207
ENSG00000035141,1900
ENSG00000035403,9363
ENSG00000035499,159
ENSG00000035664,515
ENSG00000035681,1499
ENSG00000035687,10760
ENSG00000035720,66
ENSG00000035862,38920
ENSG00000035928,4150
ENSG00000036054,2674
ENSG00000036257,6216
ENSG00000036448,43
ENSG00000036473,2
ENSG00000036530,82
ENSG00000036549,2891
ENSG00000036565,2
ENSG00000036672,93
ENSG00000036828,0
ENSG00000037042,1727
ENSG00000037241,1013
ENSG00000037280,558
ENSG00000037474,4666
ENSG00000037637,2575
ENSG00000037749,1250
ENSG00000037757,2431
ENSG00000037897,1088
ENSG00000037965,458
ENSG00000038002,2095
ENSG00000038210,1002
ENSG00000038219,4191
ENSG00000038274,5391
ENSG00000038295,400
ENSG00000038358,1966
ENSG00000038382,7731
ENSG00000038427,28716
ENSG00000038532,2952
ENSG00000038945,1894
ENSG00000039068,22727
ENSG00000039123,4472
ENSG00000039139,2715
ENSG00000039319,4128
ENSG00000039523,3582
ENSG00000039537,5
ENSG00000039560,4296
ENSG00000039600,16
ENSG00000039650,2306
ENSG00000039987,4
ENSG00000040199,760
ENSG00000040275,822
ENSG00000040341,2757
ENSG00000040487,1296
ENSG00000040531,1246
ENSG00000040608,243
ENSG00000040633,4063
ENSG00000040731,1
ENSG00000040933,1668
ENSG00000041353,5945
ENSG00000041357,4485
ENSG00000041515,37
ENSG00000041802,3480
ENSG00000041880,2720
ENSG00000041982,39718
ENSG00000041988,1140
ENSG00000042062,181
ENSG00000042088,1361
ENSG00000042286,993
ENSG00000042304,2
ENSG00000042317,841
ENSG00000042429,2079
ENSG00000042445,5817
ENSG00000042493,16097
ENSG00000042753,4179
ENSG00000042781,21
ENSG00000042813,2
ENSG00000042832,12
ENSG00000042980,727
ENSG00000043039,188
ENSG00000043093,2023
ENSG00000043143,5644
ENSG00000043355,10
ENSG00000043462,909
ENSG00000043514,1493
ENSG00000043591,37
ENSG00000044012,0
ENSG00000044090,3856
ENSG00000044115,28986
ENSG00000044446,2871
ENSG00000044459,1035
ENSG00000044524,436
ENSG00000044574,45353
ENSG00000046604,10440
ENSG00000046647,1592
ENSG00000046651,2710
ENSG00000046653,443
ENSG00000046774,0
ENSG00000046889,360
ENSG00000047056,2012
ENSG00000047188,3292
ENSG00000047230,2478
ENSG00000047249,3249
ENSG00000047315,5869
ENSG00000047346,6608
ENSG00000047365,791
ENSG00000047410,15968
ENSG00000047457,1805
ENSG00000047578,4737
ENSG00000047579,1381
ENSG00000047597,14
ENSG00000047617,118
ENSG00000047621,1169
ENSG00000047634,1757
ENSG00000047644,5742
ENSG00000047648,1043
ENSG00000047662,263
ENSG00000047849,16144
ENSG00000047932,3913
ENSG00000047936,11
ENSG00000048028,2035
ENSG00000048052,160
ENSG00000048140,2574
ENSG00000048162,962
ENSG00000048342,1120
ENSG00000048392,1734
ENSG00000048405,1278
ENSG00000048462,29
ENSG00000048471,2583
ENSG00000048540,70
ENSG00000048544,2392
ENSG00000048545,4
ENSG00000048649,3999
ENSG00000048707,5024
ENSG00000048740,1080
ENSG00000048828,17692
ENSG00000048991,1704
ENSG00000049089,2364
ENSG00000049130,6653
ENSG00000049167,439
ENSG00000049192,531
ENSG00000049239,6642
ENSG00000049245,4953
ENSG00000049246,1114
ENSG00000049247,5
ENSG00000049249,94
ENSG00000049283,1624
ENSG00000049323,10758
ENSG00000049449,5991
ENSG00000049540,18777
ENSG00000049541,1490
ENSG00000049618,6114
ENSG00000049656,6503
ENSG00000049759,5015
ENSG00000049768,227
ENSG00000049769,214
ENSG00000049860,7871
ENSG00000049883,1035
ENSG00000050030,138
ENSG00000050130,2831
ENSG00000050165,4847
ENSG00000050327,1169
ENSG00000050344,1000
ENSG00000050393,1809
ENSG00000050405,12618
ENSG00000050426,3506
ENSG00000050438,3245
ENSG00000050555,100
ENSG00000050628,4864
ENSG00000050730,3
ENSG00000050748,3747
ENSG00000050767,32
ENSG00000050820,3245
ENSG00000051009,3090
ENSG00000051108,5255
ENSG00000051128,2107
ENSG00000051180,173
ENSG00000051341,209
ENSG00000051382,3143
ENSG00000051523,2145
ENSG00000051596,493
ENSG00000051620,5986
ENSG00000051825,678
ENSG00000052126,2054
ENSG00000052344,16463
ENSG00000052723,2144
ENSG00000052749,3123
ENSG00000052795,2861
ENSG00000052802,3306
ENSG00000052841,5726
ENSG00000052850,361
ENSG00000053108,256
ENSG00000053254,2055
ENSG00000053328,12
ENSG00000053371,3573
ENSG00000053372,2542
ENSG00000053438,54
ENSG00000053501,1147
ENSG00000053524,13
ENSG00000053702,241
ENSG00000053747,2818
ENSG00000053770,2380
ENSG00000053900,2222
ENSG00000053918,461
ENSG00000054116,3641
ENSG00000054118,12855
ENSG00000054148,3671
ENSG00000054179,609
ENSG00000054219,481
ENSG00000054267,6777
ENSG00000054277,494
ENSG00000054282,2803
ENSG00000054356,49
ENSG00000054392,2298
ENSG00000054523,3381
ENSG00000054598,194
ENSG00000054611,1512
ENSG00000054654,6750
ENSG00000054690,980
ENSG00000054793,4969
ENSG00000054796,0
ENSG00000054803,69
ENSG00000054938,11
ENSG00000054965,6651
ENSG00000054967,426
ENSG00000054983,3039
ENSG00000055044,4613
ENSG00000055070,7919
ENSG00000055118,106
ENSG00000055130,4100
ENSG00000055147,2208
ENSG00000055163,1763
ENSG00000055208,6481
ENSG00000055211,3235
ENSG00000055332,4504
ENSG00000055483,3454
ENSG00000055609,5727
ENSG00000055732,114
ENSG00000055813,39
ENSG00000055917,9720
ENSG00000055950,3292
ENSG00000055955,40
ENSG00000055957,2
ENSG00000056050,1259
ENSG00000056097,5033
ENSG00000056277,350
ENSG00000056291,9
ENSG00000056487,150
ENSG00000056558,1520
ENSG00000056586,2208
ENSG00000056736,2790
ENSG00000056972,2201
ENSG00000056998,1144
ENSG00000057019,2390
ENSG00000057149,3
ENSG00000057252,3905
ENSG00000057294,3041
ENSG00000057468,10
ENSG00000057593,770
ENSG00000057608,12590
ENSG00000057657,804
ENSG00000057663,2345
ENSG00000057704,429
ENSG00000057757,3298
ENSG00000057935,4701
ENSG00000058056,868
ENSG00000058063,1801
ENSG00000058085,4000
ENSG00000058091,2088
ENSG00000058262,19741
ENSG00000058272,3555
ENSG00000058335,43
ENSG00000058404,51
ENSG00000058453,2582
ENSG00000058600,5439
ENSG00000058668,6310
ENSG00000058673,17282
ENSG00000058729,1675
ENSG00000058799,4129
ENSG00000058804,3816
ENSG00000058866,19
ENSG00000059122,4383
ENSG00000059145,2167
ENSG00000059377,760
ENSG00000059378,2418
ENSG00000059573,6389
ENSG00000059588,8108
ENSG00000059691,1296
ENSG00000059728,998
ENSG00000059758,2116
ENSG00000059769,826
ENSG00000059804,1083
ENSG00000059915,224
ENSG00000060069,1780
ENSG00000060138,7279
ENSG00000060140,453
ENSG00000060237,17445
ENSG00000060303,2
ENSG00000060339,6219
ENSG00000060491,3368
ENSG00000060558,477
ENSG00000060566,0
ENSG00000060642,1935
ENSG00000060656,1900
ENSG00000060688,2542
ENSG00000060709,25
ENSG00000060718,21411
ENSG00000060749,2450
ENSG00000060762,1530
ENSG00000060971,4689
ENSG00000060982,1187
ENSG00000061273,9115
ENSG00000061337,744
ENSG00000061455,339
ENSG00000061492,0
ENSG00000061656,188
ENSG00000061676,10336
ENSG00000061794,4314
ENSG00000061918,563
ENSG00000061936,3890
ENSG00000061938,13504
ENSG00000061987,3569
ENSG00000062038,1911
ENSG00000062096,5
ENSG00000062194,7679
ENSG00000062282,207
ENSG00000062370,607
ENSG00000062485,7398
ENSG00000062524,13
ENSG00000062582,337
ENSG00000062598,3580
ENSG00000062650,4486
ENSG00000062716,10852
ENSG00000062725,3083
ENSG00000062822,1587
ENSG00000063015,1
ENSG00000063046,23193
ENSG00000063127,85
ENSG00000063169,1264
ENSG00000063176,1319
ENSG00000063177,32246
ENSG00000063180,754
ENSG00000063241,2381
ENSG00000063244,10729
ENSG00000063245,7210
ENSG00000063322,5734
ENSG00000063438,147
ENSG00000063515,0
ENSG00000063587,1010
ENSG00000063601,2426
ENSG00000063660,9150
ENSG00000063761,465
ENSG00000063854,2334
ENSG00000063978,3953
ENSG00000064012,1884
ENSG00000064042,7087
ENSG00000064102,1610
ENSG00000064115,2886
ENSG00000064195,411
ENSG00000064199,1377
ENSG00000064201,101
ENSG00000064205,2887
ENSG00000064218,23
ENSG00000064225,331
ENSG00000064270,1019
ENSG00000064300,490
ENSG00000064309,1363
ENSG00000064313,2129
ENSG00000064393,10151
ENSG00000064419,4203
ENSG00000064489,46
ENSG00000064490,2761
ENSG00000064545,1653
ENSG00000064547,1189
ENSG00000064601,8125
ENSG00000064607,4454
ENSG00000064651,5152
ENSG00000064652,1495
ENSG00000064655,502
ENSG00000064666,10788
ENSG00000064687,867
ENSG00000064692,129
ENSG00000064703,1609
ENSG00000064726,3098
ENSG00000064763,248
ENSG00000064787,1706
ENSG00000064835,3
ENSG00000064886,1640
ENSG00000064932,5487
ENSG00000064933,1163
ENSG00000064961,9137
ENSG00000064989,1055
ENSG00000064995,1859
ENSG00000064999,2839
ENSG00000065000,8914
ENSG00000065029,3469
ENSG00000065054,9074
ENSG00000065057,1286
ENSG00000065060,2121
ENSG00000065135,6520
ENSG00000065150,8425
ENSG00000065154,11791
ENSG00000065183,2333
ENSG00000065243,3957
ENSG00000065268,1539
ENSG00000065308,3856
ENSG00000065320,2119
ENSG00000065325,1
ENSG00000065328,190
ENSG00000065357,1902
ENSG00000065361,34581
ENSG00000065371,2
ENSG00000065413,522
ENSG00000065427,3894
ENSG00000065457,889
ENSG00000065485,1254
ENSG00000065491,887
ENSG00000065518,5698
ENSG00000065526,5432
ENSG00000065534,6115
ENSG00000065548,4322
ENSG00000065559,2749
ENSG00000065600,647
ENSG00000065609,17
ENSG00000065613,5335
ENSG00000065615,1109
ENSG00000065618,1983
ENSG00000065621,2939
ENSG00000065665,650
ENSG00000065675,38
ENSG00000065717,1869
ENSG00000065802,1445
ENSG00000065809,4897
ENSG00000065833,215
ENSG00000065882,2166
ENSG00000065883,3371
ENSG00000065911,4853
ENSG00000065923,2325
ENSG00000065970,2526
ENSG00000065978,10704
ENSG00000065989,1929
ENSG00000066027,7023
ENSG00000066032,10
ENSG00000066044,5022
ENSG00000066056,959
ENSG00000066084,3641
ENSG00000066117,4195
ENSG00000066135,4136
ENSG00000066136,4133
ENSG00000066185,388
ENSG00000066230,35
ENSG00000066248,200
ENSG00000066279,900
ENSG00000066294,1145
ENSG00000066322,4406
ENSG00000066336,1274
ENSG00000066379,1000
ENSG00000066382,277
ENSG00000066405,8
ENSG00000066422,1903
ENSG00000066427,2238
ENSG00000066455,3988
ENSG00000066468,4583
ENSG00000066557,1207
ENSG00000066583,4083
ENSG00000066629,720
ENSG00000066651,760
ENSG00000066654,7030
ENSG00000066697,892
ENSG00000066735,180
ENSG00000066739,2787
ENSG00000066777,5176
ENSG00000066813,0
ENSG00000066827,745
ENSG00000066855,1258
ENSG00000066923,247
ENSG00000066926,2143
ENSG00000066933,2913
ENSG00000067048,4
ENSG00000067057,1313
ENSG00000067064,2442
ENSG00000067066,4191
ENSG00000067082,6028
ENSG00000067113,1779
ENSG00000067141,3634
ENSG00000067167,10954
ENSG00000067177,1333
ENSG00000067182,8895
ENSG00000067191,457
ENSG00000067208,1124
ENSG00000067221,732
ENSG00000067225,58109
ENSG00000067248,4747
ENSG00000067334,4111
ENSG00000067365,975
ENSG00000067369,3181
ENSG00000067445,662
ENSG00000067533,2218
ENSG00000067560,32429
ENSG00000067596,4250
ENSG00000067601,126
ENSG00000067606,1323
ENSG00000067646,0
ENSG00000067704,13865
ENSG00000067715,816
ENSG00000067798,445
ENSG00000067829,2876
ENSG00000067836,4917
ENSG00000067840,115
ENSG00000067842,0
ENSG00000067900,4759
ENSG00000067955,2317
ENSG00000067992,711
ENSG00000068001,2433
ENSG00000068024,1299
ENSG00000068028,2161
ENSG00000068078,3868
ENSG00000068079,2472
ENSG00000068097,1360
ENSG00000068120,6373
ENSG00000068137,4959
ENSG00000068305,2305
ENSG00000068308,5421
ENSG00000068323,3792
ENSG00000068354,1100
ENSG00000068366,1690
ENSG00000068383,1147
ENSG00000068394,1685
ENSG00000068400,4006
ENSG00000068438,2278
ENSG00000068489,249
ENSG00000068615,4091
ENSG00000068650,865
ENSG00000068654,3502
ENSG00000068697,27371
ENSG00000068724,1703
ENSG00000068745,6090
ENSG00000068781,2
ENSG00000068784,1229
ENSG00000068796,1184
ENSG00000068831,112
ENSG00000068878,4250
ENSG00000068885,1413
ENSG00000068903,2495
ENSG00000068912,4985
ENSG00000068971,859
ENSG00000068976,30
ENSG00000068985,0
ENSG00000069011,423
ENSG00000069018,0
ENSG00000069020,3932
ENSG00000069122,1108
ENSG00000069188,278
ENSG00000069206,1
ENSG00000069248,6108
ENSG00000069275,42376
ENSG00000069329,5418
ENSG00000069345,2845
ENSG00000069399,4374
ENSG00000069424,1233
ENSG00000069431,441
ENSG00000069482,23
ENSG00000069493,541
ENSG00000069509,1192
ENSG00000069535,2841
ENSG00000069667,723
ENSG00000069696,114
ENSG00000069702,5011
ENSG00000069712,498
ENSG00000069764,18
ENSG00000069812,429
ENSG00000069849,3044
ENSG00000069869,1136
ENSG00000069943,831
ENSG00000069956,1487
ENSG00000069966,1249
ENSG00000069974,1270
ENSG00000069998,1597
ENSG00000070010,1972
ENSG00000070018,2507
ENSG00000070019,38
ENSG00000070031,57
ENSG00000070047,4041
ENSG00000070061,3485
ENSG00000070081,7954
ENSG00000070087,6651
ENSG00000070159,3555
ENSG00000070182,54
ENSG00000070190,528
ENSG00000070193,251
ENSG00000070214,22805
ENSG00000070269,1517
ENSG00000070366,1767
ENSG00000070367,2972
ENSG00000070371,155
ENSG00000070388,31
ENSG00000070404,1386
ENSG00000070413,7633
ENSG00000070423,1298
ENSG00000070444,2235
ENSG00000070476,2314
ENSG00000070495,1156
ENSG00000070501,2291
ENSG00000070526,12
ENSG00000070540,2194
ENSG00000070601,14
ENSG00000070610,4014
ENSG00000070614,16250
ENSG00000070669,1313
ENSG00000070718,1486
ENSG00000070729,2
ENSG00000070731,7363
ENSG00000070748,0
ENSG00000070756,48422
ENSG00000070759,2285
ENSG00000070761,990
ENSG00000070770,2127
ENSG00000070778,2650
ENSG00000070785,1293
ENSG00000070808,40
ENSG00000070814,3082
ENSG00000070831,17048
ENSG00000070882,1440
ENSG00000070886,9
ENSG00000070915,10
ENSG00000070950,1235
ENSG00000070961,3110
ENSG00000070985,2
ENSG00000071051,2580
ENSG00000071054,5360
ENSG00000071073,5975
ENSG00000071082,45473
ENSG00000071127,16536
ENSG00000071189,2748
ENSG00000071203,0
ENSG00000071205,524
ENSG00000071242,3449
ENSG00000071243,627
ENSG00000071246,1540
ENSG00000071282,2653
ENSG00000071462,4828
ENSG00000071537,13475
ENSG00000071539,487
ENSG00000071553,13313
ENSG00000071564,6206
ENSG00000071575,2152
ENSG00000071626,6659
ENSG00000071655,3562
ENSG00000071677,3
ENSG00000071794,3825
ENSG00000071859,3519
ENSG00000071889,2266
ENSG00000071894,6282
ENSG00000071909,75
ENSG00000071967,34371
ENSG00000071991,2
ENSG00000071994,2751
ENSG00000072041,58
ENSG00000072042,4947
ENSG00000072062,5648
ENSG00000072071,3357
ENSG00000072080,1
ENSG00000072110,17485
ENSG00000072121,3071
ENSG00000072133,807
ENSG00000072134,2876
ENSG00000072135,5881
ENSG00000072163,805
ENSG00000072182,44
ENSG00000072195,678
ENSG00000072201,907
ENSG00000072210,7574
ENSG00000072274,5397
ENSG00000072310,48331
ENSG00000072315,0
ENSG00000072364,9824
ENSG00000072401,1293
ENSG00000072415,2844
ENSG00000072422,2111
ENSG00000072501,6142
