Gene stable ID,b7fda5e6-ac95-4d80-9d5d-653bf871b156
ENSG00000020181,7834
ENSG00000020219,1
ENSG00000020256,1513
ENSG00000020426,1416
ENSG00000020577,3531
ENSG00000020633,1550
ENSG00000020922,4669
ENSG00000021300,1297
ENSG00000021355,5213
ENSG00000021461,14
ENSG00000021488,30
ENSG00000021574,2914
ENSG00000021645,596
ENSG00000021762,3187
ENSG00000021776,8307
ENSG00000021826,868
ENSG00000021852,2
ENSG00000022267,61812
ENSG00000022277,7142
ENSG00000022355,0
ENSG00000022556,1461
ENSG00000022567,1564
ENSG00000022840,13390
ENSG00000022976,976
ENSG00000023041,3860
ENSG00000023171,319
ENSG00000023191,9135
ENSG00000023228,9725
ENSG00000023287,10562
ENSG00000023318,5817
ENSG00000023330,3462
ENSG00000023445,2834
ENSG00000023516,13804
ENSG00000023572,401
ENSG00000023608,884
ENSG00000023697,2111
ENSG00000023734,8185
ENSG00000023839,181
ENSG00000023892,902
ENSG00000023902,2424
ENSG00000023909,3190
ENSG00000024048,9382
ENSG00000024422,26144
ENSG00000024526,51
ENSG00000024862,2015
ENSG00000025039,2371
ENSG00000025156,1749
ENSG00000025293,7038
ENSG00000025423,79
ENSG00000025434,3173
ENSG00000025708,1627
ENSG00000025770,2485
ENSG00000025772,2158
ENSG00000025796,14042
ENSG00000025800,9176
ENSG00000026025,166515
ENSG00000026036,219
ENSG00000026103,1842
ENSG00000026297,1956
ENSG00000026508,40349
ENSG00000026559,71
ENSG00000026652,1501
ENSG00000026751,734
ENSG00000026950,4633
ENSG00000027001,1738
ENSG00000027075,5799
ENSG00000027644,62
ENSG00000027697,13494
ENSG00000027847,1275
ENSG00000027869,113
ENSG00000028116,1881
ENSG00000028137,7474
ENSG00000028203,6197
ENSG00000028277,672
ENSG00000028310,3060
ENSG00000028528,19165
ENSG00000028839,1661
ENSG00000029153,567
ENSG00000029363,18604
ENSG00000029364,10160
ENSG00000029534,214
ENSG00000029559,3
ENSG00000029639,544
ENSG00000029725,21008
ENSG00000029993,734
ENSG00000030066,6846
ENSG00000030110,819
ENSG00000030304,15
ENSG00000030419,1695
ENSG00000030582,13641
ENSG00000031003,7131
ENSG00000031081,10854
ENSG00000031691,581
ENSG00000031698,10150
ENSG00000031823,4345
ENSG00000032219,5548
ENSG00000032389,928
ENSG00000032444,3208
ENSG00000032742,1549
ENSG00000033011,981
ENSG00000033030,3508
ENSG00000033050,4164
ENSG00000033100,3972
ENSG00000033122,93
ENSG00000033170,3662
ENSG00000033178,5568
ENSG00000033327,5482
ENSG00000033627,6404
ENSG00000033800,7217
ENSG00000033867,7829
ENSG00000034053,390
ENSG00000034152,2773
ENSG00000034239,560
ENSG00000034510,33441
ENSG00000034533,1366
ENSG00000034677,7310
ENSG00000034693,1878
ENSG00000034713,7696
ENSG00000034971,551
ENSG00000035115,4009
ENSG00000035141,2107
ENSG00000035403,23040
ENSG00000035499,21
ENSG00000035664,2043
ENSG00000035681,3648
ENSG00000035687,5863
ENSG00000035720,33
ENSG00000035862,67754
ENSG00000035928,7957
ENSG00000036054,4572
ENSG00000036257,8572
ENSG00000036448,340
ENSG00000036473,2
ENSG00000036530,162
ENSG00000036549,7313
ENSG00000036565,4
ENSG00000036672,534
ENSG00000036828,4
ENSG00000037042,1622
ENSG00000037241,578
ENSG00000037280,7039
ENSG00000037474,5319
ENSG00000037637,3318
ENSG00000037749,3123
ENSG00000037757,2850
ENSG00000037897,858
ENSG00000037965,441
ENSG00000038002,2006
ENSG00000038210,1388
ENSG00000038219,13271
ENSG00000038274,8913
ENSG00000038295,2229
ENSG00000038358,4157
ENSG00000038382,15606
ENSG00000038427,8765
ENSG00000038532,3253
ENSG00000038945,1706
ENSG00000039068,30411
ENSG00000039123,7276
ENSG00000039139,1737
ENSG00000039319,7484
ENSG00000039523,8838
ENSG00000039537,301
ENSG00000039560,4117
ENSG00000039600,22
ENSG00000039650,1501
ENSG00000039987,1
ENSG00000040199,2239
ENSG00000040275,1144
ENSG00000040341,3922
ENSG00000040487,839
ENSG00000040531,1544
ENSG00000040608,171
ENSG00000040633,2846
ENSG00000040731,2
ENSG00000040933,3611
ENSG00000041353,7148
ENSG00000041357,6259
ENSG00000041515,181
ENSG00000041802,4165
ENSG00000041880,2177
ENSG00000041982,11950
ENSG00000041988,1013
ENSG00000042062,982
ENSG00000042088,1729
ENSG00000042286,3715
ENSG00000042304,0
ENSG00000042317,984
ENSG00000042429,3699
ENSG00000042445,15377
ENSG00000042493,6061
ENSG00000042753,2012
ENSG00000042781,41
ENSG00000042813,15
ENSG00000042832,27
ENSG00000042980,862
ENSG00000043039,2605
ENSG00000043093,3842
ENSG00000043143,10102
ENSG00000043355,97
ENSG00000043462,1773
ENSG00000043514,1747
ENSG00000043591,114
ENSG00000044012,0
ENSG00000044090,4366
ENSG00000044115,35964
ENSG00000044446,4072
ENSG00000044459,1330
ENSG00000044524,851
ENSG00000044574,32063
ENSG00000046604,25163
ENSG00000046647,1366
ENSG00000046651,5251
ENSG00000046653,3861
ENSG00000046774,0
ENSG00000046889,5660
ENSG00000047056,3115
ENSG00000047188,4889
ENSG00000047230,3002
ENSG00000047249,4031
ENSG00000047315,10536
ENSG00000047346,10399
ENSG00000047365,2102
ENSG00000047410,19275
ENSG00000047457,1739
ENSG00000047578,2768
ENSG00000047579,1469
ENSG00000047597,209
ENSG00000047617,1121
ENSG00000047621,1735
ENSG00000047634,1892
ENSG00000047644,7998
ENSG00000047648,1107
ENSG00000047662,130
ENSG00000047849,31804
ENSG00000047932,7226
ENSG00000047936,1
ENSG00000048028,3111
ENSG00000048052,1669
ENSG00000048140,1905
ENSG00000048162,832
ENSG00000048342,2376
ENSG00000048392,4276
ENSG00000048405,3694
ENSG00000048462,108
ENSG00000048471,5036
ENSG00000048540,805
ENSG00000048544,2962
ENSG00000048545,2
ENSG00000048649,10201
ENSG00000048707,17314
ENSG00000048740,9054
ENSG00000048828,18625
ENSG00000048991,2461
ENSG00000049089,1025
ENSG00000049130,7567
ENSG00000049167,716
ENSG00000049192,193
ENSG00000049239,17367
ENSG00000049245,13689
ENSG00000049246,8643
ENSG00000049247,3
ENSG00000049249,12
ENSG00000049283,980
ENSG00000049323,5980
ENSG00000049449,9655
ENSG00000049540,9120
ENSG00000049541,1282
ENSG00000049618,12358
ENSG00000049656,6281
ENSG00000049759,9849
ENSG00000049768,81
ENSG00000049769,342
ENSG00000049860,8957
ENSG00000049883,1525
ENSG00000050030,388
ENSG00000050130,3633
ENSG00000050165,10253
ENSG00000050327,1948
ENSG00000050344,1434
ENSG00000050393,3709
ENSG00000050405,20273
ENSG00000050426,6234
ENSG00000050438,1940
ENSG00000050555,606
ENSG00000050628,6169
ENSG00000050730,8
ENSG00000050748,4469
ENSG00000050767,371
ENSG00000050820,3945
ENSG00000051009,4426
ENSG00000051108,11828
ENSG00000051128,1106
ENSG00000051180,95
ENSG00000051341,99
ENSG00000051382,4858
ENSG00000051523,1743
ENSG00000051596,481
ENSG00000051620,9553
ENSG00000051825,1001
ENSG00000052126,4943
ENSG00000052344,4023
ENSG00000052723,4202
ENSG00000052749,2075
ENSG00000052795,6609
ENSG00000052802,2716
ENSG00000052841,12069
ENSG00000052850,1054
ENSG00000053108,102
ENSG00000053254,15536
ENSG00000053328,85
ENSG00000053371,2725
ENSG00000053372,2579
ENSG00000053438,128
ENSG00000053501,1157
ENSG00000053524,106
ENSG00000053702,1096
ENSG00000053747,17173
ENSG00000053770,5041
ENSG00000053900,3669
ENSG00000053918,867
ENSG00000054116,3966
ENSG00000054118,18125
ENSG00000054148,1802
ENSG00000054179,639
ENSG00000054219,2196
ENSG00000054267,9096
ENSG00000054277,449
ENSG00000054282,2666
ENSG00000054356,2
ENSG00000054392,1427
ENSG00000054523,10710
ENSG00000054598,3514
ENSG00000054611,2610
ENSG00000054654,35987
ENSG00000054690,2007
ENSG00000054793,14490
ENSG00000054796,0
ENSG00000054803,347
ENSG00000054938,34
ENSG00000054965,11174
ENSG00000054967,215
ENSG00000054983,4277
ENSG00000055044,5282
ENSG00000055070,9301
ENSG00000055118,81
ENSG00000055130,7157
ENSG00000055147,2500
ENSG00000055163,1402
ENSG00000055208,14097
ENSG00000055211,6958
ENSG00000055332,10680
ENSG00000055483,6003
ENSG00000055609,19320
ENSG00000055732,1026
ENSG00000055813,663
ENSG00000055917,21336
ENSG00000055950,2956
ENSG00000055955,95
ENSG00000055957,8
ENSG00000056050,1703
ENSG00000056097,11205
ENSG00000056277,631
ENSG00000056291,10
ENSG00000056487,72
ENSG00000056558,957
ENSG00000056586,8837
ENSG00000056736,2585
ENSG00000056972,3790
ENSG00000056998,7983
ENSG00000057019,5973
ENSG00000057149,0
ENSG00000057252,3127
ENSG00000057294,3914
ENSG00000057468,42
ENSG00000057593,94
ENSG00000057608,21143
ENSG00000057657,1736
ENSG00000057663,3694
ENSG00000057704,2344
ENSG00000057757,3889
ENSG00000057935,4223
ENSG00000058056,3822
ENSG00000058063,8100
ENSG00000058085,9826
ENSG00000058091,3936
ENSG00000058262,21027
ENSG00000058272,11818
ENSG00000058335,73
ENSG00000058404,486
ENSG00000058453,1721
ENSG00000058600,3912
ENSG00000058668,30194
ENSG00000058673,20094
ENSG00000058729,2943
ENSG00000058799,2555
ENSG00000058804,3472
ENSG00000058866,189
ENSG00000059122,4164
ENSG00000059145,2175
ENSG00000059377,988
ENSG00000059378,2655
ENSG00000059573,4766
ENSG00000059588,5314
ENSG00000059691,1380
ENSG00000059728,2789
ENSG00000059758,6065
ENSG00000059769,985
ENSG00000059804,5188
ENSG00000059915,192
ENSG00000060069,1644
ENSG00000060138,18822
ENSG00000060140,319
ENSG00000060237,29990
ENSG00000060303,2
ENSG00000060339,7248
ENSG00000060491,2308
ENSG00000060558,532
ENSG00000060566,0
ENSG00000060642,1720
ENSG00000060656,3065
ENSG00000060688,3248
ENSG00000060709,135
ENSG00000060718,179
ENSG00000060749,7479
ENSG00000060762,2265
ENSG00000060971,2857
ENSG00000060982,2227
ENSG00000061273,11430
ENSG00000061337,1948
ENSG00000061455,444
ENSG00000061492,10
ENSG00000061656,158
ENSG00000061676,23137
ENSG00000061794,4148
ENSG00000061918,2200
ENSG00000061936,4697
ENSG00000061938,5161
ENSG00000061987,9504
ENSG00000062038,5131
ENSG00000062096,1
ENSG00000062194,12595
ENSG00000062282,6475
ENSG00000062370,997
ENSG00000062485,12309
ENSG00000062524,104
ENSG00000062582,228
ENSG00000062598,4888
ENSG00000062650,9904
ENSG00000062716,10789
ENSG00000062725,7571
ENSG00000062822,971
ENSG00000063015,9
ENSG00000063046,51133
ENSG00000063127,300
ENSG00000063169,1203
ENSG00000063176,730
ENSG00000063177,34631
ENSG00000063180,838
ENSG00000063241,1274
ENSG00000063244,8465
ENSG00000063245,5683
ENSG00000063322,6058
ENSG00000063438,77
ENSG00000063515,0
ENSG00000063587,3288
ENSG00000063601,3693
ENSG00000063660,3243
ENSG00000063761,510
ENSG00000063854,1607
ENSG00000063978,5853
ENSG00000064012,2373
ENSG00000064042,13075
ENSG00000064102,1694
ENSG00000064115,4314
ENSG00000064195,134
ENSG00000064199,808
ENSG00000064201,102
ENSG00000064205,7183
ENSG00000064218,126
ENSG00000064225,806
ENSG00000064270,779
ENSG00000064300,3096
ENSG00000064309,4415
ENSG00000064313,3768
ENSG00000064393,19136
ENSG00000064419,5783
ENSG00000064489,48
ENSG00000064490,1616
ENSG00000064545,1052
ENSG00000064547,665
ENSG00000064601,6272
ENSG00000064607,5876
ENSG00000064651,12719
ENSG00000064652,832
ENSG00000064655,2786
ENSG00000064666,8514
ENSG00000064687,1059
ENSG00000064692,1216
ENSG00000064703,2403
ENSG00000064726,6843
ENSG00000064763,982
ENSG00000064787,1024
ENSG00000064835,17
ENSG00000064886,1765
ENSG00000064932,4423
ENSG00000064933,2186
ENSG00000064961,3633
ENSG00000064989,5200
ENSG00000064995,2288
ENSG00000064999,6815
ENSG00000065000,10414
ENSG00000065029,3080
ENSG00000065054,7276
ENSG00000065057,642
ENSG00000065060,3590
ENSG00000065135,8523
ENSG00000065150,15271
ENSG00000065154,15036
ENSG00000065183,4111
ENSG00000065243,9975
ENSG00000065268,1105
ENSG00000065308,8262
ENSG00000065320,1540
ENSG00000065325,161
ENSG00000065328,69
ENSG00000065357,1830
ENSG00000065361,25898
ENSG00000065371,189
ENSG00000065413,1602
ENSG00000065427,9751
ENSG00000065457,2297
ENSG00000065485,1964
ENSG00000065491,1729
ENSG00000065518,4145
ENSG00000065526,18358
ENSG00000065534,44443
ENSG00000065548,5463
ENSG00000065559,4463
ENSG00000065600,387
ENSG00000065609,12
ENSG00000065613,15821
ENSG00000065615,1944
ENSG00000065618,20272
ENSG00000065621,2327
ENSG00000065665,727
ENSG00000065675,283
ENSG00000065717,3408
ENSG00000065802,3554
ENSG00000065809,8809
ENSG00000065833,1697
ENSG00000065882,5456
ENSG00000065883,7285
ENSG00000065911,3885
ENSG00000065923,4071
ENSG00000065970,6008
ENSG00000065978,21514
ENSG00000065989,2638
ENSG00000066027,9286
ENSG00000066032,3
ENSG00000066044,5399
ENSG00000066056,7918
ENSG00000066084,7159
ENSG00000066117,5920
ENSG00000066135,5432
ENSG00000066136,4209
ENSG00000066185,140
ENSG00000066230,38
ENSG00000066248,241
ENSG00000066279,61
ENSG00000066294,1128
ENSG00000066322,5698
ENSG00000066336,795
ENSG00000066379,767
ENSG00000066382,778
ENSG00000066405,42
ENSG00000066422,4497
ENSG00000066427,4838
ENSG00000066455,5875
ENSG00000066468,5504
ENSG00000066557,1816
ENSG00000066583,3385
ENSG00000066629,2818
ENSG00000066651,1344
ENSG00000066654,9710
ENSG00000066697,1129
ENSG00000066735,1870
ENSG00000066739,8748
ENSG00000066777,9831
ENSG00000066813,48
ENSG00000066827,1106
ENSG00000066855,1709
ENSG00000066923,533
ENSG00000066926,2468
ENSG00000066933,11203
ENSG00000067048,1
ENSG00000067057,3152
ENSG00000067064,3801
ENSG00000067066,7644
ENSG00000067082,56110
ENSG00000067113,7156
ENSG00000067141,8557
ENSG00000067167,23501
ENSG00000067177,2187
ENSG00000067182,11331
ENSG00000067191,585
ENSG00000067208,2768
ENSG00000067221,850
ENSG00000067225,38881
ENSG00000067248,5250
ENSG00000067334,6246
ENSG00000067365,1015
ENSG00000067369,7317
ENSG00000067445,1435
ENSG00000067533,3032
ENSG00000067560,42346
ENSG00000067596,6054
ENSG00000067601,215
ENSG00000067606,965
ENSG00000067646,0
ENSG00000067704,11271
ENSG00000067715,637
ENSG00000067798,3154
ENSG00000067829,2780
ENSG00000067836,1108
ENSG00000067840,650
ENSG00000067842,2
ENSG00000067900,11627
ENSG00000067955,4283
ENSG00000067992,1293
ENSG00000068001,4958
ENSG00000068024,2738
ENSG00000068028,2852
ENSG00000068078,1196
ENSG00000068079,1481
ENSG00000068097,1875
ENSG00000068120,4611
ENSG00000068137,2396
ENSG00000068305,10162
ENSG00000068308,5368
ENSG00000068323,6682
ENSG00000068354,2028
ENSG00000068366,7151
ENSG00000068383,2591
ENSG00000068394,1544
ENSG00000068400,3700
ENSG00000068438,2244
ENSG00000068489,265
ENSG00000068615,1387
ENSG00000068650,4623
ENSG00000068654,5406
ENSG00000068697,30847
ENSG00000068724,2961
ENSG00000068745,7328
ENSG00000068781,15
ENSG00000068784,2057
ENSG00000068796,3043
ENSG00000068831,926
ENSG00000068878,9214
ENSG00000068885,1451
ENSG00000068903,4283
ENSG00000068912,7028
ENSG00000068971,1811
ENSG00000068976,369
ENSG00000068985,0
ENSG00000069011,19
ENSG00000069018,0
ENSG00000069020,9363
ENSG00000069122,22455
ENSG00000069188,896
ENSG00000069206,0
ENSG00000069248,6447
ENSG00000069275,44118
ENSG00000069329,14495
ENSG00000069345,7187
ENSG00000069399,1979
ENSG00000069424,1224
ENSG00000069431,3965
ENSG00000069482,13
ENSG00000069493,1371
ENSG00000069509,1128
ENSG00000069535,10768
ENSG00000069667,3836
ENSG00000069696,30
ENSG00000069702,29675
ENSG00000069712,975
ENSG00000069764,32
ENSG00000069812,38
ENSG00000069849,4330
ENSG00000069869,3944
ENSG00000069943,1207
ENSG00000069956,4219
ENSG00000069966,2890
ENSG00000069974,3478
ENSG00000069998,1906
ENSG00000070010,3019
ENSG00000070018,10649
ENSG00000070019,178
ENSG00000070031,2
ENSG00000070047,4011
ENSG00000070061,5395
ENSG00000070081,6385
ENSG00000070087,5933
ENSG00000070159,3653
ENSG00000070182,334
ENSG00000070190,536
ENSG00000070193,2723
ENSG00000070214,19310
ENSG00000070269,2509
ENSG00000070366,3642
ENSG00000070367,7683
ENSG00000070371,627
ENSG00000070388,6
ENSG00000070404,2038
ENSG00000070413,10863
ENSG00000070423,1218
ENSG00000070444,2205
ENSG00000070476,3886
ENSG00000070495,2313
ENSG00000070501,2123
ENSG00000070526,389
ENSG00000070540,2832
ENSG00000070601,231
ENSG00000070610,5847
ENSG00000070614,27593
ENSG00000070669,1593
ENSG00000070718,2293
ENSG00000070729,5
ENSG00000070731,3042
ENSG00000070748,0
ENSG00000070756,85917
ENSG00000070759,1565
ENSG00000070761,2031
ENSG00000070770,6390
ENSG00000070778,5516
ENSG00000070785,2105
ENSG00000070808,16
ENSG00000070814,3868
ENSG00000070831,19960
ENSG00000070882,1421
ENSG00000070886,1
ENSG00000070915,8
ENSG00000070950,2185
ENSG00000070961,8835
ENSG00000070985,3
ENSG00000071051,4600
ENSG00000071054,15315
ENSG00000071073,8503
ENSG00000071082,48483
ENSG00000071127,17289
ENSG00000071189,7024
ENSG00000071203,0
ENSG00000071205,2724
ENSG00000071242,10394
ENSG00000071243,2140
ENSG00000071246,2313
ENSG00000071282,7413
ENSG00000071462,3954
ENSG00000071537,19864
ENSG00000071539,217
ENSG00000071553,9332
ENSG00000071564,4125
ENSG00000071575,7362
ENSG00000071626,5536
ENSG00000071655,3005
ENSG00000071677,2
ENSG00000071794,5513
ENSG00000071859,2717
ENSG00000071889,2034
ENSG00000071894,5409
ENSG00000071909,34
ENSG00000071967,70583
ENSG00000071991,103
ENSG00000071994,4082
ENSG00000072041,72
ENSG00000072042,4935
ENSG00000072062,8510
ENSG00000072071,4276
ENSG00000072080,1
ENSG00000072110,27077
ENSG00000072121,5972
ENSG00000072133,973
ENSG00000072134,4074
ENSG00000072135,7391
ENSG00000072163,7986
ENSG00000072182,7
ENSG00000072195,2382
ENSG00000072201,2583
ENSG00000072210,10922
ENSG00000072274,6714
ENSG00000072310,7165
ENSG00000072315,2
