Gene stable ID,313fe71e-7a50-43f9-bd28-4c65127aecad
ENSG00000010361,1361
ENSG00000010379,0
ENSG00000010404,9442
ENSG00000010438,3
ENSG00000010539,821
ENSG00000010610,3959
ENSG00000010626,1731
ENSG00000010671,554
ENSG00000010704,1230
ENSG00000010803,4048
ENSG00000010810,2105
ENSG00000010818,2829
ENSG00000010932,319
ENSG00000011007,3555
ENSG00000011009,3817
ENSG00000011021,892
ENSG00000011028,8824
ENSG00000011052,35
ENSG00000011083,12
ENSG00000011105,6998
ENSG00000011114,3013
ENSG00000011132,386
ENSG00000011143,1446
ENSG00000011198,1537
ENSG00000011201,1536
ENSG00000011243,1852
ENSG00000011258,1147
ENSG00000011260,3904
ENSG00000011275,4005
ENSG00000011295,9824
ENSG00000011304,13776
ENSG00000011332,109
ENSG00000011347,20244
ENSG00000011376,2200
ENSG00000011405,4391
ENSG00000011422,7636
ENSG00000011426,2779
ENSG00000011451,2768
ENSG00000011454,6416
ENSG00000011465,75695
ENSG00000011478,794
ENSG00000011485,4916
ENSG00000011523,1630
ENSG00000011566,2241
ENSG00000011590,38
ENSG00000011600,4102
ENSG00000011638,2392
ENSG00000011677,1
ENSG00000012048,1848
ENSG00000012061,2999
ENSG00000012124,224
ENSG00000012171,976
ENSG00000012174,3099
ENSG00000012211,668
ENSG00000012223,256
ENSG00000012232,3218
ENSG00000012504,0
ENSG00000012660,31125
ENSG00000012779,1334
ENSG00000012817,0
ENSG00000012822,4000
ENSG00000012963,7351
ENSG00000012983,3632
ENSG00000013016,1482
ENSG00000013275,7117
ENSG00000013288,5098
ENSG00000013293,1
ENSG00000013297,423
ENSG00000013306,16475
ENSG00000013364,9108
ENSG00000013374,6749
ENSG00000013375,3546
ENSG00000013392,930
ENSG00000013441,4398
ENSG00000013503,1006
ENSG00000013523,2462
ENSG00000013561,5186
ENSG00000013563,1599
ENSG00000013573,1018
ENSG00000013583,6642
ENSG00000013588,53816
ENSG00000013619,751
ENSG00000013725,418
ENSG00000013810,3566
ENSG00000014123,1792
ENSG00000014138,865
ENSG00000014164,3253
ENSG00000014216,7821
ENSG00000014257,76
ENSG00000014641,9574
ENSG00000014824,6520
ENSG00000014914,1749
ENSG00000014919,5322
ENSG00000015133,2983
ENSG00000015153,1058
ENSG00000015171,11526
ENSG00000015285,580
ENSG00000015413,718
ENSG00000015475,822
ENSG00000015479,248
ENSG00000015520,153
ENSG00000015532,3397
ENSG00000015568,0
ENSG00000015592,103
ENSG00000015676,13390
ENSG00000016082,0
ENSG00000016391,4016
ENSG00000016402,963
ENSG00000016490,0
ENSG00000016602,1
ENSG00000016864,6001
ENSG00000017260,9845
ENSG00000017427,40
ENSG00000017483,1692
ENSG00000017797,12533
ENSG00000018189,1625
ENSG00000018236,1084
ENSG00000018280,1637
ENSG00000018408,5546
ENSG00000018510,4476
ENSG00000018607,5
ENSG00000018610,2146
ENSG00000018625,46
ENSG00000018699,1996
ENSG00000018869,201
ENSG00000019102,163
ENSG00000019144,4044
ENSG00000019169,11
ENSG00000019186,6
ENSG00000019485,647
ENSG00000019505,3
ENSG00000019549,1318
ENSG00000019582,144980
ENSG00000019991,547
ENSG00000019995,1156
ENSG00000020129,2126
ENSG00000020181,1525
ENSG00000020219,2
ENSG00000020256,1446
ENSG00000020426,2013
ENSG00000020577,1019
ENSG00000020633,971
ENSG00000020922,1338
ENSG00000021300,3311
ENSG00000021355,5819
ENSG00000021461,0
ENSG00000021488,17
ENSG00000021574,1364
ENSG00000021645,60
ENSG00000021762,2637
ENSG00000021776,5074
ENSG00000021826,396
ENSG00000021852,0
ENSG00000022267,1640
ENSG00000022277,10311
ENSG00000022355,455
ENSG00000022556,50
ENSG00000022567,823
ENSG00000022840,14635
ENSG00000022976,816
ENSG00000023041,1940
ENSG00000023171,234
ENSG00000023191,16366
ENSG00000023228,8609
ENSG00000023287,9434
ENSG00000023318,5586
ENSG00000023330,4101
ENSG00000023445,1328
ENSG00000023516,2177
ENSG00000023572,820
ENSG00000023608,604
ENSG00000023697,1522
ENSG00000023734,12486
ENSG00000023839,28
ENSG00000023892,699
ENSG00000023902,4680
ENSG00000023909,2325
ENSG00000024048,5883
ENSG00000024422,7430
ENSG00000024526,789
ENSG00000024862,871
ENSG00000025039,730
ENSG00000025156,769
ENSG00000025293,7063
ENSG00000025423,1074
ENSG00000025434,2028
ENSG00000025708,3198
ENSG00000025770,3364
ENSG00000025772,7481
ENSG00000025796,7490
ENSG00000025800,6385
ENSG00000026025,75860
ENSG00000026036,77
ENSG00000026103,699
ENSG00000026297,2633
ENSG00000026508,23152
ENSG00000026559,19
ENSG00000026652,621
ENSG00000026751,447
ENSG00000026950,1686
ENSG00000027001,2464
ENSG00000027075,1190
ENSG00000027644,22
ENSG00000027697,4633
ENSG00000027847,3531
ENSG00000027869,115
ENSG00000028116,1248
ENSG00000028137,2894
ENSG00000028203,6432
ENSG00000028277,572
ENSG00000028310,1846
ENSG00000028528,10702
ENSG00000028839,626
ENSG00000029153,1585
ENSG00000029363,7041
ENSG00000029364,12912
ENSG00000029534,18
ENSG00000029559,44
ENSG00000029639,368
ENSG00000029725,12031
ENSG00000029993,7637
ENSG00000030066,5540
ENSG00000030110,1928
ENSG00000030304,2
ENSG00000030419,279
ENSG00000030582,33624
ENSG00000031003,2267
ENSG00000031081,2056
ENSG00000031691,482
ENSG00000031698,12327
ENSG00000031823,2769
ENSG00000032219,1489
ENSG00000032389,1946
ENSG00000032444,2192
ENSG00000032742,1106
ENSG00000033011,2779
ENSG00000033030,1983
ENSG00000033050,6162
ENSG00000033100,5058
ENSG00000033122,24
ENSG00000033170,6507
ENSG00000033178,2967
ENSG00000033327,38029
ENSG00000033627,7448
ENSG00000033800,1782
ENSG00000033867,1838
ENSG00000034053,470
ENSG00000034152,4595
ENSG00000034239,9
ENSG00000034510,45117
ENSG00000034533,620
ENSG00000034677,5300
ENSG00000034693,758
ENSG00000034713,11177
ENSG00000034971,2
ENSG00000035115,3966
ENSG00000035141,3844
ENSG00000035403,22590
ENSG00000035499,733
ENSG00000035664,1709
ENSG00000035681,3593
ENSG00000035687,6501
ENSG00000035720,51
ENSG00000035862,38576
ENSG00000035928,5255
ENSG00000036054,3257
ENSG00000036257,5566
ENSG00000036448,15
ENSG00000036473,0
ENSG00000036530,45
ENSG00000036549,2737
ENSG00000036565,2
ENSG00000036672,180
ENSG00000036828,0
ENSG00000037042,2073
ENSG00000037241,1797
ENSG00000037280,630
ENSG00000037474,9120
ENSG00000037637,2118
ENSG00000037749,1184
ENSG00000037757,996
ENSG00000037897,2526
ENSG00000037965,441
ENSG00000038002,4565
ENSG00000038210,2649
ENSG00000038219,4032
ENSG00000038274,5329
ENSG00000038295,306
ENSG00000038358,3870
ENSG00000038382,5053
ENSG00000038427,33091
ENSG00000038532,2323
ENSG00000038945,3858
ENSG00000039068,89495
ENSG00000039123,3753
ENSG00000039139,1051
ENSG00000039319,3458
ENSG00000039523,4456
ENSG00000039537,7
ENSG00000039560,6126
ENSG00000039600,4
ENSG00000039650,1819
ENSG00000039987,2
ENSG00000040199,1358
ENSG00000040275,1371
ENSG00000040341,5101
ENSG00000040487,887
ENSG00000040531,1768
ENSG00000040608,104
ENSG00000040633,2904
ENSG00000040731,0
ENSG00000040933,1832
ENSG00000041353,4398
ENSG00000041357,9258
ENSG00000041515,7
ENSG00000041802,5665
ENSG00000041880,2050
ENSG00000041982,3796
ENSG00000041988,671
ENSG00000042062,527
ENSG00000042088,2450
ENSG00000042286,1829
ENSG00000042304,0
ENSG00000042317,742
ENSG00000042429,1397
ENSG00000042445,6752
ENSG00000042493,15761
ENSG00000042753,6727
ENSG00000042781,11
ENSG00000042813,0
ENSG00000042832,67
ENSG00000042980,385
ENSG00000043039,500
ENSG00000043093,2205
ENSG00000043143,2956
ENSG00000043355,227
ENSG00000043462,1494
ENSG00000043514,1588
ENSG00000043591,76
ENSG00000044012,0
ENSG00000044090,4977
ENSG00000044115,47798
ENSG00000044446,2190
ENSG00000044459,649
ENSG00000044524,592
ENSG00000044574,78101
ENSG00000046604,3066
ENSG00000046647,1786
ENSG00000046651,2475
ENSG00000046653,196
ENSG00000046774,0
ENSG00000046889,345
ENSG00000047056,1719
ENSG00000047188,3119
ENSG00000047230,3429
ENSG00000047249,10894
ENSG00000047315,8766
ENSG00000047346,3402
ENSG00000047365,790
ENSG00000047410,14405
ENSG00000047457,2949
ENSG00000047578,3452
ENSG00000047579,1939
ENSG00000047597,657
ENSG00000047617,58
ENSG00000047621,1276
ENSG00000047634,287
ENSG00000047644,6629
ENSG00000047648,162
ENSG00000047662,212
ENSG00000047849,20875
ENSG00000047932,2187
ENSG00000047936,17
ENSG00000048028,904
ENSG00000048052,208
ENSG00000048140,4012
ENSG00000048162,1920
ENSG00000048342,965
ENSG00000048392,5714
ENSG00000048405,1236
ENSG00000048462,12
ENSG00000048471,2752
ENSG00000048540,18496
ENSG00000048544,7116
ENSG00000048545,9
ENSG00000048649,8631
ENSG00000048707,4607
ENSG00000048740,1357
ENSG00000048828,18499
ENSG00000048991,2423
ENSG00000049089,10420
ENSG00000049130,9356
ENSG00000049167,577
ENSG00000049192,316
ENSG00000049239,7152
ENSG00000049245,6454
ENSG00000049246,1210
ENSG00000049247,5
ENSG00000049249,133
ENSG00000049283,3021
ENSG00000049323,5937
ENSG00000049449,14152
ENSG00000049540,5258
ENSG00000049541,3026
ENSG00000049618,3489
ENSG00000049656,9260
ENSG00000049759,6897
ENSG00000049768,271
ENSG00000049769,332
ENSG00000049860,11007
ENSG00000049883,1201
ENSG00000050030,370
ENSG00000050130,3897
ENSG00000050165,9346
ENSG00000050327,1316
ENSG00000050344,937
ENSG00000050393,2855
ENSG00000050405,12778
ENSG00000050426,3963
ENSG00000050438,5768
ENSG00000050555,152
ENSG00000050628,7266
ENSG00000050730,15
ENSG00000050748,7405
ENSG00000050767,52
ENSG00000050820,4813
ENSG00000051009,4102
ENSG00000051108,10835
ENSG00000051128,1017
ENSG00000051180,1393
ENSG00000051341,552
ENSG00000051382,3487
ENSG00000051523,1224
ENSG00000051596,804
ENSG00000051620,4205
ENSG00000051825,847
ENSG00000052126,1826
ENSG00000052344,11851
ENSG00000052723,2922
ENSG00000052749,6150
ENSG00000052795,2957
ENSG00000052802,19064
ENSG00000052841,9057
ENSG00000052850,30
ENSG00000053108,2455
ENSG00000053254,2734
ENSG00000053328,46
ENSG00000053371,3978
ENSG00000053372,3438
ENSG00000053438,13
ENSG00000053501,784
ENSG00000053524,23
ENSG00000053702,209
ENSG00000053747,2448
ENSG00000053770,2590
ENSG00000053900,1734
ENSG00000053918,469
ENSG00000054116,2904
ENSG00000054118,10913
ENSG00000054148,3355
ENSG00000054179,280
ENSG00000054219,1155
ENSG00000054267,4004
ENSG00000054277,465
ENSG00000054282,2794
ENSG00000054356,217
ENSG00000054392,2242
ENSG00000054523,2932
ENSG00000054598,430
ENSG00000054611,2668
ENSG00000054654,5732
ENSG00000054690,507
ENSG00000054793,18198
ENSG00000054796,0
ENSG00000054803,33
ENSG00000054938,57
ENSG00000054965,5127
ENSG00000054967,531
ENSG00000054983,2708
ENSG00000055044,8893
ENSG00000055070,8047
ENSG00000055118,14
ENSG00000055130,7509
ENSG00000055147,2325
ENSG00000055163,7142
ENSG00000055208,4282
ENSG00000055211,4282
ENSG00000055332,4981
ENSG00000055483,7692
ENSG00000055609,6953
ENSG00000055732,601
ENSG00000055813,40
ENSG00000055917,11829
ENSG00000055950,4423
ENSG00000055955,21
ENSG00000055957,5
ENSG00000056050,3680
ENSG00000056097,5270
ENSG00000056277,290
ENSG00000056291,5
ENSG00000056487,1
ENSG00000056558,767
ENSG00000056586,4159
ENSG00000056736,1544
ENSG00000056972,1490
ENSG00000056998,774
ENSG00000057019,1831
ENSG00000057149,0
ENSG00000057252,5888
ENSG00000057294,3254
ENSG00000057468,2
ENSG00000057593,157
ENSG00000057608,20941
ENSG00000057657,1417
ENSG00000057663,2374
ENSG00000057704,453
ENSG00000057757,3322
ENSG00000057935,3942
ENSG00000058056,3294
ENSG00000058063,1952
ENSG00000058085,1616
ENSG00000058091,1667
ENSG00000058262,29350
ENSG00000058272,4442
ENSG00000058335,77
ENSG00000058404,781
ENSG00000058453,538
ENSG00000058600,3658
ENSG00000058668,6612
ENSG00000058673,12390
ENSG00000058729,2205
ENSG00000058799,6305
ENSG00000058804,4060
ENSG00000058866,30
ENSG00000059122,1434
ENSG00000059145,890
ENSG00000059377,923
ENSG00000059378,3062
ENSG00000059573,13136
ENSG00000059588,3268
ENSG00000059691,4062
ENSG00000059728,1652
ENSG00000059758,2148
ENSG00000059769,1113
ENSG00000059804,6763
ENSG00000059915,197
ENSG00000060069,1287
ENSG00000060138,5408
ENSG00000060140,155
ENSG00000060237,10421
ENSG00000060303,3
ENSG00000060339,6535
ENSG00000060491,2674
ENSG00000060558,1017
ENSG00000060566,2
ENSG00000060642,1531
ENSG00000060656,6374
ENSG00000060688,2781
ENSG00000060709,52
ENSG00000060718,23923
ENSG00000060749,3446
ENSG00000060762,1593
ENSG00000060971,2626
ENSG00000060982,1905
ENSG00000061273,4248
ENSG00000061337,1089
ENSG00000061455,319
ENSG00000061492,1
ENSG00000061656,644
ENSG00000061676,12051
ENSG00000061794,7419
ENSG00000061918,604
ENSG00000061936,3065
ENSG00000061938,3114
ENSG00000061987,4024
ENSG00000062038,12602
ENSG00000062096,3
ENSG00000062194,10743
ENSG00000062282,2564
ENSG00000062370,392
ENSG00000062485,12712
ENSG00000062524,116
ENSG00000062582,283
ENSG00000062598,8365
ENSG00000062650,5891
ENSG00000062716,19071
ENSG00000062725,3356
ENSG00000062822,1231
ENSG00000063015,5
ENSG00000063046,31649
ENSG00000063127,100
ENSG00000063169,801
ENSG00000063176,669
ENSG00000063177,37146
ENSG00000063180,356
ENSG00000063241,2131
ENSG00000063244,7003
ENSG00000063245,6258
ENSG00000063322,5465
ENSG00000063438,369
ENSG00000063515,0
ENSG00000063587,2377
ENSG00000063601,3083
ENSG00000063660,9174
ENSG00000063761,1251
ENSG00000063854,3197
ENSG00000063978,7528
ENSG00000064012,1465
ENSG00000064042,2861
ENSG00000064102,1786
ENSG00000064115,7129
ENSG00000064195,616
ENSG00000064199,594
ENSG00000064201,61
ENSG00000064205,806
ENSG00000064218,33
ENSG00000064225,446
ENSG00000064270,1457
ENSG00000064300,289
ENSG00000064309,767
ENSG00000064313,3590
ENSG00000064393,2519
ENSG00000064419,5568
ENSG00000064489,24
ENSG00000064490,1507
ENSG00000064545,1215
ENSG00000064547,796
ENSG00000064601,17532
ENSG00000064607,1779
ENSG00000064651,35980
ENSG00000064652,1249
ENSG00000064655,405
ENSG00000064666,11322
ENSG00000064687,875
ENSG00000064692,147
ENSG00000064703,1821
ENSG00000064726,5298
ENSG00000064763,4873
ENSG00000064787,9832
ENSG00000064835,6
ENSG00000064886,142
ENSG00000064932,3615
ENSG00000064933,1104
ENSG00000064961,5921
ENSG00000064989,1473
ENSG00000064995,4494
ENSG00000064999,3304
ENSG00000065000,8204
ENSG00000065029,2883
ENSG00000065054,3364
ENSG00000065057,499
ENSG00000065060,2989
ENSG00000065135,11498
ENSG00000065150,8207
ENSG00000065154,8485
ENSG00000065183,4761
ENSG00000065243,3276
ENSG00000065268,998
ENSG00000065308,5531
ENSG00000065320,1298
ENSG00000065325,5
ENSG00000065328,1099
ENSG00000065357,2248
ENSG00000065361,22108
ENSG00000065371,0
ENSG00000065413,481
ENSG00000065427,15859
ENSG00000065457,2533
ENSG00000065485,2482
ENSG00000065491,2440
ENSG00000065518,9184
ENSG00000065526,4052
ENSG00000065534,6146
ENSG00000065548,5029
ENSG00000065559,5728
ENSG00000065600,1067
ENSG00000065609,51
ENSG00000065613,4462
ENSG00000065615,1110
ENSG00000065618,413
ENSG00000065621,1287
ENSG00000065665,695
ENSG00000065675,35
ENSG00000065717,1254
ENSG00000065802,2182
ENSG00000065809,11312
ENSG00000065833,384
ENSG00000065882,8615
ENSG00000065883,4678
ENSG00000065911,6557
ENSG00000065923,3008
ENSG00000065970,3112
ENSG00000065978,22103
ENSG00000065989,963
ENSG00000066027,6340
ENSG00000066032,0
ENSG00000066044,5731
ENSG00000066056,1593
ENSG00000066084,5231
ENSG00000066117,4673
ENSG00000066135,3743
ENSG00000066136,3455
ENSG00000066185,1047
ENSG00000066230,4
ENSG00000066248,474
ENSG00000066279,1782
ENSG00000066294,843
ENSG00000066322,7947
ENSG00000066336,1375
ENSG00000066379,1269
ENSG00000066382,105
ENSG00000066405,12
ENSG00000066422,2115
ENSG00000066427,1639
ENSG00000066455,8094
ENSG00000066468,298
ENSG00000066557,1002
ENSG00000066583,5355
ENSG00000066629,785
ENSG00000066651,527
ENSG00000066654,5662
ENSG00000066697,1606
ENSG00000066735,81
ENSG00000066739,2908
ENSG00000066777,15483
ENSG00000066813,0
ENSG00000066827,1035
ENSG00000066855,4637
ENSG00000066923,130
ENSG00000066926,2464
ENSG00000066933,2144
ENSG00000067048,0
ENSG00000067057,2739
ENSG00000067064,10117
ENSG00000067066,4220
ENSG00000067082,10357
ENSG00000067113,1196
ENSG00000067141,1594
ENSG00000067167,17420
ENSG00000067177,4270
ENSG00000067182,11263
ENSG00000067191,315
ENSG00000067208,2189
ENSG00000067221,743
ENSG00000067225,66696
ENSG00000067248,4376
ENSG00000067334,7760
ENSG00000067365,869
ENSG00000067369,3153
ENSG00000067445,908
ENSG00000067533,3480
ENSG00000067560,72049
ENSG00000067596,6601
ENSG00000067601,113
ENSG00000067606,773
ENSG00000067646,0
ENSG00000067704,18373
ENSG00000067715,1677
ENSG00000067798,303
ENSG00000067829,4354
ENSG00000067836,2996
ENSG00000067840,102
ENSG00000067842,1
ENSG00000067900,3531
ENSG00000067955,2614
ENSG00000067992,1221
ENSG00000068001,3490
ENSG00000068024,816
ENSG00000068028,2661
ENSG00000068078,1066
ENSG00000068079,3612
ENSG00000068097,1900
ENSG00000068120,10411
ENSG00000068137,1854
ENSG00000068305,3728
ENSG00000068308,4910
ENSG00000068323,5263
ENSG00000068354,1821
ENSG00000068366,2390
ENSG00000068383,1462
ENSG00000068394,1957
ENSG00000068400,3778
ENSG00000068438,4237
ENSG00000068489,1241
ENSG00000068615,2407
ENSG00000068650,1021
ENSG00000068654,4183
ENSG00000068697,34722
ENSG00000068724,1912
ENSG00000068745,5251
ENSG00000068781,0
ENSG00000068784,1510
ENSG00000068796,1732
ENSG00000068831,182
ENSG00000068878,10025
ENSG00000068885,1033
ENSG00000068903,3397
ENSG00000068912,7387
ENSG00000068971,1204
ENSG00000068976,33
ENSG00000068985,0
ENSG00000069011,261
ENSG00000069018,0
ENSG00000069020,2017
ENSG00000069122,1672
ENSG00000069188,92
ENSG00000069206,0
ENSG00000069248,6806
ENSG00000069275,33894
ENSG00000069329,9852
ENSG00000069345,4524
ENSG00000069399,7026
ENSG00000069424,744
ENSG00000069431,398
ENSG00000069482,17
ENSG00000069493,790
ENSG00000069509,2617
ENSG00000069535,5564
ENSG00000069667,530
ENSG00000069696,37
ENSG00000069702,579
ENSG00000069712,476
ENSG00000069764,116
ENSG00000069812,167
ENSG00000069849,13639
ENSG00000069869,1241
ENSG00000069943,807
ENSG00000069956,3375
ENSG00000069966,1666
ENSG00000069974,2542
ENSG00000069998,2963
ENSG00000070010,4251
ENSG00000070018,1556
ENSG00000070019,375
ENSG00000070031,95
ENSG00000070047,3730
ENSG00000070061,4688
ENSG00000070081,25225
ENSG00000070087,3467
ENSG00000070159,2438
ENSG00000070182,64
ENSG00000070190,565
ENSG00000070193,491
ENSG00000070214,11438
ENSG00000070269,1556
ENSG00000070366,1293
ENSG00000070367,4567
ENSG00000070371,533
ENSG00000070388,4
ENSG00000070404,1500
ENSG00000070413,11571
ENSG00000070423,1188
ENSG00000070444,1897
ENSG00000070476,2306
ENSG00000070495,2980
ENSG00000070501,1203
ENSG00000070526,23
ENSG00000070540,2768
ENSG00000070601,5
ENSG00000070610,3706
ENSG00000070614,12018
ENSG00000070669,2007
ENSG00000070718,1252
ENSG00000070729,3
ENSG00000070731,6265
ENSG00000070748,0
ENSG00000070756,125479
ENSG00000070759,1964
ENSG00000070761,1533
ENSG00000070770,3734
ENSG00000070778,2145
ENSG00000070785,3077
ENSG00000070808,147
ENSG00000070814,4395
ENSG00000070831,17625
ENSG00000070882,1330
ENSG00000070886,0
ENSG00000070915,6
ENSG00000070950,2197
ENSG00000070961,5505
ENSG00000070985,14
ENSG00000071051,3003
ENSG00000071054,7225
ENSG00000071073,4097
ENSG00000071082,40554
ENSG00000071127,28872
ENSG00000071189,2190
ENSG00000071203,6
ENSG00000071205,2344
ENSG00000071242,1851
ENSG00000071243,478
ENSG00000071246,1354
ENSG00000071282,16412
ENSG00000071462,8828
ENSG00000071537,13529
ENSG00000071539,1749
ENSG00000071553,33603
ENSG00000071564,3208
ENSG00000071575,2447
ENSG00000071626,4932
ENSG00000071655,2678
ENSG00000071677,23
ENSG00000071794,5952
ENSG00000071859,4658
ENSG00000071889,2433
ENSG00000071894,7084
ENSG00000071909,384
ENSG00000071967,25667
ENSG00000071991,12
ENSG00000071994,2410
ENSG00000072041,0
ENSG00000072042,7941
ENSG00000072062,6229
ENSG00000072071,3041
ENSG00000072080,0
ENSG00000072110,29563
ENSG00000072121,3197
ENSG00000072133,21
ENSG00000072134,2500
ENSG00000072135,6619
ENSG00000072163,1852
ENSG00000072182,4
ENSG00000072195,546
ENSG00000072201,1340
ENSG00000072210,6133
ENSG00000072274,15263
ENSG00000072310,22679
ENSG00000072315,0
ENSG00000072364,8049
ENSG00000072401,1343
ENSG00000072415,2284
ENSG00000072422,2522
