Gene stable ID,89039d8c-d631-4898-99b2-6d188ff7f02c
ENSG00000010379,21
ENSG00000010404,12691
ENSG00000010438,5
ENSG00000010539,941
ENSG00000010610,6359
ENSG00000010626,639
ENSG00000010671,974
ENSG00000010704,3024
ENSG00000010803,4121
ENSG00000010810,1996
ENSG00000010818,2747
ENSG00000010932,901
ENSG00000011007,5236
ENSG00000011009,4713
ENSG00000011021,1734
ENSG00000011028,15148
ENSG00000011052,238
ENSG00000011083,21
ENSG00000011105,8236
ENSG00000011114,5852
ENSG00000011132,840
ENSG00000011143,1721
ENSG00000011198,1229
ENSG00000011201,2202
ENSG00000011243,3255
ENSG00000011258,6403
ENSG00000011260,10930
ENSG00000011275,5578
ENSG00000011295,3435
ENSG00000011304,24739
ENSG00000011332,32
ENSG00000011347,17854
ENSG00000011376,1558
ENSG00000011405,8884
ENSG00000011422,2985
ENSG00000011426,3076
ENSG00000011451,4288
ENSG00000011454,8537
ENSG00000011465,85042
ENSG00000011478,869
ENSG00000011485,4102
ENSG00000011523,3509
ENSG00000011566,5670
ENSG00000011590,62
ENSG00000011600,3365
ENSG00000011638,3339
ENSG00000011677,2
ENSG00000012048,3548
ENSG00000012061,4152
ENSG00000012124,1203
ENSG00000012171,3569
ENSG00000012174,4038
ENSG00000012211,599
ENSG00000012223,4238
ENSG00000012232,5256
ENSG00000012504,1
ENSG00000012660,32426
ENSG00000012779,2072
ENSG00000012817,0
ENSG00000012822,8740
ENSG00000012963,6327
ENSG00000012983,4643
ENSG00000013016,1663
ENSG00000013275,6384
ENSG00000013288,10763
ENSG00000013293,0
ENSG00000013297,656
ENSG00000013306,5441
ENSG00000013364,16103
ENSG00000013374,5949
ENSG00000013375,6410
ENSG00000013392,904
ENSG00000013441,8895
ENSG00000013503,1239
ENSG00000013523,2860
ENSG00000013561,5921
ENSG00000013563,1843
ENSG00000013573,1760
ENSG00000013583,6056
ENSG00000013588,42688
ENSG00000013619,256
ENSG00000013725,577
ENSG00000013810,2974
ENSG00000014123,11179
ENSG00000014138,1500
ENSG00000014164,2288
ENSG00000014216,18021
ENSG00000014257,152
ENSG00000014641,11351
ENSG00000014824,8176
ENSG00000014914,1793
ENSG00000014919,4756
ENSG00000015133,5403
ENSG00000015153,1117
ENSG00000015171,15151
ENSG00000015285,609
ENSG00000015413,70
ENSG00000015475,1679
ENSG00000015479,1110
ENSG00000015520,6
ENSG00000015532,5437
ENSG00000015568,2
ENSG00000015592,3
ENSG00000015676,12270
ENSG00000016082,37
ENSG00000016391,1470
ENSG00000016402,2074
ENSG00000016490,0
ENSG00000016602,6
ENSG00000016864,3597
ENSG00000017260,15662
ENSG00000017427,245
ENSG00000017483,941
ENSG00000017797,7897
ENSG00000018189,3326
ENSG00000018236,2521
ENSG00000018280,833
ENSG00000018408,5906
ENSG00000018510,12126
ENSG00000018607,1
ENSG00000018610,1902
ENSG00000018625,183
ENSG00000018699,2800
ENSG00000018869,320
ENSG00000019102,177
ENSG00000019144,6920
ENSG00000019169,261
ENSG00000019186,46
ENSG00000019485,665
ENSG00000019505,172
ENSG00000019549,2280
ENSG00000019582,110879
ENSG00000019991,1072
ENSG00000019995,1943
ENSG00000020129,3138
ENSG00000020181,3012
ENSG00000020219,0
ENSG00000020256,1914
ENSG00000020426,1928
ENSG00000020577,1013
ENSG00000020633,1589
ENSG00000020922,3488
ENSG00000021300,1537
ENSG00000021355,7326
ENSG00000021461,1
ENSG00000021488,28
ENSG00000021574,3082
ENSG00000021645,162
ENSG00000021762,5480
ENSG00000021776,7419
ENSG00000021826,234
ENSG00000021852,0
ENSG00000022267,2441
ENSG00000022277,6904
ENSG00000022355,0
ENSG00000022556,93
ENSG00000022567,1244
ENSG00000022840,15374
ENSG00000022976,890
ENSG00000023041,3729
ENSG00000023171,241
ENSG00000023191,11936
ENSG00000023228,10573
ENSG00000023287,12290
ENSG00000023318,4337
ENSG00000023330,2732
ENSG00000023445,3826
ENSG00000023516,9588
ENSG00000023572,1095
ENSG00000023608,529
ENSG00000023697,1626
ENSG00000023734,10835
ENSG00000023839,433
ENSG00000023892,1830
ENSG00000023902,2030
ENSG00000023909,4429
ENSG00000024048,7729
ENSG00000024422,5989
ENSG00000024526,870
ENSG00000024862,2444
ENSG00000025039,943
ENSG00000025156,1264
ENSG00000025293,8241
ENSG00000025423,502
ENSG00000025434,2535
ENSG00000025708,10957
ENSG00000025770,2860
ENSG00000025772,2092
ENSG00000025796,18681
ENSG00000025800,9978
ENSG00000026025,70816
ENSG00000026036,200
ENSG00000026103,1443
ENSG00000026297,2791
ENSG00000026508,60847
ENSG00000026559,25
ENSG00000026652,723
ENSG00000026751,1126
ENSG00000026950,3557
ENSG00000027001,2168
ENSG00000027075,2093
ENSG00000027644,39
ENSG00000027697,6865
ENSG00000027847,1969
ENSG00000027869,177
ENSG00000028116,1937
ENSG00000028137,2460
ENSG00000028203,6077
ENSG00000028277,468
ENSG00000028310,3109
ENSG00000028528,13568
ENSG00000028839,798
ENSG00000029153,589
ENSG00000029363,19864
ENSG00000029364,17322
ENSG00000029534,80
ENSG00000029559,152
ENSG00000029639,820
ENSG00000029725,13849
ENSG00000029993,5238
ENSG00000030066,7767
ENSG00000030110,1242
ENSG00000030304,17
ENSG00000030419,2645
ENSG00000030582,23144
ENSG00000031003,4116
ENSG00000031081,3962
ENSG00000031691,630
ENSG00000031698,14319
ENSG00000031823,4067
ENSG00000032219,4062
ENSG00000032389,1765
ENSG00000032444,2583
ENSG00000032742,2178
ENSG00000033011,3240
ENSG00000033030,2463
ENSG00000033050,4265
ENSG00000033100,4976
ENSG00000033122,29
ENSG00000033170,8491
ENSG00000033178,5072
ENSG00000033327,8807
ENSG00000033627,11432
ENSG00000033800,4248
ENSG00000033867,15393
ENSG00000034053,463
ENSG00000034152,1423
ENSG00000034239,17
ENSG00000034510,37852
ENSG00000034533,1100
ENSG00000034677,8434
ENSG00000034693,1380
ENSG00000034713,6722
ENSG00000034971,5
ENSG00000035115,3589
ENSG00000035141,2099
ENSG00000035403,15538
ENSG00000035499,293
ENSG00000035664,1102
ENSG00000035681,4292
ENSG00000035687,14769
ENSG00000035720,64
ENSG00000035862,54621
ENSG00000035928,10019
ENSG00000036054,6941
ENSG00000036257,10494
ENSG00000036448,36
ENSG00000036473,0
ENSG00000036530,77
ENSG00000036549,6241
ENSG00000036565,1
ENSG00000036672,227
ENSG00000036828,0
ENSG00000037042,1883
ENSG00000037241,1189
ENSG00000037280,849
ENSG00000037474,6059
ENSG00000037637,2653
ENSG00000037749,3918
ENSG00000037757,2729
ENSG00000037897,1618
ENSG00000037965,688
ENSG00000038002,1980
ENSG00000038210,2266
ENSG00000038219,8852
ENSG00000038274,6553
ENSG00000038295,777
ENSG00000038358,4509
ENSG00000038382,11755
ENSG00000038427,90420
ENSG00000038532,4226
ENSG00000038945,8115
ENSG00000039068,52281
ENSG00000039123,8559
ENSG00000039139,3401
ENSG00000039319,7327
ENSG00000039523,7852
ENSG00000039537,147
ENSG00000039560,6583
ENSG00000039600,15
ENSG00000039650,1651
ENSG00000039987,2
ENSG00000040199,1669
ENSG00000040275,778
ENSG00000040341,7186
ENSG00000040487,1028
ENSG00000040531,1076
ENSG00000040608,231
ENSG00000040633,2696
ENSG00000040731,0
ENSG00000040933,2806
ENSG00000041353,12840
ENSG00000041357,8422
ENSG00000041515,80
ENSG00000041802,5701
ENSG00000041880,1647
ENSG00000041982,21898
ENSG00000041988,897
ENSG00000042062,435
ENSG00000042088,1719
ENSG00000042286,1478
ENSG00000042304,0
ENSG00000042317,733
ENSG00000042429,3021
ENSG00000042445,9795
ENSG00000042493,14342
ENSG00000042753,5322
ENSG00000042781,52
ENSG00000042813,0
ENSG00000042832,156
ENSG00000042980,1181
ENSG00000043039,799
ENSG00000043093,5093
ENSG00000043143,5429
ENSG00000043355,220
ENSG00000043462,2309
ENSG00000043514,1370
ENSG00000043591,877
ENSG00000044012,0
ENSG00000044090,7163
ENSG00000044115,59676
ENSG00000044446,2761
ENSG00000044459,775
ENSG00000044524,365
ENSG00000044574,72742
ENSG00000046604,21560
ENSG00000046647,1532
ENSG00000046651,3404
ENSG00000046653,598
ENSG00000046774,4
ENSG00000046889,942
ENSG00000047056,2266
ENSG00000047188,6010
ENSG00000047230,4585
ENSG00000047249,6268
ENSG00000047315,12868
ENSG00000047346,13893
ENSG00000047365,2217
ENSG00000047410,34462
ENSG00000047457,14397
ENSG00000047578,5058
ENSG00000047579,1044
ENSG00000047597,57
ENSG00000047617,85
ENSG00000047621,1944
ENSG00000047634,301
ENSG00000047644,6417
ENSG00000047648,299
ENSG00000047662,105
ENSG00000047849,20733
ENSG00000047932,5774
ENSG00000047936,23
ENSG00000048028,2555
ENSG00000048052,6432
ENSG00000048140,2472
ENSG00000048162,885
ENSG00000048342,1028
ENSG00000048392,7257
ENSG00000048405,2624
ENSG00000048462,78
ENSG00000048471,5385
ENSG00000048540,520
ENSG00000048544,4037
ENSG00000048545,9
ENSG00000048649,9121
ENSG00000048707,13223
ENSG00000048740,2923
ENSG00000048828,40743
ENSG00000048991,3612
ENSG00000049089,697
ENSG00000049130,5312
ENSG00000049167,608
ENSG00000049192,425
ENSG00000049239,14689
ENSG00000049245,9592
ENSG00000049246,3658
ENSG00000049247,8
ENSG00000049249,288
ENSG00000049283,5028
ENSG00000049323,4554
ENSG00000049449,8187
ENSG00000049540,6551
ENSG00000049541,3084
ENSG00000049618,11129
ENSG00000049656,8017
ENSG00000049759,9835
ENSG00000049768,430
ENSG00000049769,286
ENSG00000049860,12828
ENSG00000049883,1681
ENSG00000050030,347
ENSG00000050130,5941
ENSG00000050165,6781
ENSG00000050327,1226
ENSG00000050344,4569
ENSG00000050393,3325
ENSG00000050405,13675
ENSG00000050426,4356
ENSG00000050438,1668
ENSG00000050555,130
ENSG00000050628,7222
ENSG00000050730,40
ENSG00000050748,5607
ENSG00000050767,31
ENSG00000050820,5129
ENSG00000051009,2806
ENSG00000051108,10675
ENSG00000051128,1562
ENSG00000051180,465
ENSG00000051341,626
ENSG00000051382,7640
ENSG00000051523,1954
ENSG00000051596,570
ENSG00000051620,6489
ENSG00000051825,2503
ENSG00000052126,3340
ENSG00000052344,9839
ENSG00000052723,4211
ENSG00000052749,2820
ENSG00000052795,3892
ENSG00000052802,3432
ENSG00000052841,10697
ENSG00000052850,122
ENSG00000053108,165
ENSG00000053254,7029
ENSG00000053328,53
ENSG00000053371,4033
ENSG00000053372,3150
ENSG00000053438,27
ENSG00000053501,1152
ENSG00000053524,29
ENSG00000053702,283
ENSG00000053747,2546
ENSG00000053770,3618
ENSG00000053900,2554
ENSG00000053918,1067
ENSG00000054116,3967
ENSG00000054118,25584
ENSG00000054148,5230
ENSG00000054179,1392
ENSG00000054219,669
ENSG00000054267,14013
ENSG00000054277,1958
ENSG00000054282,4614
ENSG00000054356,62
ENSG00000054392,4337
ENSG00000054523,6984
ENSG00000054598,326
ENSG00000054611,2369
ENSG00000054654,14828
ENSG00000054690,330
ENSG00000054793,8212
ENSG00000054796,0
ENSG00000054803,34
ENSG00000054938,46
ENSG00000054965,9569
ENSG00000054967,451
ENSG00000054983,5406
ENSG00000055044,6734
ENSG00000055070,9621
ENSG00000055118,488
ENSG00000055130,5646
ENSG00000055147,3717
ENSG00000055163,1717
ENSG00000055208,14398
ENSG00000055211,5393
ENSG00000055332,12884
ENSG00000055483,4231
ENSG00000055609,17511
ENSG00000055732,160
ENSG00000055813,82
ENSG00000055917,18130
ENSG00000055950,3696
ENSG00000055955,29
ENSG00000055957,5
ENSG00000056050,1220
ENSG00000056097,11323
ENSG00000056277,507
ENSG00000056291,9
ENSG00000056487,25
ENSG00000056558,1226
ENSG00000056586,6068
ENSG00000056736,789
ENSG00000056972,4946
ENSG00000056998,1933
ENSG00000057019,2896
ENSG00000057149,0
ENSG00000057252,4951
ENSG00000057294,971
ENSG00000057468,10
ENSG00000057593,501
ENSG00000057608,32582
ENSG00000057657,2914
ENSG00000057663,2958
ENSG00000057704,629
ENSG00000057757,2973
ENSG00000057935,5342
ENSG00000058056,3403
ENSG00000058063,3225
ENSG00000058085,9858
ENSG00000058091,7825
ENSG00000058262,53219
ENSG00000058272,7611
ENSG00000058335,100
ENSG00000058404,91
ENSG00000058453,1094
ENSG00000058600,5051
ENSG00000058668,20953
ENSG00000058673,29024
ENSG00000058729,2875
ENSG00000058799,5273
ENSG00000058804,4392
ENSG00000058866,83
ENSG00000059122,2919
ENSG00000059145,2624
ENSG00000059377,1124
ENSG00000059378,3150
ENSG00000059573,10627
ENSG00000059588,4548
ENSG00000059691,1638
ENSG00000059728,1700
ENSG00000059758,3784
ENSG00000059769,1115
ENSG00000059804,2088
ENSG00000059915,196
ENSG00000060069,1393
ENSG00000060138,6946
ENSG00000060140,350
ENSG00000060237,37561
ENSG00000060303,3
ENSG00000060339,11720
ENSG00000060491,2033
ENSG00000060558,608
ENSG00000060566,8
ENSG00000060642,2765
ENSG00000060656,2407
ENSG00000060688,4284
ENSG00000060709,146
ENSG00000060718,68147
ENSG00000060749,7085
ENSG00000060762,1822
ENSG00000060971,3779
ENSG00000060982,3763
ENSG00000061273,6972
ENSG00000061337,1091
ENSG00000061455,358
ENSG00000061492,0
ENSG00000061656,212
ENSG00000061676,25680
ENSG00000061794,5899
ENSG00000061918,1210
ENSG00000061936,3660
ENSG00000061938,7612
ENSG00000061987,8672
ENSG00000062038,4384
ENSG00000062096,2
ENSG00000062194,10467
ENSG00000062282,657
ENSG00000062370,731
ENSG00000062485,14138
ENSG00000062524,20
ENSG00000062582,456
ENSG00000062598,5464
ENSG00000062650,10136
ENSG00000062716,38839
ENSG00000062725,18468
ENSG00000062822,1193
ENSG00000063015,11
ENSG00000063046,49217
ENSG00000063127,99
ENSG00000063169,1137
ENSG00000063176,1013
ENSG00000063177,35945
ENSG00000063180,486
ENSG00000063241,2324
ENSG00000063244,9660
ENSG00000063245,7079
ENSG00000063322,6868
ENSG00000063438,193
ENSG00000063515,0
ENSG00000063587,3298
ENSG00000063601,3964
ENSG00000063660,8719
ENSG00000063761,353
ENSG00000063854,1919
ENSG00000063978,6219
ENSG00000064012,2156
ENSG00000064042,8376
ENSG00000064102,2539
ENSG00000064115,5122
ENSG00000064195,880
ENSG00000064199,1005
ENSG00000064201,110
ENSG00000064205,1089
ENSG00000064218,32
ENSG00000064225,585
ENSG00000064270,1821
ENSG00000064300,392
ENSG00000064309,2227
ENSG00000064313,6318
ENSG00000064393,14177
ENSG00000064419,6644
ENSG00000064489,27
ENSG00000064490,2323
ENSG00000064545,1357
ENSG00000064547,1185
ENSG00000064601,9628
ENSG00000064607,5487
ENSG00000064651,7419
ENSG00000064652,1344
ENSG00000064655,541
ENSG00000064666,10942
ENSG00000064687,1343
ENSG00000064692,280
ENSG00000064703,2518
ENSG00000064726,7326
ENSG00000064763,1099
ENSG00000064787,3621
ENSG00000064835,1
ENSG00000064886,654
ENSG00000064932,9807
ENSG00000064933,1552
ENSG00000064961,6308
ENSG00000064989,2777
ENSG00000064995,1596
ENSG00000064999,3424
ENSG00000065000,15056
ENSG00000065029,2749
ENSG00000065054,8421
ENSG00000065057,1726
ENSG00000065060,5973
ENSG00000065135,17256
ENSG00000065150,15680
ENSG00000065154,14322
ENSG00000065183,7305
ENSG00000065243,8537
ENSG00000065268,2137
ENSG00000065308,6271
ENSG00000065320,2250
ENSG00000065325,20
ENSG00000065328,728
ENSG00000065357,2770
ENSG00000065361,40109
ENSG00000065371,6
ENSG00000065413,1491
ENSG00000065427,10594
ENSG00000065457,3513
ENSG00000065485,2736
ENSG00000065491,1392
ENSG00000065518,13464
ENSG00000065526,12222
ENSG00000065534,12376
ENSG00000065548,7025
ENSG00000065559,3180
ENSG00000065600,816
ENSG00000065609,29
ENSG00000065613,10778
ENSG00000065615,1867
ENSG00000065618,1860
ENSG00000065621,2880
ENSG00000065665,565
ENSG00000065675,114
ENSG00000065717,2045
ENSG00000065802,1485
ENSG00000065809,5772
ENSG00000065833,2240
ENSG00000065882,2976
ENSG00000065883,7293
ENSG00000065911,9803
ENSG00000065923,8145
ENSG00000065970,4075
ENSG00000065978,13932
ENSG00000065989,5029
ENSG00000066027,10864
ENSG00000066032,2
ENSG00000066044,6711
ENSG00000066056,1117
ENSG00000066084,12490
ENSG00000066117,5728
ENSG00000066135,5290
ENSG00000066136,3465
ENSG00000066185,225
ENSG00000066230,37
ENSG00000066248,1217
ENSG00000066279,2631
ENSG00000066294,3991
ENSG00000066322,4138
ENSG00000066336,1839
ENSG00000066379,845
ENSG00000066382,160
ENSG00000066405,13
ENSG00000066422,4891
ENSG00000066427,2697
ENSG00000066455,10634
ENSG00000066468,3183
ENSG00000066557,1741
ENSG00000066583,3662
ENSG00000066629,1546
ENSG00000066651,1063
ENSG00000066654,8073
ENSG00000066697,1174
ENSG00000066735,285
ENSG00000066739,6667
ENSG00000066777,17871
ENSG00000066813,0
ENSG00000066827,1127
ENSG00000066855,2974
ENSG00000066923,140
ENSG00000066926,3305
ENSG00000066933,4295
ENSG00000067048,1
ENSG00000067057,2106
ENSG00000067064,4118
ENSG00000067066,6845
ENSG00000067082,17580
ENSG00000067113,1853
ENSG00000067141,5776
ENSG00000067167,25685
ENSG00000067177,2284
ENSG00000067182,10281
ENSG00000067191,1798
ENSG00000067208,1556
ENSG00000067221,660
ENSG00000067225,76265
ENSG00000067248,8197
ENSG00000067334,5871
ENSG00000067365,1243
ENSG00000067369,9073
ENSG00000067445,782
ENSG00000067533,3563
ENSG00000067560,36651
ENSG00000067596,4666
ENSG00000067601,178
ENSG00000067606,1245
ENSG00000067646,0
ENSG00000067704,27869
ENSG00000067715,297
ENSG00000067798,577
ENSG00000067829,3363
ENSG00000067836,4469
ENSG00000067840,122
ENSG00000067842,0
ENSG00000067900,9012
ENSG00000067955,5028
ENSG00000067992,1666
ENSG00000068001,1818
ENSG00000068024,1362
ENSG00000068028,1396
ENSG00000068078,1886
ENSG00000068079,5552
ENSG00000068097,5597
ENSG00000068120,10524
ENSG00000068137,6486
ENSG00000068305,4687
ENSG00000068308,5174
ENSG00000068323,5094
ENSG00000068354,1186
ENSG00000068366,3744
ENSG00000068383,2186
ENSG00000068394,1905
ENSG00000068400,3998
ENSG00000068438,2841
ENSG00000068489,1236
ENSG00000068615,1762
ENSG00000068650,2214
ENSG00000068654,7547
ENSG00000068697,35742
ENSG00000068724,2650
ENSG00000068745,3190
ENSG00000068781,6
ENSG00000068784,2803
ENSG00000068796,2882
ENSG00000068831,217
ENSG00000068878,9667
ENSG00000068885,2191
ENSG00000068903,3168
ENSG00000068912,8901
ENSG00000068971,883
ENSG00000068976,52
ENSG00000068985,0
ENSG00000069011,1061
ENSG00000069018,0
ENSG00000069020,7269
ENSG00000069122,2394
ENSG00000069188,370
ENSG00000069206,0
ENSG00000069248,12410
ENSG00000069275,72530
ENSG00000069329,16524
ENSG00000069345,8392
ENSG00000069399,4448
ENSG00000069424,2172
ENSG00000069431,1191
ENSG00000069482,35
ENSG00000069493,990
ENSG00000069509,1873
ENSG00000069535,33033
ENSG00000069667,2188
ENSG00000069696,38
ENSG00000069702,10455
ENSG00000069712,1001
ENSG00000069764,30
ENSG00000069812,177
ENSG00000069849,6908
ENSG00000069869,3814
ENSG00000069943,1409
ENSG00000069956,4289
ENSG00000069966,1695
ENSG00000069974,1571
ENSG00000069998,2188
ENSG00000070010,3857
ENSG00000070018,5827
ENSG00000070019,162
ENSG00000070031,40
ENSG00000070047,3817
ENSG00000070061,6811
ENSG00000070081,11528
ENSG00000070087,2254
ENSG00000070159,2770
ENSG00000070182,81
ENSG00000070190,1192
ENSG00000070193,2983
ENSG00000070214,23112
ENSG00000070269,1195
ENSG00000070366,2207
ENSG00000070367,6787
ENSG00000070371,498
ENSG00000070388,6
ENSG00000070404,2917
ENSG00000070413,12080
ENSG00000070423,1181
ENSG00000070444,1986
ENSG00000070476,4623
ENSG00000070495,1204
ENSG00000070501,3410
ENSG00000070526,19
ENSG00000070540,3118
ENSG00000070601,149
ENSG00000070610,3683
ENSG00000070614,14258
ENSG00000070669,863
ENSG00000070718,2686
ENSG00000070729,3
ENSG00000070731,2424
ENSG00000070748,0
ENSG00000070756,118339
ENSG00000070759,774
ENSG00000070761,1627
ENSG00000070770,4719
ENSG00000070778,1366
ENSG00000070785,2368
ENSG00000070808,58
ENSG00000070814,3120
ENSG00000070831,22370
ENSG00000070882,1051
ENSG00000070886,5
ENSG00000070915,15
ENSG00000070950,1792
ENSG00000070961,3642
ENSG00000070985,21
ENSG00000071051,2801
ENSG00000071054,8717
ENSG00000071073,7976
ENSG00000071082,42332
ENSG00000071127,25013
ENSG00000071189,8665
ENSG00000071203,1
ENSG00000071205,845
ENSG00000071242,2647
ENSG00000071243,841
ENSG00000071246,2253
ENSG00000071282,4001
ENSG00000071462,5188
ENSG00000071537,23752
ENSG00000071539,953
ENSG00000071553,20040
ENSG00000071564,5940
ENSG00000071575,3473
ENSG00000071626,6233
ENSG00000071655,2139
ENSG00000071677,3
ENSG00000071794,12307
ENSG00000071859,3997
ENSG00000071889,2006
ENSG00000071894,5891
ENSG00000071909,228
ENSG00000071967,62126
ENSG00000071991,1
ENSG00000071994,3372
ENSG00000072041,6
ENSG00000072042,4922
ENSG00000072062,6836
ENSG00000072071,4508
ENSG00000072080,0
ENSG00000072110,24547
ENSG00000072121,5915
ENSG00000072133,1186
ENSG00000072134,1796
ENSG00000072135,5102
ENSG00000072163,883
ENSG00000072182,6
ENSG00000072195,1135
ENSG00000072201,1394
ENSG00000072210,6575
ENSG00000072274,23057
ENSG00000072310,15394
ENSG00000072315,1
ENSG00000072364,25580
