Gene stable ID,b9cc9d9a-33a0-4bed-90a0-23b3840d74ed
ENSG00000006747,491
ENSG00000006756,6649
ENSG00000006757,2169
ENSG00000006788,27
ENSG00000006831,9558
ENSG00000006837,54
ENSG00000007001,13
ENSG00000007038,102
ENSG00000007047,2228
ENSG00000007062,2622
ENSG00000007080,3439
ENSG00000007129,112
ENSG00000007168,9902
ENSG00000007171,48
ENSG00000007174,131
ENSG00000007202,13760
ENSG00000007216,596
ENSG00000007237,6001
ENSG00000007255,1648
ENSG00000007264,784
ENSG00000007306,24
ENSG00000007312,984
ENSG00000007314,906
ENSG00000007341,686
ENSG00000007350,23
ENSG00000007372,161
ENSG00000007376,1135
ENSG00000007384,2184
ENSG00000007392,2007
ENSG00000007402,391
ENSG00000007516,699
ENSG00000007520,3075
ENSG00000007541,3397
ENSG00000007545,1403
ENSG00000007866,2080
ENSG00000007908,193
ENSG00000007923,1658
ENSG00000007933,347
ENSG00000007944,2908
ENSG00000007952,55
ENSG00000007968,85
ENSG00000008018,10615
ENSG00000008056,50
ENSG00000008083,1475
ENSG00000008086,881
ENSG00000008118,12
ENSG00000008128,228
ENSG00000008130,5463
ENSG00000008196,2723
ENSG00000008197,0
ENSG00000008226,63
ENSG00000008256,3535
ENSG00000008277,674
ENSG00000008282,8974
ENSG00000008283,7361
ENSG00000008294,5153
ENSG00000008300,171
ENSG00000008311,392
ENSG00000008323,1859
ENSG00000008324,790
ENSG00000008382,1174
ENSG00000008394,38164
ENSG00000008405,1367
ENSG00000008438,4
ENSG00000008441,18624
ENSG00000008513,4362
ENSG00000008516,176
ENSG00000008517,2076
ENSG00000008710,5697
ENSG00000008735,316
ENSG00000008838,4082
ENSG00000008853,2090
ENSG00000008869,2177
ENSG00000008952,12664
ENSG00000008988,64858
ENSG00000009307,54202
ENSG00000009335,5346
ENSG00000009413,1738
ENSG00000009694,69
ENSG00000009709,3
ENSG00000009724,89
ENSG00000009765,408
ENSG00000009780,945
ENSG00000009790,416
ENSG00000009830,1375
ENSG00000009844,2457
ENSG00000009950,1977
ENSG00000009954,5836
ENSG00000010017,2775
ENSG00000010030,113
ENSG00000010072,493
ENSG00000010165,2807
ENSG00000010219,924
ENSG00000010244,6303
ENSG00000010256,10150
ENSG00000010270,1779
ENSG00000010278,14352
ENSG00000010282,93
ENSG00000010292,3241
ENSG00000010295,1211
ENSG00000010310,144
ENSG00000010318,443
ENSG00000010319,21345
ENSG00000010322,7536
ENSG00000010327,10191
ENSG00000010361,1341
ENSG00000010379,1
ENSG00000010404,6381
ENSG00000010438,14
ENSG00000010539,577
ENSG00000010610,5942
ENSG00000010626,832
ENSG00000010671,733
ENSG00000010704,1391
ENSG00000010803,3188
ENSG00000010810,4581
ENSG00000010818,1994
ENSG00000010932,535
ENSG00000011007,3180
ENSG00000011009,2997
ENSG00000011021,1580
ENSG00000011028,13989
ENSG00000011052,49
ENSG00000011083,16
ENSG00000011105,6473
ENSG00000011114,2218
ENSG00000011132,801
ENSG00000011143,849
ENSG00000011198,1322
ENSG00000011201,1186
ENSG00000011243,2055
ENSG00000011258,1196
ENSG00000011260,1682
ENSG00000011275,3740
ENSG00000011295,3338
ENSG00000011304,12647
ENSG00000011332,9
ENSG00000011347,3271
ENSG00000011376,1180
ENSG00000011405,2394
ENSG00000011422,921
ENSG00000011426,238
ENSG00000011451,3790
ENSG00000011454,4025
ENSG00000011465,160859
ENSG00000011478,600
ENSG00000011485,2476
ENSG00000011523,3690
ENSG00000011566,1870
ENSG00000011590,41
ENSG00000011600,4908
ENSG00000011638,3637
ENSG00000011677,6
ENSG00000012048,475
ENSG00000012061,3599
ENSG00000012124,897
ENSG00000012171,1636
ENSG00000012174,1386
ENSG00000012211,468
ENSG00000012223,48862
ENSG00000012232,3065
ENSG00000012504,118
ENSG00000012660,22719
ENSG00000012779,2214
ENSG00000012817,4
ENSG00000012822,8847
ENSG00000012963,2891
ENSG00000012983,2404
ENSG00000013016,1047
ENSG00000013275,4207
ENSG00000013288,6683
ENSG00000013293,33
ENSG00000013297,3363
ENSG00000013306,6631
ENSG00000013364,13935
ENSG00000013374,4592
ENSG00000013375,2071
ENSG00000013392,523
ENSG00000013441,4295
ENSG00000013503,851
ENSG00000013523,1617
ENSG00000013561,4103
ENSG00000013563,1399
ENSG00000013573,247
ENSG00000013583,5049
ENSG00000013588,6002
ENSG00000013619,477
ENSG00000013725,539
ENSG00000013810,921
ENSG00000014123,1895
ENSG00000014138,923
ENSG00000014164,1186
ENSG00000014216,12806
ENSG00000014257,172
ENSG00000014641,17355
ENSG00000014824,3228
ENSG00000014914,817
ENSG00000014919,3142
ENSG00000015133,2243
ENSG00000015153,704
ENSG00000015171,6387
ENSG00000015285,830
ENSG00000015413,40
ENSG00000015475,1680
ENSG00000015479,189
ENSG00000015520,56
ENSG00000015532,2320
ENSG00000015568,0
ENSG00000015592,5
ENSG00000015676,8383
ENSG00000016082,56
ENSG00000016391,2102
ENSG00000016402,2538
ENSG00000016490,0
ENSG00000016602,306
ENSG00000016864,3228
ENSG00000017260,6452
ENSG00000017427,519
ENSG00000017483,283
ENSG00000017797,6044
ENSG00000018189,1700
ENSG00000018236,752
ENSG00000018280,388
ENSG00000018408,4786
ENSG00000018510,3233
ENSG00000018607,0
ENSG00000018610,1599
ENSG00000018625,4581
ENSG00000018699,1012
ENSG00000018869,261
ENSG00000019102,376
ENSG00000019144,16108
ENSG00000019169,5947
ENSG00000019186,24
ENSG00000019485,903
ENSG00000019505,583
ENSG00000019549,1506
ENSG00000019582,118879
ENSG00000019991,500
ENSG00000019995,1235
ENSG00000020129,1826
ENSG00000020181,8526
ENSG00000020219,0
ENSG00000020256,958
ENSG00000020426,910
ENSG00000020577,2767
ENSG00000020633,1465
ENSG00000020922,1542
ENSG00000021300,1090
ENSG00000021355,4383
ENSG00000021461,8
ENSG00000021488,15
ENSG00000021574,1280
ENSG00000021645,176
ENSG00000021762,2841
ENSG00000021776,3181
ENSG00000021826,515
ENSG00000021852,9
ENSG00000022267,81373
ENSG00000022277,7170
ENSG00000022355,1
ENSG00000022556,861
ENSG00000022567,1248
ENSG00000022840,11882
ENSG00000022976,529
ENSG00000023041,2083
ENSG00000023171,162
ENSG00000023191,14521
ENSG00000023228,5468
ENSG00000023287,3226
ENSG00000023318,4952
ENSG00000023330,3659
ENSG00000023445,2284
ENSG00000023516,3088
ENSG00000023572,378
ENSG00000023608,374
ENSG00000023697,1592
ENSG00000023734,7110
ENSG00000023839,272
ENSG00000023892,1083
ENSG00000023902,2986
ENSG00000023909,1535
ENSG00000024048,3293
ENSG00000024422,40266
ENSG00000024526,84
ENSG00000024862,1608
ENSG00000025039,1740
ENSG00000025156,704
ENSG00000025293,3197
ENSG00000025423,41
ENSG00000025434,4318
ENSG00000025708,3981
ENSG00000025770,2446
ENSG00000025772,1601
ENSG00000025796,7431
ENSG00000025800,5298
ENSG00000026025,208529
ENSG00000026036,83
ENSG00000026103,859
ENSG00000026297,3575
ENSG00000026508,22480
ENSG00000026559,63
ENSG00000026652,771
ENSG00000026751,1133
ENSG00000026950,2418
ENSG00000027001,1321
ENSG00000027075,2896
ENSG00000027644,12
ENSG00000027697,8308
ENSG00000027847,1977
ENSG00000027869,96
ENSG00000028116,787
ENSG00000028137,6325
ENSG00000028203,2846
ENSG00000028277,1141
ENSG00000028310,2047
ENSG00000028528,10514
ENSG00000028839,692
ENSG00000029153,335
ENSG00000029363,5897
ENSG00000029364,6563
ENSG00000029534,143
ENSG00000029559,0
ENSG00000029639,509
ENSG00000029725,9204
ENSG00000029993,1223
ENSG00000030066,2365
ENSG00000030110,804
ENSG00000030304,5
ENSG00000030419,503
ENSG00000030582,29210
ENSG00000031003,1878
ENSG00000031081,4822
ENSG00000031691,250
ENSG00000031698,9003
ENSG00000031823,3855
ENSG00000032219,1367
ENSG00000032389,946
ENSG00000032444,3694
ENSG00000032742,991
ENSG00000033011,1291
ENSG00000033030,1184
ENSG00000033050,3506
ENSG00000033100,3549
ENSG00000033122,46
ENSG00000033170,2182
ENSG00000033178,1935
ENSG00000033327,3527
ENSG00000033627,5017
ENSG00000033800,1985
ENSG00000033867,2033
ENSG00000034053,199
ENSG00000034152,3953
ENSG00000034239,203
ENSG00000034510,59822
ENSG00000034533,534
ENSG00000034677,3785
ENSG00000034693,1080
ENSG00000034713,5430
ENSG00000034971,893
ENSG00000035115,2668
ENSG00000035141,1806
ENSG00000035403,14639
ENSG00000035499,44
ENSG00000035664,1228
ENSG00000035681,2212
ENSG00000035687,3124
ENSG00000035720,103
ENSG00000035862,49258
ENSG00000035928,3433
ENSG00000036054,2054
ENSG00000036257,3658
ENSG00000036448,1313
ENSG00000036473,3
ENSG00000036530,195
ENSG00000036549,2162
ENSG00000036565,1
ENSG00000036672,375
ENSG00000036828,1
ENSG00000037042,1810
ENSG00000037241,709
ENSG00000037280,2676
ENSG00000037474,5513
ENSG00000037637,2195
ENSG00000037749,805
ENSG00000037757,851
ENSG00000037897,1002
ENSG00000037965,351
ENSG00000038002,2187
ENSG00000038210,693
ENSG00000038219,2961
ENSG00000038274,4282
ENSG00000038295,833
ENSG00000038358,1912
ENSG00000038382,4890
ENSG00000038427,6139
ENSG00000038532,1934
ENSG00000038945,2586
ENSG00000039068,15787
ENSG00000039123,3010
ENSG00000039139,405
ENSG00000039319,2333
ENSG00000039523,5008
ENSG00000039537,516
ENSG00000039560,1663
ENSG00000039600,12
ENSG00000039650,1769
ENSG00000039987,0
ENSG00000040199,710
ENSG00000040275,309
ENSG00000040341,2067
ENSG00000040487,837
ENSG00000040531,1481
ENSG00000040608,182
ENSG00000040633,2617
ENSG00000040731,9
ENSG00000040933,1588
ENSG00000041353,2098
ENSG00000041357,5411
ENSG00000041515,419
ENSG00000041802,2091
ENSG00000041880,2173
ENSG00000041982,12213
ENSG00000041988,907
ENSG00000042062,392
ENSG00000042088,1092
ENSG00000042286,7519
ENSG00000042304,0
ENSG00000042317,727
ENSG00000042429,1305
ENSG00000042445,39213
ENSG00000042493,9448
ENSG00000042753,4977
ENSG00000042781,9
ENSG00000042813,1
ENSG00000042832,14
ENSG00000042980,567
ENSG00000043039,1575
ENSG00000043093,1641
ENSG00000043143,3893
ENSG00000043355,12
ENSG00000043462,1303
ENSG00000043514,893
ENSG00000043591,326
ENSG00000044012,0
ENSG00000044090,3312
ENSG00000044115,30767
ENSG00000044446,2582
ENSG00000044459,476
ENSG00000044524,257
ENSG00000044574,33184
ENSG00000046604,5663
ENSG00000046647,1085
ENSG00000046651,2077
ENSG00000046653,1188
ENSG00000046774,0
ENSG00000046889,1360
ENSG00000047056,1936
ENSG00000047188,1833
ENSG00000047230,1737
ENSG00000047249,3456
ENSG00000047315,5312
ENSG00000047346,3467
ENSG00000047365,686
ENSG00000047410,7456
ENSG00000047457,3404
ENSG00000047578,1477
ENSG00000047579,1383
ENSG00000047597,38
ENSG00000047617,182
ENSG00000047621,946
ENSG00000047634,575
ENSG00000047644,3746
ENSG00000047648,418
ENSG00000047662,70
ENSG00000047849,28365
ENSG00000047932,2186
ENSG00000047936,0
ENSG00000048028,1140
ENSG00000048052,783
ENSG00000048140,2087
ENSG00000048162,658
ENSG00000048342,1228
ENSG00000048392,2071
ENSG00000048405,1073
ENSG00000048462,177
ENSG00000048471,3165
ENSG00000048540,945
ENSG00000048544,2321
ENSG00000048545,1
ENSG00000048649,2622
ENSG00000048707,6055
ENSG00000048740,6508
ENSG00000048828,9953
ENSG00000048991,1498
ENSG00000049089,1166
ENSG00000049130,1927
ENSG00000049167,389
ENSG00000049192,80
ENSG00000049239,11179
ENSG00000049245,10814
ENSG00000049246,1882
ENSG00000049247,4
ENSG00000049249,112
ENSG00000049283,832
ENSG00000049323,2779
ENSG00000049449,6325
ENSG00000049540,9084
ENSG00000049541,1309
ENSG00000049618,5090
ENSG00000049656,8142
ENSG00000049759,4553
ENSG00000049768,116
ENSG00000049769,349
ENSG00000049860,8777
ENSG00000049883,740
ENSG00000050030,86
ENSG00000050130,2355
ENSG00000050165,4755
ENSG00000050327,1017
ENSG00000050344,1133
ENSG00000050393,2402
ENSG00000050405,12143
ENSG00000050426,4300
ENSG00000050438,397
ENSG00000050555,268
ENSG00000050628,6438
ENSG00000050730,11
ENSG00000050748,2891
ENSG00000050767,84
ENSG00000050820,4095
ENSG00000051009,2479
ENSG00000051108,11306
ENSG00000051128,1584
ENSG00000051180,105
ENSG00000051341,44
ENSG00000051382,2907
ENSG00000051523,5103
ENSG00000051596,496
ENSG00000051620,12338
ENSG00000051825,356
ENSG00000052126,1282
ENSG00000052344,6410
ENSG00000052723,1894
ENSG00000052749,2239
ENSG00000052795,2616
ENSG00000052802,3445
ENSG00000052841,4895
ENSG00000052850,277
ENSG00000053108,74
ENSG00000053254,7593
ENSG00000053328,30
ENSG00000053371,3991
ENSG00000053372,2058
ENSG00000053438,2296
ENSG00000053501,1576
ENSG00000053524,19
ENSG00000053702,486
ENSG00000053747,4898
ENSG00000053770,2325
ENSG00000053900,1487
ENSG00000053918,868
ENSG00000054116,4147
ENSG00000054118,10824
ENSG00000054148,3375
ENSG00000054179,972
ENSG00000054219,1121
ENSG00000054267,2076
ENSG00000054277,322
ENSG00000054282,1545
ENSG00000054356,11
ENSG00000054392,977
ENSG00000054523,4006
ENSG00000054598,995
ENSG00000054611,2702
ENSG00000054654,7886
ENSG00000054690,478
ENSG00000054793,10650
ENSG00000054796,0
ENSG00000054803,198
ENSG00000054938,44
ENSG00000054965,5409
ENSG00000054967,263
ENSG00000054983,2086
ENSG00000055044,2563
ENSG00000055070,8291
ENSG00000055118,61
ENSG00000055130,3959
ENSG00000055147,1488
ENSG00000055163,1585
ENSG00000055208,5452
ENSG00000055211,4947
ENSG00000055332,2860
ENSG00000055483,3085
ENSG00000055609,4854
ENSG00000055732,254
ENSG00000055813,170
ENSG00000055917,7087
ENSG00000055950,3347
ENSG00000055955,32
ENSG00000055957,6
ENSG00000056050,1217
ENSG00000056097,4955
ENSG00000056277,166
ENSG00000056291,8
ENSG00000056487,8
ENSG00000056558,747
ENSG00000056586,2797
ENSG00000056736,1117
ENSG00000056972,2304
ENSG00000056998,17290
ENSG00000057019,2563
ENSG00000057149,34
ENSG00000057252,2098
ENSG00000057294,837
ENSG00000057468,10
ENSG00000057593,135
ENSG00000057608,16920
ENSG00000057657,955
ENSG00000057663,2092
ENSG00000057704,2103
ENSG00000057757,3762
ENSG00000057935,2789
ENSG00000058056,1492
ENSG00000058063,2533
ENSG00000058085,7982
ENSG00000058091,1602
ENSG00000058262,21584
ENSG00000058272,2753
ENSG00000058335,186
ENSG00000058404,114
ENSG00000058453,2104
ENSG00000058600,2519
ENSG00000058668,17647
ENSG00000058673,7738
ENSG00000058729,1209
ENSG00000058799,2818
ENSG00000058804,1574
ENSG00000058866,79
ENSG00000059122,2574
ENSG00000059145,1151
ENSG00000059377,1527
ENSG00000059378,1688
ENSG00000059573,4214
ENSG00000059588,1745
ENSG00000059691,1478
ENSG00000059728,1007
ENSG00000059758,1817
ENSG00000059769,706
ENSG00000059804,1800
ENSG00000059915,183
ENSG00000060069,1715
ENSG00000060138,12077
ENSG00000060140,372
ENSG00000060237,13334
ENSG00000060303,3
ENSG00000060339,2816
ENSG00000060491,2875
ENSG00000060558,712
ENSG00000060566,0
ENSG00000060642,1876
ENSG00000060656,2097
ENSG00000060688,2171
ENSG00000060709,34
ENSG00000060718,104
ENSG00000060749,1944
ENSG00000060762,2545
ENSG00000060971,4943
ENSG00000060982,1826
ENSG00000061273,6737
ENSG00000061337,668
ENSG00000061455,272
ENSG00000061492,1
ENSG00000061656,242
ENSG00000061676,8372
ENSG00000061794,2822
ENSG00000061918,739
ENSG00000061936,2408
ENSG00000061938,4390
ENSG00000061987,2519
ENSG00000062038,3170
ENSG00000062096,11
ENSG00000062194,5162
ENSG00000062282,44143
ENSG00000062370,326
ENSG00000062485,13417
ENSG00000062524,24
ENSG00000062582,416
ENSG00000062598,2950
ENSG00000062650,3136
ENSG00000062716,9141
ENSG00000062725,2969
ENSG00000062822,951
ENSG00000063015,28
ENSG00000063046,28498
ENSG00000063127,189
ENSG00000063169,865
ENSG00000063176,825
ENSG00000063177,44829
ENSG00000063180,887
ENSG00000063241,2137
ENSG00000063244,6933
ENSG00000063245,7623
ENSG00000063322,4207
ENSG00000063438,58
ENSG00000063515,0
ENSG00000063587,1402
ENSG00000063601,1700
ENSG00000063660,7560
ENSG00000063761,826
ENSG00000063854,2451
ENSG00000063978,4147
ENSG00000064012,1401
ENSG00000064042,11345
ENSG00000064102,881
ENSG00000064115,3352
ENSG00000064195,127
ENSG00000064199,521
ENSG00000064201,104
ENSG00000064205,6828
ENSG00000064218,113
ENSG00000064225,500
ENSG00000064270,469
ENSG00000064300,2524
ENSG00000064309,2420
ENSG00000064313,1163
ENSG00000064393,9364
ENSG00000064419,3564
ENSG00000064489,30
ENSG00000064490,1979
ENSG00000064545,1745
ENSG00000064547,851
ENSG00000064601,8988
ENSG00000064607,2210
ENSG00000064651,4108
ENSG00000064652,573
ENSG00000064655,1781
ENSG00000064666,8820
ENSG00000064687,1545
ENSG00000064692,612
ENSG00000064703,1127
ENSG00000064726,3913
ENSG00000064763,882
ENSG00000064787,427
ENSG00000064835,6
ENSG00000064886,1445
ENSG00000064932,3341
ENSG00000064933,731
ENSG00000064961,4718
ENSG00000064989,1885
ENSG00000064995,1401
ENSG00000064999,3457
ENSG00000065000,8927
ENSG00000065029,1963
ENSG00000065054,7370
ENSG00000065057,788
ENSG00000065060,1499
ENSG00000065135,4825
ENSG00000065150,9421
ENSG00000065154,8732
ENSG00000065183,2032
ENSG00000065243,3064
ENSG00000065268,1403
ENSG00000065308,4530
ENSG00000065320,1243
ENSG00000065325,267
ENSG00000065328,67
ENSG00000065357,1468
ENSG00000065361,9664
ENSG00000065371,138
ENSG00000065413,820
ENSG00000065427,7978
ENSG00000065457,1220
ENSG00000065485,1746
ENSG00000065491,1048
ENSG00000065518,5651
ENSG00000065526,5699
ENSG00000065534,18260
ENSG00000065548,2789
ENSG00000065559,2143
ENSG00000065600,469
ENSG00000065609,62
ENSG00000065613,4677
ENSG00000065615,978
ENSG00000065618,10173
ENSG00000065621,1138
ENSG00000065665,264
ENSG00000065675,118
ENSG00000065717,4911
ENSG00000065802,2666
ENSG00000065809,8549
ENSG00000065833,3543
ENSG00000065882,3878
ENSG00000065883,2907
ENSG00000065911,2003
ENSG00000065923,2390
ENSG00000065970,2308
ENSG00000065978,26004
ENSG00000065989,2000
ENSG00000066027,7147
ENSG00000066032,16
ENSG00000066044,4477
ENSG00000066056,5318
ENSG00000066084,2522
ENSG00000066117,3868
ENSG00000066135,3179
ENSG00000066136,2765
ENSG00000066185,217
ENSG00000066230,25
ENSG00000066248,200
ENSG00000066279,102
ENSG00000066294,1149
ENSG00000066322,6253
ENSG00000066336,2006
ENSG00000066379,777
ENSG00000066382,459
ENSG00000066405,18
ENSG00000066422,1058
ENSG00000066427,1561
ENSG00000066455,3332
ENSG00000066468,2163
ENSG00000066557,672
ENSG00000066583,2193
ENSG00000066629,1213
ENSG00000066651,581
ENSG00000066654,3953
ENSG00000066697,785
ENSG00000066735,1155
ENSG00000066739,2344
ENSG00000066777,3116
ENSG00000066813,22
ENSG00000066827,781
ENSG00000066855,1229
ENSG00000066923,150
ENSG00000066926,1564
ENSG00000066933,1930
ENSG00000067048,0
ENSG00000067057,2808
ENSG00000067064,6032
ENSG00000067066,3714
ENSG00000067082,24860
ENSG00000067113,9085
ENSG00000067141,4181
ENSG00000067167,11674
ENSG00000067177,731
ENSG00000067182,10554
ENSG00000067191,362
ENSG00000067208,1307
ENSG00000067221,1410
ENSG00000067225,47964
ENSG00000067248,2363
ENSG00000067334,3551
ENSG00000067365,616
ENSG00000067369,2281
ENSG00000067445,823
ENSG00000067533,1177
ENSG00000067560,45427
ENSG00000067596,3536
ENSG00000067601,131
ENSG00000067606,698
ENSG00000067646,1
ENSG00000067704,8417
ENSG00000067715,208
ENSG00000067798,401
ENSG00000067829,3610
ENSG00000067836,1236
ENSG00000067840,384
ENSG00000067842,5
ENSG00000067900,3958
ENSG00000067955,1764
ENSG00000067992,354
ENSG00000068001,3801
ENSG00000068024,1643
ENSG00000068028,2235
ENSG00000068078,488
ENSG00000068079,2124
ENSG00000068097,993
ENSG00000068120,4908
ENSG00000068137,2111
ENSG00000068305,2925
ENSG00000068308,4584
ENSG00000068323,8531
ENSG00000068354,1686
ENSG00000068366,4406
ENSG00000068383,1759
ENSG00000068394,1801
ENSG00000068400,2934
ENSG00000068438,1814
ENSG00000068489,190
ENSG00000068615,338
ENSG00000068650,1506
ENSG00000068654,2889
ENSG00000068697,27589
ENSG00000068724,2656
ENSG00000068745,4326
ENSG00000068781,17
ENSG00000068784,1172
ENSG00000068796,901
ENSG00000068831,637
ENSG00000068878,4528
ENSG00000068885,590
ENSG00000068903,5532
ENSG00000068912,4794
ENSG00000068971,1350
ENSG00000068976,306
ENSG00000068985,0
ENSG00000069011,499
ENSG00000069018,0
ENSG00000069020,4047
ENSG00000069122,5440
ENSG00000069188,439
ENSG00000069206,0
ENSG00000069248,3578
ENSG00000069275,20485
ENSG00000069329,7469
ENSG00000069345,4853
ENSG00000069399,1741
ENSG00000069424,1912
ENSG00000069431,1507
ENSG00000069482,145
ENSG00000069493,658
ENSG00000069509,906
ENSG00000069535,10095
ENSG00000069667,893
ENSG00000069696,36
ENSG00000069702,13197
ENSG00000069712,355
ENSG00000069764,5
ENSG00000069812,131
ENSG00000069849,5301
ENSG00000069869,1084
ENSG00000069943,613
ENSG00000069956,1983
ENSG00000069966,1192
ENSG00000069974,1397
ENSG00000069998,1913
ENSG00000070010,3233
ENSG00000070018,2400
ENSG00000070019,107
ENSG00000070031,2
ENSG00000070047,3271
ENSG00000070061,2450
ENSG00000070081,7805
ENSG00000070087,3359
ENSG00000070159,2105
ENSG00000070182,81
ENSG00000070190,557
ENSG00000070193,808
ENSG00000070214,7241
ENSG00000070269,1136
ENSG00000070366,1887
ENSG00000070367,3297
ENSG00000070371,434
ENSG00000070388,3
ENSG00000070404,4196
ENSG00000070413,9301
ENSG00000070423,1554
ENSG00000070444,1524
ENSG00000070476,1738
ENSG00000070495,1072
ENSG00000070501,1247
ENSG00000070526,353
ENSG00000070540,2303
ENSG00000070601,136
ENSG00000070610,2893
ENSG00000070614,17983
ENSG00000070669,939
ENSG00000070718,1077
ENSG00000070729,8
ENSG00000070731,1661
ENSG00000070748,0
ENSG00000070756,59140
ENSG00000070759,878
ENSG00000070761,1569
ENSG00000070770,4367
ENSG00000070778,2382
ENSG00000070785,2685
ENSG00000070808,18
ENSG00000070814,3181
ENSG00000070831,16220
ENSG00000070882,664
ENSG00000070886,13
ENSG00000070915,25
ENSG00000070950,822
ENSG00000070961,2963
ENSG00000070985,1
ENSG00000071051,2844
ENSG00000071054,7918
ENSG00000071073,2287
ENSG00000071082,50271
ENSG00000071127,17584
ENSG00000071189,2013
ENSG00000071203,0
ENSG00000071205,2481
ENSG00000071242,5651
ENSG00000071243,649
ENSG00000071246,1812
ENSG00000071282,6116
ENSG00000071462,4176
ENSG00000071537,8367
ENSG00000071539,137
ENSG00000071553,11622
ENSG00000071564,3044
ENSG00000071575,3103
ENSG00000071626,5441
ENSG00000071655,4830
ENSG00000071677,0
ENSG00000071794,1765
ENSG00000071859,4061
ENSG00000071889,2616
ENSG00000071894,3728
ENSG00000071909,36
ENSG00000071967,34391
ENSG00000071991,30
ENSG00000071994,2658
ENSG00000072041,57
ENSG00000072042,3425
ENSG00000072062,8992
ENSG00000072071,5702
ENSG00000072080,3
ENSG00000072110,23999
ENSG00000072121,2449
ENSG00000072133,281
ENSG00000072134,1605
ENSG00000072135,6327
ENSG00000072163,5026
ENSG00000072182,12
ENSG00000072195,1252
ENSG00000072201,909
ENSG00000072210,10540
ENSG00000072274,4750
ENSG00000072310,12518
ENSG00000072315,0
ENSG00000072364,4937
ENSG00000072401,902
ENSG00000072415,1985
ENSG00000072422,1406
ENSG00000072501,5083
ENSG00000072506,3767
ENSG00000072518,3656
