Gene stable ID,002c7ead-0e16-4a3f-ae29-5ffcfdcd2e3a
ENSG00000007392,3716
ENSG00000007402,50
ENSG00000007516,164
ENSG00000007520,3857
ENSG00000007541,3407
ENSG00000007545,1852
ENSG00000007866,3801
ENSG00000007908,334
ENSG00000007923,2748
ENSG00000007933,138
ENSG00000007944,3519
ENSG00000007952,41
ENSG00000007968,3252
ENSG00000008018,47292
ENSG00000008056,48
ENSG00000008083,5089
ENSG00000008086,2161
ENSG00000008118,29
ENSG00000008128,729
ENSG00000008130,6723
ENSG00000008196,0
ENSG00000008197,0
ENSG00000008226,162
ENSG00000008256,2785
ENSG00000008277,344
ENSG00000008282,6008
ENSG00000008283,9919
ENSG00000008294,12500
ENSG00000008300,1040
ENSG00000008311,144
ENSG00000008323,1410
ENSG00000008324,2227
ENSG00000008382,1218
ENSG00000008394,13685
ENSG00000008405,2088
ENSG00000008438,1
ENSG00000008441,22303
ENSG00000008513,1843
ENSG00000008516,427
ENSG00000008517,8453
ENSG00000008710,3943
ENSG00000008735,448
ENSG00000008838,4370
ENSG00000008853,650
ENSG00000008869,3605
ENSG00000008952,5365
ENSG00000008988,78625
ENSG00000009307,85002
ENSG00000009335,7463
ENSG00000009413,1976
ENSG00000009694,51
ENSG00000009709,0
ENSG00000009724,17
ENSG00000009765,7
ENSG00000009780,1174
ENSG00000009790,343
ENSG00000009830,4663
ENSG00000009844,6614
ENSG00000009950,58
ENSG00000009954,23537
ENSG00000010017,11143
ENSG00000010030,470
ENSG00000010072,1844
ENSG00000010165,3175
ENSG00000010219,1847
ENSG00000010244,10515
ENSG00000010256,13367
ENSG00000010270,2646
ENSG00000010278,17373
ENSG00000010282,2
ENSG00000010292,26880
ENSG00000010295,364
ENSG00000010310,17
ENSG00000010318,326
ENSG00000010319,500
ENSG00000010322,3498
ENSG00000010327,1796
ENSG00000010361,2183
ENSG00000010379,1
ENSG00000010404,6202
ENSG00000010438,20
ENSG00000010539,1174
ENSG00000010610,3112
ENSG00000010626,984
ENSG00000010671,392
ENSG00000010704,1125
ENSG00000010803,4608
ENSG00000010810,1403
ENSG00000010818,2804
ENSG00000010932,575
ENSG00000011007,8417
ENSG00000011009,5752
ENSG00000011021,776
ENSG00000011028,7201
ENSG00000011052,46
ENSG00000011083,6
ENSG00000011105,3397
ENSG00000011114,3458
ENSG00000011132,1044
ENSG00000011143,2201
ENSG00000011198,2584
ENSG00000011201,602
ENSG00000011243,2548
ENSG00000011258,3022
ENSG00000011260,6979
ENSG00000011275,5790
ENSG00000011295,3457
ENSG00000011304,25738
ENSG00000011332,119
ENSG00000011347,4905
ENSG00000011376,5124
ENSG00000011405,6143
ENSG00000011422,5056
ENSG00000011426,10776
ENSG00000011451,5418
ENSG00000011454,6741
ENSG00000011465,13537
ENSG00000011478,990
ENSG00000011485,3558
ENSG00000011523,2956
ENSG00000011566,2277
ENSG00000011590,28
ENSG00000011600,1817
ENSG00000011638,1983
ENSG00000011677,1439
ENSG00000012048,206
ENSG00000012061,2800
ENSG00000012124,261
ENSG00000012171,291
ENSG00000012174,2702
ENSG00000012211,570
ENSG00000012223,1308
ENSG00000012232,2899
ENSG00000012504,0
ENSG00000012660,7828
ENSG00000012779,1056
ENSG00000012817,0
ENSG00000012822,1795
ENSG00000012963,4758
ENSG00000012983,5204
ENSG00000013016,1102
ENSG00000013275,6242
ENSG00000013288,2414
ENSG00000013293,8
ENSG00000013297,130
ENSG00000013306,12833
ENSG00000013364,4642
ENSG00000013374,4058
ENSG00000013375,7838
ENSG00000013392,1596
ENSG00000013441,4729
ENSG00000013503,2110
ENSG00000013523,3628
ENSG00000013561,4123
ENSG00000013563,1768
ENSG00000013573,2596
ENSG00000013583,3165
ENSG00000013588,5146
ENSG00000013619,567
ENSG00000013725,981
ENSG00000013810,6010
ENSG00000014123,3655
ENSG00000014138,3565
ENSG00000014164,1985
ENSG00000014216,22553
ENSG00000014257,23
ENSG00000014641,16063
ENSG00000014824,8604
ENSG00000014914,529
ENSG00000014919,2821
ENSG00000015133,4278
ENSG00000015153,1686
ENSG00000015171,18705
ENSG00000015285,623
ENSG00000015413,22
ENSG00000015475,5630
ENSG00000015479,304
ENSG00000015520,10
ENSG00000015532,2579
ENSG00000015568,2
ENSG00000015592,6
ENSG00000015676,6933
ENSG00000016082,2
ENSG00000016391,2518
ENSG00000016402,365
ENSG00000016490,0
ENSG00000016602,22
ENSG00000016864,3071
ENSG00000017260,8409
ENSG00000017427,14
ENSG00000017483,591
ENSG00000017797,14975
ENSG00000018189,3037
ENSG00000018236,224
ENSG00000018280,577
ENSG00000018408,4809
ENSG00000018510,7236
ENSG00000018607,1
ENSG00000018610,3885
ENSG00000018625,5
ENSG00000018699,3488
ENSG00000018869,407
ENSG00000019102,61
ENSG00000019144,1851
ENSG00000019169,2467
ENSG00000019186,1593
ENSG00000019485,963
ENSG00000019505,69
ENSG00000019549,628
ENSG00000019582,62822
ENSG00000019991,38
ENSG00000019995,1643
ENSG00000020129,6002
ENSG00000020181,930
ENSG00000020219,2
ENSG00000020256,2369
ENSG00000020426,855
ENSG00000020577,1210
ENSG00000020633,7173
ENSG00000020922,5442
ENSG00000021300,13033
ENSG00000021355,7461
ENSG00000021461,1
ENSG00000021488,4
ENSG00000021574,3087
ENSG00000021645,21
ENSG00000021762,1752
ENSG00000021776,3962
ENSG00000021826,5306
ENSG00000021852,2
ENSG00000022267,714
ENSG00000022277,9793
ENSG00000022355,0
ENSG00000022556,1569
ENSG00000022567,1425
ENSG00000022840,9049
ENSG00000022976,912
ENSG00000023041,6813
ENSG00000023171,145
ENSG00000023191,12557
ENSG00000023228,11198
ENSG00000023287,9180
ENSG00000023318,7579
ENSG00000023330,4435
ENSG00000023445,2445
ENSG00000023516,3851
ENSG00000023572,1303
ENSG00000023608,723
ENSG00000023697,4388
ENSG00000023734,16865
ENSG00000023839,47
ENSG00000023892,1232
ENSG00000023902,2739
ENSG00000023909,2227
ENSG00000024048,5414
ENSG00000024422,1777
ENSG00000024526,2178
ENSG00000024862,1711
ENSG00000025039,1311
ENSG00000025156,1859
ENSG00000025293,6064
ENSG00000025423,191
ENSG00000025434,2983
ENSG00000025708,5970
ENSG00000025770,3416
ENSG00000025772,8984
ENSG00000025796,13215
ENSG00000025800,10416
ENSG00000026025,60661
ENSG00000026036,111
ENSG00000026103,433
ENSG00000026297,3751
ENSG00000026508,26689
ENSG00000026559,400
ENSG00000026652,745
ENSG00000026751,1277
ENSG00000026950,1674
ENSG00000027001,3073
ENSG00000027075,857
ENSG00000027644,12
ENSG00000027697,6536
ENSG00000027847,1288
ENSG00000027869,536
ENSG00000028116,5040
ENSG00000028137,2056
ENSG00000028203,6464
ENSG00000028277,519
ENSG00000028310,1915
ENSG00000028528,6146
ENSG00000028839,1444
ENSG00000029153,3877
ENSG00000029363,12741
ENSG00000029364,8471
ENSG00000029534,68
ENSG00000029559,42
ENSG00000029639,1252
ENSG00000029725,2936
ENSG00000029993,7985
ENSG00000030066,10637
ENSG00000030110,3892
ENSG00000030304,1
ENSG00000030419,369
ENSG00000030582,23155
ENSG00000031003,2331
ENSG00000031081,1761
ENSG00000031691,883
ENSG00000031698,12648
ENSG00000031823,4681
ENSG00000032219,1066
ENSG00000032389,2560
ENSG00000032444,7991
ENSG00000032742,1360
ENSG00000033011,1390
ENSG00000033030,1731
ENSG00000033050,5263
ENSG00000033100,3170
ENSG00000033122,28
ENSG00000033170,1291
ENSG00000033178,6493
ENSG00000033327,2376
ENSG00000033627,4070
ENSG00000033800,2708
ENSG00000033867,5713
ENSG00000034053,1183
ENSG00000034152,6160
ENSG00000034239,0
ENSG00000034510,83195
ENSG00000034533,443
ENSG00000034677,5003
ENSG00000034693,1492
ENSG00000034713,5705
ENSG00000034971,0
ENSG00000035115,2770
ENSG00000035141,7842
ENSG00000035403,8773
ENSG00000035499,1415
ENSG00000035664,1125
ENSG00000035681,4353
ENSG00000035687,8608
ENSG00000035720,43
ENSG00000035862,12192
ENSG00000035928,4643
ENSG00000036054,3761
ENSG00000036257,8094
ENSG00000036448,9
ENSG00000036473,3
ENSG00000036530,13
ENSG00000036549,3515
ENSG00000036565,2
ENSG00000036672,156
ENSG00000036828,2
ENSG00000037042,1451
ENSG00000037241,2074
ENSG00000037280,285
ENSG00000037474,5891
ENSG00000037637,1475
ENSG00000037749,2017
ENSG00000037757,1418
ENSG00000037897,1458
ENSG00000037965,198
ENSG00000038002,1241
ENSG00000038210,1379
ENSG00000038219,4105
ENSG00000038274,3837
ENSG00000038295,71
ENSG00000038358,5364
ENSG00000038382,3771
ENSG00000038427,8471
ENSG00000038532,1882
ENSG00000038945,986
ENSG00000039068,28465
ENSG00000039123,4310
ENSG00000039139,237
ENSG00000039319,2787
ENSG00000039523,3487
ENSG00000039537,7
ENSG00000039560,3835
ENSG00000039600,356
ENSG00000039650,2066
ENSG00000039987,3
ENSG00000040199,2019
ENSG00000040275,1736
ENSG00000040341,3940
ENSG00000040487,862
ENSG00000040531,731
ENSG00000040608,611
ENSG00000040633,2213
ENSG00000040731,1
ENSG00000040933,2328
ENSG00000041353,616
ENSG00000041357,20727
ENSG00000041515,104
ENSG00000041802,5687
ENSG00000041880,1715
ENSG00000041982,8720
ENSG00000041988,728
ENSG00000042062,129
ENSG00000042088,1645
ENSG00000042286,2690
ENSG00000042304,0
ENSG00000042317,677
ENSG00000042429,4956
ENSG00000042445,2428
ENSG00000042493,14297
ENSG00000042753,4200
ENSG00000042781,13
ENSG00000042813,6
ENSG00000042832,24
ENSG00000042980,348
ENSG00000043039,588
ENSG00000043093,6140
ENSG00000043143,1563
ENSG00000043355,9
ENSG00000043462,1590
ENSG00000043514,3280
ENSG00000043591,11
ENSG00000044012,0
ENSG00000044090,5356
ENSG00000044115,24616
ENSG00000044446,3368
ENSG00000044459,1130
ENSG00000044524,71
ENSG00000044574,66778
ENSG00000046604,40917
ENSG00000046647,771
ENSG00000046651,3715
ENSG00000046653,14750
ENSG00000046774,832
ENSG00000046889,155
ENSG00000047056,3063
ENSG00000047188,2201
ENSG00000047230,5611
ENSG00000047249,2640
ENSG00000047315,16721
ENSG00000047346,809
ENSG00000047365,997
ENSG00000047410,31327
ENSG00000047457,983
ENSG00000047578,2004
ENSG00000047579,2822
ENSG00000047597,1213
ENSG00000047617,36
ENSG00000047621,1200
ENSG00000047634,329
ENSG00000047644,6354
ENSG00000047648,43
ENSG00000047662,160
ENSG00000047849,41788
ENSG00000047932,3330
ENSG00000047936,81
ENSG00000048028,2103
ENSG00000048052,2264
ENSG00000048140,2049
ENSG00000048162,2462
ENSG00000048342,674
ENSG00000048392,2859
ENSG00000048405,1998
ENSG00000048462,69
ENSG00000048471,1505
ENSG00000048540,186
ENSG00000048544,5376
ENSG00000048545,37
ENSG00000048649,6972
ENSG00000048707,3358
ENSG00000048740,3968
ENSG00000048828,18554
ENSG00000048991,3507
ENSG00000049089,7480
ENSG00000049130,597
ENSG00000049167,799
ENSG00000049192,67
ENSG00000049239,4989
ENSG00000049245,4853
ENSG00000049246,1215
ENSG00000049247,3
ENSG00000049249,416
ENSG00000049283,636
ENSG00000049323,2540
ENSG00000049449,13145
ENSG00000049540,9404
ENSG00000049541,8014
ENSG00000049618,7634
ENSG00000049656,7082
ENSG00000049759,4828
ENSG00000049768,337
ENSG00000049769,239
ENSG00000049860,4673
ENSG00000049883,593
ENSG00000050030,84
ENSG00000050130,1744
ENSG00000050165,901
ENSG00000050327,1482
ENSG00000050344,3969
ENSG00000050393,9473
ENSG00000050405,1607
ENSG00000050426,2489
ENSG00000050438,46
ENSG00000050555,208
ENSG00000050628,142
ENSG00000050730,115
ENSG00000050748,2841
ENSG00000050767,58
ENSG00000050820,3706
ENSG00000051009,2780
ENSG00000051108,6369
ENSG00000051128,1711
ENSG00000051180,2592
ENSG00000051341,2404
ENSG00000051382,2082
ENSG00000051523,10123
ENSG00000051596,1404
ENSG00000051620,8454
ENSG00000051825,1054
ENSG00000052126,2251
ENSG00000052344,12448
ENSG00000052723,4926
ENSG00000052749,4610
ENSG00000052795,970
ENSG00000052802,4799
ENSG00000052841,7133
ENSG00000052850,186
ENSG00000053108,84
ENSG00000053254,2678
ENSG00000053328,39
ENSG00000053371,3043
ENSG00000053372,5222
ENSG00000053438,34
ENSG00000053501,1047
ENSG00000053524,91
ENSG00000053702,91
ENSG00000053747,1283
ENSG00000053770,2201
ENSG00000053900,1492
ENSG00000053918,172
ENSG00000054116,5952
ENSG00000054118,19342
ENSG00000054148,4826
ENSG00000054179,3142
ENSG00000054219,3048
ENSG00000054267,4945
ENSG00000054277,2060
ENSG00000054282,2312
ENSG00000054356,41
ENSG00000054392,681
ENSG00000054523,5693
ENSG00000054598,7403
ENSG00000054611,1616
ENSG00000054654,6494
ENSG00000054690,1916
ENSG00000054793,6625
ENSG00000054796,0
ENSG00000054803,0
ENSG00000054938,96
ENSG00000054965,7754
ENSG00000054967,732
ENSG00000054983,2374
ENSG00000055044,17799
ENSG00000055070,8049
ENSG00000055118,78
ENSG00000055130,4877
ENSG00000055147,1834
ENSG00000055163,8439
ENSG00000055208,8187
ENSG00000055211,5599
ENSG00000055332,7899
ENSG00000055483,8098
ENSG00000055609,2871
ENSG00000055732,433
ENSG00000055813,14
ENSG00000055917,12061
ENSG00000055950,3011
ENSG00000055955,12
ENSG00000055957,8
ENSG00000056050,1270
ENSG00000056097,7619
ENSG00000056277,1015
ENSG00000056291,21
ENSG00000056487,2
ENSG00000056558,3785
ENSG00000056586,9446
ENSG00000056736,1188
ENSG00000056972,1700
ENSG00000056998,1345
ENSG00000057019,4567
ENSG00000057149,43
ENSG00000057252,4112
ENSG00000057294,2244
ENSG00000057468,5
ENSG00000057593,12
ENSG00000057608,64459
ENSG00000057657,1075
ENSG00000057663,4593
ENSG00000057704,410
ENSG00000057757,5816
ENSG00000057935,7026
ENSG00000058056,2092
ENSG00000058063,10852
ENSG00000058085,37657
ENSG00000058091,1137
ENSG00000058262,20973
ENSG00000058272,8941
ENSG00000058335,988
ENSG00000058404,46
ENSG00000058453,1105
ENSG00000058600,2237
ENSG00000058668,9520
ENSG00000058673,13521
ENSG00000058729,1493
ENSG00000058799,1543
ENSG00000058804,6823
ENSG00000058866,306
ENSG00000059122,1169
ENSG00000059145,1335
ENSG00000059377,533
ENSG00000059378,3275
ENSG00000059573,10960
ENSG00000059588,9826
ENSG00000059691,1342
ENSG00000059728,940
ENSG00000059758,1767
ENSG00000059769,1088
ENSG00000059804,2293
ENSG00000059915,137
ENSG00000060069,2614
ENSG00000060138,23109
ENSG00000060140,362
ENSG00000060237,20058
ENSG00000060303,3
ENSG00000060339,5827
ENSG00000060491,3484
ENSG00000060558,647
ENSG00000060566,8
ENSG00000060642,2400
ENSG00000060656,5548
ENSG00000060688,6112
ENSG00000060709,2
ENSG00000060718,2589
ENSG00000060749,10289
ENSG00000060762,3971
ENSG00000060971,7502
ENSG00000060982,2753
ENSG00000061273,2679
ENSG00000061337,324
ENSG00000061455,31
ENSG00000061492,0
ENSG00000061656,279
ENSG00000061676,25384
ENSG00000061794,6937
ENSG00000061918,950
ENSG00000061936,3796
ENSG00000061938,2393
ENSG00000061987,1813
ENSG00000062038,16351
ENSG00000062096,0
ENSG00000062194,5791
ENSG00000062282,3275
ENSG00000062370,325
ENSG00000062485,11020
ENSG00000062524,494
ENSG00000062582,1036
ENSG00000062598,3686
ENSG00000062650,7787
ENSG00000062716,9631
ENSG00000062725,3984
ENSG00000062822,5555
ENSG00000063015,2
ENSG00000063046,25608
ENSG00000063127,87
ENSG00000063169,653
ENSG00000063176,1023
ENSG00000063177,63858
ENSG00000063180,343
ENSG00000063241,2707
ENSG00000063244,16732
ENSG00000063245,11256
ENSG00000063322,2872
ENSG00000063438,116
ENSG00000063515,0
ENSG00000063587,1072
ENSG00000063601,3236
ENSG00000063660,1678
ENSG00000063761,920
ENSG00000063854,2759
ENSG00000063978,4223
ENSG00000064012,2525
ENSG00000064042,1171
ENSG00000064102,6802
ENSG00000064115,7222
ENSG00000064195,287
ENSG00000064199,708
ENSG00000064201,41
ENSG00000064205,211
ENSG00000064218,25
ENSG00000064225,1993
ENSG00000064270,145
ENSG00000064300,777
ENSG00000064309,410
ENSG00000064313,4108
ENSG00000064393,4856
ENSG00000064419,8014
ENSG00000064489,22
ENSG00000064490,2391
ENSG00000064545,1645
ENSG00000064547,1685
ENSG00000064601,8454
ENSG00000064607,3020
ENSG00000064651,11567
ENSG00000064652,981
ENSG00000064655,1245
ENSG00000064666,7318
ENSG00000064687,775
ENSG00000064692,276
ENSG00000064703,2694
ENSG00000064726,9933
ENSG00000064763,2252
ENSG00000064787,15
ENSG00000064835,0
ENSG00000064886,6166
ENSG00000064932,5252
ENSG00000064933,3272
ENSG00000064961,7713
ENSG00000064989,802
ENSG00000064995,5576
ENSG00000064999,7222
ENSG00000065000,12589
ENSG00000065029,4497
ENSG00000065054,1938
ENSG00000065057,1786
ENSG00000065060,7407
ENSG00000065135,15672
ENSG00000065150,23768
ENSG00000065154,7837
ENSG00000065183,10178
ENSG00000065243,3901
ENSG00000065268,4035
ENSG00000065308,3563
ENSG00000065320,1496
ENSG00000065325,1
ENSG00000065328,7893
ENSG00000065357,890
ENSG00000065361,6521
ENSG00000065371,2555
ENSG00000065413,661
ENSG00000065427,26486
ENSG00000065457,2877
ENSG00000065485,3594
ENSG00000065491,3933
ENSG00000065518,7417
ENSG00000065526,5959
ENSG00000065534,4352
ENSG00000065548,9788
ENSG00000065559,2088
ENSG00000065600,853
ENSG00000065609,72
ENSG00000065613,5224
ENSG00000065615,3028
ENSG00000065618,76
ENSG00000065621,1431
ENSG00000065665,2049
ENSG00000065675,94
ENSG00000065717,301
ENSG00000065802,3333
ENSG00000065809,5257
ENSG00000065833,6796
ENSG00000065882,6542
ENSG00000065883,4853
ENSG00000065911,16023
ENSG00000065923,3876
ENSG00000065970,3650
ENSG00000065978,97241
ENSG00000065989,884
ENSG00000066027,2476
ENSG00000066032,1
ENSG00000066044,13682
ENSG00000066056,698
ENSG00000066084,4626
ENSG00000066117,4603
ENSG00000066135,6786
ENSG00000066136,6052
ENSG00000066185,341
ENSG00000066230,3
ENSG00000066248,329
ENSG00000066279,8284
ENSG00000066294,973
ENSG00000066322,10739
ENSG00000066336,1209
ENSG00000066379,3062
ENSG00000066382,624
ENSG00000066405,2
ENSG00000066422,2088
ENSG00000066427,3523
ENSG00000066455,5178
ENSG00000066468,443
ENSG00000066557,1213
ENSG00000066583,2758
ENSG00000066629,1413
ENSG00000066651,1899
ENSG00000066654,2797
ENSG00000066697,4267
ENSG00000066735,341
ENSG00000066739,2964
ENSG00000066777,7231
ENSG00000066813,0
ENSG00000066827,922
ENSG00000066855,6126
ENSG00000066923,947
ENSG00000066926,5535
ENSG00000066933,6327
ENSG00000067048,0
ENSG00000067057,31181
ENSG00000067064,14988
ENSG00000067066,3293
ENSG00000067082,12604
ENSG00000067113,726
ENSG00000067141,5967
ENSG00000067167,19075
ENSG00000067177,1929
ENSG00000067182,6317
ENSG00000067191,496
ENSG00000067208,1355
ENSG00000067221,826
ENSG00000067225,271476
ENSG00000067248,3009
ENSG00000067334,6505
ENSG00000067365,703
ENSG00000067369,3716
ENSG00000067445,2006
ENSG00000067533,1665
ENSG00000067560,40937
ENSG00000067596,5164
ENSG00000067601,234
ENSG00000067606,1843
ENSG00000067646,0
ENSG00000067704,11981
ENSG00000067715,231
ENSG00000067798,206
ENSG00000067829,3709
ENSG00000067836,1733
ENSG00000067840,34
ENSG00000067842,2
ENSG00000067900,7468
ENSG00000067955,9215
ENSG00000067992,1554
ENSG00000068001,2940
ENSG00000068024,1154
ENSG00000068028,1988
ENSG00000068078,591
ENSG00000068079,976
ENSG00000068097,2401
ENSG00000068120,4849
ENSG00000068137,1809
ENSG00000068305,8765
ENSG00000068308,5774
ENSG00000068323,5338
ENSG00000068354,1974
ENSG00000068366,3736
ENSG00000068383,1100
ENSG00000068394,2291
ENSG00000068400,2843
ENSG00000068438,3288
ENSG00000068489,5417
ENSG00000068615,80
ENSG00000068650,2920
ENSG00000068654,9649
ENSG00000068697,26043
ENSG00000068724,6298
ENSG00000068745,2964
ENSG00000068781,4
ENSG00000068784,2298
ENSG00000068796,2498
ENSG00000068831,185
ENSG00000068878,31540
ENSG00000068885,1107
ENSG00000068903,2140
ENSG00000068912,7030
ENSG00000068971,725
ENSG00000068976,21
ENSG00000068985,1
ENSG00000069011,630
ENSG00000069018,1
ENSG00000069020,652
ENSG00000069122,999
ENSG00000069188,361
ENSG00000069206,0
ENSG00000069248,4653
ENSG00000069275,56202
ENSG00000069329,20527
ENSG00000069345,10996
ENSG00000069399,1571
ENSG00000069424,1274
ENSG00000069431,278
ENSG00000069482,1497
ENSG00000069493,542
ENSG00000069509,1776
ENSG00000069535,3528
ENSG00000069667,1122
ENSG00000069696,52
ENSG00000069702,481
ENSG00000069712,349
ENSG00000069764,3
ENSG00000069812,240
ENSG00000069849,5363
ENSG00000069869,878
ENSG00000069943,504
ENSG00000069956,3416
ENSG00000069966,1023
ENSG00000069974,1384
ENSG00000069998,6704
ENSG00000070010,7714
ENSG00000070018,8344
ENSG00000070019,77
ENSG00000070031,8
ENSG00000070047,5390
ENSG00000070061,7241
ENSG00000070081,5306
ENSG00000070087,8827
ENSG00000070159,4472
ENSG00000070182,312
ENSG00000070190,3155
ENSG00000070193,7
ENSG00000070214,15978
ENSG00000070269,1048
ENSG00000070366,1517
ENSG00000070367,4523
ENSG00000070371,400
ENSG00000070388,4
ENSG00000070404,347
ENSG00000070413,10202
ENSG00000070423,1911
ENSG00000070444,1698
ENSG00000070476,1767
ENSG00000070495,2768
ENSG00000070501,2637
ENSG00000070526,5
ENSG00000070540,3586
ENSG00000070601,14
ENSG00000070610,2782
ENSG00000070614,10950
ENSG00000070669,5033
ENSG00000070718,2865
ENSG00000070729,27
ENSG00000070731,688
ENSG00000070748,1
ENSG00000070756,159204
ENSG00000070759,508
ENSG00000070761,3936
ENSG00000070770,12084
ENSG00000070778,2510
ENSG00000070785,3678
ENSG00000070808,19
ENSG00000070814,15811
ENSG00000070831,15907
ENSG00000070882,2683
ENSG00000070886,5
ENSG00000070915,7
ENSG00000070950,3111
ENSG00000070961,5345
ENSG00000070985,7
ENSG00000071051,6511
ENSG00000071054,13709
ENSG00000071073,5427
ENSG00000071082,69954
ENSG00000071127,22753
ENSG00000071189,3694
ENSG00000071203,0
ENSG00000071205,582
ENSG00000071242,791
ENSG00000071243,1194
ENSG00000071246,1581
ENSG00000071282,1296
ENSG00000071462,13448
ENSG00000071537,9372
ENSG00000071539,3454
ENSG00000071553,10398
ENSG00000071564,10048
ENSG00000071575,4025
ENSG00000071626,11225
ENSG00000071655,6017
ENSG00000071677,0
ENSG00000071794,2725
ENSG00000071859,5480
ENSG00000071889,2735
ENSG00000071894,7256
ENSG00000071909,74
ENSG00000071967,2812
ENSG00000071991,6979
ENSG00000071994,14220
ENSG00000072041,4403
ENSG00000072042,6976
ENSG00000072062,6870
ENSG00000072071,945
ENSG00000072080,0
ENSG00000072110,60626
ENSG00000072121,3418
ENSG00000072133,1028
ENSG00000072134,1080
ENSG00000072135,6929
ENSG00000072163,595
ENSG00000072182,4
ENSG00000072195,987
ENSG00000072201,603
ENSG00000072210,2646
ENSG00000072274,20860
ENSG00000072310,9408
ENSG00000072315,0
ENSG00000072364,2986
ENSG00000072401,1183
ENSG00000072415,4707
ENSG00000072422,867
