Gene stable ID,bd031420-47b0-430e-acab-b7d411089b98
ENSG00000011007,5820
ENSG00000011009,4861
ENSG00000011021,847
ENSG00000011028,4516
ENSG00000011052,14
ENSG00000011083,17
ENSG00000011105,6368
ENSG00000011114,2920
ENSG00000011132,435
ENSG00000011143,1453
ENSG00000011198,3328
ENSG00000011201,429
ENSG00000011243,1763
ENSG00000011258,2905
ENSG00000011260,3308
ENSG00000011275,3237
ENSG00000011295,2685
ENSG00000011304,15348
ENSG00000011332,56
ENSG00000011347,4427
ENSG00000011376,1866
ENSG00000011405,3461
ENSG00000011422,2254
ENSG00000011426,5785
ENSG00000011451,3371
ENSG00000011454,5989
ENSG00000011465,18443
ENSG00000011478,1264
ENSG00000011485,3887
ENSG00000011523,2195
ENSG00000011566,2246
ENSG00000011590,47
ENSG00000011600,3348
ENSG00000011638,2096
ENSG00000011677,584
ENSG00000012048,1220
ENSG00000012061,3939
ENSG00000012124,131
ENSG00000012171,232
ENSG00000012174,1575
ENSG00000012211,806
ENSG00000012223,346332
ENSG00000012232,1860
ENSG00000012504,0
ENSG00000012660,13928
ENSG00000012779,1376
ENSG00000012817,0
ENSG00000012822,3556
ENSG00000012963,5325
ENSG00000012983,2834
ENSG00000013016,820
ENSG00000013275,5836
ENSG00000013288,2614
ENSG00000013293,3
ENSG00000013297,251
ENSG00000013306,9832
ENSG00000013364,5741
ENSG00000013374,3908
ENSG00000013375,3816
ENSG00000013392,319
ENSG00000013441,4012
ENSG00000013503,1012
ENSG00000013523,1239
ENSG00000013561,5709
ENSG00000013563,760
ENSG00000013573,1112
ENSG00000013583,2580
ENSG00000013588,23260
ENSG00000013619,529
ENSG00000013725,469
ENSG00000013810,1611
ENSG00000014123,2808
ENSG00000014138,3224
ENSG00000014164,494
ENSG00000014216,22561
ENSG00000014257,240
ENSG00000014641,14375
ENSG00000014824,9985
ENSG00000014914,497
ENSG00000014919,3267
ENSG00000015133,3139
ENSG00000015153,1073
ENSG00000015171,9243
ENSG00000015285,619
ENSG00000015413,26
ENSG00000015475,2309
ENSG00000015479,474
ENSG00000015520,3
ENSG00000015532,1743
ENSG00000015568,1
ENSG00000015592,1
ENSG00000015676,3941
ENSG00000016082,0
ENSG00000016391,568
ENSG00000016402,4024
ENSG00000016490,1
ENSG00000016602,4
ENSG00000016864,3230
ENSG00000017260,5885
ENSG00000017427,92
ENSG00000017483,499
ENSG00000017797,4398
ENSG00000018189,4080
ENSG00000018236,83
ENSG00000018280,733
ENSG00000018408,2986
ENSG00000018510,1708
ENSG00000018607,2
ENSG00000018610,2392
ENSG00000018625,94
ENSG00000018699,1437
ENSG00000018869,288
ENSG00000019102,733
ENSG00000019144,4871
ENSG00000019169,551
ENSG00000019186,9
ENSG00000019485,212
ENSG00000019505,79
ENSG00000019549,916
ENSG00000019582,106654
ENSG00000019991,143
ENSG00000019995,4646
ENSG00000020129,1506
ENSG00000020181,1136
ENSG00000020219,2
ENSG00000020256,1178
ENSG00000020426,998
ENSG00000020577,781
ENSG00000020633,957
ENSG00000020922,3684
ENSG00000021300,2573
ENSG00000021355,3401
ENSG00000021461,2
ENSG00000021488,11
ENSG00000021574,2380
ENSG00000021645,36
ENSG00000021762,2692
ENSG00000021776,4072
ENSG00000021826,113
ENSG00000021852,0
ENSG00000022267,2013
ENSG00000022277,6233
ENSG00000022355,0
ENSG00000022556,2996
ENSG00000022567,469
ENSG00000022840,13217
ENSG00000022976,404
ENSG00000023041,4024
ENSG00000023171,247
ENSG00000023191,4956
ENSG00000023228,8304
ENSG00000023287,3504
ENSG00000023318,6827
ENSG00000023330,3229
ENSG00000023445,1838
ENSG00000023516,4739
ENSG00000023572,558
ENSG00000023608,640
ENSG00000023697,2390
ENSG00000023734,18081
ENSG00000023839,3769
ENSG00000023892,527
ENSG00000023902,2553
ENSG00000023909,2043
ENSG00000024048,2885
ENSG00000024422,3935
ENSG00000024526,1405
ENSG00000024862,1344
ENSG00000025039,1101
ENSG00000025156,5112
ENSG00000025293,5901
ENSG00000025423,680
ENSG00000025434,1334
ENSG00000025708,3718
ENSG00000025770,2568
ENSG00000025772,3352
ENSG00000025796,47074
ENSG00000025800,4598
ENSG00000026025,44065
ENSG00000026036,59
ENSG00000026103,911
ENSG00000026297,2508
ENSG00000026508,17368
ENSG00000026559,153
ENSG00000026652,396
ENSG00000026751,1497
ENSG00000026950,1969
ENSG00000027001,2551
ENSG00000027075,2477
ENSG00000027644,12
ENSG00000027697,7202
ENSG00000027847,1148
ENSG00000027869,268
ENSG00000028116,2784
ENSG00000028137,2346
ENSG00000028203,6648
ENSG00000028277,604
ENSG00000028310,3372
ENSG00000028528,6718
ENSG00000028839,1088
ENSG00000029153,488
ENSG00000029363,10528
ENSG00000029364,7558
ENSG00000029534,37
ENSG00000029559,150
ENSG00000029639,870
ENSG00000029725,12581
ENSG00000029993,7018
ENSG00000030066,2968
ENSG00000030110,1399
ENSG00000030304,6
ENSG00000030419,665
ENSG00000030582,13316
ENSG00000031003,2217
ENSG00000031081,1833
ENSG00000031691,343
ENSG00000031698,6640
ENSG00000031823,2238
ENSG00000032219,1194
ENSG00000032389,1808
ENSG00000032444,1824
ENSG00000032742,1027
ENSG00000033011,616
ENSG00000033030,1451
ENSG00000033050,4516
ENSG00000033100,3252
ENSG00000033122,38
ENSG00000033170,7230
ENSG00000033178,7243
ENSG00000033327,1885
ENSG00000033627,1917
ENSG00000033800,2141
ENSG00000033867,4113
ENSG00000034053,180
ENSG00000034152,3204
ENSG00000034239,12
ENSG00000034510,110108
ENSG00000034533,304
ENSG00000034677,45248
ENSG00000034693,7320
ENSG00000034713,4257
ENSG00000034971,3
ENSG00000035115,1573
ENSG00000035141,4019
ENSG00000035403,11621
ENSG00000035499,601
ENSG00000035664,342
ENSG00000035681,2009
ENSG00000035687,10254
ENSG00000035720,59
ENSG00000035862,25428
ENSG00000035928,4953
ENSG00000036054,3320
ENSG00000036257,7844
ENSG00000036448,77
ENSG00000036473,0
ENSG00000036530,78
ENSG00000036549,2050
ENSG00000036565,9
ENSG00000036672,150
ENSG00000036828,0
ENSG00000037042,474
ENSG00000037241,1229
ENSG00000037280,610
ENSG00000037474,11656
ENSG00000037637,1820
ENSG00000037749,1792
ENSG00000037757,710
ENSG00000037897,1113
ENSG00000037965,389
ENSG00000038002,1688
ENSG00000038210,734
ENSG00000038219,2180
ENSG00000038274,3325
ENSG00000038295,239
ENSG00000038358,1878
ENSG00000038382,8564
ENSG00000038427,23867
ENSG00000038532,1801
ENSG00000038945,3234
ENSG00000039068,37551
ENSG00000039123,3232
ENSG00000039139,346
ENSG00000039319,3563
ENSG00000039523,4204
ENSG00000039537,160
ENSG00000039560,3685
ENSG00000039600,8
ENSG00000039650,1387
ENSG00000039987,1
ENSG00000040199,1426
ENSG00000040275,1647
ENSG00000040341,2086
ENSG00000040487,763
ENSG00000040531,775
ENSG00000040608,346
ENSG00000040633,2199
ENSG00000040731,1
ENSG00000040933,2925
ENSG00000041353,7198
ENSG00000041357,10574
ENSG00000041515,17
ENSG00000041802,22513
ENSG00000041880,1038
ENSG00000041982,40176
ENSG00000041988,476
ENSG00000042062,177
ENSG00000042088,1701
ENSG00000042286,1593
ENSG00000042304,0
ENSG00000042317,569
ENSG00000042429,3713
ENSG00000042445,11750
ENSG00000042493,8220
ENSG00000042753,7996
ENSG00000042781,4
ENSG00000042813,0
ENSG00000042832,19
ENSG00000042980,602
ENSG00000043039,95
ENSG00000043093,13591
ENSG00000043143,991
ENSG00000043355,227
ENSG00000043462,1878
ENSG00000043514,579
ENSG00000043591,16
ENSG00000044012,0
ENSG00000044090,1676
ENSG00000044115,33892
ENSG00000044446,1499
ENSG00000044459,368
ENSG00000044524,104
ENSG00000044574,58771
ENSG00000046604,3759
ENSG00000046647,1520
ENSG00000046651,1465
ENSG00000046653,483
ENSG00000046774,0
ENSG00000046889,422
ENSG00000047056,1322
ENSG00000047188,2626
ENSG00000047230,4140
ENSG00000047249,3044
ENSG00000047315,12718
ENSG00000047346,3616
ENSG00000047365,1138
ENSG00000047410,15528
ENSG00000047457,17120
ENSG00000047578,2359
ENSG00000047579,1191
ENSG00000047597,12
ENSG00000047617,293
ENSG00000047621,2989
ENSG00000047634,492
ENSG00000047644,9075
ENSG00000047648,107
ENSG00000047662,16
ENSG00000047849,20546
ENSG00000047932,7058
ENSG00000047936,19
ENSG00000048028,4467
ENSG00000048052,934
ENSG00000048140,2862
ENSG00000048162,1513
ENSG00000048342,308
ENSG00000048392,4795
ENSG00000048405,2022
ENSG00000048462,117
ENSG00000048471,1534
ENSG00000048540,323
ENSG00000048544,2628
ENSG00000048545,13
ENSG00000048649,5984
ENSG00000048707,5866
ENSG00000048740,1675
ENSG00000048828,24021
ENSG00000048991,3406
ENSG00000049089,410
ENSG00000049130,6395
ENSG00000049167,471
ENSG00000049192,178
ENSG00000049239,5323
ENSG00000049245,4880
ENSG00000049246,1047
ENSG00000049247,53
ENSG00000049249,272
ENSG00000049283,2133
ENSG00000049323,3202
ENSG00000049449,4932
ENSG00000049540,3192
ENSG00000049541,3762
ENSG00000049618,9025
ENSG00000049656,11235
ENSG00000049759,5352
ENSG00000049768,731
ENSG00000049769,106
ENSG00000049860,4892
ENSG00000049883,595
ENSG00000050030,67
ENSG00000050130,3493
ENSG00000050165,1258
ENSG00000050327,812
ENSG00000050344,2520
ENSG00000050393,3345
ENSG00000050405,18019
ENSG00000050426,2842
ENSG00000050438,2811
ENSG00000050555,222
ENSG00000050628,480
ENSG00000050730,41
ENSG00000050748,8033
ENSG00000050767,30
ENSG00000050820,2202
ENSG00000051009,1397
ENSG00000051108,8613
ENSG00000051128,2027
ENSG00000051180,778
ENSG00000051341,640
ENSG00000051382,2858
ENSG00000051523,1601
ENSG00000051596,940
ENSG00000051620,5928
ENSG00000051825,1497
ENSG00000052126,3049
ENSG00000052344,7450
ENSG00000052723,2433
ENSG00000052749,2792
ENSG00000052795,1979
ENSG00000052802,23696
ENSG00000052841,3419
ENSG00000052850,16
ENSG00000053108,47
ENSG00000053254,3236
ENSG00000053328,29
ENSG00000053371,2964
ENSG00000053372,3269
ENSG00000053438,66
ENSG00000053501,1085
ENSG00000053524,94
ENSG00000053702,196
ENSG00000053747,544
ENSG00000053770,4267
ENSG00000053900,694
ENSG00000053918,1848
ENSG00000054116,2900
ENSG00000054118,10230
ENSG00000054148,1888
ENSG00000054179,862
ENSG00000054219,775
ENSG00000054267,7929
ENSG00000054277,327
ENSG00000054282,1979
ENSG00000054356,61
ENSG00000054392,733
ENSG00000054523,7506
ENSG00000054598,453
ENSG00000054611,2455
ENSG00000054654,7901
ENSG00000054690,741
ENSG00000054793,4540
ENSG00000054796,0
ENSG00000054803,9
ENSG00000054938,16
ENSG00000054965,4942
ENSG00000054967,607
ENSG00000054983,1455
ENSG00000055044,6211
ENSG00000055070,8534
ENSG00000055118,372
ENSG00000055130,5774
ENSG00000055147,1860
ENSG00000055163,786
ENSG00000055208,15378
ENSG00000055211,5214
ENSG00000055332,3275
ENSG00000055483,3326
ENSG00000055609,6880
ENSG00000055732,74
ENSG00000055813,12
ENSG00000055917,11529
ENSG00000055950,2715
ENSG00000055955,30
ENSG00000055957,7
ENSG00000056050,1487
ENSG00000056097,10629
ENSG00000056277,675
ENSG00000056291,2
ENSG00000056487,10
ENSG00000056558,915
ENSG00000056586,4073
ENSG00000056736,585
ENSG00000056972,2339
ENSG00000056998,2134
ENSG00000057019,4821
ENSG00000057149,0
ENSG00000057252,1582
ENSG00000057294,1104
ENSG00000057468,7
ENSG00000057593,1016
ENSG00000057608,19018
ENSG00000057657,1579
ENSG00000057663,2269
ENSG00000057704,2028
ENSG00000057757,3645
ENSG00000057935,2503
ENSG00000058056,4593
ENSG00000058063,22262
ENSG00000058085,3088
ENSG00000058091,2200
ENSG00000058262,18272
ENSG00000058272,3682
ENSG00000058335,2039
ENSG00000058404,19
ENSG00000058453,597
ENSG00000058600,1619
ENSG00000058668,6082
ENSG00000058673,9235
ENSG00000058729,2145
ENSG00000058799,3232
ENSG00000058804,3157
ENSG00000058866,157
ENSG00000059122,724
ENSG00000059145,465
ENSG00000059377,597
ENSG00000059378,1600
ENSG00000059573,10284
ENSG00000059588,2493
ENSG00000059691,1230
ENSG00000059728,2772
ENSG00000059758,1828
ENSG00000059769,732
ENSG00000059804,1637
ENSG00000059915,133
ENSG00000060069,642
ENSG00000060138,10352
ENSG00000060140,760
ENSG00000060237,24650
ENSG00000060303,2
ENSG00000060339,6755
ENSG00000060491,1280
ENSG00000060558,579
ENSG00000060566,26
ENSG00000060642,792
ENSG00000060656,2060
ENSG00000060688,3575
ENSG00000060709,1015
ENSG00000060718,9571
ENSG00000060749,2625
ENSG00000060762,1825
ENSG00000060971,5206
ENSG00000060982,1375
ENSG00000061273,5340
ENSG00000061337,550
ENSG00000061455,209
ENSG00000061492,0
ENSG00000061656,315
ENSG00000061676,21495
ENSG00000061794,6752
ENSG00000061918,720
ENSG00000061936,2765
ENSG00000061938,13344
ENSG00000061987,2700
ENSG00000062038,3669
ENSG00000062096,57
ENSG00000062194,5636
ENSG00000062282,3218
ENSG00000062370,519
ENSG00000062485,12418
ENSG00000062524,12
ENSG00000062582,203
ENSG00000062598,4369
ENSG00000062650,6674
ENSG00000062716,20200
ENSG00000062725,3797
ENSG00000062822,1362
ENSG00000063015,12
ENSG00000063046,27007
ENSG00000063127,197
ENSG00000063169,1611
ENSG00000063176,616
ENSG00000063177,41389
ENSG00000063180,112
ENSG00000063241,2791
ENSG00000063244,8993
ENSG00000063245,6478
ENSG00000063322,5159
ENSG00000063438,169
ENSG00000063515,0
ENSG00000063587,1480
ENSG00000063601,3427
ENSG00000063660,2330
ENSG00000063761,408
ENSG00000063854,1457
ENSG00000063978,2743
ENSG00000064012,3769
ENSG00000064042,29470
ENSG00000064102,2467
ENSG00000064115,6273
ENSG00000064195,34
ENSG00000064199,1135
ENSG00000064201,45
ENSG00000064205,1059
ENSG00000064218,29
ENSG00000064225,625
ENSG00000064270,1120
ENSG00000064300,347
ENSG00000064309,372
ENSG00000064313,4450
ENSG00000064393,6869
ENSG00000064419,6542
ENSG00000064489,12
ENSG00000064490,2291
ENSG00000064545,1011
ENSG00000064547,1638
ENSG00000064601,5947
ENSG00000064607,6149
ENSG00000064651,8636
ENSG00000064652,440
ENSG00000064655,1668
ENSG00000064666,18362
ENSG00000064687,1164
ENSG00000064692,139
ENSG00000064703,988
ENSG00000064726,4345
ENSG00000064763,343
ENSG00000064787,82
ENSG00000064835,1
ENSG00000064886,165
ENSG00000064932,3980
ENSG00000064933,1305
ENSG00000064961,5865
ENSG00000064989,1559
ENSG00000064995,2349
ENSG00000064999,1603
ENSG00000065000,11393
ENSG00000065029,1701
ENSG00000065054,5298
ENSG00000065057,368
ENSG00000065060,1544
ENSG00000065135,7142
ENSG00000065150,8267
ENSG00000065154,33878
ENSG00000065183,2600
ENSG00000065243,2729
ENSG00000065268,1601
ENSG00000065308,2944
ENSG00000065320,416
ENSG00000065325,36
ENSG00000065328,1382
ENSG00000065357,935
ENSG00000065361,13413
ENSG00000065371,2
ENSG00000065413,797
ENSG00000065427,10456
ENSG00000065457,1597
ENSG00000065485,1217
ENSG00000065491,1050
ENSG00000065518,9055
ENSG00000065526,7165
ENSG00000065534,5269
ENSG00000065548,9361
ENSG00000065559,2303
ENSG00000065600,917
ENSG00000065609,4
ENSG00000065613,6171
ENSG00000065615,1429
ENSG00000065618,1118
ENSG00000065621,1934
ENSG00000065665,868
ENSG00000065675,146
ENSG00000065717,1883
ENSG00000065802,1342
ENSG00000065809,9794
ENSG00000065833,3943
ENSG00000065882,2586
ENSG00000065883,4047
ENSG00000065911,12262
ENSG00000065923,9971
ENSG00000065970,3237
ENSG00000065978,14710
ENSG00000065989,878
ENSG00000066027,7515
ENSG00000066032,5
ENSG00000066044,5833
ENSG00000066056,1248
ENSG00000066084,7080
ENSG00000066117,4143
ENSG00000066135,3135
ENSG00000066136,1981
ENSG00000066185,46
ENSG00000066230,29
ENSG00000066248,605
ENSG00000066279,2325
ENSG00000066294,1325
ENSG00000066322,4240
ENSG00000066336,1304
ENSG00000066379,794
ENSG00000066382,54
ENSG00000066405,6
ENSG00000066422,3100
ENSG00000066427,1580
ENSG00000066455,5670
ENSG00000066468,39274
ENSG00000066557,1502
ENSG00000066583,2975
ENSG00000066629,984
ENSG00000066651,1329
ENSG00000066654,2644
ENSG00000066697,2221
ENSG00000066735,114
ENSG00000066739,2470
ENSG00000066777,3774
ENSG00000066813,0
ENSG00000066827,475
ENSG00000066855,2699
ENSG00000066923,123
ENSG00000066926,2879
ENSG00000066933,2159
ENSG00000067048,0
ENSG00000067057,2907
ENSG00000067064,10669
ENSG00000067066,3296
ENSG00000067082,8086
ENSG00000067113,1045
ENSG00000067141,4150
ENSG00000067167,11849
ENSG00000067177,1374
ENSG00000067182,8803
ENSG00000067191,464
ENSG00000067208,1118
ENSG00000067221,607
ENSG00000067225,78634
ENSG00000067248,1929
ENSG00000067334,3328
ENSG00000067365,431
ENSG00000067369,2288
ENSG00000067445,233
ENSG00000067533,2045
ENSG00000067560,49088
ENSG00000067596,2798
ENSG00000067601,138
ENSG00000067606,1333
ENSG00000067646,0
ENSG00000067704,17193
ENSG00000067715,58
ENSG00000067798,139
ENSG00000067829,2143
ENSG00000067836,1054
ENSG00000067840,279
ENSG00000067842,4
ENSG00000067900,6054
ENSG00000067955,6392
ENSG00000067992,1793
ENSG00000068001,2561
ENSG00000068024,1544
ENSG00000068028,3216
ENSG00000068078,406
ENSG00000068079,636
ENSG00000068097,1547
ENSG00000068120,3175
ENSG00000068137,1106
ENSG00000068305,3327
ENSG00000068308,5135
ENSG00000068323,5372
ENSG00000068354,1071
ENSG00000068366,2595
ENSG00000068383,2170
ENSG00000068394,1963
ENSG00000068400,4875
ENSG00000068438,3576
ENSG00000068489,1794
ENSG00000068615,865
ENSG00000068650,1585
ENSG00000068654,5591
ENSG00000068697,19925
ENSG00000068724,2085
ENSG00000068745,5817
ENSG00000068781,7
ENSG00000068784,1630
ENSG00000068796,1575
ENSG00000068831,220
ENSG00000068878,19912
ENSG00000068885,1127
ENSG00000068903,3777
ENSG00000068912,10330
ENSG00000068971,1814
ENSG00000068976,84
ENSG00000068985,0
ENSG00000069011,1177
ENSG00000069018,1
ENSG00000069020,1745
ENSG00000069122,1891
ENSG00000069188,982
ENSG00000069206,1
ENSG00000069248,6154
ENSG00000069275,26362
ENSG00000069329,16466
ENSG00000069345,9539
ENSG00000069399,6386
ENSG00000069424,1316
ENSG00000069431,842
ENSG00000069482,259
ENSG00000069493,1229
ENSG00000069509,3932
ENSG00000069535,544
ENSG00000069667,827
ENSG00000069696,34
ENSG00000069702,724
ENSG00000069712,304
ENSG00000069764,5
ENSG00000069812,218
ENSG00000069849,3487
ENSG00000069869,1898
ENSG00000069943,495
ENSG00000069956,3323
ENSG00000069966,620
ENSG00000069974,1281
ENSG00000069998,1977
ENSG00000070010,3713
ENSG00000070018,3859
ENSG00000070019,310
ENSG00000070031,31
ENSG00000070047,1707
ENSG00000070061,4375
ENSG00000070081,4724
ENSG00000070087,1010
ENSG00000070159,3630
ENSG00000070182,54
ENSG00000070190,417
ENSG00000070193,42
ENSG00000070214,14296
ENSG00000070269,1722
ENSG00000070366,1175
ENSG00000070367,5173
ENSG00000070371,201
ENSG00000070388,12
ENSG00000070404,1165
ENSG00000070413,5696
ENSG00000070423,1529
ENSG00000070444,1070
ENSG00000070476,1463
ENSG00000070495,1708
ENSG00000070501,1808
ENSG00000070526,1209
ENSG00000070540,1412
ENSG00000070601,34
ENSG00000070610,2512
ENSG00000070614,8721
ENSG00000070669,2411
ENSG00000070718,2079
ENSG00000070729,0
ENSG00000070731,2005
ENSG00000070748,0
ENSG00000070756,1104313
ENSG00000070759,704
ENSG00000070761,1908
ENSG00000070770,6159
ENSG00000070778,1100
ENSG00000070785,1381
ENSG00000070808,49
ENSG00000070814,2983
ENSG00000070831,19477
ENSG00000070882,759
ENSG00000070886,6
ENSG00000070915,21
ENSG00000070950,2595
ENSG00000070961,2395
ENSG00000070985,0
ENSG00000071051,2951
ENSG00000071054,13742
ENSG00000071073,19105
ENSG00000071082,49026
ENSG00000071127,12883
ENSG00000071189,2897
ENSG00000071203,0
ENSG00000071205,674
ENSG00000071242,2768
ENSG00000071243,498
ENSG00000071246,1077
ENSG00000071282,3630
ENSG00000071462,7404
ENSG00000071537,8114
ENSG00000071539,3714
ENSG00000071553,10422
ENSG00000071564,7825
ENSG00000071575,1774
ENSG00000071626,7211
ENSG00000071655,2507
ENSG00000071677,0
ENSG00000071794,3878
ENSG00000071859,1757
ENSG00000071889,1075
ENSG00000071894,1420
ENSG00000071909,32
ENSG00000071967,16678
ENSG00000071991,0
ENSG00000071994,4478
ENSG00000072041,6
ENSG00000072042,7940
ENSG00000072062,6496
ENSG00000072071,4089
ENSG00000072080,0
ENSG00000072110,17238
ENSG00000072121,2425
ENSG00000072133,77
ENSG00000072134,1327
ENSG00000072135,6100
ENSG00000072163,642
ENSG00000072182,7
ENSG00000072195,1057
ENSG00000072201,1501
ENSG00000072210,3067
ENSG00000072274,70903
ENSG00000072310,13690
ENSG00000072315,1
ENSG00000072364,10048
ENSG00000072401,2217
ENSG00000072415,1738
ENSG00000072422,1069
ENSG00000072501,15235
ENSG00000072506,7981
ENSG00000072518,4346
ENSG00000072571,2350
ENSG00000072609,2152
