UniProtKB Gene Name ID,node_id,Gene stable ID
P13073,145,ENSG00000131143
Q9HCL3,146,ENSG00000142065
P11055,147,ENSG00000109063
P22607,148,ENSG00000068078
P26012,149,ENSG00000105855
Q15054,150,ENSG00000077514
P60228,151,ENSG00000104408
P54652,152,ENSG00000126803
P47901,153,ENSG00000198049
P20702,154,ENSG00000140678
Q99567,156,ENSG00000108559
Q6U7Q0,157,ENSG00000181315
P01589,158,ENSG00000134460
P51523,159,ENSG00000198040
P30260,160,ENSG00000004897
P07996,162,ENSG00000137801
Q02386,163,ENSG00000124459
Q8N8J6,164,ENSG00000197619
P68032,165,ENSG00000159251
P60763,166,ENSG00000169750
Q03692,167,ENSG00000123500
P07288,168,ENSG00000142515
P05113,169,ENSG00000113525
O75643,170,ENSG00000144028
P17098,172,ENSG00000278129
P84085,173,ENSG00000004059
O75530,175,ENSG00000074266
Q9NYQ6,176,ENSG00000075275
P35789,177,ENSG00000184635
Q15365,178,ENSG00000169564
O43561,179,ENSG00000213658
Q6PF04,180,ENSG00000176024
P52701,182,ENSG00000116062
P17035,183,ENSG00000198538
P17030,184,ENSG00000175395
O75821,187,ENSG00000130811
P02458,188,ENSG00000139219
O00231,189,ENSG00000108671
A8MQ14,190,ENSG00000267041
P17038,191,ENSG00000198521
O15350,193,ENSG00000078900
Q14929,195,ENSG00000175787
Q7Z7A1,196,ENSG00000119397
Q8N9K5,197,ENSG00000196357
P31749,198,ENSG00000142208
P63261,199,ENSG00000184009
P42226,200,ENSG00000166888
P14921,202,ENSG00000134954
P52952,203,ENSG00000183072
Q04727,204,ENSG00000106829
Q03924,205,ENSG00000152926
P30542,206,ENSG00000163485
Q9H3T2,207,ENSG00000143434
P15622,208,ENSG00000196150
O75373,209,ENSG00000237440
Q16832,210,ENSG00000162733
Q14587,211,ENSG00000090612
Q5T619,214,ENSG00000179930
Q5JNZ3,215,ENSG00000197935
P43686,216,ENSG00000013275
Q86TJ5,217,ENSG00000172006
P0C0L4,218,ENSG00000244731
P05067,219,ENSG00000142192
Q2M3X9,220,ENSG00000251192
Q9NQW5,221,ENSG00000126856
Q9P286,222,ENSG00000101349
A8MTY0,223,ENSG00000196081
Q8N141,224,ENSG00000181007
Q3ZCT1,225,ENSG00000254004
P01579,226,ENSG00000111537
P17027,227,ENSG00000167377
P08754,228,ENSG00000065135
A6NFI3,230,ENSG00000205903
Q14588,231,ENSG00000263002
P01889,232,ENSG00000234745
Q0D2J5,233,ENSG00000197054
P25098,234,ENSG00000173020
Q13106,235,ENSG00000179909
P55287,237,ENSG00000140937
P01112,238,ENSG00000174775
O14548,240,ENSG00000115944
P12931,242,ENSG00000197122
Q9BZA8,243,ENSG00000099715
P62877,245,ENSG00000100387
Q96SQ5,247,ENSG00000198466
P33993,248,ENSG00000166508
O75820,249,ENSG00000136870
Q8N9F8,251,ENSG00000178187
P62993,252,ENSG00000177885
P22681,253,ENSG00000110395
P55316,254,ENSG00000176165
Q969W8,255,ENSG00000186017
P15621,256,ENSG00000197857
P13682,257,ENSG00000169981
O43707,258,ENSG00000130402
P17017,261,ENSG00000105708
O95390,262,ENSG00000135414
Q5TYW1,263,ENSG00000274349
P16144,264,ENSG00000132470
A6NM28,265,ENSG00000189420
O95831,266,ENSG00000156709
P38936,267,ENSG00000124762
P63000,268,ENSG00000136238
Q86Y25,269,ENSG00000177932
P18124,270,ENSG00000147604
Q05481,271,ENSG00000167232
P84022,272,ENSG00000166949
P08138,273,ENSG00000064300
P34995,274,ENSG00000160951
A6NHJ4,275,ENSG00000197385
Q6ZN57,276,ENSG00000198939
Q9C0F3,277,ENSG00000125945
O60765,278,ENSG00000169131
Q562F6,279,ENSG00000163535
O43293,280,ENSG00000167657
P04899,281,ENSG00000114353
Q96GD4,282,ENSG00000178999
P17096,284,ENSG00000137309
Q08AN1,285,ENSG00000204611
Q08ER8,287,ENSG00000178229
O00459,288,ENSG00000105647
Q07890,290,ENSG00000100485
P46779,291,ENSG00000108107
Q8TAF7,292,ENSG00000197808
O75346,293,ENSG00000256771
P17025,294,ENSG00000147118
P17097,295,ENSG00000147789
O43683,296,ENSG00000169679
O94913,297,ENSG00000165494
Q3KP31,298,ENSG00000173875
A8MTJ3,299,ENSG00000214415
P21506,300,ENSG00000256223
P55198,301,ENSG00000275023
P84095,304,ENSG00000177105
P00734,305,ENSG00000180210
Q8WTQ7,306,ENSG00000114124
P16871,308,ENSG00000168685
Q03938,310,ENSG00000213988
O00555,311,ENSG00000141837
O96015,312,ENSG00000100246
O43390,313,ENSG00000125944
Q03112,314,ENSG00000085276
P49715,315,ENSG00000245848
P55209,317,ENSG00000187109
Q13444,318,ENSG00000143537
P30874,320,ENSG00000180616
O14775,321,ENSG00000069966
P52736,322,ENSG00000125846
P53350,323,ENSG00000166851
P46108,325,ENSG00000167193
O43264,327,ENSG00000086827
Q8NB50,328,ENSG00000196670
P46020,329,ENSG00000067177
P17023,330,ENSG00000157429
P62873,331,ENSG00000078369
P51508,332,ENSG00000197779
P10073,333,ENSG00000182318
Q96QU1,334,ENSG00000150275
O00478,335,ENSG00000111801
Q53HL2,336,ENSG00000134690
Q6IV72,337,ENSG00000204947
P46060,338,ENSG00000100401
Q01543,340,ENSG00000151702
P08621,341,ENSG00000104852
P01241,344,ENSG00000259384
P22694,346,ENSG00000142875
P23588,347,ENSG00000063046
O75116,348,ENSG00000134318
O15182,349,ENSG00000153140
P61326,350,ENSG00000162385
O96014,351,ENSG00000085741
Q8N587,352,ENSG00000171469
P24941,353,ENSG00000123374
P23246,354,ENSG00000116560
P13501,355,ENSG00000271503
P00748,357,ENSG00000131187
P08069,358,ENSG00000140443
O00311,359,ENSG00000097046
P40259,360,ENSG00000007312
P32856,361,ENSG00000111450
P36897,362,ENSG00000106799
Q14344,363,ENSG00000120063
P17661,364,ENSG00000175084
Q5FWF6,365,ENSG00000198556
Q99836,366,ENSG00000172936
Q8IZC7,367,ENSG00000181896
P25067,369,ENSG00000171812
O00463,370,ENSG00000082512
P12004,371,ENSG00000132646
Q5VIY5,372,ENSG00000204604
O15273,373,ENSG00000173991
P03372,374,ENSG00000091831
P07910,376,ENSG00000092199
O00744,378,ENSG00000169884
Q14571,379,ENSG00000123104
Q06413,380,ENSG00000081189
P02549,382,ENSG00000163554
O15379,383,ENSG00000171720
Q0VGE8,384,ENSG00000180257
P49023,385,ENSG00000089159
P56703,386,ENSG00000108379
Q68DY9,387,ENSG00000197128
O15239,389,ENSG00000125356
P30622,391,ENSG00000130779
P55795,393,ENSG00000126945
P05413,394,ENSG00000121769
P62879,396,ENSG00000172354
O43913,397,ENSG00000164815
Q6ECI4,398,ENSG00000197016
Q14332,399,ENSG00000180340
Q15653,400,ENSG00000104825
A7E2Y1,401,ENSG00000078814
Q14289,402,ENSG00000120899
P06239,403,ENSG00000182866
P01106,404,ENSG00000136997
Q49AN0,405,ENSG00000121671
O14978,406,ENSG00000006194
P40616,407,ENSG00000120805
Q8N184,409,ENSG00000189042
P30876,411,ENSG00000047315
P04234,413,ENSG00000167286
O75159,414,ENSG00000171150
Q96PQ6,415,ENSG00000130803
Q86YE8,416,ENSG00000189144
P01566,417,ENSG00000186803
Q8WXB4,418,ENSG00000166704
P51692,420,ENSG00000173757
P02774,421,ENSG00000145321
P63267,422,ENSG00000163017
P32121,423,ENSG00000141480
P46109,425,ENSG00000099942
Q5HYK9,426,ENSG00000198046
O95935,428,ENSG00000112837
P35222,429,ENSG00000168036
P42681,430,ENSG00000074966
O95750,431,ENSG00000162344
O43187,432,ENSG00000134070
P68400,433,ENSG00000101266
O14672,434,ENSG00000137845
P48039,436,ENSG00000168412
Q6ZR52,438,ENSG00000196268
P52272,439,ENSG00000099783
A8MWA4,441,ENSG00000214534
Q8TAQ2,444,ENSG00000139613
Q96Q15,445,ENSG00000157106
Q6P9A1,447,ENSG00000183647
Q14185,449,ENSG00000150760
A8MUZ8,450,ENSG00000215372
P08047,451,ENSG00000185591
P18825,452,ENSG00000184160
P01906,453,ENSG00000237541
P17021,454,ENSG00000186272
O00443,455,ENSG00000011405
P10242,456,ENSG00000118513
P52294,457,ENSG00000114030
Q6NX45,458,ENSG00000196391
P12643,459,ENSG00000125845
Q06730,460,ENSG00000189180
P31785,462,ENSG00000147168
Q07864,464,ENSG00000177084
P02462,465,ENSG00000187498
Q6ZNG0,466,ENSG00000177842
O95477,467,ENSG00000165029
Q8IZ26,468,ENSG00000196378
P27348,469,ENSG00000134308
P45983,470,ENSG00000107643
P35580,471,ENSG00000133026
O75940,475,ENSG00000119953
A6NP11,478,ENSG00000182111
Q08999,479,ENSG00000103479
P15336,480,ENSG00000115966
P17039,481,ENSG00000168661
P13639,482,ENSG00000167658
Q3SY52,483,ENSG00000171649
O15533,484,ENSG00000231925
A6NN14,485,ENSG00000196350
O75747,486,ENSG00000139144
O95251,488,ENSG00000136504
P05014,490,ENSG00000236637
O15264,491,ENSG00000156711
P60900,492,ENSG00000100902
P13500,493,ENSG00000108691
P48729,494,ENSG00000113712
Q13330,495,ENSG00000182979
Q14590,496,ENSG00000159917
P15153,499,ENSG00000128340
O14939,500,ENSG00000129219
P28907,502,ENSG00000004468
Q13360,503,ENSG00000188629
P05771,504,ENSG00000166501
P51991,505,ENSG00000170144
P55289,506,ENSG00000154162
P41182,507,ENSG00000113916
P20749,508,ENSG00000069399
P53778,509,ENSG00000188130
Q7Z340,510,ENSG00000204519
Q5JVG2,511,ENSG00000127081
Q9Y5E2,512,ENSG00000113212
P63096,513,ENSG00000127955
Q7L2R6,515,ENSG00000196417
O00217,516,ENSG00000110717
O95644,517,ENSG00000131196
O15457,518,ENSG00000057468
O75182,519,ENSG00000127511
O00499,520,ENSG00000136717
Q9Y5F9,522,ENSG00000253305
P49286,523,ENSG00000134640
O95486,524,ENSG00000113615
P01019,525,ENSG00000135744
P23193,526,ENSG00000187735
O75467,527,ENSG00000083812
P26010,528,ENSG00000139626
P37173,529,ENSG00000163513
P17031,530,ENSG00000198393
Q2VY69,531,ENSG00000186026
P09471,532,ENSG00000087258
P19784,533,ENSG00000070770
Q2M218,534,ENSG00000221994
P18615,535,ENSG00000204356
Q13634,536,ENSG00000145526
Q8NB42,537,ENSG00000189164
P08311,538,ENSG00000100448
Q8NHV4,539,ENSG00000139350
P25789,540,ENSG00000041357
Q86WZ6,541,ENSG00000131115
Q5BJF6,542,ENSG00000136811
Q15928,544,ENSG00000131127
Q15035,545,ENSG00000065308
Q08AG5,546,ENSG00000223547
P28335,547,ENSG00000147246
O75582,548,ENSG00000100784
P26045,550,ENSG00000070159
P35609,551,ENSG00000077522
Q2M3W8,552,ENSG00000197841
P54132,553,ENSG00000197299
Q8NDW4,554,ENSG00000198105
Q6ZNH5,555,ENSG00000174586
Q86TM6,556,ENSG00000162298
O75044,557,ENSG00000266028
P14866,558,ENSG00000104824
P25054,559,ENSG00000134982
Q8N2I2,560,ENSG00000177873
Q12901,561,ENSG00000204920
P53041,565,ENSG00000011485
Q13148,566,ENSG00000120948
Q15014,567,ENSG00000123562
Q14008,568,ENSG00000175216
P35637,569,ENSG00000089280
Q96MX3,570,ENSG00000180035
O00590,571,ENSG00000144648
Q9UN66,572,ENSG00000120322
P20618,574,ENSG00000008018
P30872,575,ENSG00000139874
Q9HAV0,576,ENSG00000114450
P17026,577,ENSG00000165512
P42566,578,ENSG00000085832
O00444,579,ENSG00000142731
Q05086,580,ENSG00000114062
P00374,581,ENSG00000228716
P17987,582,ENSG00000120438
Q86UD4,583,ENSG00000181894
P48051,584,ENSG00000157542
Q8IXH8,585,ENSG00000124215
O00139,586,ENSG00000068796
Q68DY1,588,ENSG00000188171
Q8N9Z0,589,ENSG00000167554
P00540,590,ENSG00000172680
O00232,591,ENSG00000197170
O43639,592,ENSG00000071051
P19087,594,ENSG00000134183
P16885,595,ENSG00000197943
P56159,596,ENSG00000151892
Q6ZN19,598,ENSG00000197608
Q8N3J9,599,ENSG00000179195
P36873,600,ENSG00000186298
A8K8P3,601,ENSG00000198089
Q14722,602,ENSG00000169282
O15514,603,ENSG00000144231
P17405,604,ENSG00000166311
P04839,605,ENSG00000165168
Q16629,606,ENSG00000115875
P46777,607,ENSG00000122406
P62249,608,ENSG00000105193
O14543,609,ENSG00000184557
Q8N3F8,610,ENSG00000100139
P61956,613,ENSG00000188612
Q14517,614,ENSG00000083857
O00329,615,ENSG00000171608
Q7Z3V5,616,ENSG00000180479
Q14585,617,ENSG00000251247
Q9BRH9,618,ENSG00000198169
P31751,619,ENSG00000105221
P29460,620,ENSG00000113302
O14640,621,ENSG00000107404
O43918,622,ENSG00000160224
O15327,625,ENSG00000109452
O15169,627,ENSG00000103126
P54278,629,ENSG00000122512
P28482,630,ENSG00000100030
P41221,631,ENSG00000114251
Q8N883,632,ENSG00000142556
Q8TF20,633,ENSG00000182903
P61769,634,ENSG00000166710
P18077,635,ENSG00000182899
Q5T5D7,636,ENSG00000117010
P30626,637,ENSG00000075142
P42858,639,ENSG00000197386
P63244,641,ENSG00000204628
P10809,644,ENSG00000144381
O75489,645,ENSG00000213619
Q13352,646,ENSG00000142856
P06730,647,ENSG00000151247
Q7L2Z9,648,ENSG00000031691
O43143,650,ENSG00000109606
Q08462,651,ENSG00000078295
O14917,652,ENSG00000118946
Q01826,654,ENSG00000182568
Q6P2Q9,656,ENSG00000174231
P61978,657,ENSG00000165119
Q96K75,658,ENSG00000144026
O75197,659,ENSG00000162337
P55199,661,ENSG00000105656
Q13349,662,ENSG00000156886
O00712,663,ENSG00000147862
Q13547,664,ENSG00000116478
P16520,665,ENSG00000111664
P62258,666,ENSG00000108953
Q8IWW6,667,ENSG00000165322
P84103,668,ENSG00000112081
P29353,669,ENSG00000160691
P24863,670,ENSG00000112237
P35226,671,ENSG00000168283
P01133,672,ENSG00000138798
P05412,673,ENSG00000177606
Q13042,674,ENSG00000130177
P51681,675,ENSG00000160791
P04350,678,ENSG00000104833
P09488,679,ENSG00000134184
P29992,680,ENSG00000088256
O14610,681,ENSG00000167083
P60880,682,ENSG00000132639
Q3ZCX4,683,ENSG00000198453
Q7Z7K2,684,ENSG00000181444
Q15072,685,ENSG00000167635
P20339,686,ENSG00000144566
P51685,687,ENSG00000179934
P51617,688,ENSG00000184216
Q8TF45,689,ENSG00000196724
P61328,690,ENSG00000114279
P17947,692,ENSG00000066336
P62308,693,ENSG00000143977
A8MUV8,694,ENSG00000214652
P16112,695,ENSG00000157766
P49407,696,ENSG00000137486
A6NK53,697,ENSG00000159915
P10644,698,ENSG00000108946
O14770,699,ENSG00000134138
O43150,700,ENSG00000151693
Q96SN8,702,ENSG00000136861
O43345,703,ENSG00000160321
P16234,704,ENSG00000134853
P24394,705,ENSG00000077238
P29400,706,ENSG00000188153
P53680,707,ENSG00000042753
P23467,708,ENSG00000127329
O43303,709,ENSG00000103540
O60330,710,ENSG00000253159
P04070,711,ENSG00000115718
Q99502,712,ENSG00000104313
Q8IZX4,713,ENSG00000122728
Q15052,714,ENSG00000129675
O96019,715,ENSG00000136518
P41743,716,ENSG00000163558
Q9UC07,717,ENSG00000198429
Q9Y5E7,718,ENSG00000112852
P19022,719,ENSG00000170558
P20226,720,ENSG00000112592
P25787,721,ENSG00000106588
P08134,722,ENSG00000155366
Q9UBL3,724,ENSG00000129691
O95201,725,ENSG00000122386
P61244,726,ENSG00000125952
P20042,727,ENSG00000125977
P17252,728,ENSG00000154229
O43361,729,ENSG00000186230
P28222,730,ENSG00000135312
P04628,731,ENSG00000125084
P37288,732,ENSG00000166148
Q8N972,733,ENSG00000242852
O14497,734,ENSG00000117713
P05177,736,ENSG00000140505
Q14586,737,ENSG00000185947
P35346,738,ENSG00000162009
P17036,740,ENSG00000166526
Q96G25,741,ENSG00000159479
P61371,742,ENSG00000016082
Q00839,743,ENSG00000153187
P98161,744,ENSG00000008710
Q13415,745,ENSG00000085840
Q00325,746,ENSG00000075415
O95347,748,ENSG00000136824
P11912,749,ENSG00000105369
Q6P9A3,750,ENSG00000121406
Q15393,751,ENSG00000189091
Q12926,752,ENSG00000107105
P84077,753,ENSG00000143761
Q96NL3,754,ENSG00000153896
P49792,755,ENSG00000153201
O75448,756,ENSG00000008838
O75563,757,ENSG00000005020
O60262,758,ENSG00000176533
P06493,759,ENSG00000170312
O15105,760,ENSG00000101665
O14641,761,ENSG00000004975
Q9Y5E5,762,ENSG00000081818
Q13469,763,ENSG00000101096
P19086,765,ENSG00000128266
P19174,766,ENSG00000124181
P33240,767,ENSG00000101811
Q6P2D0,768,ENSG00000184517
Q9NYQ8,769,ENSG00000086570
Q09472,770,ENSG00000100393
Q52M93,771,ENSG00000245680
Q8NA42,772,ENSG00000188283
P04637,775,ENSG00000141510
Q03060,776,ENSG00000095794
Q8NEM1,777,ENSG00000173041
Q14203,778,ENSG00000204843
Q96JF6,779,ENSG00000180626
O94986,780,ENSG00000103995
P08651,781,ENSG00000141905
P31391,782,ENSG00000132671
Q9BSK1,784,ENSG00000161551
P39086,786,ENSG00000171189
P32969,787,ENSG00000163682
P06756,789,ENSG00000138448
O75694,791,ENSG00000113569
P62333,792,ENSG00000100519
O75832,793,ENSG00000101843
O00762,794,ENSG00000175063
O75578,795,ENSG00000143127
O60245,796,ENSG00000169851
Q06732,797,ENSG00000196693
P02679,798,ENSG00000171557
P42262,799,ENSG00000120251
O14908,800,ENSG00000123159
Q8TAB3,801,ENSG00000165194
P62244,802,ENSG00000134419
Q7L7X3,803,ENSG00000160551
Q16206,804,ENSG00000165675
P17024,805,ENSG00000132010
Q8NEK5,806,ENSG00000188785
P62312,807,ENSG00000164167
P13611,808,ENSG00000038427
O60244,809,ENSG00000180182
P42574,810,ENSG00000164305
Q08043,811,ENSG00000248746
P02778,812,ENSG00000169245
Q68EA5,813,ENSG00000171970
P14784,814,ENSG00000100385
P35658,815,ENSG00000126883
O43915,816,ENSG00000165197
Q9Y2P0,817,ENSG00000127903
Q5SXM1,818,ENSG00000181450
P51948,819,ENSG00000020426
Q01638,821,ENSG00000115602
Q8N720,822,ENSG00000197343
Q9BWM5,823,ENSG00000083817
Q15287,824,ENSG00000205937
P41594,825,ENSG00000168959
P14653,826,ENSG00000120094
Q86UE3,827,ENSG00000187187
O75122,828,ENSG00000163539
O94906,829,ENSG00000101161
Q16401,830,ENSG00000095261
P48059,831,ENSG00000169756
Q3KQV3,832,ENSG00000180884
P10415,833,ENSG00000171791
Q9UBT2,834,ENSG00000126261
P08514,835,ENSG00000005961
O60565,836,ENSG00000166923
Q5JSP0,837,ENSG00000127084
P26992,839,ENSG00000122756
Q8TF32,840,ENSG00000196705
P19419,841,ENSG00000126767
Q8TF47,842,ENSG00000184939
P11802,844,ENSG00000135446
O15160,845,ENSG00000171453
Q02878,848,ENSG00000089009
O15524,849,ENSG00000185338
Q6P280,851,ENSG00000186020
O43929,852,ENSG00000115947
P67775,853,ENSG00000113575
P31323,854,ENSG00000005249
P32780,855,ENSG00000110768
P19838,856,ENSG00000109320
P22460,857,ENSG00000130037
P42766,858,ENSG00000136942
Q13492,859,ENSG00000073921
Q14593,860,ENSG00000198039
Q5HY98,861,ENSG00000196214
O43184,862,ENSG00000148848
P49746,863,ENSG00000169231
P51668,864,ENSG00000072401
P52803,865,ENSG00000184349
O94779,866,ENSG00000149972
P52738,867,ENSG00000196387
Q6ZN79,868,ENSG00000196946
O14498,869,ENSG00000129009
Q07444,870,ENSG00000205810
Q05519,871,ENSG00000116754
O43678,872,ENSG00000131495
O14818,873,ENSG00000101182
P35568,874,ENSG00000169047
Q96CS4,875,ENSG00000156853
Q9HCX3,876,ENSG00000131845
P62910,877,ENSG00000144713
Q9BUY5,878,ENSG00000130818
Q86T29,879,ENSG00000196458
P24043,881,ENSG00000196569
O14733,882,ENSG00000076984
P48551,883,ENSG00000159110
Q14164,884,ENSG00000263528
P55211,885,ENSG00000132906
Q8WWW8,886,ENSG00000160219
P48357,887,ENSG00000116678
O75943,889,ENSG00000152942
Q9UN74,890,ENSG00000204967
P28566,891,ENSG00000168830
Q15019,892,ENSG00000168385
Q86XN6,893,ENSG00000160336
Q86XU0,894,ENSG00000197928
P19793,895,ENSG00000186350
Q9UHD2,896,ENSG00000183735
Q00535,897,ENSG00000164885
Q96SK3,898,ENSG00000198182
Q9H251,899,ENSG00000107736
P05141,900,ENSG00000005022
P61218,901,ENSG00000100142
P55072,902,ENSG00000165280
P19387,904,ENSG00000102978
P40692,905,ENSG00000076242
Q9HBH0,906,ENSG00000139725
O00222,907,ENSG00000179603
P17014,908,ENSG00000164631
O75508,909,ENSG00000013297
P00367,910,ENSG00000148672
P56524,911,ENSG00000068024
Q15796,912,ENSG00000175387
Q7L3S4,913,ENSG00000179965
O15164,914,ENSG00000122779
O75925,915,ENSG00000033800
Q05586,916,ENSG00000176884
Q15172,918,ENSG00000066027
O75791,919,ENSG00000100351
P35268,920,ENSG00000116251
P00533,921,ENSG00000146648
Q14451,922,ENSG00000141738
P35368,923,ENSG00000170214
P26038,924,ENSG00000147065
P09038,926,ENSG00000138685
Q96CX3,927,ENSG00000186446
Q96NG5,928,ENSG00000167785
P05997,929,ENSG00000204262
Q92620,930,ENSG00000140829
P38646,931,ENSG00000113013
P45985,933,ENSG00000065559
P41091,934,ENSG00000130741
P38570,937,ENSG00000083457
Q96LW1,938,ENSG00000178338
P08833,939,ENSG00000146678
P55283,940,ENSG00000179242
P55285,941,ENSG00000113361
P08588,942,ENSG00000043591
Q7L0Q8,944,ENSG00000116574
O60936,946,ENSG00000140939
P02775,947,ENSG00000163736
Q8IVC4,948,ENSG00000171574
P29597,949,ENSG00000105397
P21918,950,ENSG00000169676
P04150,951,ENSG00000113580
Q8TBZ5,952,ENSG00000196653
P07437,953,ENSG00000196230
Q06323,954,ENSG00000092010
P52435,955,ENSG00000005075
P51965,956,ENSG00000170142
O43318,957,ENSG00000135341
P63272,958,ENSG00000213246
P30304,959,ENSG00000164045
P28698,960,ENSG00000099326
P17706,962,ENSG00000175354
P10275,963,ENSG00000169083
O43395,964,ENSG00000117360
Q8WV28,967,ENSG00000095585
P56975,968,ENSG00000185737
Q12965,969,ENSG00000157483
P01730,970,ENSG00000010610
P26842,971,ENSG00000139193
Q5CZA5,972,ENSG00000204524
O43920,973,ENSG00000168653
P18564,975,ENSG00000115221
Q96IR2,976,ENSG00000213799
Q71F23,978,ENSG00000151725
O60674,979,ENSG00000096968
O75914,980,ENSG00000077264
P51946,982,ENSG00000134480
P60953,985,ENSG00000070831
P23763,986,ENSG00000139190
P62987,988,ENSG00000221983
P20700,989,ENSG00000113368
P17980,990,ENSG00000165916
Q93074,991,ENSG00000184634
P51786,993,ENSG00000147117
P51787,994,ENSG00000053918
Q7Z398,996,ENSG00000251369
Q12769,997,ENSG00000030066
P30279,998,ENSG00000118971
P62701,1001,ENSG00000198034
Q14839,1002,ENSG00000111642
Q6PL18,1003,ENSG00000156802
P42025,1004,ENSG00000115073
O43294,1005,ENSG00000140682
P26232,1006,ENSG00000066032
P61160,1007,ENSG00000138071
P58317,1008,ENSG00000197961
P56704,1009,ENSG00000154342
P08123,1010,ENSG00000164692
Q8TAP6,1011,ENSG00000101624
Q96NG8,1012,ENSG00000018869
Q6ZNA1,1013,ENSG00000196267
Q13480,1014,ENSG00000109458
P28702,1015,ENSG00000204231
P02746,1016,ENSG00000173369
Q96GE5,1017,ENSG00000196466
Q9BYG5,1018,ENSG00000124171
O95972,1020,ENSG00000130385
P02100,1021,ENSG00000213931
Q9P2F9,1022,ENSG00000166188
P20963,1023,ENSG00000198821
P62875,1025,ENSG00000177700
Q96SZ4,1026,ENSG00000130182
